,PLUG,BE,BLDP,LIN,NEL,SRG,AI,APD,5020,E,336260,ITM,PCELL,FCEL,CWR,MCPHY,5019,004020,4091,VAR1,CIB,288620,LDL,3899,036460,023900,210980,1513,8996,HY,EURO,JAPANESE YEN,HONG KONG DOLLAR,Net Current Assets,4020,36460,23900,TAIWAN DOLLAR,BNY CASH RESERVE,SOUTH KOREAN WON,SUM
07/09/2021,10.12,8.49,7.29,7.14,6.28,4.73,4.7,4.62,4.6,4.57,4.52,4.34,4.33,4.14,3.67,2.61,2.29,1.91,1.45,1.37,1.22,1.0,0.96,0.65,0.57,0.49,0.48,0.47,0.45,0.45,0.09,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,9.58,7.99,7.22,7.66,6.09,4.97,5.02,4.97,4.75,4.75,4.28,4.07,4.11,4.2,3.53,2.67,2.31,1.92,1.56,1.48,1.16,0.99,1.0,0.68,0.56,0.49,0.49,0.49,0.47,0.46,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,9.58,7.99,7.22,7.66,6.09,4.97,5.02,4.97,4.75,4.75,4.28,4.07,4.11,4.2,3.53,2.67,2.31,1.92,1.56,1.48,1.16,0.99,1.0,0.68,0.56,0.49,0.49,0.49,0.47,0.46,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,9.58,7.99,7.22,7.66,6.09,4.97,5.02,4.97,4.75,4.75,4.28,4.07,4.11,4.2,3.53,2.67,2.31,1.92,1.56,1.48,1.16,0.99,1.0,0.68,0.56,0.49,0.49,0.49,0.47,0.46,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,9.42,7.85,7.18,7.63,6.24,5.04,5.06,4.95,4.79,4.73,4.38,4.24,4.08,4.17,3.62,2.35,2.33,1.97,1.57,1.48,1.16,1.01,1.0,0.7,0.56,0.5,0.49,0.5,0.48,0.46,0.1,0.06,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/16/2021,9.15,7.69,6.94,7.65,6.27,5.12,5.12,4.97,4.91,4.73,4.48,4.31,4.03,3.99,3.6,2.38,2.39,1.99,1.62,1.51,1.2,1.04,1.01,0.73,0.57,0.51,0.51,0.5,0.53,0.46,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/19/2021,9.04,7.39,6.69,7.92,6.19,5.19,5.24,5.09,5.02,4.8,4.72,4.01,3.98,3.76,3.55,2.4,2.47,2.03,1.66,1.57,1.19,1.07,1.04,0.75,0.59,0.54,0.52,0.52,0.52,0.46,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.07,0.06,0.05,0.06,0.41,0.03,0.03,0.04,4.31,0.04,41.95,0.02,0.27,0.03,0.02,0.02,2.14,0.0,1.44,0.01,0.08,9.56,0.01,0.05,0.0,0.0,4.71,0.12,0.11,0.0,0.0,5.87,0.0,0.0,18.3,5.4,4.81,0.0,0.0,0.0,100.02
07/21/2021,8.92,7.36,6.77,7.99,5.91,5.29,5.29,5.13,5.04,4.8,4.74,4.0,3.95,3.6,3.58,2.44,2.5,2.07,1.68,1.61,1.15,1.08,1.06,0.75,0.61,0.54,0.53,0.53,0.53,0.46,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/22/2021,9.02,7.45,6.88,7.93,5.71,5.23,5.27,5.12,5.06,4.72,5.0,3.93,3.99,3.68,3.48,2.36,2.51,2.02,1.7,1.56,1.16,1.13,1.07,0.75,0.61,0.54,0.53,0.54,0.53,0.46,0.11,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/23/2021,9.22,7.6,7.07,8.0,5.78,5.21,5.23,5.14,4.86,4.7,4.96,4.0,3.92,3.71,3.43,2.31,2.43,1.95,1.65,1.55,1.17,1.11,1.06,0.69,0.6,0.53,0.52,0.52,0.53,0.47,0.1,0.06,0.0,-0.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,9.17,7.76,7.05,7.95,6.12,5.12,5.18,5.07,4.75,4.64,4.88,4.09,3.96,3.6,3.59,2.36,2.36,1.97,1.64,1.56,1.12,1.12,1.04,0.71,0.58,0.51,0.51,0.51,0.53,0.46,0.1,0.06,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,9.06,7.7,6.94,8.11,5.94,5.24,5.25,5.13,4.76,4.64,4.8,4.11,3.96,3.47,3.7,2.36,2.37,2.02,1.65,1.6,1.13,1.12,1.06,0.68,0.6,0.51,0.52,0.51,0.53,0.47,0.1,0.06,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/28/2021,9.06,7.7,6.94,8.11,5.94,5.24,5.25,5.13,4.76,4.64,4.8,4.11,3.96,3.47,3.7,2.36,2.37,2.02,1.65,1.6,1.13,1.12,1.06,0.68,0.6,0.51,0.52,0.51,0.53,0.47,0.1,0.06,0.0,-0.07,0.0,0.0,0.0,0.0,0.0,0.0,100.03
