,1109.HK,BEKE,960.HK,688.HK,2007.HK,1918.HK,4.HK,2202 HK,754.HK,813.HK,884.HK,3333.HK,1030.HK,2777.HK,3380.HK,817.HK,1813.HK,123.HK,3383.HK,873.HK,900932 CH,600048 C1,1638.HK,604.HK,3900.HK,3883.HK,1238.HK,601155 C1,000002 C2,001979 C2,6158.HK,6049.HK,600383 C1,600606 C1,000656 C2,000402 C2,002146 C2,600895 C1,600848 C1,600177 C1,2669.HK,600415 C1,600340 C1,000961 C2,000671 C2,000540 C2,001914 C2,1516.HK,CASH,1209 HK,1209.HK,1516 HK,B 08/12/21,n/a,6098.HK,3319.HK,2869.HK,1995.HK,000961,600340,000671,001914,B 0 08/12/21,2202.HK,900932.SZ,600048.SS,000002.SZ,601155.SS,001979.SZ,600383.SS,600606.SS,000656.SZ,600895.SS,000402.SZ,600177.SS,002146.SZ,600415.SS,600848.SS,600340.SS,000671.SZ,000961.SZ,000540.SZ,001914.SZ,SUM
07/09/2021,8.57,8.23,7.47,6.48,6.26,6.03,5.62,3.58,2.95,2.82,2.73,2.51,2.35,2.32,2.13,1.98,1.93,1.89,1.86,1.86,1.48,1.36,1.31,1.31,1.28,1.26,1.14,1.03,0.97,0.87,0.84,0.79,0.71,0.61,0.55,0.45,0.41,0.39,0.39,0.38,0.38,0.37,0.33,0.32,0.3,0.3,0.27,0.22,0.21,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,8.72,7.82,7.5,6.69,6.24,6.03,5.43,3.62,2.98,2.85,2.73,2.49,2.32,2.3,2.09,1.98,1.94,1.92,1.86,1.83,1.53,1.37,1.26,1.3,1.38,1.25,1.19,1.04,0.98,0.86,0.86,0.79,0.66,0.62,0.5,0.44,0.41,0.4,0.4,0.39,0.37,0.37,0.36,0.32,0.3,0.3,0.27,0.22,0.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/13/2021,8.72,7.82,7.5,6.69,6.24,6.03,5.43,3.62,2.98,2.85,2.73,2.49,2.32,2.3,2.09,1.98,1.94,1.92,1.86,1.83,1.53,1.37,1.26,1.3,1.38,1.25,1.19,1.04,0.98,0.86,0.86,0.79,0.66,0.62,0.5,0.44,0.41,0.4,0.4,0.39,0.37,0.37,0.36,0.32,0.3,0.3,0.27,0.22,0.31,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/14/2021,8.59,8.19,7.41,6.63,6.21,6.08,5.49,3.61,2.91,2.81,2.69,2.45,2.38,2.3,2.09,1.99,1.95,1.89,1.85,1.86,1.52,1.38,1.25,1.3,1.32,1.26,1.2,1.04,0.98,0.87,0.86,0.8,0.67,0.62,0.48,0.44,0.42,0.4,0.41,0.39,0.37,0.37,0.36,0.33,0.3,0.31,0.27,0.22,0.3,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,8.77,7.59,7.48,6.66,6.3,6.1,5.46,3.43,3.02,2.83,2.71,2.41,2.37,2.33,2.09,2.05,1.99,1.9,1.87,1.91,1.53,1.36,1.26,1.3,1.32,1.27,1.2,0.98,0.97,0.85,0.87,0.78,0.68,0.62,0.46,0.44,0.41,0.4,0.4,0.39,0.38,0.37,0.35,0.32,0.3,0.31,0.26,0.23,0.55,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
07/16/2021,8.75,7.88,7.61,6.65,6.23,6.08,5.4,3.41,3.07,2.81,2.69,2.38,2.33,2.31,2.06,2.04,1.95,1.89,1.87,1.87,1.57,1.36,1.27,1.3,1.31,1.26,1.17,1.0,0.96,0.85,0.86,0.76,0.67,0.62,0.46,0.45,0.41,0.41,0.42,0.39,0.38,0.37,0.34,0.32,0.29,0.3,0.26,0.22,0.54,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/19/2021,8.79,7.79,7.52,6.73,6.26,6.28,5.35,3.38,3.05,2.85,2.73,2.29,2.37,2.3,2.08,2.04,1.97,1.89,1.88,1.9,1.57,1.33,1.25,1.29,1.29,1.24,1.17,0.98,0.95,0.84,0.86,0.78,0.65,0.62,0.47,0.43,0.41,0.42,0.42,0.38,0.41,0.36,0.33,0.29,0.3,0.3,0.25,0.22,0.53,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/20/2021,8.79,7.79,7.52,6.73,6.26,6.28,5.35,3.38,3.05,2.85,2.73,2.29,2.37,2.3,2.08,2.04,1.97,1.89,1.88,1.9,1.57,1.33,1.25,1.29,1.29,1.24,1.17,0.98,0.95,0.84,0.86,0.78,0.65,0.62,0.47,0.43,0.41,0.42,0.42,0.38,0.41,0.36,0.33,0.29,0.3,0.3,0.25,0.22,0.53,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/21/2021,8.82,7.76,7.53,6.82,6.21,6.26,5.36,3.45,3.08,2.84,2.72,2.5,2.32,2.34,2.07,2.09,1.96,1.92,1.89,1.95,1.57,1.32,1.21,1.29,1.38,1.25,1.14,0.96,0.96,0.85,0.86,0.76,0.65,0.62,0.47,0.43,0.41,0.42,0.39,0.38,0.42,0.36,0.32,0.29,0.29,0.29,0.25,0.22,0.13,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/22/2021,8.85,7.63,7.74,6.93,6.28,6.2,5.39,3.44,3.03,2.86,2.69,2.16,2.35,2.33,2.1,2.06,1.95,1.94,1.88,2.01,1.57,1.32,1.19,1.31,1.36,1.23,1.12,0.98,0.97,0.86,0.88,0.82,0.66,0.61,0.48,0.42,0.42,0.41,0.38,0.38,0.43,0.37,0.33,0.29,0.3,0.28,0.25,0.21,0.16,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
