,TREASURY NOTE,TREASURY NOTE.1,TREASURY NOTE.2,TREASURY NOTE.3,TREASURY BOND,TREASURY NOTE (OTR),TREASURY NOTE.4,TREASURY BOND.1,TREASURY NOTE.5,BLK CSH FND TREASURY SL AGENCY,T 3.125 11/15/28,T 1.125 02/29/28,T 2.75 02/15/28,T 2.875 05/15/28,T 2.875 08/15/28,T 5.5 08/15/28,T 1.25 06/30/28,T 5.25 11/15/28,United States Treasury Notes 1.25%,4282.T,T 1.125 08/31/28,T 1 07/31/28,T 1.25 03/31/28,XTSLA,n/a,T 3.125 11.15.28,T 2.875 05.15.28,T 2.75 02.15.28,T 1.125 02.29.28,T 2.875 08.15.28,T 1.125 08.31.28,T 1.25 06.30.28,T 1 07.31.28,T 1.25 03.31.28,SUM
07/09/2021,29.38,28.98,19.42,16.49,2.58,1.11,0.89,0.68,0.46,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.39,20.82,19.4,16.49,9.04,2.58,1.11,0.68,0.46,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98999999999998
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,20.82,19.4,16.49,9.04,2.58,1.11,0.68,0.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
09/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.58,9.52,14.21,16.52,8.94,0.0,8.1,0.0,0.0,0.0,8.47,7.85,0.47,0.31,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.24,20.73,17.89,16.41,8.94,0.0,4.21,0.0,0.0,0.0,0.0,1.38,0.47,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.71
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.24,20.73,17.89,16.41,8.94,0.0,4.21,0.0,0.0,0.0,0.0,1.38,0.47,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.71
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57,9.52,14.22,16.52,8.94,0.0,8.1,0.0,0.0,0.0,8.46,7.85,0.47,0.32,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.57,9.52,14.22,16.52,8.94,0.0,8.1,0.0,0.0,0.0,8.46,7.85,0.47,0.32,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,9.53,14.22,16.53,8.95,0.0,8.11,0.0,0.0,0.0,8.48,7.86,0.47,0.31,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.06,25.59,16.54,14.23,9.53,8.95,8.47,8.11,7.86,0.47,100.0
10/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,-0.06,25.59,16.54,14.23,9.53,8.95,8.47,8.11,7.85,0.47,99.99999999999996
10/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,25.59,16.54,14.23,9.53,8.95,8.47,8.11,7.85,0.47,99.98999999999998
10/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.04,25.59,16.55,14.23,9.53,8.95,8.47,8.11,7.85,0.47,100.0
