,NVDA,TSM,PYPL,AMZN,MSFT,V,INTC,NESN.SW,MA,CRM,BIDU,CSCO,ORCL,SAP.DE,ICE,IBM,VMW,ACN,INFY,DOCU,AMD,XLNX,INTU,MU,CME,BNP.PA,388.HK,2318.HK,SQ,ENGI.PA,2317.TW,9449.T,CAP.PA,017670.KS,4755.T,8473.T,018260.KS,SBNY,BG,8698.T,9603.T,035720.KS,X.TO,JPMorgan US Government MMkt Instl,Cash,Euro,Danish Krone,Canadian Dollar,Swiss Franc,IJGXX,SUM
07/09/2021,4.45,4.03,3.98,3.97,3.94,3.93,3.92,3.89,3.83,3.74,3.67,3.66,3.45,3.22,3.05,3.02,2.97,2.91,2.58,2.47,2.34,2.33,2.29,2.28,2.18,2.18,1.95,1.94,1.46,1.36,1.27,1.11,0.89,0.77,0.73,0.67,0.65,0.52,0.48,0.47,0.47,0.44,0.42,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0
11/01/2021,4.82,3.96,3.89,3.92,4.29,3.75,3.7,3.84,3.5,3.96,2.8,3.96,3.78,3.37,3.0,2.83,2.77,3.19,2.86,2.57,2.72,2.5,2.58,2.05,2.01,2.13,2.01,1.5,1.58,1.36,1.2,1.05,1.0,0.67,0.67,0.68,0.56,0.53,0.45,0.37,0.49,0.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.26,99.95000000000002
11/02/2021,4.82,3.96,3.89,3.92,4.29,3.75,3.7,3.84,3.5,3.96,2.8,3.96,3.78,3.37,3.0,2.83,2.77,3.19,2.86,2.57,2.72,2.5,2.58,2.05,2.01,2.13,2.01,1.5,1.58,1.36,1.2,1.05,1.0,0.67,0.67,0.68,0.56,0.53,0.45,0.37,0.49,0.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.26,99.95000000000002
11/03/2021,4.82,3.96,3.89,3.92,4.29,3.75,3.7,3.84,3.5,3.96,2.8,3.96,3.78,3.37,3.0,2.83,2.77,3.19,2.86,2.57,2.72,2.5,2.58,2.05,2.01,2.13,2.01,1.5,1.58,1.36,1.2,1.05,1.0,0.67,0.67,0.68,0.56,0.53,0.45,0.37,0.49,0.4,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.26,99.95000000000002
