,2SPY  220630C00003400,2SPY  220630C00428050,Cash&Other,2SPY  220630C00462300,SUM
09/06/2021,99.18,9.93,0.62,-9.74,99.99000000000002
09/07/2021,99.18,9.95,0.62,-9.75,100.0
09/08/2021,99.18,9.95,0.62,-9.75,100.0
09/09/2021,99.18,9.95,0.62,-9.75,100.0
09/10/2021,99.13,9.82,0.62,-9.57,100.0
09/13/2021,99.05,9.55,0.62,-9.22,100.0
09/14/2021,98.72,9.17,0.62,-8.52,99.99
09/15/2021,98.72,9.17,0.62,-8.52,99.99
09/16/2021,98.79,9.24,0.61,-8.65,99.99
09/17/2021,98.65,8.88,0.61,-8.14,100.0
09/20/2021,98.75,9.15,0.6,-8.51,99.99
09/21/2021,98.59,8.56,0.6,-7.75,100.0
09/22/2021,98.59,8.56,0.6,-7.75,100.0
09/23/2021,98.2,7.84,0.61,-6.65,100.0
09/24/2021,98.23,7.65,0.61,-6.49,100.0
09/27/2021,98.49,8.64,0.59,-7.73,99.99
09/28/2021,98.51,8.67,0.59,-7.77,100.0
09/29/2021,98.51,8.67,0.59,-7.77,100.0
09/30/2021,98.38,8.57,0.58,-7.54,99.98999999999998
10/01/2021,98.18,7.68,0.59,-6.45,100.0
10/04/2021,98.18,7.75,0.59,-6.52,100.0
10/08/2021,98.04,7.28,0.58,-5.9,100.0
10/12/2021,98.06,7.72,0.56,-6.35,99.99
10/13/2021,98.06,7.72,0.56,-6.35,99.99
10/14/2021,97.97,7.3,0.56,-5.83,100.0
10/15/2021,97.77,6.97,0.56,-5.3,100.0
10/18/2021,98.13,8.07,0.54,-6.75,99.99
10/19/2021,98.36,8.49,0.54,-7.39,100.0
10/20/2021,98.36,8.49,0.54,-7.39,100.0
10/21/2021,98.45,8.76,0.53,-7.75,99.99
10/22/2021,98.74,9.18,0.53,-8.45,100.0
10/25/2021,98.79,9.46,0.52,-8.78,99.99
10/26/2021,98.88,9.46,0.52,-8.86,100.0
