,JNJ,UNH,PFE,ABT,ABBV,TMO,MRK,LLY,DHR,MDT,BMY,AMGN,ISRG,CVS,ANTM,ZTS,SYK,GILD,CI,BDX,ILMN,EW,BSX,REGN,HUM,HCA,IDXX,BIIB,VRTX,IQV,A,ALGN,CNC,DXCM,BAX,ALXN,RMD,ZBH,MTD,MCK,WST,LH,CERN,WAT,STE,COO,CTLT,TFX,CRL,HOLX,PKI,DGX,VTRS,ABC,CAH,INCY,ABMD,BIO,XRAY,UHS,HSIC,DVA,OGN,Perrigo Co. Plc,STATE STREET INSTITUTIONAL LIQ STATE STR,U.S. Dollar,State Street Instl Liquid Reserves Prem,PRGO,MRNA,n/a,1164.HK,SSIXX,GVMXX,TECH,SUM
11/09/2021,8.5,8.49,5.38,4.36,4.09,4.79,4.08,4.16,3.67,3.26,2.61,2.4,2.57,2.44,2.03,2.03,1.83,1.64,1.44,1.38,1.18,1.46,1.21,1.27,1.15,1.21,1.07,0.82,0.99,0.94,0.94,1.0,0.85,1.21,0.77,0.0,0.75,0.59,0.69,0.68,0.59,0.52,0.44,0.42,0.44,0.41,0.41,0.33,0.37,0.35,0.37,0.34,0.33,0.37,0.28,0.25,0.33,0.31,0.24,0.19,0.22,0.14,0.18,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.18,0.0,0.38,99.96
11/10/2021,8.5,8.49,5.38,4.36,4.09,4.79,4.08,4.16,3.67,3.26,2.61,2.4,2.57,2.44,2.03,2.03,1.83,1.64,1.44,1.38,1.18,1.46,1.21,1.27,1.15,1.21,1.07,0.82,0.99,0.94,0.94,1.0,0.85,1.21,0.77,0.0,0.75,0.59,0.69,0.68,0.59,0.52,0.44,0.42,0.44,0.41,0.41,0.33,0.37,0.35,0.37,0.34,0.33,0.37,0.28,0.25,0.33,0.31,0.24,0.19,0.22,0.14,0.18,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.18,0.0,0.38,99.96
11/24/2021,8.48,8.21,5.63,4.45,4.06,4.95,4.04,4.09,3.95,3.12,2.54,2.31,2.46,2.43,2.0,2.12,1.75,1.7,1.42,1.41,1.1,1.44,1.16,1.36,1.11,1.17,1.09,0.76,0.94,1.02,0.99,0.99,0.84,1.23,0.78,0.0,0.75,0.53,0.71,0.68,0.66,0.54,0.42,0.42,0.46,0.39,0.43,0.3,0.38,0.38,0.42,0.36,0.31,0.36,0.28,0.24,0.31,0.33,0.23,0.19,0.21,0.13,0.16,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.12,0.0,0.38,100.01
11/26/2021,8.4,8.37,5.69,4.38,4.17,4.94,4.16,4.13,3.96,3.03,2.53,2.31,2.38,2.45,2.05,2.1,1.7,1.76,1.44,1.41,1.07,1.39,1.14,1.36,1.12,1.18,1.05,0.75,0.96,1.01,0.93,0.96,0.88,1.13,0.78,0.0,0.73,0.54,0.7,0.69,0.63,0.55,0.43,0.42,0.45,0.39,0.43,0.29,0.37,0.37,0.4,0.37,0.32,0.37,0.28,0.24,0.3,0.32,0.23,0.2,0.21,0.14,0.16,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.13,0.0,0.36,100.02
11/29/2021,8.38,8.43,5.67,4.4,4.17,4.95,4.14,4.13,3.98,3.06,2.51,2.3,2.4,2.43,2.06,2.1,1.7,1.75,1.42,1.39,1.07,1.42,1.15,1.35,1.11,1.17,1.05,0.74,0.96,1.01,0.92,0.95,0.87,1.15,0.77,0.0,0.74,0.54,0.7,0.69,0.64,0.54,0.43,0.42,0.45,0.38,0.44,0.3,0.38,0.38,0.39,0.36,0.31,0.37,0.28,0.25,0.31,0.31,0.22,0.19,0.21,0.14,0.16,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.13,0.0,0.37,100.0
11/30/2021,8.36,8.28,6.04,4.45,4.11,5.01,4.0,4.12,4.11,2.98,2.51,2.28,2.34,2.41,2.02,2.07,1.63,1.76,1.37,1.4,1.08,1.36,1.1,1.35,1.1,1.14,1.03,0.72,0.95,1.0,0.92,0.93,0.86,1.14,0.76,0.0,0.73,0.52,0.69,0.68,0.65,0.56,0.43,0.41,0.45,0.37,0.45,0.29,0.38,0.39,0.41,0.38,0.31,0.36,0.28,0.26,0.3,0.32,0.22,0.19,0.21,0.13,0.16,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.13,0.0,0.37,100.03
12/01/2021,8.36,8.28,6.04,4.45,4.11,5.01,4.0,4.12,4.11,2.98,2.51,2.28,2.34,2.41,2.02,2.07,1.63,1.76,1.37,1.4,1.08,1.36,1.1,1.35,1.1,1.14,1.03,0.72,0.95,1.0,0.92,0.93,0.86,1.14,0.76,0.0,0.73,0.52,0.69,0.68,0.65,0.56,0.43,0.41,0.45,0.37,0.45,0.29,0.38,0.39,0.41,0.38,0.31,0.36,0.28,0.26,0.3,0.32,0.22,0.19,0.21,0.13,0.16,0.0,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.13,0.0,0.37,100.03
12/02/2021,8.36,8.47,5.84,4.51,4.11,5.07,3.77,4.02,4.12,2.95,2.41,2.3,2.37,2.41,2.02,2.11,1.62,1.76,1.35,1.39,1.08,1.37,1.09,1.37,1.09,1.13,1.07,0.7,0.98,1.02,0.93,0.93,0.85,1.1,0.75,0.0,0.74,0.51,0.71,0.69,0.66,0.56,0.43,0.42,0.45,0.37,0.45,0.29,0.38,0.38,0.41,0.38,0.3,0.36,0.27,0.26,0.29,0.32,0.21,0.18,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.0,2.57,0.0,0.0,0.12,0.0,0.37,99.98
12/06/2021,8.36,8.51,6.02,4.6,4.18,4.99,3.78,3.98,4.06,2.92,2.49,2.31,2.36,2.4,1.97,2.14,1.68,1.77,1.36,1.41,1.06,1.38,1.14,1.35,1.1,1.16,1.03,0.69,1.07,1.02,0.93,0.93,0.84,1.1,0.77,0.0,0.75,0.52,0.72,0.69,0.65,0.57,0.43,0.41,0.44,0.38,0.44,0.28,0.37,0.38,0.41,0.38,0.3,0.35,0.27,0.25,0.29,0.32,0.22,0.19,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.13,0.0,0.37,99.99
12/07/2021,8.36,8.51,6.02,4.6,4.18,4.99,3.78,3.98,4.06,2.92,2.49,2.31,2.36,2.4,1.97,2.14,1.68,1.77,1.36,1.41,1.06,1.38,1.14,1.35,1.1,1.16,1.03,0.69,1.07,1.02,0.93,0.93,0.84,1.1,0.77,0.0,0.75,0.52,0.72,0.69,0.65,0.57,0.43,0.41,0.44,0.38,0.44,0.28,0.37,0.38,0.41,0.38,0.3,0.35,0.27,0.25,0.29,0.32,0.22,0.19,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.13,0.0,0.37,99.99
12/08/2021,8.36,8.51,6.02,4.6,4.18,4.99,3.78,3.98,4.06,2.92,2.49,2.31,2.36,2.4,1.97,2.14,1.68,1.77,1.36,1.41,1.06,1.38,1.14,1.35,1.1,1.16,1.03,0.69,1.07,1.02,0.93,0.93,0.84,1.1,0.77,0.0,0.75,0.52,0.72,0.69,0.65,0.57,0.43,0.41,0.44,0.38,0.44,0.28,0.37,0.38,0.41,0.38,0.3,0.35,0.27,0.25,0.29,0.32,0.22,0.19,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.13,0.0,0.37,99.99
12/09/2021,8.36,8.51,6.02,4.6,4.18,4.99,3.78,3.98,4.06,2.92,2.49,2.31,2.36,2.4,1.97,2.14,1.68,1.77,1.36,1.41,1.06,1.38,1.14,1.35,1.1,1.16,1.03,0.69,1.07,1.02,0.93,0.93,0.84,1.1,0.77,0.0,0.75,0.52,0.72,0.69,0.65,0.57,0.43,0.41,0.44,0.38,0.44,0.28,0.37,0.38,0.41,0.38,0.3,0.35,0.27,0.25,0.29,0.32,0.22,0.19,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.13,0.0,0.37,99.99
12/10/2021,8.36,8.51,6.02,4.6,4.18,4.99,3.78,3.98,4.06,2.92,2.49,2.31,2.36,2.4,1.97,2.14,1.68,1.77,1.36,1.41,1.06,1.38,1.14,1.35,1.1,1.16,1.03,0.69,1.07,1.02,0.93,0.93,0.84,1.1,0.77,0.0,0.75,0.52,0.72,0.69,0.65,0.57,0.43,0.41,0.44,0.38,0.44,0.28,0.37,0.38,0.41,0.38,0.3,0.35,0.27,0.25,0.29,0.32,0.22,0.19,0.2,0.13,0.15,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,0.13,0.0,0.37,99.99
