,FGXXX,n/a,SUM
02/08/2022,117.1,-17.1,100.0
02/09/2022,117.1,-17.1,100.0
02/10/2022,101.92,-1.92,100.0
02/11/2022,106.56,-6.56,100.0
02/14/2022,133.37,-33.37,100.0
02/15/2022,133.37,-33.37,100.0
02/16/2022,138.47,-38.47,100.0
02/17/2022,138.47,-38.47,100.0
02/18/2022,137.5,-37.5,100.0
02/21/2022,132.7,-32.7,100.0
03/22/2022,122.39,-22.39,100.0
05/30/2022,100.1,-0.1,100.0
