,2SPY  220131C00002970,2SPY  220131P00370080,Cash&Other,2SPY  220131P00336760,2SPY  220131C00436680,SUM
07/09/2021,103.02,1.9,0.49,-1.15,-4.26,100.0
07/12/2021,103.42,1.9,0.48,-1.14,-4.66,100.0
07/13/2021,103.42,1.9,0.48,-1.14,-4.66,100.0
07/14/2021,103.42,1.9,0.48,-1.14,-4.66,100.0
07/15/2021,103.7,1.86,0.47,-1.11,-4.92,100.0
07/16/2021,103.53,1.97,0.47,-1.18,-4.8,99.99
07/19/2021,103.34,2.02,0.46,-1.21,-4.63,99.98
07/20/2021,102.91,2.2,0.46,-1.31,-4.27,99.99
07/21/2021,102.91,2.2,0.46,-1.31,-4.27,99.99
07/22/2021,102.19,2.59,0.46,-1.56,-3.69,99.99
07/23/2021,103.02,2.22,0.46,-1.34,-4.37,99.98999999999998
07/26/2021,103.55,1.94,0.44,-1.16,-4.78,99.99
07/27/2021,104.12,1.8,0.44,-1.08,-5.28,100.0
07/28/2021,104.12,1.8,0.44,-1.08,-5.28,100.0
07/29/2021,104.38,1.75,0.44,-1.05,-5.53,99.99
07/30/2021,103.99,1.92,0.44,-1.16,-5.19,100.0
08/02/2021,104.19,1.74,0.43,-1.04,-5.33,99.99
08/03/2021,104.05,1.79,0.42,-1.07,-5.2,99.99
08/04/2021,104.05,1.79,0.42,-1.07,-5.2,99.99
08/05/2021,103.92,1.87,0.42,-1.12,-5.09,100.0
08/06/2021,104.27,1.66,0.44,-1.0,-5.36,100.01
08/10/2021,104.41,1.53,0.43,-0.91,-5.46,100.0
08/11/2021,104.41,1.53,0.43,-0.91,-5.46,100.0
08/13/2021,104.38,1.56,0.42,-0.92,-5.45,99.99
