,Cash,Nasdaq Biotechnology Index Swap Ubs Ag - Cash Offset,Nasdaq Biotechnology Index Swap Societe Generale - Cash Offset,Nasdaq Biotechnology Index Swap Bank Of America Na - Cash Offset,Nasdaq Biotechnology Index Swap Citibank Na - Cash Offset,Nasdaq Biotechnology Index Swap Morgan Stanley & Co. International Plc - Ca,Nasdaq Biotechnology Index Swap Morgan Stanley & Co. International Plc,Nasdaq Biotechnology Index Swap Citibank Na,Nasdaq Biotechnology Index Swap Bank Of America Na,Nasdaq Biotechnology Index Swap Societe Generale,Nasdaq Biotechnology Index Swap Ubs Ag,SUM
07/09/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/12/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/13/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/14/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/15/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/16/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/19/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/20/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/21/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/22/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/23/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/26/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/27/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/28/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/29/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
07/30/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
08/02/2021,100.0,69.33,65.18,59.53,3.77,2.45,-2.45,-3.77,-59.53,-65.18,-69.33,99.99999999999996
