,Cash,Vanguard Ftse Europe (Vgk) Swap Ubs Ag - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Citibank Na - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Goldman Sachs International - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Societe Generale - Cash Offset,Vanguard Ftse Europe (Vgk) Swap Morgan Stanley & Co. International Plc - Ca,Vanguard Ftse Europe (Vgk) Swap Morgan Stanley & Co. International Plc,Vanguard Ftse Europe (Vgk) Swap Societe Generale,Vanguard Ftse Europe (Vgk) Swap Goldman Sachs International,Vanguard Ftse Europe (Vgk) Swap Citibank Na,Vanguard Ftse Europe (Vgk) Swap Ubs Ag,SUM
07/09/2021,100.0,82.56,68.73,38.29,5.78,5.01,-5.01,-5.78,-38.29,-68.73,-82.56,100.00000000000006
07/12/2021,100.0,82.56,68.73,38.29,5.78,5.01,-5.01,-5.78,-38.29,-68.73,-82.56,100.00000000000006
07/13/2021,100.0,82.56,68.73,38.29,5.78,5.01,-5.01,-5.78,-38.29,-68.73,-82.56,100.00000000000006
07/14/2021,100.0,82.56,68.73,38.29,5.78,5.01,-5.01,-5.78,-38.29,-68.73,-82.56,100.00000000000006
07/15/2021,100.0,82.56,68.73,38.29,5.78,5.01,-5.01,-5.78,-38.29,-68.73,-82.56,100.00000000000006
07/16/2021,100.0,82.56,68.73,38.29,5.78,5.01,-5.01,-5.78,-38.29,-68.73,-82.56,100.00000000000006
