,UWL.AX,LBTYA,CHTR,AMT,CABO,LUMN,ATUS,CCI,SBAC,MEGACPO.MX,CMCSA,CCOI,SWCH,788.HK,UNIT,CONE,EQIX,CNSL,WOW,COR,DLR,TOWR.JK,SLC.AX,FGXXX,4423.T,DIF.F.BK,CJLU.SI,1686.HK,NXT.AX,GDS,CNU.NZ,INW.MI,LILAK,CLNX.MC,QBR.B.TO,NOS.LS,TIMECOM.KL,TNET.BR,CCA.TO,VNET,TBIG.JK,n/a,SUM
11/08/2021,6.57,6.57,6.48,5.72,5.55,5.52,5.13,4.69,4.21,3.8,3.29,3.26,3.09,2.97,2.8,2.65,2.6,2.6,2.45,2.19,2.15,1.73,0.95,0.84,0.78,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.72,0.71,0.71,0.71,0.7,0.69,0.69,0.68,0.67,0.0,100.03
11/09/2021,6.57,6.57,6.48,5.72,5.55,5.52,5.13,4.69,4.21,3.8,3.29,3.26,3.09,2.97,2.8,2.65,2.6,2.6,2.45,2.19,2.15,1.73,0.95,0.84,0.78,0.76,0.75,0.74,0.74,0.73,0.72,0.72,0.72,0.71,0.71,0.71,0.7,0.69,0.69,0.68,0.67,0.0,100.03
11/10/2021,6.43,6.61,6.48,5.67,5.69,5.64,5.61,4.64,4.16,3.75,3.34,3.16,2.7,2.93,2.78,2.62,2.52,2.71,2.52,2.19,2.13,1.79,0.93,0.83,0.78,0.77,0.73,0.73,0.73,0.74,0.72,0.72,0.73,0.7,0.73,0.69,0.68,0.69,0.69,0.67,0.67,0.0,100.0
11/11/2021,6.43,6.61,6.48,5.67,5.69,5.64,5.61,4.64,4.16,3.75,3.34,3.16,2.7,2.93,2.78,2.62,2.52,2.71,2.52,2.19,2.13,1.79,0.93,0.83,0.78,0.77,0.73,0.73,0.73,0.74,0.72,0.72,0.73,0.7,0.73,0.69,0.68,0.69,0.69,0.67,0.67,0.0,100.0
11/12/2021,6.26,6.7,6.53,5.68,5.79,5.6,5.44,4.63,4.2,3.81,3.31,3.15,2.81,2.92,2.73,2.6,2.53,2.75,2.43,2.24,2.13,1.79,0.94,0.83,0.8,0.77,0.73,0.72,0.71,0.74,0.73,0.73,0.72,0.71,0.72,0.69,0.68,0.69,0.69,0.7,0.68,0.0,100.01
11/15/2021,6.05,6.64,6.54,5.58,5.86,5.72,5.38,4.67,4.16,3.68,3.34,3.25,2.79,2.93,2.71,2.65,2.5,2.78,2.6,2.33,2.11,1.76,0.9,0.84,0.78,0.76,0.74,0.73,0.7,0.78,0.7,0.73,0.73,0.71,0.72,0.7,0.68,0.7,0.68,0.72,0.69,0.0,100.02
11/16/2021,6.05,6.64,6.54,5.58,5.86,5.72,5.38,4.67,4.16,3.68,3.34,3.25,2.79,2.93,2.71,2.65,2.5,2.78,2.6,2.33,2.11,1.76,0.9,0.84,0.78,0.76,0.74,0.73,0.7,0.78,0.7,0.73,0.73,0.71,0.72,0.7,0.68,0.7,0.68,0.72,0.69,0.0,100.02
11/17/2021,6.05,6.64,6.54,5.58,5.86,5.72,5.38,4.67,4.16,3.68,3.34,3.25,2.79,2.93,2.71,2.65,2.5,2.78,2.6,2.33,2.11,1.76,0.9,0.84,0.78,0.76,0.74,0.73,0.7,0.78,0.7,0.73,0.73,0.71,0.72,0.7,0.68,0.7,0.68,0.72,0.69,0.0,100.02
11/18/2021,6.26,6.65,6.45,5.53,5.8,5.66,5.38,4.64,4.14,3.66,3.3,3.24,2.81,2.91,2.67,2.72,2.49,2.84,2.66,2.36,2.13,1.76,0.89,0.83,0.78,0.75,0.73,0.73,0.7,0.78,0.69,0.73,0.73,0.72,0.71,0.69,0.69,0.68,0.66,0.74,0.69,0.0,99.98
11/19/2021,6.12,6.71,6.47,5.28,5.89,5.61,5.34,4.68,4.18,3.62,3.29,3.27,2.9,2.9,2.78,2.84,2.55,2.84,2.52,2.44,2.19,1.72,0.9,0.83,0.8,0.75,0.74,0.71,0.73,0.74,0.69,0.73,0.72,0.71,0.7,0.68,0.69,0.68,0.64,0.72,0.69,0.0,99.99
11/22/2021,5.99,6.69,6.46,5.28,5.89,5.58,5.37,4.64,4.19,3.57,3.29,3.36,3.05,2.95,2.79,2.84,2.56,2.8,2.43,2.44,2.21,1.77,0.89,0.83,0.79,0.77,0.72,0.73,0.75,0.76,0.68,0.72,0.7,0.69,0.7,0.68,0.71,0.68,0.64,0.71,0.7,0.0,100.0
11/23/2021,5.99,6.69,6.46,5.28,5.89,5.58,5.37,4.64,4.19,3.57,3.29,3.36,3.05,2.95,2.79,2.84,2.56,2.8,2.43,2.44,2.21,1.77,0.89,0.83,0.79,0.77,0.72,0.73,0.75,0.76,0.68,0.72,0.7,0.69,0.7,0.68,0.71,0.68,0.64,0.71,0.7,0.0,100.0
11/24/2021,6.5,6.53,6.45,5.36,5.93,5.37,5.26,4.77,4.19,3.55,3.24,3.28,3.2,2.97,2.81,2.87,2.56,2.62,2.44,2.45,2.28,1.78,0.89,0.83,0.78,0.76,0.73,0.73,0.76,0.7,0.7,0.74,0.67,0.69,0.68,0.68,0.69,0.66,0.63,0.54,0.71,0.0,99.98
11/25/2021,6.5,6.53,6.45,5.36,5.93,5.37,5.26,4.77,4.19,3.55,3.24,3.28,3.2,2.97,2.81,2.87,2.56,2.62,2.44,2.45,2.28,1.78,0.89,0.83,0.78,0.76,0.73,0.73,0.76,0.7,0.7,0.74,0.67,0.69,0.68,0.68,0.69,0.66,0.63,0.54,0.71,0.0,99.98
11/26/2021,6.22,6.66,6.39,5.39,6.01,5.57,5.23,4.77,4.25,3.53,3.25,3.28,3.14,2.98,2.78,2.88,2.53,2.58,2.43,2.45,2.28,1.81,0.91,0.83,0.77,0.79,0.73,0.72,0.71,0.71,0.71,0.77,0.68,0.68,0.69,0.68,0.69,0.67,0.64,0.5,0.73,0.0,100.02
11/29/2021,6.25,6.62,6.37,5.46,5.89,5.58,5.1,4.85,4.31,3.49,3.24,3.31,3.19,2.94,2.78,2.88,2.59,2.63,2.43,2.45,2.29,1.8,0.9,0.83,0.76,0.81,0.73,0.71,0.71,0.72,0.7,0.76,0.67,0.68,0.68,0.69,0.69,0.65,0.64,0.49,0.75,0.0,100.02
11/30/2021,6.25,6.62,6.37,5.46,5.89,5.58,5.1,4.85,4.31,3.49,3.24,3.31,3.19,2.94,2.78,2.88,2.59,2.63,2.43,2.45,2.29,1.8,0.9,0.83,0.76,0.81,0.73,0.71,0.71,0.72,0.7,0.76,0.67,0.68,0.68,0.69,0.69,0.65,0.64,0.49,0.75,0.0,100.02
12/01/2021,6.29,6.66,6.45,5.47,6.06,5.38,5.08,4.82,4.33,3.46,3.23,3.26,3.2,2.98,2.72,2.91,2.61,2.56,2.41,2.48,2.3,1.78,0.88,0.86,0.78,0.8,0.73,0.72,0.7,0.72,0.72,0.76,0.64,0.7,0.68,0.69,0.69,0.68,0.64,0.47,0.73,0.0,100.03
