,MSFT,AAPL,AMZN,FB,GOOGL,GOOG,BRK.B,JPM,TSLA,JNJ,UNH,V,NVDA,HD,PG,BAC,DIS,MA,PYPL,CMCSA,XOM,ADBE,INTC,NFLX,VZ,PFE,KO,T,CRM,ABT,PEP,CSCO,WMT,ABBV,WFC,AVGO,MRK,CVX,ACN,TMO,TXN,MCD,NKE,LLY,MDT,COST,DHR,C,HON,LIN,UPS,QCOM,UNP,PM,BMY,BA,NEE,LOW,ORCL,AMGN,MS,RTX,SBUX,CAT,GS,IBM,AMAT,GE,BLK,MMM,INTU,TGT,AMT,CVS,SCHW,DE,ISRG,ANTM,AMD,AXP,BKNG,MU,NOW,LRCX,FIS,MO,SPGI,CI,LMT,MDLZ,CHTR,PLD,SQ,SYK,ZTS,TFC,GILD,PNC,USB,CCI,ADP,TMUS,CME,DUK,TJX,GM,CSX,COP,ATVI,FDX,COF,CL,NSC,MMC,BDX,SNAP,SHW,SO,EL,APD,ITW,EQIX,FISV,CB,ZM,ICE,BX,ADSK,FCX,D,ADI,BSX,EW,WM,ILMN,NEM,MRNA,HCA,PGR,ETN,EMR,AON,GPN,F,UBER,HUM,ECL,NOC,VRTX,TWLO,MCO,DOW,REGN,DG,KLAC,JCI,IDXX,ROP,EOG,GD,IQV,LHX,AIG,DD,ROST,TEL,TT,KMB,TWTR,EXC,SLB,TROW,MET,CNC,AEP,PPG,DLR,PRU,MCHP,SPG,A,WDAY,PSA,ALGN,BAX,BK,EA,BIIB,APTV,APH,TRV,MPC,CARR,PH,CRWD,VEEV,EBAY,ALL,SYY,SRE,SNOW,ROKU,DOCU,MRVL,CMG,LULU,PINS,PLTR,SNPS,MSCI,MTCH,DXCM,CDNS,FTNT,INFO,PANW,RMD,SUM
07/09/2021,5.12,5.12,3.75,2.15,1.93,1.82,1.44,1.36,1.3,1.21,1.06,1.05,1.04,0.93,0.9,0.9,0.88,0.87,0.83,0.71,0.67,0.66,0.63,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.5,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001
07/12/2021,5.12,5.12,3.75,2.15,1.93,1.82,1.44,1.36,1.3,1.21,1.06,1.05,1.04,0.93,0.9,0.9,0.88,0.87,0.83,0.71,0.67,0.66,0.63,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.5,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001
07/13/2021,5.12,5.12,3.75,2.15,1.93,1.82,1.44,1.36,1.3,1.21,1.06,1.05,1.04,0.93,0.9,0.9,0.88,0.87,0.83,0.71,0.67,0.66,0.63,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.5,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001
07/14/2021,5.12,5.12,3.75,2.15,1.93,1.82,1.44,1.36,1.3,1.21,1.06,1.05,1.04,0.93,0.9,0.9,0.88,0.87,0.83,0.71,0.67,0.66,0.63,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.5,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001
07/15/2021,5.12,5.12,3.75,2.15,1.93,1.82,1.44,1.36,1.3,1.21,1.06,1.05,1.04,0.93,0.9,0.9,0.88,0.87,0.83,0.71,0.67,0.66,0.63,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.5,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001
07/16/2021,5.12,5.12,3.75,2.15,1.93,1.82,1.44,1.36,1.3,1.21,1.06,1.05,1.04,0.93,0.9,0.9,0.88,0.87,0.83,0.71,0.67,0.66,0.63,0.61,0.6,0.59,0.58,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.52,0.52,0.52,0.52,0.51,0.5,0.47,0.47,0.47,0.47,0.46,0.46,0.45,0.45,0.44,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.37,0.37,0.36,0.36,0.35,0.35,0.34,0.34,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.28,0.27,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.21000000000001
07/19/2021,5.35,5.7,3.87,2.19,1.93,1.81,1.3,1.24,1.37,1.14,0.99,1.04,1.24,0.89,0.87,0.83,0.84,0.85,0.9,0.69,0.7,0.73,0.59,0.61,0.58,0.58,0.55,0.54,0.56,0.54,0.54,0.53,0.52,0.52,0.49,0.49,0.52,0.53,0.49,0.52,0.47,0.45,0.52,0.52,0.44,0.46,0.45,0.38,0.4,0.39,0.39,0.42,0.38,0.41,0.39,0.37,0.38,0.36,0.35,0.37,0.36,0.34,0.35,0.31,0.34,0.34,0.34,0.31,0.32,0.3,0.33,0.31,0.32,0.29,0.29,0.26,0.29,0.25,0.3,0.26,0.24,0.25,0.28,0.24,0.23,0.23,0.26,0.21,0.23,0.23,0.23,0.23,0.25,0.22,0.23,0.2,0.23,0.21,0.2,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.22,0.19,0.19,0.18,0.18,0.17,0.19,0.19,0.2,0.17,0.17,0.18,0.17,0.17,0.19,0.17,0.16,0.2,0.18,0.17,0.17,0.14,0.16,0.17,0.16,0.17,0.16,0.18,0.13,0.21,0.15,0.15,0.15,0.15,0.13,0.15,0.15,0.17,0.15,0.14,0.14,0.14,0.17,0.15,0.12,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.0,0.11,0.12,0.12,0.12,0.12,0.14,0.11,0.12,0.12,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.14,0.11,0.11,0.0,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.0,0.16,0.14,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,80.02000000000001
07/20/2021,5.35,5.7,3.87,2.19,1.93,1.81,1.3,1.24,1.37,1.14,0.99,1.04,1.24,0.89,0.87,0.83,0.84,0.85,0.9,0.69,0.7,0.73,0.59,0.61,0.58,0.58,0.55,0.54,0.56,0.54,0.54,0.53,0.52,0.52,0.49,0.49,0.52,0.53,0.49,0.52,0.47,0.45,0.52,0.52,0.44,0.46,0.45,0.38,0.4,0.39,0.39,0.42,0.38,0.41,0.39,0.37,0.38,0.36,0.35,0.37,0.36,0.34,0.35,0.31,0.34,0.34,0.34,0.31,0.32,0.3,0.33,0.31,0.32,0.29,0.29,0.26,0.29,0.25,0.3,0.26,0.24,0.25,0.28,0.24,0.23,0.23,0.26,0.21,0.23,0.23,0.23,0.23,0.25,0.22,0.23,0.2,0.23,0.21,0.2,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.22,0.19,0.19,0.18,0.18,0.17,0.19,0.19,0.2,0.17,0.17,0.18,0.17,0.17,0.19,0.17,0.16,0.2,0.18,0.17,0.17,0.14,0.16,0.17,0.16,0.17,0.16,0.18,0.13,0.21,0.15,0.15,0.15,0.15,0.13,0.15,0.15,0.17,0.15,0.14,0.14,0.14,0.17,0.15,0.12,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.0,0.11,0.12,0.12,0.12,0.12,0.14,0.11,0.12,0.12,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.14,0.11,0.11,0.0,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.0,0.16,0.14,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,80.02000000000001
07/21/2021,5.35,5.7,3.87,2.19,1.93,1.81,1.3,1.24,1.37,1.14,0.99,1.04,1.24,0.89,0.87,0.83,0.84,0.85,0.9,0.69,0.7,0.73,0.59,0.61,0.58,0.58,0.55,0.54,0.56,0.54,0.54,0.53,0.52,0.52,0.49,0.49,0.52,0.53,0.49,0.52,0.47,0.45,0.52,0.52,0.44,0.46,0.45,0.38,0.4,0.39,0.39,0.42,0.38,0.41,0.39,0.37,0.38,0.36,0.35,0.37,0.36,0.34,0.35,0.31,0.34,0.34,0.34,0.31,0.32,0.3,0.33,0.31,0.32,0.29,0.29,0.26,0.29,0.25,0.3,0.26,0.24,0.25,0.28,0.24,0.23,0.23,0.26,0.21,0.23,0.23,0.23,0.23,0.25,0.22,0.23,0.2,0.23,0.21,0.2,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.22,0.19,0.19,0.18,0.18,0.17,0.19,0.19,0.2,0.17,0.17,0.18,0.17,0.17,0.19,0.17,0.16,0.2,0.18,0.17,0.17,0.14,0.16,0.17,0.16,0.17,0.16,0.18,0.13,0.21,0.15,0.15,0.15,0.15,0.13,0.15,0.15,0.17,0.15,0.14,0.14,0.14,0.17,0.15,0.12,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.0,0.11,0.12,0.12,0.12,0.12,0.14,0.11,0.12,0.12,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.14,0.11,0.11,0.0,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.0,0.16,0.14,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,80.02000000000001
07/22/2021,5.35,5.7,3.87,2.19,1.93,1.81,1.3,1.24,1.37,1.14,0.99,1.04,1.24,0.89,0.87,0.83,0.84,0.85,0.9,0.69,0.7,0.73,0.59,0.61,0.58,0.58,0.55,0.54,0.56,0.54,0.54,0.53,0.52,0.52,0.49,0.49,0.52,0.53,0.49,0.52,0.47,0.45,0.52,0.52,0.44,0.46,0.45,0.38,0.4,0.39,0.39,0.42,0.38,0.41,0.39,0.37,0.38,0.36,0.35,0.37,0.36,0.34,0.35,0.31,0.34,0.34,0.34,0.31,0.32,0.3,0.33,0.31,0.32,0.29,0.29,0.26,0.29,0.25,0.3,0.26,0.24,0.25,0.28,0.24,0.23,0.23,0.26,0.21,0.23,0.23,0.23,0.23,0.25,0.22,0.23,0.2,0.23,0.21,0.2,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.19,0.22,0.19,0.19,0.18,0.18,0.17,0.19,0.19,0.2,0.17,0.17,0.18,0.17,0.17,0.19,0.17,0.16,0.2,0.18,0.17,0.17,0.14,0.16,0.17,0.16,0.17,0.16,0.18,0.13,0.21,0.15,0.15,0.15,0.15,0.13,0.15,0.15,0.17,0.15,0.14,0.14,0.14,0.17,0.15,0.12,0.15,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.0,0.11,0.12,0.12,0.12,0.12,0.14,0.11,0.12,0.12,0.0,0.11,0.11,0.0,0.11,0.0,0.11,0.11,0.12,0.12,0.12,0.12,0.0,0.0,0.11,0.14,0.11,0.11,0.0,0.0,0.11,0.0,0.13,0.11,0.12,0.0,0.0,0.0,0.16,0.14,0.14,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,80.02000000000001
