,Russell 2000 Index Swap Ubs Ag,Cash,Russell 2000 Index Swap Citibank Na,Russell 2000 Index Swap Bank Of America Na,Russell 2000 Index Swap Societe Generale,Russell 2000 Index Swap Goldman Sachs International,Russell 2000 Index Swap Bnp Paribas,Russell 2000 Index Swap Morgan Stanley & Co. International Plc,E-mini Russell 2000 Index Future Sept 21,Ishares Russell 2000 (Iwm) Swap Morgan Stanley & Co. International Plc,AMC,NTLA,ARWR,OVV,LSCC,IIVI,CROX,SGMS,STAA,DNLI,THC,FATE,SLAB,PACB,UPWK,NVTA,TXRH,EME,HQY,TTEK,FOXF,BBIO,EGP,BJ,OMCL,RDFN,APPS,SWAV,HALO,PFGC,FFIN,TWST,LHCG,VRNS,BEAM,STAG,RXN,JCOM,BL,M,SSB,NVRO,AEO,QTWO,HELE,SAIA,SYNA,APPN,KBR,MMS,VLY,GTLS,QTS,GBCI,BHVN,MSTR,WSC,CHX,RPD,INSP,BPMC,CHK,CIT,NEO,MEDP,ASGN,ESNT,TGTX,NEOG,POWI,ROLL,DDD,SIGI,SSD,IRDM,NOVT,ADC,GT,WING,WK,SEM,EXPO,SAIL,ASAN,CDNA,WCC,AMN,UBSI,ENSG,PDCE,IIPR,ITRI,LPRO,UFPI,JBT,AVNT,SMTC,TRNO,BXMT,CCMP,TRUP,ACIW,REZI,AEIS,HASI,AR,ADNT,HR,RDN,HLI,RHP,SONO,BCPC,FUBO,SIG,AIMC,ENS,RLI,PNM,EYE,ARNA,TGNA,POR,BKH,LIVN,ENV,APLS,UMBF,CDLX,LPSN,CBU,CRNC,VIAV,WTS,RRC,SHAK,ALRM,CNMD,MTDR,CAR,DOC,BKU,PPBI,OSTK,HL,SPT,ALKS,ARNC,SBRA,AQUA,OGS,ELY,RETA,DEN,KFY,EDIT,ONEM,HWC,SWN,SWX,NJR,SAFM,GKOS,MPLN,CLNSEUR,APG,HOMB,BOX,ROG,TENB,KLIC,BE,BCO,FELE,AMBA,PGNY,BLKB,CMC,LANC,ALE,CLDR,SR,SXT,BBBY,KBH,NKLA,AJRD,MAC,SPSC,SUM
07/09/2021,26.97,26.32,24.38,21.94,17.89,12.14,11.08,6.39,3.71,1.81,0.56,0.25,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,175.59
07/12/2021,26.97,26.32,24.38,21.94,17.89,12.14,11.08,6.39,3.71,1.81,0.56,0.25,0.2,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,175.59
