,United States Treasury Notes,TII 0.125 07/15/30,Us Dollars,Option on S&P 500,Option on S&P 500 Index,S&P 500 Index-Spx Us 03/18/22 P3900,S&P 500 Index-Spx Us 06/17/22 P3700,S&P 500 Index-Spx Us 03/18/22 P3700,S&P 500 Index-Spx Us 12/17/21 P3900,S&P 500 Index-Spx Us 12/17/21 P3700,S&P 500 Index-Spx Us 09/17/21 P3900,S&P 500 Index-Spx Us 09/17/21 P3700,T 0.625 05/15/30,80B998TV,5WI99GX6,60L99541,9I299DL2,80B998TT,9I299DKU,40P99Q7C,5Z099MZR,80B998RE,SECLEND,SUM
07/09/2021,88.24,5.81,1.84,1.52,0.89,0.65,0.4,0.31,0.19,0.1,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/04/2021,0.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.77,1.48,0.93,0.8,0.64,0.35,0.27,0.17,0.08,0.01,0.0,98.37
