,S&P 500 Index Swap Bnp Paribas,Spdr S&P 500 (Spy) Swap Goldman Sachs International,Cash,S&P 500 Index Swap Societe Generale,S&P 500 Index Swap Ubs Ag,S&P 500 Index Swap Citibank Na,S&P 500 Index Swap Jp Morgan Securities,S&P 500 Index Swap Credit Suisse International,S&P 500 Index Swap Goldman Sachs International,E-mini S&P 500 Future Sept 21,S&P 500 Index Swap Bank Of America Na,AAPL,S&P 500 Index Swap Morgan Stanley & Co. International Plc,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,JNJ,V,UNH,PYPL,HD,PG,MA,DIS,BAC,ADBE,XOM,CMCSA,NFLX,VZ,INTC,CRM,CSCO,PFE,KO,ABT,T,PEP,CVX,ABBV,TMO,NKE,MRK,AVGO,WMT,ACN,WFC,LLY,TXN,COST,MCD,DHR,MDT,QCOM,PM,HON,UPS,LIN,BMY,C,UNP,NEE,ORCL,AMGN,LOW,MS,INTU,SBUX,BA,IBM,AMAT,RTX,GS,BLK,AMT,TGT,CAT,GE,MMM,AMD,DE,CVS,SCHW,ISRG,NOW,AXP,CHTR,SPGI,MU,ANTM,LRCX,LMT,BKNG,ZTS,PLD,MO,FIS,MDLZ,GILD,SYK,TMUS,ADP,CCI,COP,CI,TJX,PNC,USB,CME,DUK,GM,TFC,ATVI,EL,CSX,FDX,EQIX,MMC,CB,BDX,COF,ILMN,CL,ICE,NSC,SHW,EW,ITW,ADSK,SO,APD,FISV,ADI,BSX,D,ETN,REGN,MCO,F,EMR,PGR,HUM,NXPI,GPN,TWTR,WM,NOC,FCX,HCA,AON,IDXX,VRTX,BIIB,ECL,DG,NEM,KLAC,ROP,JCI,EOG,DOW,IQV,PSA,EBAY,KMB,TROW,A,SLB,TEL,MET,LHX,ROST,TT,ALGN,MSCI,CMG,EXC,GD,SPG,APTV,CNC,DLR,AEP,INFO,SNPS,SRE,BK,DXCM,DD,EA,MCHP,APH,AIG,ALXN,SUM
07/09/2021,22.26,20.4,19.09,15.18,13.46,9.87,8.35,7.76,6.24,5.51,5.47,4.79,4.58,4.54,3.28,1.86,1.64,1.59,1.17,1.17,1.11,1.05,0.97,0.88,0.84,0.76,0.76,0.74,0.71,0.71,0.69,0.62,0.59,0.58,0.52,0.52,0.5,0.5,0.5,0.49,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,204.66
07/12/2021,22.26,20.4,19.09,15.18,13.46,9.87,8.35,7.76,6.24,5.51,5.47,4.79,4.58,4.54,3.28,1.86,1.64,1.59,1.17,1.17,1.11,1.05,0.97,0.88,0.84,0.76,0.76,0.74,0.71,0.71,0.69,0.62,0.59,0.58,0.52,0.52,0.5,0.5,0.5,0.49,0.47,0.46,0.46,0.46,0.45,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.4,0.39,0.38,0.38,0.37,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,204.66
