,PBH,MRK,ABBV,UTHR,JNJ,LLY,Alkermes Plc,ZTS,CTLT,HZNP,GILD,JAZZ,CAH,BMY,PFE,ELAN,ENDP,PRGO,BMRN,IONS,HTD.,ZGNX,ESPR,VRTX,PCRX,BPMC,TXMD,OCUL,TNXP,US Dollar,ALKS,CORT,Us Dollars,n/a,SUM
07/09/2021,8.13,8.06,8.0,7.8,7.77,4.61,4.41,4.3,4.22,4.09,4.05,4.02,3.98,3.97,3.97,3.78,2.94,1.68,1.0,0.97,0.94,0.93,0.91,0.88,0.87,0.86,0.85,0.84,0.82,0.33,0.0,0.0,0.0,0.0,99.98
07/12/2021,8.14,8.06,8.08,7.92,7.87,4.62,4.39,4.39,4.24,4.08,4.05,4.05,4.0,4.01,4.01,3.78,2.53,1.68,0.99,0.96,0.94,0.93,0.89,0.87,0.86,0.87,0.85,0.84,0.83,0.29,0.0,0.0,0.0,0.0,100.02
07/13/2021,8.14,8.06,8.08,7.92,7.87,4.62,4.39,4.39,4.24,4.08,4.05,4.05,4.0,4.01,4.01,3.78,2.53,1.68,0.99,0.96,0.94,0.93,0.89,0.87,0.86,0.87,0.85,0.84,0.83,0.29,0.0,0.0,0.0,0.0,100.02
07/14/2021,8.14,8.06,8.08,7.92,7.87,4.62,0.0,4.39,4.24,4.08,4.05,4.05,4.0,4.01,4.01,3.78,2.53,1.68,0.99,0.96,0.0,0.93,0.89,0.87,0.86,0.87,0.85,0.84,0.83,0.0,4.39,0.94,0.27,0.0,100.0
07/15/2021,8.19,8.03,8.16,7.85,7.87,4.64,0.0,4.41,4.25,4.11,4.04,4.07,4.02,4.03,4.03,3.82,2.48,1.67,0.98,0.92,0.0,0.93,0.87,0.87,0.86,0.84,0.86,0.84,0.81,0.0,4.32,0.93,0.27,0.0,99.97
07/16/2021,8.23,8.09,8.23,7.81,7.91,4.66,0.0,4.46,4.27,4.11,4.07,4.05,4.03,4.06,4.05,3.76,2.44,1.67,0.98,0.9,0.0,0.93,0.85,0.88,0.85,0.84,0.82,0.82,0.79,0.0,4.26,0.93,0.27,0.0,100.01999999999998
07/19/2021,8.25,8.18,8.25,7.9,7.93,4.62,0.0,4.52,4.17,4.1,4.12,3.99,4.03,4.09,4.13,3.79,2.37,1.69,0.96,0.89,0.0,0.95,0.83,0.9,0.86,0.83,0.79,0.82,0.78,0.0,4.16,0.88,0.23,0.0,100.01
07/20/2021,8.23,8.2,8.28,7.94,7.92,4.64,0.0,4.51,4.15,4.07,4.14,3.93,4.04,4.08,4.15,3.8,2.41,1.67,0.95,0.92,0.0,0.9,0.82,0.91,0.85,0.85,0.77,0.78,0.78,0.0,4.17,0.87,0.26,0.0,99.98999999999998
07/21/2021,8.23,8.2,8.28,7.94,7.92,4.64,0.0,4.51,4.15,4.07,4.14,3.93,4.04,4.08,4.15,3.8,2.41,1.67,0.95,0.92,0.0,0.9,0.82,0.91,0.85,0.85,0.77,0.78,0.78,0.0,4.17,0.87,0.26,0.0,99.98999999999998
07/22/2021,8.23,8.2,8.28,7.94,7.92,4.64,0.0,4.51,4.15,4.07,4.14,3.93,4.04,4.08,4.15,3.8,2.41,1.67,0.95,0.92,0.0,0.9,0.82,0.91,0.85,0.85,0.77,0.78,0.78,0.0,4.17,0.87,0.26,0.0,99.98999999999998
07/23/2021,8.37,7.95,8.12,7.86,7.88,4.66,0.0,4.49,4.26,4.07,4.14,3.9,4.07,4.02,4.2,3.91,2.83,1.66,0.95,0.91,0.0,0.89,0.84,0.87,0.86,0.87,0.77,0.79,0.75,0.0,4.19,0.88,0.03,0.0,99.99
07/26/2021,8.23,7.87,8.11,7.8,7.84,4.66,0.0,4.43,4.29,4.26,4.05,3.81,4.11,4.04,4.18,3.91,3.25,1.64,0.93,0.92,0.0,0.9,0.77,0.86,0.88,0.86,0.8,0.76,0.78,0.0,4.16,0.86,0.03,0.0,99.99
07/27/2021,8.18,7.92,8.1,7.7,7.87,4.74,0.0,4.47,4.3,4.27,4.05,3.79,4.09,4.03,4.17,3.93,3.3,1.65,0.91,0.93,0.0,0.92,0.71,0.87,0.88,0.84,0.78,0.77,0.75,0.0,4.19,0.85,0.03,0.0,99.99
07/28/2021,8.18,7.92,8.1,7.7,7.87,4.74,0.0,4.47,4.3,4.27,4.05,3.79,4.09,4.03,4.17,3.93,3.3,1.65,0.91,0.93,0.0,0.92,0.71,0.87,0.88,0.84,0.78,0.77,0.75,0.0,4.19,0.85,0.03,0.0,99.99
07/29/2021,8.3,7.96,8.14,7.71,7.94,4.76,0.0,4.44,4.21,4.25,4.07,3.8,4.11,4.03,4.22,3.89,3.37,1.66,0.92,0.92,0.0,0.87,0.71,0.87,0.89,0.82,0.8,0.71,0.54,0.0,4.2,0.85,0.03,0.0,99.98999999999998
07/30/2021,8.24,8.0,8.13,7.82,7.96,4.76,0.0,4.46,4.24,4.27,4.07,3.8,4.13,4.0,4.24,3.93,3.24,1.68,0.93,0.89,0.0,0.85,0.7,0.89,0.89,0.82,0.77,0.71,0.57,0.0,4.15,0.85,0.03,0.0,100.02
08/02/2021,8.15,7.84,8.13,7.67,7.87,4.75,0.0,4.47,4.4,4.33,4.09,3.7,4.14,4.01,4.27,3.94,3.3,1.7,0.92,0.89,0.0,0.84,0.69,0.87,0.9,0.84,0.78,0.7,0.56,0.0,4.36,0.85,0.03,0.0,99.99000000000002
08/03/2021,8.18,7.87,7.98,7.6,7.9,4.73,4.43,4.46,4.44,4.24,4.01,3.7,4.11,4.01,4.29,3.94,3.35,1.71,0.9,0.91,0.87,0.84,0.7,0.88,0.88,0.88,0.75,0.69,0.55,0.19,0.0,0.0,0.0,0.0,99.99
08/04/2021,8.18,7.87,7.98,7.6,7.9,4.73,4.43,4.46,4.44,4.24,4.01,3.7,4.11,4.01,4.29,3.94,3.35,1.71,0.9,0.91,0.87,0.84,0.7,0.88,0.88,0.88,0.75,0.69,0.55,0.19,0.0,0.0,0.0,0.0,99.99
08/05/2021,8.2,7.78,7.91,7.5,7.89,4.79,4.61,4.44,4.45,4.22,4.01,3.71,4.12,4.01,4.4,3.93,3.3,1.72,0.91,0.92,0.88,0.84,0.68,0.86,0.89,0.86,0.76,0.7,0.55,0.14,0.0,0.0,0.0,0.0,99.98000000000002
08/06/2021,8.24,7.75,7.9,7.48,7.93,4.93,0.0,4.44,4.48,4.19,4.06,3.7,4.09,4.06,4.54,3.93,3.02,1.72,0.91,0.92,0.0,0.84,0.65,0.86,0.9,0.85,0.73,0.67,0.53,0.0,4.73,0.9,0.06,0.0,100.01000000000002
08/09/2021,8.67,7.63,7.79,8.46,7.86,5.06,0.0,4.42,4.46,4.44,4.01,3.19,3.45,3.99,4.45,3.81,3.06,1.69,0.9,0.95,0.0,0.84,0.68,0.87,0.91,0.88,0.7,0.67,0.53,0.0,4.73,0.9,0.0,0.01,100.01000000000003
08/10/2021,9.0,7.6,7.73,8.77,7.81,5.04,0.0,4.37,4.43,4.42,3.97,3.22,3.47,3.96,4.45,3.75,2.81,1.71,0.9,0.93,0.0,0.73,0.64,0.86,0.9,0.94,0.7,0.65,0.52,0.0,4.81,0.9,0.0,0.01,100.0
08/11/2021,9.0,7.6,7.73,8.77,7.81,5.04,0.0,4.37,4.43,4.42,3.97,3.22,3.47,3.96,4.45,3.75,2.81,1.71,0.9,0.93,0.0,0.73,0.64,0.86,0.9,0.94,0.7,0.65,0.52,0.0,4.81,0.9,0.0,0.01,100.0
08/13/2021,9.22,7.63,7.81,8.46,7.9,5.19,0.0,4.33,4.38,4.41,4.03,3.13,3.5,3.95,4.79,3.16,2.85,1.73,0.9,0.94,0.0,0.72,0.64,0.85,0.83,0.93,0.69,0.68,0.59,0.0,4.86,0.88,0.0,0.01,99.99
08/16/2021,9.19,7.73,7.88,8.42,7.98,5.09,0.0,4.36,4.43,4.49,4.13,3.15,3.58,3.93,4.7,3.23,2.72,1.46,0.88,0.95,0.0,0.7,0.66,0.84,0.87,0.94,0.66,0.68,0.54,0.0,4.93,0.86,0.0,0.01,99.99
08/17/2021,9.23,7.78,7.92,8.39,8.02,5.09,0.0,4.39,4.43,4.48,4.14,3.07,3.55,3.95,4.82,3.32,2.56,1.44,0.88,0.96,0.0,0.71,0.63,0.84,0.87,0.93,0.64,0.67,0.52,0.0,4.88,0.86,0.0,0.01,99.98
08/18/2021,9.23,7.78,7.92,8.39,8.02,5.09,0.0,4.39,4.43,4.48,4.14,3.07,3.55,3.95,4.82,3.32,2.56,1.44,0.88,0.96,0.0,0.71,0.63,0.84,0.87,0.93,0.64,0.67,0.52,0.0,4.88,0.86,0.0,0.01,99.98
08/19/2021,9.22,7.89,8.03,8.24,8.07,5.19,0.0,4.45,4.43,4.45,4.17,3.02,3.59,4.01,4.85,3.37,2.48,1.44,0.87,0.93,0.0,0.71,0.63,0.82,0.85,0.92,0.58,0.64,0.52,0.0,4.76,0.85,0.0,0.01,99.98999999999998
