,CUBE,AMH,ATR,ZNGA,RGLD,LSTR,CDK,SCI,MMS,LSI,UTHR,THG,IDA,FLO,DLB,COR,PINC,WSO,POR,ALKS,BJ,FCN,LANC,SXT,SLGN,WTM,AXS,HTA,MUSA,WDFC,TMX,EQC,COLD,NLSN,TTC,NUAN,SFM,AMN,GMED,CVLT,AVA,SHEN,HLI,XTSLA,DORM,HE,CASY,ICUI,JCOM,ALE,NEU,BCPC,LHCG,HALO,FTDR,GHC,CWT,IBKR,NWE,HR,HELE,SIGI,OZK,COLM,SSTK,AM,WERN,OGS,AMEH,HAIN,UPWK,NEOG,SYKE,TWNK,MODV,ESGR,LGF/B,MSGS,VIRT,THS,LOPE,IRWD,SAGE,HRC,SPSC,TDC,MORN,GOLF,MCY,PBH,AWR,CSWI,PRK,SWCH,WWE,SON,RGEN,X,OSIS,SWBI,EWBC,AMCX,GO,EVTC,MAT,CBZ,VRNT,NWN,HLIO,PFPT,WABC,HSKA,PACB,RGR,CSL,NWBI,CORT,OMI,DEA,HRB,CRVL,INOV,FHB,SRNE,BLKB,JW.A,POST,ARNA,OPK,LMNX,CALM,SR,NFG,MGNX,TRS,CLDX,SNDR,GSAT,SEB,BRC,LGF.A,TDS,CBSH,UNF,EIG,BAND,TFSL,VNDA,QTS,CIEN,PRTA,SAFT,IDCC,AMSF,MNRO,IMAX,GGG,ADC,ANGO,TRNO,MLAB,NKTR,BERY,CSGS,UMBF,DFIN,MSGE,MDGL,OBNK,NHC,PSB,RUBY,ATRI,BGS,IART,VIAV,KRNY,HTLD,WMK,BATRK,GABC,VIVO,ETWO,PLYA,SUPN,VCRA,IMKTA,SAFM,JBGS,CLBK,PZZA,ANGI,EME,DVAX,ASIX,PCRX,AMPH,MDP,CORE,ENTA,FWRD,ASH,ARCH,HCC,XEC,NTCT,PACK,MYOV,USD,CFFN,MGEE,JBSS,BCRX,WNC,SRRK,MARA,HSTM,CBB,CSV,HONE,NFBK,PRGS,BISXX,LGF.B,HCI,n/a,GNTX,ZD,TBI,OCGN,FUBO,TCX,WINA,BNL,EBC,CCOI,FIVN,KD WI,NYT,EVBG,FYBR,MGLN,CACI,REYN,PRGO,HUBG,CWST,EXEL,QDEL,IONS,DNB,VIR,VNT,BPMC,QLYS,SCL,BWXT,FRHC,PTCT,XNCR,CHE,BL,VRT,AAON,ALLK,OCDX,AJRD,LAND,SPTN,KD,PRA,MRTX,CPK,CNNE,SUM
07/09/2021,1.7,1.53,1.38,1.28,1.23,1.21,1.21,1.12,1.07,1.03,1.01,0.99,0.99,0.98,0.95,0.9,0.87,0.86,0.83,0.82,0.82,0.78,0.76,0.74,0.73,0.73,0.72,0.69,0.69,0.67,0.66,0.65,0.62,0.62,0.61,0.61,0.6,0.6,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.58,0.58,0.57,0.57,0.57,0.56,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.51,0.5,0.49,0.49,0.49,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.4,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.31,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.59
07/12/2021,1.7,1.55,1.38,1.24,1.22,1.21,1.23,1.13,1.1,1.05,1.01,1.0,1.01,0.97,0.94,0.91,0.87,0.88,0.83,0.82,0.85,0.78,0.76,0.74,0.74,0.72,0.71,0.69,0.72,0.69,0.66,0.66,0.62,0.61,0.62,0.61,0.62,0.6,0.6,0.6,0.59,0.53,0.57,0.0,0.59,0.58,0.59,0.59,0.59,0.57,0.55,0.56,0.57,0.53,0.53,0.54,0.54,0.52,0.51,0.49,0.46,0.48,0.49,0.48,0.47,0.47,0.46,0.45,0.48,0.45,0.41,0.43,0.43,0.43,0.44,0.43,0.4,0.42,0.39,0.4,0.39,0.38,0.38,0.38,0.36,0.37,0.37,0.38,0.35,0.35,0.36,0.36,0.35,0.35,0.34,0.35,0.34,0.35,0.35,0.31,0.33,0.32,0.34,0.33,0.31,0.32,0.31,0.32,0.33,0.31,0.3,0.3,0.28,0.29,0.3,0.28,0.28,0.29,0.28,0.29,0.28,0.27,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.22,0.25,0.23,0.22,0.24,0.24,0.24,0.24,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.2,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.0,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.0,0.0,0.16,0.16,0.0,0.0,0.17,0.17,0.17,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.27
07/13/2021,1.7,1.55,1.38,1.24,1.22,1.21,1.23,1.13,1.1,1.05,1.01,1.0,1.01,0.97,0.94,0.91,0.87,0.88,0.83,0.82,0.85,0.78,0.76,0.74,0.74,0.72,0.71,0.69,0.72,0.69,0.66,0.66,0.62,0.61,0.62,0.61,0.62,0.6,0.6,0.6,0.59,0.53,0.57,0.0,0.59,0.58,0.59,0.59,0.59,0.57,0.55,0.56,0.57,0.53,0.53,0.54,0.54,0.52,0.51,0.49,0.46,0.48,0.49,0.48,0.47,0.47,0.46,0.45,0.48,0.45,0.41,0.43,0.43,0.43,0.44,0.43,0.4,0.42,0.39,0.4,0.39,0.38,0.38,0.38,0.36,0.37,0.37,0.38,0.35,0.35,0.36,0.36,0.35,0.35,0.34,0.35,0.34,0.35,0.35,0.31,0.33,0.32,0.34,0.33,0.31,0.32,0.31,0.32,0.33,0.31,0.3,0.3,0.28,0.29,0.3,0.28,0.28,0.29,0.28,0.29,0.28,0.27,0.27,0.25,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.26,0.27,0.25,0.25,0.25,0.25,0.22,0.25,0.23,0.22,0.24,0.24,0.24,0.24,0.21,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.2,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.0,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.0,0.0,0.16,0.16,0.0,0.0,0.17,0.17,0.17,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.27
07/14/2021,1.71,1.56,1.38,1.2,1.22,1.21,1.22,1.13,1.1,1.05,1.02,1.0,1.01,0.97,0.95,0.9,0.87,0.87,0.83,0.81,0.86,0.77,0.76,0.73,0.74,0.71,0.71,0.69,0.72,0.67,0.66,0.65,0.62,0.61,0.62,0.6,0.63,0.59,0.59,0.59,0.58,0.51,0.56,0.0,0.58,0.58,0.59,0.57,0.58,0.57,0.55,0.55,0.56,0.53,0.54,0.54,0.54,0.52,0.51,0.49,0.45,0.49,0.5,0.48,0.47,0.48,0.46,0.44,0.51,0.45,0.42,0.42,0.42,0.43,0.44,0.44,0.41,0.43,0.39,0.4,0.39,0.39,0.38,0.38,0.36,0.38,0.36,0.38,0.35,0.35,0.36,0.35,0.36,0.35,0.34,0.34,0.34,0.37,0.34,0.33,0.35,0.33,0.34,0.33,0.32,0.31,0.31,0.32,0.33,0.3,0.3,0.3,0.29,0.29,0.3,0.28,0.27,0.31,0.29,0.29,0.27,0.27,0.28,0.24,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.26,0.25,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.3,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37
07/15/2021,1.71,1.56,1.38,1.2,1.22,1.21,1.22,1.13,1.1,1.05,1.02,1.0,1.01,0.97,0.95,0.9,0.87,0.87,0.83,0.81,0.86,0.77,0.76,0.73,0.74,0.71,0.71,0.69,0.72,0.67,0.66,0.65,0.62,0.61,0.62,0.6,0.63,0.59,0.59,0.59,0.58,0.51,0.56,0.0,0.58,0.58,0.59,0.57,0.58,0.57,0.55,0.55,0.56,0.53,0.54,0.54,0.54,0.52,0.51,0.49,0.45,0.49,0.5,0.48,0.47,0.48,0.46,0.44,0.51,0.45,0.42,0.42,0.42,0.43,0.44,0.44,0.41,0.43,0.39,0.4,0.39,0.39,0.38,0.38,0.36,0.38,0.36,0.38,0.35,0.35,0.36,0.35,0.36,0.35,0.34,0.34,0.34,0.37,0.34,0.33,0.35,0.33,0.34,0.33,0.32,0.31,0.31,0.32,0.33,0.3,0.3,0.3,0.29,0.29,0.3,0.28,0.27,0.31,0.29,0.29,0.27,0.27,0.28,0.24,0.26,0.26,0.26,0.25,0.26,0.26,0.27,0.26,0.26,0.25,0.26,0.26,0.25,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.24,0.21,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.22,0.22,0.2,0.21,0.21,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.3,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18,0.18,0.18,0.19,0.18,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.17,0.17,0.0,0.0,0.17,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.37
07/16/2021,1.72,1.58,1.38,1.24,1.24,1.22,1.22,1.15,1.11,1.05,1.01,1.01,1.01,0.97,0.95,0.91,0.87,0.87,0.84,0.79,0.86,0.78,0.77,0.73,0.73,0.71,0.73,0.69,0.74,0.67,0.66,0.67,0.63,0.61,0.62,0.62,0.62,0.6,0.61,0.59,0.58,0.51,0.59,0.0,0.6,0.58,0.59,0.57,0.57,0.58,0.55,0.56,0.55,0.53,0.54,0.55,0.55,0.53,0.52,0.5,0.45,0.48,0.5,0.48,0.48,0.47,0.47,0.45,0.48,0.44,0.45,0.43,0.43,0.43,0.44,0.43,0.39,0.43,0.38,0.4,0.39,0.39,0.37,0.38,0.36,0.37,0.37,0.38,0.36,0.36,0.37,0.35,0.36,0.35,0.34,0.35,0.33,0.37,0.34,0.31,0.35,0.32,0.34,0.34,0.32,0.32,0.31,0.32,0.33,0.31,0.3,0.32,0.27,0.29,0.3,0.28,0.27,0.3,0.29,0.29,0.28,0.27,0.27,0.24,0.26,0.26,0.26,0.25,0.24,0.26,0.27,0.26,0.26,0.23,0.27,0.36,0.25,0.23,0.22,0.23,0.22,0.24,0.24,0.24,0.24,0.21,0.23,0.22,0.23,0.23,0.22,0.23,0.21,0.22,0.22,0.19,0.22,0.21,0.21,0.22,0.21,0.21,0.2,0.2,0.2,0.2,0.29,0.2,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.19,0.0,0.17,0.17,0.0,0.17,0.17,0.17,0.17,0.18,0.18,0.16,0.18,0.17,0.17,0.0,0.16,0.0,0.0,0.16,0.0,0.17,0.17,0.17,0.16,0.16,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71000000000001
07/19/2021,1.75,1.61,1.38,1.2,1.27,1.23,1.22,1.17,1.11,1.07,1.02,1.02,1.06,1.0,0.96,0.92,0.89,0.87,0.87,0.77,0.86,0.77,0.79,0.73,0.74,0.71,0.75,0.71,0.75,0.68,0.66,0.68,0.64,0.62,0.63,0.62,0.62,0.6,0.6,0.58,0.6,0.51,0.57,0.0,0.6,0.6,0.6,0.55,0.58,0.59,0.55,0.56,0.55,0.51,0.53,0.54,0.56,0.52,0.54,0.51,0.47,0.49,0.51,0.48,0.46,0.46,0.48,0.46,0.48,0.45,0.37,0.42,0.43,0.44,0.43,0.47,0.38,0.42,0.38,0.4,0.39,0.39,0.34,0.38,0.35,0.37,0.36,0.38,0.35,0.36,0.37,0.35,0.37,0.35,0.32,0.35,0.33,0.36,0.34,0.3,0.35,0.31,0.34,0.33,0.32,0.32,0.31,0.33,0.33,0.31,0.31,0.3,0.25,0.28,0.3,0.29,0.26,0.3,0.29,0.29,0.28,0.26,0.28,0.23,0.25,0.25,0.26,0.24,0.24,0.0,0.28,0.27,0.26,0.23,0.26,0.36,0.25,0.2,0.23,0.24,0.21,0.23,0.25,0.24,0.24,0.21,0.23,0.22,0.23,0.23,0.22,0.24,0.21,0.22,0.22,0.18,0.22,0.22,0.2,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.29,0.19,0.19,0.2,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.0,0.17,0.0,0.0,0.17,0.17,0.17,0.18,0.18,0.18,0.16,0.18,0.18,0.18,0.0,0.16,0.17,0.0,0.16,0.17,0.17,0.0,0.18,0.0,0.0,0.17,0.0,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.77
07/20/2021,1.75,1.61,1.38,1.2,1.27,1.23,1.22,1.17,1.11,1.07,1.02,1.02,1.06,1.0,0.96,0.92,0.89,0.87,0.87,0.77,0.86,0.77,0.79,0.73,0.74,0.71,0.75,0.71,0.75,0.68,0.66,0.68,0.64,0.62,0.63,0.62,0.62,0.6,0.6,0.58,0.6,0.51,0.57,0.0,0.6,0.6,0.6,0.55,0.58,0.59,0.55,0.56,0.55,0.51,0.53,0.54,0.56,0.52,0.54,0.51,0.47,0.49,0.51,0.48,0.46,0.46,0.48,0.46,0.48,0.45,0.37,0.42,0.43,0.44,0.43,0.47,0.38,0.42,0.38,0.4,0.39,0.39,0.34,0.38,0.35,0.37,0.36,0.38,0.35,0.36,0.37,0.35,0.37,0.35,0.32,0.35,0.33,0.36,0.34,0.3,0.35,0.31,0.34,0.33,0.32,0.32,0.31,0.33,0.33,0.31,0.31,0.3,0.25,0.28,0.3,0.29,0.26,0.3,0.29,0.29,0.28,0.26,0.28,0.23,0.25,0.25,0.26,0.24,0.24,0.0,0.28,0.27,0.26,0.23,0.26,0.36,0.25,0.2,0.23,0.24,0.21,0.23,0.25,0.24,0.24,0.21,0.23,0.22,0.23,0.23,0.22,0.24,0.21,0.22,0.22,0.18,0.22,0.22,0.2,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.29,0.19,0.19,0.2,0.18,0.17,0.18,0.18,0.17,0.18,0.18,0.18,0.19,0.18,0.19,0.0,0.17,0.0,0.0,0.17,0.17,0.17,0.18,0.18,0.18,0.16,0.18,0.18,0.18,0.0,0.16,0.17,0.0,0.16,0.17,0.17,0.0,0.18,0.0,0.0,0.17,0.0,0.17,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.77
07/21/2021,1.76,1.62,1.4,1.21,1.24,1.23,1.21,1.17,1.1,1.08,1.03,1.03,1.08,1.01,0.94,0.93,0.89,0.87,0.88,0.78,0.85,0.78,0.79,0.72,0.73,0.72,0.75,0.73,0.76,0.68,0.68,0.68,0.65,0.62,0.63,0.63,0.62,0.6,0.6,0.59,0.6,0.52,0.58,0.0,0.59,0.6,0.6,0.55,0.58,0.6,0.56,0.56,0.55,0.5,0.52,0.54,0.58,0.52,0.54,0.52,0.47,0.49,0.49,0.47,0.48,0.45,0.47,0.47,0.48,0.45,0.36,0.42,0.43,0.43,0.44,0.48,0.37,0.42,0.38,0.4,0.39,0.39,0.34,0.38,0.35,0.34,0.37,0.37,0.35,0.36,0.38,0.35,0.36,0.35,0.32,0.35,0.34,0.34,0.34,0.29,0.34,0.3,0.35,0.33,0.31,0.32,0.31,0.33,0.33,0.31,0.31,0.31,0.24,0.28,0.3,0.29,0.26,0.3,0.3,0.29,0.27,0.26,0.27,0.23,0.25,0.25,0.26,0.24,0.23,0.0,0.28,0.27,0.26,0.23,0.26,0.33,0.25,0.2,0.23,0.23,0.21,0.24,0.24,0.24,0.24,0.21,0.23,0.21,0.23,0.22,0.22,0.24,0.21,0.23,0.22,0.17,0.22,0.22,0.2,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.27,0.19,0.19,0.2,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.19,0.18,0.19,0.0,0.16,0.16,0.0,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.0,0.16,0.16,0.16,0.0,0.16,0.17,0.16,0.17,0.0,0.16,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.71
07/22/2021,1.74,1.61,1.39,1.23,1.25,1.21,1.2,1.19,1.1,1.07,1.03,1.0,1.08,1.02,0.95,0.93,0.9,0.86,0.88,0.77,0.87,0.79,0.79,0.7,0.73,0.72,0.74,0.73,0.76,0.69,0.68,0.68,0.66,0.61,0.63,0.63,0.64,0.6,0.6,0.6,0.61,0.52,0.58,0.0,0.6,0.6,0.6,0.56,0.58,0.58,0.56,0.56,0.56,0.5,0.52,0.54,0.58,0.52,0.53,0.52,0.47,0.48,0.48,0.47,0.47,0.44,0.47,0.46,0.48,0.47,0.38,0.43,0.44,0.44,0.43,0.48,0.36,0.41,0.38,0.41,0.4,0.4,0.33,0.39,0.36,0.36,0.37,0.38,0.35,0.37,0.39,0.35,0.35,0.35,0.31,0.35,0.34,0.34,0.34,0.29,0.33,0.3,0.36,0.33,0.31,0.32,0.31,0.33,0.32,0.32,0.31,0.32,0.25,0.28,0.3,0.28,0.27,0.32,0.3,0.29,0.27,0.26,0.26,0.24,0.25,0.25,0.25,0.24,0.24,0.0,0.27,0.26,0.26,0.23,0.25,0.33,0.24,0.2,0.23,0.23,0.2,0.24,0.24,0.24,0.24,0.22,0.23,0.21,0.23,0.22,0.21,0.23,0.2,0.22,0.22,0.17,0.22,0.22,0.2,0.22,0.21,0.2,0.2,0.2,0.19,0.2,0.27,0.18,0.18,0.2,0.18,0.0,0.19,0.18,0.17,0.17,0.18,0.18,0.2,0.18,0.19,0.0,0.17,0.0,0.0,0.17,0.18,0.17,0.18,0.18,0.19,0.16,0.17,0.17,0.17,0.16,0.16,0.0,0.16,0.16,0.0,0.17,0.16,0.17,0.0,0.16,0.17,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.69
