,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust C 4.15,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust P 414.92,US Dollar,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust C 463.47,2022-06-17 SPDRu00ae S&P 500u00ae ETF Trust P 373.43,SUM
07/09/2021,99.46,5.79,1.05,-2.79,-3.51,100.0
07/12/2021,99.88,5.64,1.04,-3.27,-3.29,100.0
07/13/2021,99.88,5.64,1.04,-3.27,-3.29,100.0
07/22/2021,98.86,6.9,1.04,-2.71,-4.09,100.0
07/23/2021,98.86,6.9,1.04,-2.71,-4.09,100.0
08/03/2021,100.36,5.46,1.03,-3.62,-3.22,100.00999999999999
