,US Dollar,SWX,MSM,HRC,LII,LSI,RYN,SCI,COR,GGG,TTC,NSA,KNX,FDS,WTRG,DCI,OFC,ADC,INGR,WTS,SRCL,SON,SEIC,RPM,POST,OGE,LECO,IART,FCN,HE,CPT,GMED,ACC,BRO,FLO,CSL,EGP,EHC,FR,WH,MPW,VIAV,THG,REXR,RenaissanceRe Holdings Ltd.,OGS,ORI,NWE,NDSN,MUSA,WERN,LXP,MDU,CHE,IDA,ATR,CACI,CASY,Y,CHH,GNTX,HR,HUBB,ICUI,ARW,CDK,LSTR,NATI,DOC,SRC,STOR,HAIN,UGI,VVV,OHI,MAT,FAF,BKH,PRFT,RGLD,ASH,MMS,CBSH,ITT,WSO,MASI,NUVA,PRGS,NNN,CRL,CONE,Helen of Troy Limited,HIW,KRC,FUL,JACK,TXRH,CGNX,LOPE,CBRL,CNMD,ACM,JAZZ,DECK,IAA,NVST,ACIW,AVT,CRI,NSIT,RS,HRB,ENR,CUZ,FIVE,JCOM,LEA,AN,CLH,PB,LAMR,SBRA,PZZA,RBC,LHCG,AMED,CCOI,DEI,MAN,CBT,CR,HPP,SAIC,SYNH,NYT,MOH,JEF,EXP,CVLT,AMN,BDN,FICO,PCH,JBL,NYCB,KBR,NVT,UTHR,WWD,VMI,SNX,SF,EME,CFR,MDRX,CW,EVR,BLKB,JW.A,OC,UFPI,VSH,WEN,TGNA,FFIN,CIEN,COS.,EPC,SMG,THS,AVNS,NSP,ISBC,OSK,TDS,SLM,TECH,AFG,ABM,AMG,ASGN,CRUS,ENS,ESNT,SFM,TKR,WWE,TTEK,MEDP,JLL,AGCO,BJ,GO,HAE,MRCY,RCM,R,SJI,MIDD,UMPQ,Us Dollars,RNR,HELE,CNO,OLED,n/a,G,EXPO,KMPR,COLM,PII,LFUS,IRT,AZPN,TWO,MSEX,MTG,COOP,JHG,CMP,XRX,AAWW,CDAY,RGA,PCRX,VG,PDCO,CFX,ACHC,SLAB,FLS,KNSL,VLY,ASB,TREX,XPO,MANH,OZK,FHN,SLG,ZD,RRX,SLGN,DEA,PNM,AWR,TTMI,CWT,LANC,EFC,ARR,PSB,MSA,PMT,SUM
07/09/2021,1.21,0.75,0.73,0.72,0.72,0.72,0.72,0.72,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.67,0.67,0.67,0.66,0.66,0.65,0.65,0.64,0.59,0.59,0.58,0.58,0.56,0.56,0.56,0.55,0.55,0.55,0.55,0.53,0.53,0.51,0.5,0.5,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.39,0.39,0.38,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8
07/12/2021,1.15,0.77,0.73,0.72,0.71,0.73,0.75,0.72,0.72,0.72,0.72,0.71,0.74,0.71,0.71,0.72,0.71,0.71,0.71,0.7,0.68,0.7,0.7,0.7,0.7,0.69,0.7,0.68,0.69,0.69,0.72,0.7,0.71,0.68,0.69,0.71,0.71,0.7,0.71,0.69,0.68,0.67,0.7,0.69,0.7,0.68,0.68,0.69,0.69,0.73,0.68,0.69,0.68,0.68,0.7,0.69,0.7,0.69,0.69,0.68,0.68,0.69,0.7,0.69,0.69,0.68,0.68,0.67,0.68,0.68,0.67,0.69,0.68,0.68,0.66,0.67,0.69,0.68,0.66,0.65,0.66,0.66,0.64,0.6,0.59,0.58,0.57,0.55,0.56,0.56,0.56,0.5,0.56,0.56,0.54,0.51,0.51,0.51,0.5,0.47,0.47,0.49,0.47,0.47,0.46,0.47,0.45,0.46,0.47,0.45,0.45,0.46,0.45,0.44,0.44,0.44,0.44,0.46,0.43,0.43,0.43,0.42,0.43,0.42,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.36,0.38,0.37,0.36,0.36,0.34,0.36,0.36,0.34,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.29,0.3,0.28,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.25,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.23,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/13/2021,1.15,0.77,0.73,0.72,0.71,0.73,0.75,0.72,0.72,0.72,0.72,0.71,0.74,0.71,0.71,0.72,0.71,0.71,0.71,0.7,0.68,0.7,0.7,0.7,0.7,0.69,0.7,0.68,0.69,0.69,0.72,0.7,0.71,0.68,0.69,0.71,0.71,0.7,0.71,0.69,0.68,0.67,0.7,0.69,0.7,0.68,0.68,0.69,0.69,0.73,0.68,0.69,0.68,0.68,0.7,0.69,0.7,0.69,0.69,0.68,0.68,0.69,0.7,0.69,0.69,0.68,0.68,0.67,0.68,0.68,0.67,0.69,0.68,0.68,0.66,0.67,0.69,0.68,0.66,0.65,0.66,0.66,0.64,0.6,0.59,0.58,0.57,0.55,0.56,0.56,0.56,0.5,0.56,0.56,0.54,0.51,0.51,0.51,0.5,0.47,0.47,0.49,0.47,0.47,0.46,0.47,0.45,0.46,0.47,0.45,0.45,0.46,0.45,0.44,0.44,0.44,0.44,0.46,0.43,0.43,0.43,0.42,0.43,0.42,0.41,0.4,0.39,0.39,0.39,0.38,0.37,0.36,0.38,0.37,0.36,0.36,0.34,0.36,0.36,0.34,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.29,0.3,0.28,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.27,0.25,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.23,0.24,0.23,0.22,0.22,0.22,0.23,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/14/2021,0.0,0.77,0.73,0.72,0.71,0.73,0.75,0.72,0.72,0.72,0.72,0.71,0.74,0.71,0.71,0.72,0.72,0.71,0.71,0.7,0.69,0.7,0.7,0.7,0.7,0.69,0.7,0.69,0.69,0.7,0.72,0.7,0.71,0.68,0.69,0.71,0.71,0.7,0.71,0.69,0.69,0.67,0.7,0.69,0.0,0.68,0.68,0.69,0.69,0.73,0.69,0.69,0.68,0.68,0.7,0.69,0.7,0.69,0.69,0.68,0.68,0.69,0.71,0.69,0.69,0.68,0.68,0.67,0.68,0.68,0.67,0.69,0.68,0.68,0.66,0.67,0.69,0.68,0.66,0.65,0.66,0.67,0.64,0.6,0.59,0.58,0.57,0.55,0.56,0.56,0.56,0.0,0.56,0.56,0.54,0.51,0.51,0.51,0.5,0.47,0.47,0.49,0.47,0.47,0.46,0.47,0.45,0.46,0.47,0.45,0.45,0.46,0.45,0.44,0.44,0.44,0.44,0.46,0.43,0.43,0.43,0.42,0.43,0.42,0.41,0.4,0.39,0.39,0.39,0.39,0.37,0.37,0.38,0.37,0.36,0.36,0.34,0.36,0.36,0.34,0.36,0.36,0.36,0.34,0.34,0.34,0.33,0.32,0.31,0.31,0.32,0.31,0.31,0.31,0.29,0.3,0.29,0.28,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.27,0.0,0.25,0.26,0.27,0.25,0.25,0.25,0.25,0.25,0.23,0.24,0.25,0.23,0.24,0.23,0.22,0.22,0.22,0.23,0.23,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.2,1.03,0.7,0.5,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/15/2021,0.0,0.78,0.72,0.72,0.71,0.73,0.74,0.73,0.73,0.71,0.71,0.72,0.74,0.7,0.71,0.72,0.72,0.71,0.68,0.71,0.68,0.7,0.7,0.7,0.69,0.69,0.7,0.69,0.68,0.69,0.72,0.71,0.71,0.69,0.69,0.71,0.71,0.69,0.71,0.68,0.68,0.67,0.7,0.7,0.0,0.68,0.69,0.69,0.69,0.73,0.69,0.7,0.68,0.68,0.7,0.69,0.69,0.69,0.69,0.68,0.68,0.69,0.71,0.68,0.68,0.68,0.68,0.67,0.68,0.68,0.68,0.68,0.68,0.68,0.67,0.68,0.69,0.68,0.66,0.64,0.66,0.66,0.64,0.6,0.59,0.58,0.58,0.55,0.56,0.56,0.56,0.0,0.57,0.57,0.54,0.51,0.51,0.51,0.5,0.47,0.48,0.49,0.47,0.47,0.47,0.48,0.45,0.46,0.47,0.45,0.45,0.46,0.45,0.45,0.43,0.44,0.44,0.47,0.44,0.43,0.43,0.42,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.39,0.37,0.37,0.38,0.37,0.36,0.36,0.35,0.36,0.36,0.35,0.36,0.35,0.36,0.34,0.35,0.34,0.34,0.32,0.3,0.32,0.31,0.32,0.31,0.31,0.29,0.3,0.29,0.27,0.29,0.29,0.3,0.29,0.28,0.27,0.28,0.27,0.0,0.25,0.25,0.27,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.25,0.24,0.24,0.23,0.21,0.22,0.22,0.22,0.23,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.2,0.2,0.0,0.2,0.2,0.21,0.2,1.03,0.7,0.49,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/16/2021,0.0,0.78,0.72,0.72,0.7,0.72,0.74,0.73,0.72,0.72,0.71,0.72,0.75,0.7,0.71,0.73,0.72,0.71,0.67,0.71,0.68,0.7,0.7,0.7,0.69,0.68,0.71,0.69,0.69,0.69,0.73,0.71,0.71,0.69,0.69,0.71,0.71,0.69,0.71,0.68,0.68,0.68,0.7,0.69,0.0,0.69,0.68,0.7,0.69,0.73,0.7,0.71,0.69,0.69,0.7,0.68,0.7,0.69,0.69,0.67,0.68,0.69,0.71,0.68,0.69,0.68,0.68,0.67,0.68,0.68,0.68,0.68,0.68,0.68,0.66,0.68,0.68,0.68,0.67,0.66,0.66,0.67,0.64,0.61,0.59,0.59,0.58,0.55,0.56,0.57,0.55,0.0,0.57,0.57,0.54,0.51,0.51,0.5,0.5,0.47,0.47,0.49,0.47,0.47,0.48,0.47,0.45,0.46,0.47,0.45,0.45,0.45,0.44,0.45,0.43,0.43,0.44,0.47,0.43,0.43,0.43,0.42,0.44,0.42,0.4,0.4,0.4,0.39,0.4,0.38,0.37,0.37,0.38,0.37,0.36,0.36,0.35,0.36,0.35,0.35,0.36,0.35,0.35,0.34,0.34,0.34,0.33,0.32,0.3,0.32,0.31,0.32,0.31,0.31,0.29,0.29,0.3,0.27,0.29,0.28,0.29,0.29,0.28,0.27,0.28,0.27,0.0,0.25,0.25,0.27,0.25,0.26,0.24,0.25,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.21,0.22,0.22,0.22,0.22,0.21,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.2,0.0,0.2,0.2,0.21,0.2,1.05,0.69,0.49,0.27,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84
07/19/2021,0.0,0.81,0.71,0.71,0.67,0.73,0.75,0.74,0.73,0.71,0.71,0.73,0.76,0.71,0.72,0.73,0.73,0.72,0.68,0.7,0.67,0.7,0.7,0.7,0.69,0.7,0.71,0.67,0.68,0.71,0.74,0.69,0.73,0.7,0.7,0.72,0.72,0.69,0.72,0.68,0.69,0.67,0.7,0.7,0.0,0.7,0.68,0.72,0.7,0.74,0.71,0.72,0.69,0.68,0.73,0.68,0.71,0.69,0.69,0.67,0.68,0.7,0.72,0.66,0.68,0.68,0.69,0.66,0.68,0.69,0.68,0.69,0.68,0.66,0.66,0.66,0.68,0.7,0.67,0.67,0.66,0.67,0.65,0.61,0.59,0.6,0.56,0.55,0.57,0.57,0.56,0.0,0.58,0.57,0.54,0.5,0.5,0.5,0.49,0.46,0.45,0.47,0.46,0.46,0.49,0.46,0.44,0.47,0.45,0.44,0.45,0.46,0.44,0.45,0.42,0.43,0.43,0.46,0.43,0.43,0.42,0.42,0.43,0.42,0.4,0.39,0.4,0.39,0.39,0.37,0.36,0.37,0.38,0.36,0.36,0.37,0.37,0.36,0.35,0.34,0.36,0.36,0.35,0.33,0.35,0.34,0.33,0.32,0.3,0.31,0.3,0.31,0.31,0.31,0.29,0.29,0.28,0.27,0.28,0.28,0.29,0.28,0.27,0.27,0.28,0.27,0.0,0.25,0.25,0.26,0.24,0.26,0.24,0.24,0.24,0.24,0.23,0.25,0.25,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.2,0.21,0.22,0.21,0.2,0.21,0.2,0.19,0.2,0.0,0.2,0.19,0.22,0.2,1.05,0.71,0.51,0.27,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8
07/20/2021,0.0,0.82,0.7,0.72,0.67,0.74,0.75,0.74,0.73,0.72,0.71,0.73,0.74,0.72,0.73,0.73,0.74,0.73,0.67,0.7,0.68,0.7,0.7,0.7,0.68,0.71,0.71,0.68,0.69,0.71,0.75,0.7,0.73,0.7,0.71,0.72,0.73,0.69,0.72,0.66,0.7,0.67,0.7,0.71,0.0,0.7,0.67,0.72,0.7,0.75,0.7,0.72,0.7,0.68,0.74,0.69,0.72,0.7,0.7,0.66,0.66,0.71,0.72,0.66,0.68,0.67,0.68,0.66,0.69,0.69,0.69,0.69,0.69,0.65,0.67,0.66,0.69,0.71,0.67,0.65,0.66,0.66,0.64,0.61,0.58,0.6,0.56,0.54,0.57,0.57,0.56,0.0,0.58,0.57,0.53,0.5,0.5,0.49,0.49,0.46,0.46,0.47,0.45,0.46,0.49,0.45,0.43,0.46,0.45,0.44,0.45,0.46,0.44,0.46,0.42,0.43,0.42,0.46,0.43,0.42,0.42,0.42,0.43,0.42,0.4,0.39,0.4,0.39,0.39,0.36,0.36,0.37,0.39,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.36,0.36,0.35,0.33,0.34,0.34,0.32,0.32,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.26,0.0,0.24,0.26,0.27,0.24,0.26,0.24,0.24,0.24,0.23,0.24,0.26,0.25,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.19,0.21,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.0,0.2,0.19,0.22,0.2,1.11,0.72,0.51,0.27,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/21/2021,0.0,0.82,0.7,0.72,0.67,0.74,0.75,0.74,0.73,0.72,0.71,0.73,0.74,0.72,0.73,0.73,0.74,0.73,0.67,0.7,0.68,0.7,0.7,0.7,0.68,0.71,0.71,0.68,0.69,0.71,0.75,0.7,0.73,0.7,0.71,0.72,0.73,0.69,0.72,0.66,0.7,0.67,0.7,0.71,0.0,0.7,0.67,0.72,0.7,0.75,0.7,0.72,0.7,0.68,0.74,0.69,0.72,0.7,0.7,0.66,0.66,0.71,0.72,0.66,0.68,0.67,0.68,0.66,0.69,0.69,0.69,0.69,0.69,0.65,0.67,0.66,0.69,0.71,0.67,0.65,0.66,0.66,0.64,0.61,0.58,0.6,0.56,0.54,0.57,0.57,0.56,0.0,0.58,0.57,0.53,0.5,0.5,0.49,0.49,0.46,0.46,0.47,0.45,0.46,0.49,0.45,0.43,0.46,0.45,0.44,0.45,0.46,0.44,0.46,0.42,0.43,0.42,0.46,0.43,0.42,0.42,0.42,0.43,0.42,0.4,0.39,0.4,0.39,0.39,0.36,0.36,0.37,0.39,0.36,0.36,0.36,0.36,0.35,0.35,0.34,0.36,0.36,0.35,0.33,0.34,0.34,0.32,0.32,0.3,0.31,0.3,0.31,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.28,0.28,0.28,0.27,0.27,0.28,0.26,0.0,0.24,0.26,0.27,0.24,0.26,0.24,0.24,0.24,0.23,0.24,0.26,0.25,0.23,0.23,0.21,0.21,0.22,0.22,0.22,0.19,0.21,0.22,0.21,0.2,0.21,0.21,0.19,0.2,0.0,0.2,0.19,0.22,0.2,1.11,0.72,0.51,0.27,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.85
07/22/2021,1.21,0.81,0.7,0.73,0.68,0.74,0.73,0.76,0.74,0.72,0.72,0.73,0.73,0.72,0.73,0.72,0.72,0.73,0.67,0.7,0.68,0.71,0.7,0.7,0.68,0.7,0.7,0.67,0.71,0.72,0.75,0.7,0.72,0.7,0.72,0.72,0.73,0.69,0.73,0.65,0.7,0.66,0.69,0.71,0.7,0.7,0.66,0.71,0.7,0.76,0.7,0.72,0.69,0.69,0.75,0.69,0.72,0.7,0.69,0.66,0.67,0.71,0.72,0.67,0.68,0.67,0.68,0.66,0.69,0.69,0.68,0.72,0.68,0.66,0.67,0.65,0.68,0.7,0.68,0.66,0.65,0.66,0.64,0.6,0.58,0.61,0.55,0.55,0.57,0.57,0.56,0.52,0.57,0.56,0.53,0.5,0.48,0.49,0.51,0.45,0.46,0.47,0.45,0.47,0.49,0.45,0.44,0.46,0.44,0.44,0.44,0.46,0.44,0.46,0.42,0.43,0.42,0.49,0.43,0.42,0.41,0.42,0.44,0.41,0.41,0.39,0.41,0.39,0.39,0.35,0.35,0.36,0.38,0.36,0.36,0.36,0.36,0.35,0.36,0.34,0.36,0.36,0.34,0.33,0.34,0.34,0.32,0.32,0.29,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.27,0.27,0.28,0.28,0.29,0.28,0.28,0.26,0.28,0.26,0.26,0.25,0.26,0.28,0.24,0.26,0.24,0.23,0.25,0.23,0.24,0.25,0.25,0.22,0.23,0.21,0.21,0.22,0.23,0.22,0.19,0.21,0.21,0.21,0.19,0.21,0.21,0.19,0.2,0.0,0.19,0.19,0.22,0.2,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.84
