,TSLA,VWS.CO,UMI.BR,JMAT.L,9020.T,KMB,288.HK,LLY,AMGN,NIO,ALO.PA,WFG.TO,NOVO B.CO,9022.T,ESSITY B.ST,006400.KS,SEV.PA,2282.T,CL,LI,1216.TW,PSON.L,DLR,BKG.L,BY6.,813.HK,REGN,VNA.DE,257.HK,16.HK,KGX.DE,2319.HK,CMPC.SN,ALXN,CSL.AX,HRL,BAX,5332.T,1585.HK,VRTX,XYL,CTXS,8113.T,ORSTED.CO,GEBN.SW,XPEV,4523.T,SCA B.ST,URW.AS,916.HK,BXP,2875.T,MOWI.OL,RUN,SEDG,ROCK B.CO,COLR.BR,2002.T,NPI.TO,4568.T,2897.T,371.HK,UU.L,968.HK,002594.SZ,DXCM,66.HK,ENPH,LI.PA,4543.T,PEAK,JAZZ,INCY,4519.T,VMW,BMRN,GRUMAB.MX,586.HK,HINDUNILVR.NS,6869.T,SGEN,4528.T,ELI.BR,4507.T,KIMBERA.MX,JDEP.AS,12.HK,300750.SZ,BTS-R.BK,HZNP,2633.TW,8953.T,1093.HK,VER.VI,601012.SS,GMAB.CO,COV.PA,002202.SZ,PODD,4151.T,HKD,2280.SR,PLUG,VCX.AX,3331.HK,3283.T,1177.HK,8951.T,3462.T,C38U.SI,IPN.PA,USD,XTSLA,ABMD,2208.HK,8952.T,AGRO,GFC.PA,839.HK,1972.HK,C09.SI,N2IU.SI,300274.SZ,NESTLEIND.NS,KC,GBP,QL.KL,ALNY,EUR,867.HK,MARICO.NS,GODREJCP.NS,7747.T,1530.HK,COLPAL.NS,3281.T,UNVR.JK,002074.SZ,688009.SS,PPB.KL,BLDP.TO,HBCFT,3692.HK,ADANIGREEN.NS,603218.SS,CAD,JPY,AUD,MYR,MESU1,ZAR,BRL,THB,SGD,CNH,NOK,DKK,IDR,300450.SZ,CHF,SEK,KRW,MXN,CNY,MFSU1,ESU1,BTS-W8,BTS-W6,BTS-W7,SAR,BTS-R7.BK,BTS-R6.BK,TWD,BTS-R8.BK,DWNI.DE,SUI,ARE,EDPR.LS,LAND.L,000895.SZ,601615.SS,8954.T,CD,603345.SS,MESZ1,MFSZ1,SUM
07/09/2021,4.55,3.97,3.97,3.69,3.57,3.53,3.22,2.67,2.66,2.5,2.46,2.43,2.11,2.02,1.77,1.71,1.69,1.58,1.56,1.54,1.45,1.42,1.27,1.26,1.25,1.19,1.14,1.09,1.07,1.04,1.0,0.95,0.94,0.93,0.93,0.9,0.89,0.85,0.85,0.84,0.84,0.75,0.72,0.66,0.64,0.59,0.58,0.57,0.56,0.55,0.55,0.54,0.54,0.52,0.47,0.47,0.46,0.45,0.44,0.43,0.43,0.42,0.42,0.4,0.4,0.39,0.39,0.37,0.37,0.37,0.36,0.34,0.34,0.31,0.29,0.28,0.28,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.21,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,4.54,3.94,3.96,3.77,3.59,3.57,3.18,2.71,2.69,2.29,2.33,2.64,2.17,2.01,1.77,1.67,1.71,1.58,1.58,1.47,1.46,1.39,1.3,1.25,1.24,1.18,1.14,1.1,1.04,1.04,1.01,0.93,0.92,0.94,0.93,0.9,0.9,0.86,0.92,0.84,0.84,0.76,0.74,0.68,0.66,0.54,0.59,0.57,0.56,0.56,0.54,0.54,0.53,0.49,0.45,0.47,0.46,0.46,0.45,0.42,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.36,0.36,0.37,0.36,0.34,0.33,0.31,0.3,0.28,0.28,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.21,0.18,0.18,0.18,0.18,0.18,0.16,0.18,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.26,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/13/2021,4.54,3.94,3.96,3.77,3.59,3.57,3.18,2.71,2.69,2.29,2.33,2.64,2.17,2.01,1.77,1.67,1.71,1.58,1.58,1.47,1.46,1.39,1.3,1.25,1.24,1.18,1.14,1.1,1.04,1.04,1.01,0.93,0.92,0.94,0.93,0.9,0.9,0.86,0.92,0.84,0.84,0.76,0.74,0.68,0.66,0.54,0.59,0.57,0.56,0.56,0.54,0.54,0.53,0.49,0.45,0.47,0.46,0.46,0.45,0.42,0.43,0.42,0.42,0.41,0.41,0.4,0.39,0.36,0.36,0.37,0.36,0.34,0.33,0.31,0.3,0.28,0.28,0.25,0.24,0.24,0.23,0.22,0.22,0.22,0.21,0.2,0.2,0.21,0.18,0.18,0.18,0.18,0.18,0.16,0.18,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.12,0.13,0.12,0.13,0.13,0.13,0.13,0.12,0.12,0.0,0.26,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07
07/16/2021,4.63,3.92,4.08,3.86,3.57,3.52,3.11,2.68,2.68,2.24,2.21,2.56,2.16,1.96,1.76,1.7,1.69,1.61,1.58,1.52,1.44,1.42,1.3,1.26,1.31,1.17,1.13,1.12,1.04,1.06,1.02,0.93,0.95,0.94,0.93,0.88,0.89,0.87,0.91,0.84,0.85,0.74,0.75,0.67,0.67,0.55,0.59,0.6,0.55,0.55,0.55,0.55,0.53,0.49,0.46,0.48,0.47,0.47,0.44,0.43,0.44,0.41,0.43,0.43,0.43,0.4,0.4,0.36,0.36,0.36,0.36,0.37,0.33,0.31,0.28,0.27,0.27,0.25,0.24,0.24,0.22,0.23,0.23,0.21,0.2,0.19,0.2,0.21,0.18,0.19,0.18,0.17,0.18,0.16,0.17,0.17,0.17,0.16,0.14,0.14,0.11,0.14,0.11,0.12,0.13,0.13,0.15,0.13,0.13,0.12,0.13,0.0,0.14,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.06,0.04,0.05,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/29/2021,4.71,3.76,4.33,3.82,3.37,3.68,3.02,2.87,2.74,2.19,2.3,2.61,2.29,1.92,1.74,1.72,1.74,1.67,1.63,1.49,1.49,1.47,1.31,1.33,1.25,1.03,1.16,1.13,1.09,1.06,1.01,0.91,0.92,0.0,0.99,0.9,0.9,0.9,0.75,0.86,0.89,0.76,0.75,0.68,0.69,0.6,0.56,0.63,0.6,0.52,0.55,0.56,0.56,0.47,0.43,0.51,0.48,0.48,0.45,0.42,0.45,0.42,0.44,0.4,0.41,0.43,0.42,0.35,0.37,0.36,0.39,0.35,0.32,0.31,0.3,0.26,0.28,0.24,0.24,0.25,0.22,0.23,0.24,0.25,0.2,0.18,0.19,0.21,0.18,0.2,0.19,0.17,0.18,0.16,0.17,0.17,0.17,0.19,0.14,0.14,0.07,0.14,0.11,0.12,0.12,0.14,0.14,0.13,0.13,0.12,0.13,0.01,0.15,0.11,0.14,0.09,0.1,0.09,0.07,0.1,0.1,0.08,0.09,0.08,0.09,0.07,0.07,0.07,0.03,0.04,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/13/2021,5.06,4.31,4.67,3.78,3.24,3.63,3.12,3.17,2.58,2.44,0.0,2.6,2.52,1.9,1.75,1.86,1.73,1.58,1.56,1.44,1.53,1.41,1.33,1.34,1.56,1.12,1.23,1.15,1.16,1.02,1.01,0.94,0.91,0.0,0.99,0.88,0.83,0.89,0.78,0.84,0.93,0.67,0.79,0.67,0.7,0.62,0.52,0.65,0.6,0.59,0.56,0.56,0.55,0.46,0.52,0.51,0.48,0.48,0.45,0.5,0.44,0.43,0.45,0.44,0.47,0.47,0.39,0.38,0.34,0.36,0.38,0.29,0.3,0.3,0.31,0.27,0.27,0.25,0.25,0.23,0.25,0.22,0.26,0.26,0.19,0.18,0.18,0.19,0.17,0.21,0.2,0.16,0.19,0.16,0.17,0.16,0.17,0.18,0.15,0.13,0.01,0.14,0.19,0.13,0.12,0.14,0.14,0.13,0.13,0.12,0.14,0.0,0.18,0.12,0.11,0.09,0.11,0.09,0.08,0.09,0.11,0.07,0.1,0.08,0.1,0.0,0.07,0.08,0.0,0.04,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.03,0.04,0.03,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/16/2021,5.14,4.06,4.74,3.86,3.31,3.64,3.09,3.09,2.57,2.34,0.0,2.65,2.56,1.92,1.74,1.88,1.73,1.59,1.56,1.43,1.49,1.39,1.35,1.33,1.59,1.13,1.22,1.16,1.26,1.03,1.02,0.92,0.92,0.0,0.98,0.87,0.83,0.92,0.78,0.83,0.94,0.68,0.78,0.64,0.71,0.6,0.53,0.65,0.6,0.58,0.57,0.55,0.55,0.47,0.51,0.51,0.48,0.49,0.42,0.54,0.44,0.44,0.45,0.42,0.49,0.46,0.39,0.37,0.35,0.35,0.38,0.29,0.3,0.3,0.3,0.26,0.27,0.24,0.25,0.22,0.25,0.22,0.26,0.26,0.2,0.18,0.19,0.19,0.17,0.22,0.2,0.16,0.19,0.16,0.17,0.16,0.17,0.18,0.15,0.13,0.01,0.14,0.17,0.13,0.12,0.14,0.14,0.13,0.12,0.12,0.14,0.03,0.14,0.12,0.1,0.09,0.11,0.09,0.07,0.09,0.11,0.07,0.09,0.08,0.09,0.01,0.07,0.08,0.0,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.04,0.05,0.03,0.04,0.03,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
08/17/2021,5.09,4.21,4.77,3.83,3.27,3.68,3.18,3.09,2.58,2.25,0.0,2.64,2.58,1.91,1.75,1.86,1.73,1.59,1.56,1.35,1.41,1.37,1.36,1.34,1.57,1.1,1.25,1.18,1.41,1.02,1.02,0.91,0.91,0.0,1.0,0.88,0.84,0.91,0.77,0.83,0.94,0.67,0.79,0.66,0.71,0.58,0.53,0.65,0.61,0.57,0.57,0.55,0.56,0.43,0.5,0.51,0.48,0.49,0.42,0.55,0.45,0.45,0.46,0.41,0.48,0.46,0.4,0.36,0.35,0.36,0.38,0.28,0.3,0.3,0.3,0.26,0.27,0.24,0.25,0.22,0.25,0.22,0.26,0.26,0.2,0.18,0.19,0.19,0.17,0.22,0.2,0.16,0.19,0.16,0.16,0.16,0.17,0.18,0.16,0.13,0.01,0.14,0.16,0.13,0.11,0.14,0.14,0.13,0.13,0.12,0.12,0.03,0.14,0.12,0.1,0.09,0.1,0.09,0.07,0.09,0.11,0.07,0.09,0.08,0.09,0.01,0.07,0.08,0.0,0.04,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.03,0.04,0.02,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
08/19/2021,4.9,4.23,4.78,3.8,3.3,3.76,3.28,3.17,2.61,2.13,0.0,2.64,2.6,1.92,1.76,1.87,1.74,1.62,1.58,1.32,1.43,1.37,1.39,1.34,1.46,1.12,1.26,1.19,1.39,1.03,1.02,0.92,0.88,0.0,1.0,0.89,0.85,0.9,0.75,0.82,0.95,0.68,0.78,0.66,0.72,0.55,0.53,0.65,0.6,0.56,0.56,0.55,0.56,0.41,0.49,0.51,0.48,0.49,0.42,0.57,0.45,0.44,0.46,0.4,0.46,0.47,0.4,0.35,0.35,0.36,0.38,0.28,0.3,0.3,0.31,0.26,0.28,0.24,0.25,0.22,0.25,0.22,0.26,0.26,0.2,0.18,0.19,0.18,0.17,0.22,0.19,0.16,0.19,0.16,0.16,0.16,0.17,0.18,0.16,0.13,0.01,0.14,0.17,0.13,0.12,0.14,0.14,0.14,0.13,0.12,0.13,0.05,0.14,0.12,0.1,0.09,0.1,0.09,0.07,0.09,0.12,0.07,0.09,0.08,0.08,0.01,0.07,0.08,0.0,0.04,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.03,0.04,0.02,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/20/2021,4.78,4.18,4.67,3.72,3.3,3.81,3.29,3.23,2.63,2.12,0.0,2.55,2.66,1.92,1.78,1.82,1.75,1.65,1.6,1.34,1.44,1.34,1.4,1.32,1.47,1.12,1.31,1.19,1.38,1.03,1.01,0.91,0.91,0.0,1.0,0.92,0.86,0.91,0.74,0.85,0.95,0.68,0.79,0.67,0.72,0.56,0.53,0.65,0.59,0.55,0.56,0.56,0.56,0.41,0.48,0.51,0.49,0.49,0.44,0.59,0.45,0.44,0.46,0.39,0.45,0.48,0.4,0.34,0.34,0.36,0.39,0.28,0.31,0.3,0.3,0.27,0.28,0.24,0.26,0.22,0.26,0.23,0.27,0.27,0.21,0.18,0.19,0.18,0.17,0.22,0.19,0.16,0.2,0.16,0.16,0.16,0.17,0.17,0.17,0.13,0.02,0.14,0.17,0.13,0.12,0.14,0.14,0.14,0.13,0.12,0.13,0.03,0.16,0.12,0.1,0.09,0.1,0.09,0.07,0.1,0.11,0.07,0.09,0.08,0.09,0.01,0.07,0.08,0.0,0.04,0.05,0.05,0.06,0.05,0.06,0.06,0.04,0.05,0.03,0.04,0.02,0.01,0.02,0.02,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
