,BRK.B,BAC,JPM,V,PYPL,MA,C,WFC,MS,GS,TRV,TROW,ALL,COF,SCHW,BLK,PNC,DFS,USB,MMC,AXP,PRU,SYF,AMP,MSCI,FITB,STT,SPGI,AIG,HIG,AFL,FRC,SIVB,PGR,TFC,MCO,ICE,CME,ALLY,BX,WLTW,EFX,AON,AJG,BK,NTRS,CB,MET,KEY,CBI.MI,CFG,FLT,FIS,GPN,RF,TRU,HBAN,NDAQ,PFG,MTB,CINF,RJF,KKR,SQ,FISV,MKTX,FNF,L,SBNY,MKL,FDS,LNC,BRO,ACGL,IVZ,ATH,LPLA,CBOE,JKHY,CMA,EQH,EWBC,ZION,GL,WRB,BEN,RE,AFG,WAL,SEIC,FHN,AIZ,VOYA,Y,CBSH,WU,FAF,RGA,WEX,JEF,ORI,PBCT,UNM,PRI,OMF,CFR,APO,PB,RNR,FFIN,EEFT,JHG,MORN,CACC,ERIE,NYCB,KMPR,SLM,SC,FCNCA,SF,IBKR,ARES,BPOP,TW,PNFP,AMG,SNV,SSB,OZK,DNB,BOKF,LMND,CNA,VIRT,FOUR,TFSL,RKT,AFRM,CBI.MI.1,CBI.MI.2,7839989D1010,n/a,SUM
07/09/2021,3.86,3.71,3.7,3.58,3.11,3.1,1.89,1.88,1.74,1.7,1.55,1.5,1.49,1.41,1.32,1.32,1.29,1.29,1.23,1.22,1.18,1.18,1.14,1.12,1.12,1.09,1.08,1.07,1.07,1.06,1.0,1.0,1.0,0.99,0.98,0.98,0.97,0.96,0.94,0.94,0.92,0.91,0.9,0.87,0.85,0.85,0.82,0.8,0.78,0.78,0.76,0.75,0.74,0.74,0.71,0.69,0.68,0.67,0.63,0.61,0.6,0.58,0.58,0.56,0.53,0.53,0.49,0.48,0.48,0.45,0.45,0.44,0.44,0.42,0.42,0.42,0.41,0.41,0.39,0.39,0.39,0.38,0.37,0.36,0.36,0.35,0.34,0.34,0.33,0.32,0.32,0.32,0.32,0.32,0.3,0.29,0.28,0.28,0.27,0.27,0.26,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.2,0.2,0.19,0.19,0.18,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.1,0.09,0.08,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.0,0.0,0.0,100.07999999999998
10/04/2021,3.9,3.44,3.66,3.79,2.93,3.27,1.79,1.89,1.91,1.74,1.55,1.56,1.5,1.46,1.23,1.3,1.23,1.35,1.19,1.29,1.22,1.16,1.11,1.17,1.25,1.03,1.15,1.12,1.06,1.08,1.04,1.05,0.99,0.97,0.97,1.01,0.98,0.95,0.97,1.1,0.83,1.0,0.98,0.86,0.86,0.84,0.87,0.77,0.75,0.0,0.7,0.76,0.77,0.75,0.67,0.76,0.67,0.71,0.63,0.56,0.6,0.59,0.62,0.56,0.57,0.54,0.5,0.47,0.44,0.46,0.48,0.43,0.45,0.43,0.38,0.41,0.43,0.41,0.42,0.37,0.4,0.37,0.36,0.35,0.36,0.32,0.35,0.35,0.34,0.32,0.29,0.32,0.34,0.32,0.29,0.29,0.31,0.27,0.26,0.28,0.26,0.22,0.23,0.22,0.23,0.21,0.21,0.21,0.22,0.21,0.22,0.22,0.2,0.2,0.18,0.19,0.15,0.15,0.18,0.15,0.16,0.14,0.17,0.14,0.14,0.13,0.13,0.11,0.1,0.1,0.08,0.08,0.05,0.05,0.05,0.03,0.03,0.02,0.02,0.0,0.0,0.17,0.04,100.14999999999999
