,HON,UPS,UNP,RTX,BA,CAT,GE,MMM,DE,LMT,FDX,CSX,ITW,NSC,UBER,ETN,WM,NOC,EMR,JCI,ROP,LHX,GD,TT,INFO,CARR,PH,CTAS,CMI,TDG,OTIS,SWK,ROK,CSGP,WCN.TO,AME,PCAR,FAST,EFX,CPRT,VRSK,GNRC,KSU,ODFL,RSG,URI,FTV,XYL,DOV,EXPD,TRU,GWW,TDY,IR,J,IEX,PLUG,LYFT,TXT,MAS,WAB,JBHT,LDOS,FBHS,HWM,GGG,ALLE,CHRW,XPO,PWR,SNA,TTC,BAH,LII,TREX,NDSN,AXON,PNR,OC,CSL,HUBB,RHI,688208.SS,RUN,MIDD,AOS,WSO,HEI.A,ST,CLVT,ACM,OSK,HII,BLDR,AGCO,NLSN,ITT,DCI,LUV,688208.SS.1,ROL,LECO,IAA,SITE,WWD,KNX,DAL,VRT,TTEK,EME,SRCL,UPWK,MAN,CACI,AYI,MTZ,HEI,MSA,WMS,RXN,LSTR,UHAL,SPCE,CFX,BWXT,SAIA,TKR,RBC,GTLS,KBR,NVT,FLS,AWI,HXL,SAIC,ROLL,ASGN,VMI,SPR,CW,CLH,SSD,WSC,FCN,WCC,EXPO,AL,UFPI,JBT,ALSN,CR,AIMC,MSM,ENS,CAR,UNVR,REZI,WTS,AQUA,R,BCO,KFY,AZEK,BE,MRCY,AIT,TRTN,KTOS,UNF,AAL,NSP,HI,TEX,ATKR,CWST,AJRD,SHLS,FELE,WBT,APG,BECN,ABM,GATX,TNET,MIC,KMT,MAXR,FIX,ACA,SPXC,MLHR,WERN,AIN,FLOW,FCEL,BRC,AAON,DOOR,NKLA,ROCK,Ss Inst Treas Plus Mm Fund Tru Ss Inst Treas Plus Mm Fund Tru,Xai Emini Industr Sep21 Xcme 20210917,PRLB,FWRD,ESE,CVA,MANT,VICR,HRI,HLIO,SUM
07/09/2021,3.73,3.69,3.65,3.19,3.18,2.88,2.84,2.81,2.55,2.33,1.83,1.81,1.73,1.65,1.51,1.46,1.46,1.42,1.42,1.21,1.2,1.12,1.11,1.08,1.04,0.97,0.97,0.88,0.87,0.83,0.83,0.81,0.8,0.79,0.76,0.75,0.74,0.73,0.72,0.7,0.67,0.63,0.63,0.62,0.6,0.56,0.55,0.53,0.53,0.53,0.52,0.48,0.48,0.44,0.42,0.41,0.4,0.39,0.38,0.37,0.35,0.34,0.34,0.33,0.33,0.31,0.31,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.52
07/12/2021,3.73,3.74,3.71,3.16,3.12,2.84,2.76,2.81,2.54,2.34,1.79,1.83,1.73,1.67,1.42,1.47,1.48,1.43,1.41,1.22,1.23,1.14,1.12,1.1,1.05,0.98,0.97,0.89,0.86,0.83,0.84,0.82,0.82,0.82,0.78,0.76,0.73,0.75,0.73,0.72,0.68,0.66,0.63,0.62,0.62,0.55,0.55,0.53,0.53,0.53,0.53,0.5,0.48,0.45,0.42,0.41,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.32,0.31,0.3,0.29,0.3,0.3,0.29,0.3,0.29,0.29,0.28,0.27,0.28,0.25,0.25,0.25,0.24,0.0,0.22,0.23,0.24,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.0,0.19,0.18,0.18,0.19,0.18,0.19,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.0,0.0,0.24,0.24,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,95.6
07/13/2021,3.73,3.74,3.71,3.16,3.12,2.84,2.76,2.81,2.54,2.34,1.79,1.83,1.73,1.67,1.42,1.47,1.48,1.43,1.41,1.22,1.23,1.14,1.12,1.1,1.05,0.98,0.97,0.89,0.86,0.83,0.84,0.82,0.82,0.82,0.78,0.76,0.73,0.75,0.73,0.72,0.68,0.66,0.63,0.62,0.62,0.55,0.55,0.53,0.53,0.53,0.53,0.5,0.48,0.45,0.42,0.41,0.37,0.37,0.37,0.36,0.35,0.34,0.34,0.33,0.31,0.32,0.31,0.3,0.29,0.3,0.3,0.29,0.3,0.29,0.29,0.28,0.27,0.28,0.25,0.25,0.25,0.24,0.0,0.22,0.23,0.24,0.24,0.23,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.0,0.19,0.18,0.18,0.19,0.18,0.19,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.0,0.0,0.24,0.24,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,95.6
07/14/2021,3.78,3.73,3.6,3.18,3.21,2.87,2.79,2.82,2.52,2.34,1.81,1.76,1.74,1.61,1.43,1.48,1.46,1.43,1.42,1.22,1.22,1.14,1.12,1.1,1.04,0.97,0.97,0.89,0.87,0.83,0.84,0.81,0.82,0.82,0.78,0.76,0.73,0.75,0.73,0.71,0.68,0.67,0.6,0.63,0.61,0.56,0.55,0.53,0.53,0.53,0.53,0.49,0.48,0.45,0.42,0.41,0.36,0.37,0.37,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.28,0.29,0.28,0.27,0.28,0.24,0.25,0.25,0.24,0.0,0.22,0.24,0.23,0.23,0.23,0.22,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.18,0.18,0.19,0.18,0.19,0.17,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.0,0.0,0.23,0.24,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,95.56
07/15/2021,3.79,3.71,3.58,3.17,3.19,2.88,2.78,2.8,2.55,2.31,1.83,1.76,1.74,1.6,1.41,1.49,1.46,1.42,1.43,1.23,1.22,1.14,1.11,1.11,1.02,0.98,0.98,0.9,0.87,0.82,0.84,0.82,0.82,0.82,0.77,0.76,0.74,0.75,0.73,0.72,0.67,0.68,0.59,0.62,0.61,0.56,0.55,0.53,0.54,0.52,0.52,0.49,0.48,0.45,0.43,0.41,0.35,0.36,0.37,0.36,0.36,0.34,0.34,0.33,0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.28,0.29,0.28,0.28,0.28,0.25,0.25,0.25,0.24,0.0,0.23,0.24,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.19,0.19,0.18,0.19,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.0,0.06,0.24,0.24,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,95.51
07/16/2021,3.81,3.72,3.59,3.17,3.09,2.87,2.76,2.83,2.55,2.33,1.84,1.77,1.76,1.61,1.41,1.5,1.47,1.43,1.44,1.23,1.24,1.16,1.12,1.11,1.03,0.99,0.98,0.88,0.87,0.82,0.84,0.81,0.83,0.82,0.78,0.76,0.74,0.75,0.73,0.72,0.68,0.69,0.6,0.63,0.61,0.55,0.55,0.53,0.54,0.53,0.52,0.5,0.5,0.45,0.42,0.41,0.34,0.36,0.37,0.37,0.36,0.35,0.35,0.33,0.31,0.32,0.3,0.3,0.3,0.3,0.3,0.29,0.3,0.28,0.28,0.28,0.28,0.28,0.24,0.25,0.25,0.24,0.0,0.22,0.24,0.24,0.23,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.19,0.19,0.18,0.19,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.11,0.1,0.1,0.1,0.09,0.1,0.1,0.1,0.09,0.1,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.06,0.06,0.0,0.0,0.24,0.24,0.06,0.0,0.06,0.0,0.0,0.0,0.0,0.0,95.6
07/19/2021,3.96,3.75,3.61,3.16,3.02,2.82,2.74,2.87,2.52,2.33,1.83,1.78,1.78,1.62,1.37,1.5,1.5,1.41,1.45,1.24,1.25,1.15,1.13,1.12,1.04,1.0,0.97,0.85,0.87,0.81,0.86,0.81,0.84,0.84,0.79,0.77,0.75,0.75,0.75,0.73,0.7,0.67,0.6,0.63,0.62,0.56,0.55,0.53,0.55,0.53,0.53,0.5,0.5,0.44,0.42,0.42,0.33,0.34,0.37,0.37,0.36,0.35,0.35,0.33,0.31,0.32,0.3,0.31,0.3,0.3,0.3,0.29,0.3,0.26,0.27,0.29,0.27,0.29,0.24,0.26,0.26,0.24,0.0,0.2,0.25,0.24,0.23,0.22,0.22,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.0,0.19,0.19,0.19,0.18,0.17,0.19,0.16,0.17,0.16,0.16,0.16,0.13,0.16,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.08,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.0,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.0,0.06,0.06,0.06,0.0,0.0,0.25,0.26,0.0,0.06,0.06,0.06,0.06,0.0,0.0,0.0,95.64
07/20/2021,3.95,3.74,3.61,3.13,2.98,2.8,2.72,2.85,2.52,2.35,1.82,1.78,1.78,1.62,1.37,1.5,1.52,1.42,1.44,1.24,1.26,1.16,1.14,1.13,1.06,1.0,0.96,0.9,0.87,0.81,0.86,0.81,0.84,0.85,0.8,0.78,0.75,0.76,0.77,0.74,0.71,0.67,0.6,0.62,0.63,0.55,0.55,0.53,0.55,0.53,0.54,0.5,0.5,0.45,0.42,0.42,0.32,0.34,0.37,0.38,0.36,0.35,0.35,0.33,0.3,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.27,0.27,0.29,0.27,0.28,0.24,0.25,0.26,0.24,0.0,0.2,0.25,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.0,0.2,0.19,0.19,0.18,0.17,0.19,0.16,0.17,0.17,0.16,0.16,0.13,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.25,0.26,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,95.64
07/21/2021,3.95,3.74,3.61,3.13,2.98,2.8,2.72,2.85,2.52,2.35,1.82,1.78,1.78,1.62,1.37,1.5,1.52,1.42,1.44,1.24,1.26,1.16,1.14,1.13,1.06,1.0,0.96,0.9,0.87,0.81,0.86,0.81,0.84,0.85,0.8,0.78,0.75,0.76,0.77,0.74,0.71,0.67,0.6,0.62,0.63,0.55,0.55,0.53,0.55,0.53,0.54,0.5,0.5,0.45,0.42,0.42,0.32,0.34,0.37,0.38,0.36,0.35,0.35,0.33,0.3,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.27,0.27,0.29,0.27,0.28,0.24,0.25,0.26,0.24,0.0,0.2,0.25,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.0,0.2,0.19,0.19,0.18,0.17,0.19,0.16,0.17,0.17,0.16,0.16,0.13,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.25,0.26,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,95.64
07/22/2021,3.95,3.74,3.61,3.13,2.98,2.8,2.72,2.85,2.52,2.35,1.82,1.78,1.78,1.62,1.37,1.5,1.52,1.42,1.44,1.24,1.26,1.16,1.14,1.13,1.06,1.0,0.96,0.9,0.87,0.81,0.86,0.81,0.84,0.85,0.8,0.78,0.75,0.76,0.77,0.74,0.71,0.67,0.6,0.62,0.63,0.55,0.55,0.53,0.55,0.53,0.54,0.5,0.5,0.45,0.42,0.42,0.32,0.34,0.37,0.38,0.36,0.35,0.35,0.33,0.3,0.32,0.31,0.31,0.3,0.3,0.29,0.3,0.3,0.27,0.27,0.29,0.27,0.28,0.24,0.25,0.26,0.24,0.0,0.2,0.25,0.23,0.23,0.22,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.18,0.0,0.2,0.19,0.19,0.18,0.17,0.19,0.16,0.17,0.17,0.16,0.16,0.13,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.14,0.1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.08,0.08,0.08,0.06,0.08,0.08,0.07,0.07,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.0,0.06,0.06,0.06,0.0,0.0,0.25,0.26,0.0,0.0,0.06,0.06,0.06,0.0,0.0,0.0,95.64
