,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,NVDA,TSLA,BRK.B,JPM,JNJ,UNH,V,PG,HD,PYPL,DIS,ADBE,BAC,CMCSA,MA,PFE,NFLX,CRM,CSCO,TMO,XOM,VZ,KO,ACN,PEP,INTC,ABT,NKE,DHR,LLY,AVGO,WMT,T,COST,ABBV,WFC,MRK,TXN,CVX,MDT,PM,MCD,LIN,QCOM,HON,INTU,NEE,ORCL,UNP,MS,LOW,GS,C,UPS,BMY,ISRG,NOW,BLK,SBUX,SPGI,AMT,AMGN,AMD,TGT,BA,CAT,IBM,RTX,MRNA,AMAT,CHTR,CVS,MMM,DE,AXP,ANTM,LMT,GE,SCHW,PLD,BKNG,EL,ADI,LRCX,MMC,MO,SHW,EQIX,ADP,ZTS,CCI,n/a,MDLZ,CB,SYK,PNC,CI,GILD,TJX,REGN,TMUS,FDX,DUK,CME,USB,ETN,FIS,NSC,HCA,TFC,COP,NVR,BDX,MU,AON,ICE,ROP,EW,CSX,COF,ITW,DG,ECL,APD,ILMN,FISV,SO,WM,CL,ADSK,NXPI,EMR,VRTX,MSCI,GM,D,IQV,TT,BSX,ATVI,IDXX,HUM,GD,LHX,NOC,SBAC,TROW,PGR,JCI,DXCM,CMG,MCO,SNPS,KLAC,ALGN,A,FCX,GPN,DOW,PPG,XLNX,IT,PRU,DLR,MTD,MCHP,FTNT,AIG,TRV,BIIB,F,CDNS,PSA,ROK,TWTR,SIVB,CARR,PH,EA,ORLY,KSU,RMD,EXC,NEM,TEL,MET,APH,AZO,LH,PXD,EBAY,IFF,APTV,ODFL,AME,CTAS,MAR,ALL,EOG,XEL,OTIS,INFO,MTCH,KMB,CTSH,BAX,AEP,ROST,WELL,YUM,DD,SPG,FRC,MNST,CNC,HLT,SRE,ANSS,BK,SLB,MPC,WST,MSI,EFX,SYY,AMP,CPRT,ETSY,HPQ,SUM
09/08/2021,6.47,6.06,4.02,2.41,2.36,2.16,1.52,1.5,1.44,1.3,1.24,1.07,1.02,0.95,0.95,0.92,0.88,0.87,0.83,0.76,0.76,0.71,0.7,0.7,0.68,0.63,0.63,0.62,0.6,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.56,0.53,0.52,0.5,0.5,0.49,0.47,0.47,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78
09/09/2021,6.47,6.06,4.02,2.41,2.36,2.16,1.52,1.5,1.44,1.3,1.24,1.07,1.02,0.95,0.95,0.92,0.88,0.87,0.83,0.76,0.76,0.71,0.7,0.7,0.68,0.63,0.63,0.62,0.6,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.56,0.56,0.53,0.52,0.5,0.5,0.49,0.47,0.47,0.45,0.45,0.44,0.44,0.44,0.43,0.42,0.42,0.4,0.39,0.39,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.25,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.78
09/10/2021,6.57,6.04,4.05,2.45,2.37,2.17,1.51,1.54,1.42,1.29,1.22,1.07,1.03,0.95,0.94,0.93,0.9,0.86,0.84,0.75,0.77,0.71,0.72,0.69,0.67,0.64,0.62,0.61,0.59,0.59,0.58,0.59,0.57,0.56,0.57,0.55,0.56,0.55,0.53,0.51,0.49,0.5,0.48,0.47,0.47,0.45,0.45,0.44,0.45,0.44,0.42,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.34,0.34,0.35,0.33,0.33,0.33,0.33,0.33,0.32,0.31,0.31,0.31,0.33,0.31,0.3,0.29,0.28,0.28,0.29,0.28,0.26,0.27,0.27,0.26,0.26,0.25,0.24,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.66
09/13/2021,6.47,5.99,4.03,2.43,2.36,2.16,1.48,1.55,1.42,1.29,1.19,1.05,1.04,0.95,0.95,0.91,0.91,0.86,0.83,0.74,0.79,0.7,0.71,0.68,0.67,0.64,0.62,0.61,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.52,0.55,0.55,0.53,0.52,0.48,0.5,0.47,0.47,0.47,0.45,0.44,0.45,0.44,0.43,0.42,0.42,0.42,0.4,0.38,0.39,0.38,0.38,0.37,0.35,0.36,0.36,0.34,0.34,0.35,0.34,0.33,0.32,0.32,0.33,0.32,0.31,0.31,0.31,0.34,0.3,0.29,0.29,0.28,0.27,0.29,0.28,0.26,0.27,0.27,0.25,0.26,0.25,0.25,0.22,0.23,0.23,0.22,0.22,0.23,0.23,0.22,0.23,0.2,0.2,0.21,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.23
09/14/2021,6.47,5.99,4.03,2.43,2.36,2.16,1.48,1.55,1.42,1.29,1.19,1.05,1.04,0.95,0.95,0.91,0.91,0.86,0.83,0.74,0.79,0.7,0.71,0.68,0.67,0.64,0.62,0.61,0.59,0.59,0.58,0.58,0.57,0.57,0.56,0.52,0.55,0.55,0.53,0.52,0.48,0.5,0.47,0.47,0.47,0.45,0.44,0.45,0.44,0.43,0.42,0.42,0.42,0.4,0.38,0.39,0.38,0.38,0.37,0.35,0.36,0.36,0.34,0.34,0.35,0.34,0.33,0.32,0.32,0.33,0.32,0.31,0.31,0.31,0.34,0.3,0.29,0.29,0.28,0.27,0.29,0.28,0.26,0.27,0.27,0.25,0.26,0.25,0.25,0.22,0.23,0.23,0.22,0.22,0.23,0.23,0.22,0.23,0.2,0.2,0.21,0.22,0.21,0.21,0.21,0.19,0.2,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.16,0.16,0.17,0.17,0.17,0.17,0.18,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.14,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.14,0.13,0.13,0.13,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.23
09/16/2021,6.28,5.99,4.0,2.42,2.34,2.14,1.48,1.53,1.43,1.3,1.18,1.05,1.02,0.96,0.96,0.89,0.9,0.84,0.83,0.74,0.78,0.68,0.7,0.66,0.66,0.63,0.63,0.61,0.59,0.58,0.58,0.6,0.57,0.55,0.55,0.52,0.56,0.54,0.53,0.51,0.48,0.51,0.46,0.49,0.48,0.44,0.44,0.45,0.44,0.44,0.42,0.42,0.41,0.4,0.38,0.39,0.38,0.38,0.37,0.36,0.35,0.35,0.33,0.34,0.36,0.34,0.33,0.32,0.31,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.3,0.28,0.28,0.27,0.29,0.28,0.26,0.27,0.27,0.25,0.26,0.25,0.25,0.23,0.23,0.22,0.23,0.22,0.22,0.23,0.21,0.25,0.2,0.21,0.2,0.22,0.2,0.21,0.21,0.19,0.19,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.69000000000001
09/17/2021,6.23,6.05,4.0,2.42,2.34,2.14,1.49,1.53,1.42,1.28,1.17,1.05,1.02,0.96,0.96,0.9,0.89,0.84,0.81,0.69,0.78,0.68,0.69,0.67,0.66,0.63,0.63,0.61,0.59,0.59,0.58,0.6,0.57,0.55,0.56,0.51,0.56,0.54,0.53,0.51,0.48,0.52,0.46,0.49,0.47,0.44,0.43,0.45,0.44,0.43,0.41,0.42,0.41,0.39,0.37,0.38,0.38,0.38,0.36,0.36,0.35,0.35,0.34,0.34,0.36,0.34,0.33,0.32,0.32,0.33,0.32,0.3,0.31,0.31,0.32,0.31,0.28,0.28,0.27,0.27,0.29,0.27,0.26,0.26,0.26,0.25,0.26,0.25,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.25,0.2,0.2,0.21,0.21,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.19,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.12,0.13,0.13,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.0,0.11,0.11,0.11,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.41000000000001
09/20/2021,6.23,6.13,4.02,2.39,2.35,2.15,1.48,1.55,1.41,1.28,1.17,1.05,1.02,0.95,0.96,0.9,0.89,0.87,0.82,0.71,0.77,0.67,0.7,0.68,0.65,0.63,0.64,0.61,0.58,0.59,0.58,0.6,0.57,0.55,0.55,0.5,0.57,0.54,0.53,0.52,0.48,0.52,0.46,0.49,0.47,0.44,0.44,0.45,0.44,0.42,0.41,0.43,0.41,0.39,0.37,0.38,0.39,0.37,0.36,0.36,0.34,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.32,0.33,0.32,0.3,0.3,0.31,0.33,0.32,0.28,0.29,0.27,0.26,0.29,0.28,0.25,0.26,0.26,0.25,0.26,0.24,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.25,0.2,0.2,0.21,0.21,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.12,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.60000000000001
09/21/2021,6.23,6.13,4.02,2.39,2.35,2.15,1.48,1.55,1.41,1.28,1.17,1.05,1.02,0.95,0.96,0.9,0.89,0.87,0.82,0.71,0.77,0.67,0.7,0.68,0.65,0.63,0.64,0.61,0.58,0.59,0.58,0.6,0.57,0.55,0.55,0.5,0.57,0.54,0.53,0.52,0.48,0.52,0.46,0.49,0.47,0.44,0.44,0.45,0.44,0.42,0.41,0.43,0.41,0.39,0.37,0.38,0.39,0.37,0.36,0.36,0.34,0.35,0.34,0.33,0.34,0.34,0.33,0.32,0.32,0.33,0.32,0.3,0.3,0.31,0.33,0.32,0.28,0.29,0.27,0.26,0.29,0.28,0.25,0.26,0.26,0.25,0.26,0.24,0.25,0.23,0.22,0.22,0.22,0.22,0.22,0.23,0.21,0.25,0.2,0.2,0.21,0.21,0.2,0.21,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.2,0.19,0.2,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.16,0.16,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.15,0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.14,0.14,0.14,0.15,0.14,0.14,0.12,0.14,0.14,0.13,0.13,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.12,0.12,0.11,0.0,0.11,0.0,0.11,0.0,0.11,0.11,0.0,0.11,0.12,0.11,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.0,0.0,0.11,0.0,0.11,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.60000000000001
09/22/2021,6.2,6.08,4.05,2.35,2.34,2.13,1.48,1.66,1.39,1.27,1.18,1.08,1.02,0.95,0.97,0.89,0.91,0.84,0.81,0.71,0.8,0.67,0.71,0.69,0.66,0.63,0.64,0.62,0.58,0.58,0.58,0.6,0.61,0.55,0.56,0.5,0.57,0.55,0.54,0.55,0.51,0.53,0.49,0.5,0.5,0.47,0.44,0.48,0.44,0.41,0.41,0.42,0.43,0.39,0.36,0.38,0.39,0.37,0.37,0.36,0.37,0.35,0.34,0.33,0.34,0.29,0.37,0.33,0.34,0.33,0.32,0.3,0.33,0.34,0.41,0.35,0.26,0.29,0.27,0.26,0.3,0.24,0.23,0.3,0.28,0.25,0.26,0.21,0.25,0.23,0.22,0.24,0.19,0.2,0.22,0.25,0.21,0.76,0.23,0.2,0.25,0.21,0.2,0.24,0.21,0.2,0.19,0.17,0.21,0.19,0.19,0.18,0.21,0.17,0.18,0.19,0.2,0.0,0.2,0.23,0.19,0.18,0.14,0.2,0.17,0.18,0.16,0.14,0.15,0.17,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.15,0.14,0.15,0.2,0.16,0.14,0.12,0.17,0.15,0.15,0.15,0.13,0.13,0.13,0.11,0.14,0.14,0.14,0.15,0.14,0.17,0.12,0.14,0.14,0.13,0.12,0.12,0.11,0.0,0.12,0.0,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.11,0.13,0.12,0.12,0.0,0.12,0.0,0.13,0.11,0.0,0.11,0.0,0.11,0.13,0.0,0.11,0.12,0.11,0.12,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.13,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.70000000000002
