,PDBC,VNQ,Van Eck Real Asset Allocation,EINC,PAVE,MOO,GDX,XLE,IGF,FRAK,OIH,SLX,PICK,SMOG,TAN,QCLN,NURE,VanEck Vectors Mortgage REIT Income ETF,Us Dollar,OUNZ,GVMXX,GLDM,IAU,GBTC,SUM
07/09/2021,20.61,14.47,12.12,6.06,5.53,5.13,4.75,4.71,4.54,4.12,3.56,3.56,3.18,2.54,1.27,1.27,1.17,1.15,0.26,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,20.63,14.57,0.0,6.06,5.58,5.14,4.75,4.7,4.54,4.1,3.5,3.6,3.21,2.58,1.3,1.3,0.0,0.0,0.0,8.07,3.57,2.03,2.03,2.02,103.28
09/01/2021,20.63,14.57,0.0,6.06,5.58,5.14,4.75,4.7,4.54,4.1,3.5,3.6,3.21,2.58,1.3,1.3,0.0,0.0,0.0,8.07,3.57,2.03,2.03,2.02,103.27999999999999
