,Kinnevik AB (Class B),SOF.BR,Entain PLC,Signify NV,SGRO.L,IPN.PA,KNIN.SW,VALMT.HE,Investor AB (Class B),KGF.L,BBOX.L,RMG.L,OCI.AS,LEG.DE,Evolution Gaming Group AB,TKA.VI,RXL.PA,INVP.L,PUB.PA,DWNI.DE,SAN.PA,Boliden AB,FORTUM.HE,DIE.BR,Tele2 AB (Class B),AKER.OL,JMAT.L,NHY.OL,PAH3.DE,MAERSK B.CO,BT.A.L,BZU.MI,PSM.DE,BE Semiconductor Industries N.V.,CAST.ST,DAI.DE,Abrdn Plc,EQT.ST,SOBI.ST,BARC.L,ORA.PA,LXS.DE,ASM.AS,A2A.MI,BOL.PA,SGO.PA,POLY.L,PROX.BR,STB.OL,TIT.MI,BAMI.MI,OMV.VI,GLEN.L,SPSN.SW,SKA B.ST,VOW3.DE,BIRG.IR,ING Groep N.V.,RIO.L,ArcelorMittal,AAL.L,Vonovia SE,ENG.MC,BATS.L,SCT.L,BMW.DE,CLN.SW,Leonardo-Finmeccanica SpA,GCO.MC,TKA.DE,A5G.IR,DPW.DE,IGG.L,ILD.PA,KESKOB.HE,HEI.DE,AHT.L,Sinch AB,DSV.CO,O2D.DE,VACN.SW,VOD.L,LOGN.SW,SSAB AB (Class B),FRE.DE,Umicore S.A.,CAP.PA,ASML.AS,AGN.AS,CA.PA,M&G Plc,Societe Generale S.A.,DLG.MI,FME.DE,SCMN.SW,III.L,ATO.PA,GYC.DE,HER.MI,REE.MC,MB.MI,Industrivarden AB (Class C),Avanza Bank Holding AB,AV.L,BNP.PA,EVR.L,RBI.VI,G.MI,EDF.PA,TATE.L,CSGN.SW,NN.AS,VOE.VI,MRW.L,HUSQ B.ST,RWE.DE,COLR.BR,IFX.DE,EN.PA,CNP.PA,US Dollar,ANTO.L,Fabege AB,Eurofins Scientific SE,SBRY.L,LUNE.ST,BNR.DE,GL9.IR,Erste Group Bank AG,HTO.AT,PSON.L,WPP.L,DTE.DE,THULE.ST,PST.MI,JUN3.DE,PSN.L,CRH.L,ML.PA,ACE.MI,AALB.AS,1U1.DE,ELUX B.ST,IG.MI,BAER.SW,Tesco Plc,UN01.DE,UTDI.DE,YAR.OL,Holcim Ltd.,UBSG.SW,FRES.L,BKT.MC,CABK.MC,BKW.SW,AGS.BR,ASC.L,DLG.L,TREL B.ST,ASRNL.AS,VPK.AS,HFG.DE,Fastighets AB Balder (Class B),KOJAMO.HE,Travis Perkins Plc,ABBN.SW,HIK.L,Indutrade AB,MNDI.L,WCH.DE,SOI.PA,RAND.AS,BKG.L,LLOY.L,ECM.L,SMDS.L,DBK.DE,ACKB.BR,Koninklijke Ahold Delhaize N.V.,ORK.OL,TUI1.DE,STERV.HE,FGR.PA,MAP.MC,IMB.L,AKE.PA,ALV.DE,RNO.PA,TEN.MI,TLX.DE,CS.PA,DANSKE.CO,ACA.PA,Covestro AG,BAS.DE,ANA.MC,POM.PA,RUI.PA,SCR.PA,ACS.MC,Ambu A/S (Class B),KINV B.ST,ENT.L,LIGHT.AS,INVE B.ST,EVO.ST,TEL2 B.ST,BOL.ST,SLA.L,BESI.AS,MT.AS,INGA.AS,VNA.DE,LDO.MI,SINCH.ST,SSABB.ST,UMI.BR,GLE.PA,MNG.L,INDUC.ST,AZA.ST,FABG.ST,ERF.PA,EBS.VI,TSCO.L,HOLN.SW,BALD B.ST,Us Dollars,TPK.L,INDT.ST,AD.AS,1COV.DE,AMBU B.CO,BLA.BK,SUM
07/09/2021,1.14,1.02,0.97,0.97,0.96,0.95,0.95,0.93,0.92,0.92,0.9,0.9,0.9,0.9,0.9,0.86,0.84,0.83,0.83,0.82,0.82,0.81,0.81,0.81,0.81,0.8,0.8,0.79,0.79,0.79,0.78,0.78,0.78,0.77,0.77,0.77,0.75,0.75,0.73,0.73,0.73,0.73,0.72,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.7,0.7,0.69,0.69,0.68,0.68,0.67,0.67,0.67,0.66,0.65,0.65,0.64,0.64,0.63,0.62,0.62,0.62,0.61,0.61,0.6,0.6,0.6,0.6,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.51,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.39,0.39,0.38,0.36,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.21,0.21,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.86
07/12/2021,1.08,1.01,0.97,0.97,0.98,0.95,0.94,0.92,0.94,0.91,0.91,0.91,0.93,0.92,0.88,0.85,0.85,0.84,0.81,0.82,0.82,0.83,0.8,0.82,0.83,0.76,0.83,0.79,0.81,0.78,0.77,0.79,0.78,0.75,0.79,0.76,0.77,0.76,0.74,0.74,0.73,0.73,0.71,0.69,0.69,0.73,0.71,0.71,0.7,0.67,0.7,0.69,0.71,0.7,0.68,0.71,0.66,0.66,0.7,0.68,0.67,0.65,0.63,0.63,0.63,0.63,0.63,0.62,0.61,0.62,0.59,0.59,0.61,0.59,0.59,0.61,0.61,0.59,0.58,0.61,0.58,0.57,0.56,0.59,0.55,0.54,0.55,0.54,0.56,0.5,0.52,0.53,0.51,0.52,0.51,0.49,0.5,0.51,0.49,0.5,0.49,0.49,0.49,0.47,0.47,0.5,0.48,0.47,0.47,0.47,0.45,0.46,0.48,0.46,0.44,0.45,0.44,0.44,0.44,0.45,0.0,0.4,0.41,0.4,0.37,0.34,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.32,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.33,0.33,0.31,0.33,0.31,0.3,0.29,0.31,0.31,0.31,0.29,0.28,0.3,0.3,0.28,0.28,0.2,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
07/13/2021,1.08,1.01,0.97,0.97,0.98,0.95,0.94,0.92,0.94,0.91,0.91,0.91,0.93,0.92,0.88,0.85,0.85,0.84,0.81,0.82,0.82,0.83,0.8,0.82,0.83,0.76,0.83,0.79,0.81,0.78,0.77,0.79,0.78,0.75,0.79,0.76,0.77,0.76,0.74,0.74,0.73,0.73,0.71,0.69,0.69,0.73,0.71,0.71,0.7,0.67,0.7,0.69,0.71,0.7,0.68,0.71,0.66,0.66,0.7,0.68,0.67,0.65,0.63,0.63,0.63,0.63,0.63,0.62,0.61,0.62,0.59,0.59,0.61,0.59,0.59,0.61,0.61,0.59,0.58,0.61,0.58,0.57,0.56,0.59,0.55,0.54,0.55,0.54,0.56,0.5,0.52,0.53,0.51,0.52,0.51,0.49,0.5,0.51,0.49,0.5,0.49,0.49,0.49,0.47,0.47,0.5,0.48,0.47,0.47,0.47,0.45,0.46,0.48,0.46,0.44,0.45,0.44,0.44,0.44,0.45,0.0,0.4,0.41,0.4,0.37,0.34,0.36,0.35,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.32,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.33,0.33,0.31,0.33,0.31,0.3,0.29,0.31,0.31,0.31,0.29,0.28,0.3,0.3,0.28,0.28,0.2,0.22,0.2,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.87
07/14/2021,0.0,1.01,0.0,0.0,0.98,0.95,0.94,0.92,0.0,0.91,0.91,0.91,0.93,0.92,0.0,0.85,0.85,0.84,0.81,0.82,0.82,0.0,0.8,0.82,0.0,0.76,0.83,0.8,0.81,0.78,0.77,0.79,0.78,0.0,0.79,0.76,0.0,0.76,0.74,0.74,0.73,0.74,0.71,0.69,0.69,0.73,0.71,0.71,0.7,0.67,0.7,0.69,0.71,0.7,0.68,0.7,0.66,0.0,0.69,0.0,0.67,0.0,0.63,0.63,0.63,0.63,0.63,0.0,0.61,0.62,0.59,0.59,0.61,0.59,0.59,0.61,0.61,0.0,0.58,0.62,0.58,0.57,0.56,0.0,0.56,0.0,0.55,0.53,0.56,0.5,0.0,0.0,0.51,0.52,0.51,0.49,0.5,0.51,0.49,0.5,0.49,0.0,0.0,0.47,0.47,0.5,0.48,0.47,0.47,0.47,0.45,0.46,0.48,0.46,0.44,0.44,0.44,0.43,0.44,0.45,0.0,0.4,0.0,0.0,0.37,0.34,0.36,0.34,0.0,0.34,0.34,0.33,0.33,0.33,0.32,0.33,0.32,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.0,0.32,0.31,0.33,0.0,0.3,0.29,0.31,0.31,0.31,0.29,0.28,0.29,0.3,0.28,0.28,0.21,0.0,0.19,0.0,0.19,0.18,0.0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.0,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.0,0.15,0.14,0.13,0.14,0.14,0.12,0.0,1.08,0.97,0.97,0.94,0.88,0.83,0.83,0.77,0.75,0.68,0.66,0.66,0.62,0.59,0.59,0.54,0.53,0.52,0.49,0.49,0.41,0.39,0.34,0.33,0.31,0.22,0.21,0.19,0.18,0.17,0.16,0.0,0.0,99.93
07/15/2021,0.0,1.03,0.0,0.0,0.99,0.94,0.95,0.93,0.0,0.91,0.92,0.89,0.94,0.93,0.0,0.85,0.84,0.84,0.8,0.82,0.83,0.0,0.8,0.83,0.0,0.76,0.82,0.79,0.82,0.78,0.76,0.79,0.78,0.0,0.8,0.76,0.0,0.79,0.74,0.73,0.73,0.73,0.72,0.7,0.69,0.73,0.7,0.71,0.7,0.67,0.7,0.69,0.7,0.71,0.69,0.72,0.65,0.0,0.69,0.0,0.66,0.0,0.63,0.63,0.63,0.63,0.63,0.0,0.6,0.6,0.59,0.59,0.61,0.59,0.6,0.6,0.61,0.0,0.59,0.62,0.59,0.57,0.56,0.0,0.56,0.0,0.55,0.54,0.55,0.5,0.0,0.0,0.51,0.53,0.52,0.49,0.41,0.51,0.5,0.5,0.5,0.0,0.0,0.46,0.47,0.5,0.48,0.47,0.47,0.47,0.45,0.46,0.47,0.46,0.44,0.45,0.44,0.43,0.44,0.45,0.0,0.4,0.0,0.0,0.37,0.34,0.36,0.35,0.0,0.34,0.34,0.33,0.34,0.33,0.32,0.33,0.32,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.0,0.32,0.32,0.33,0.0,0.3,0.29,0.31,0.31,0.31,0.29,0.27,0.3,0.3,0.28,0.29,0.21,0.0,0.2,0.0,0.18,0.18,0.0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.0,0.15,0.14,0.13,0.14,0.14,0.13,0.0,1.08,0.97,0.97,0.95,0.88,0.84,0.83,0.77,0.75,0.67,0.65,0.66,0.62,0.61,0.58,0.54,0.53,0.52,0.49,0.49,0.43,0.4,0.34,0.32,0.31,0.22,0.25,0.18,0.19,0.17,0.16,0.0,0.0,100.03
07/16/2021,0.0,1.04,0.0,0.0,0.99,0.94,0.96,0.93,0.0,0.91,0.92,0.89,0.93,0.93,0.0,0.86,0.84,0.84,0.82,0.81,0.83,0.0,0.8,1.01,0.0,0.75,0.83,0.79,0.82,0.76,0.76,0.8,0.8,0.0,0.8,0.76,0.0,0.79,0.73,0.72,0.74,0.73,0.73,0.71,0.7,0.74,0.71,0.71,0.7,0.67,0.69,0.69,0.7,0.72,0.69,0.71,0.64,0.0,0.69,0.0,0.66,0.0,0.63,0.63,0.65,0.63,0.64,0.0,0.6,0.6,0.57,0.59,0.62,0.59,0.6,0.61,0.62,0.0,0.59,0.63,0.6,0.57,0.55,0.0,0.56,0.0,0.55,0.55,0.55,0.5,0.0,0.0,0.52,0.53,0.52,0.49,0.41,0.51,0.5,0.5,0.49,0.0,0.0,0.46,0.46,0.49,0.47,0.47,0.46,0.47,0.45,0.47,0.47,0.46,0.44,0.45,0.44,0.43,0.45,0.45,0.0,0.39,0.0,0.0,0.37,0.34,0.36,0.35,0.0,0.33,0.34,0.33,0.34,0.33,0.32,0.34,0.32,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.0,0.32,0.32,0.33,0.0,0.3,0.3,0.3,0.3,0.31,0.29,0.26,0.3,0.3,0.28,0.29,0.21,0.0,0.2,0.0,0.19,0.18,0.0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.17,0.15,0.16,0.16,0.16,0.17,0.16,0.15,0.14,0.14,0.16,0.15,0.15,0.15,0.0,0.15,0.14,0.13,0.14,0.14,0.12,0.0,1.06,0.97,0.98,0.95,0.88,0.84,0.83,0.78,0.76,0.66,0.65,0.66,0.6,0.62,0.58,0.55,0.52,0.52,0.5,0.49,0.41,0.39,0.34,0.33,0.31,0.22,0.0,0.19,0.19,0.17,0.16,0.12,0.0,100.13
07/19/2021,0.0,1.04,0.0,0.0,0.99,0.95,0.96,0.97,0.0,0.91,0.9,0.87,0.93,0.93,0.0,0.87,0.82,0.82,0.81,0.83,0.82,0.0,0.8,1.01,0.0,0.75,0.82,0.81,0.81,0.75,0.76,0.79,0.78,0.0,0.8,0.77,0.0,0.79,0.72,0.72,0.74,0.74,0.74,0.7,0.7,0.74,0.72,0.72,0.7,0.67,0.69,0.68,0.72,0.71,0.69,0.7,0.64,0.0,0.7,0.0,0.67,0.0,0.63,0.64,0.63,0.63,0.64,0.0,0.59,0.58,0.57,0.6,0.6,0.58,0.62,0.61,0.62,0.0,0.6,0.62,0.61,0.56,0.54,0.0,0.56,0.0,0.55,0.55,0.56,0.5,0.0,0.0,0.52,0.53,0.52,0.48,0.39,0.5,0.5,0.5,0.5,0.0,0.0,0.46,0.47,0.5,0.48,0.47,0.45,0.44,0.45,0.47,0.48,0.46,0.43,0.44,0.44,0.43,0.44,0.45,0.0,0.39,0.0,0.0,0.37,0.33,0.36,0.37,0.0,0.34,0.33,0.33,0.34,0.33,0.32,0.34,0.32,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.0,0.33,0.32,0.34,0.0,0.31,0.3,0.31,0.3,0.31,0.29,0.22,0.3,0.3,0.28,0.29,0.21,0.0,0.2,0.0,0.19,0.18,0.0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.17,0.0,0.15,0.13,0.16,0.16,0.16,0.17,0.17,0.15,0.14,0.15,0.16,0.15,0.15,0.15,0.0,0.15,0.14,0.13,0.14,0.14,0.12,0.0,1.09,0.96,0.98,0.96,0.86,0.89,0.85,0.76,0.77,0.68,0.65,0.66,0.59,0.61,0.61,0.55,0.53,0.51,0.5,0.46,0.4,0.4,0.34,0.32,0.31,0.22,0.0,0.18,0.19,0.17,0.16,0.12,0.0,100.05
07/20/2021,0.0,1.06,0.0,0.0,1.0,0.97,0.95,0.97,0.0,0.92,0.91,0.86,0.92,0.94,0.0,0.87,0.82,0.82,0.81,0.83,0.84,0.0,0.8,0.99,0.0,0.74,0.82,0.78,0.8,0.76,0.77,0.79,0.77,0.0,0.81,0.76,0.0,0.8,0.73,0.71,0.75,0.75,0.73,0.71,0.7,0.73,0.71,0.73,0.69,0.67,0.68,0.68,0.69,0.71,0.7,0.7,0.62,0.0,0.68,0.0,0.65,0.0,0.63,0.65,0.64,0.62,0.64,0.0,0.59,0.57,0.56,0.6,0.6,0.59,0.62,0.6,0.62,0.0,0.59,0.63,0.61,0.56,0.54,0.0,0.57,0.0,0.55,0.55,0.55,0.51,0.0,0.0,0.51,0.53,0.53,0.48,0.4,0.51,0.51,0.51,0.49,0.0,0.0,0.46,0.46,0.49,0.47,0.47,0.46,0.45,0.45,0.47,0.47,0.46,0.43,0.43,0.45,0.42,0.45,0.45,0.0,0.39,0.0,0.0,0.37,0.33,0.36,0.37,0.0,0.34,0.33,0.33,0.34,0.33,0.32,0.34,0.32,0.33,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.0,0.33,0.32,0.33,0.0,0.31,0.29,0.31,0.3,0.31,0.28,0.23,0.29,0.3,0.28,0.29,0.21,0.0,0.2,0.0,0.19,0.18,0.0,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.0,0.15,0.14,0.16,0.16,0.16,0.17,0.16,0.15,0.13,0.14,0.16,0.15,0.15,0.15,0.0,0.15,0.14,0.13,0.14,0.14,0.12,0.0,1.11,0.95,0.94,0.97,0.88,0.91,0.85,0.76,0.76,0.66,0.64,0.67,0.59,0.71,0.6,0.56,0.52,0.51,0.51,0.46,0.41,0.4,0.34,0.33,0.31,0.22,0.0,0.18,0.2,0.17,0.16,0.13,0.0,100.06
07/21/2021,0.0,1.06,0.0,0.0,1.0,0.97,0.95,0.97,0.0,0.92,0.91,0.86,0.92,0.94,0.0,0.87,0.82,0.82,0.81,0.83,0.84,0.0,0.8,0.99,0.0,0.74,0.82,0.78,0.8,0.76,0.77,0.79,0.77,0.0,0.81,0.76,0.0,0.8,0.73,0.71,0.75,0.75,0.73,0.71,0.7,0.73,0.71,0.73,0.69,0.67,0.68,0.68,0.69,0.71,0.7,0.7,0.62,0.0,0.68,0.0,0.65,0.0,0.63,0.65,0.64,0.62,0.64,0.0,0.59,0.57,0.56,0.6,0.6,0.59,0.62,0.6,0.62,0.0,0.59,0.63,0.61,0.56,0.54,0.0,0.57,0.0,0.55,0.55,0.55,0.51,0.0,0.0,0.51,0.53,0.53,0.48,0.4,0.51,0.51,0.51,0.49,0.0,0.0,0.46,0.46,0.49,0.47,0.47,0.46,0.45,0.45,0.47,0.47,0.46,0.43,0.43,0.45,0.42,0.45,0.45,0.0,0.39,0.0,0.0,0.37,0.33,0.36,0.37,0.0,0.34,0.33,0.33,0.34,0.33,0.32,0.34,0.32,0.33,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.0,0.33,0.32,0.33,0.0,0.31,0.29,0.31,0.3,0.31,0.28,0.23,0.29,0.3,0.28,0.29,0.21,0.0,0.2,0.0,0.19,0.18,0.0,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.0,0.15,0.14,0.16,0.16,0.16,0.17,0.16,0.15,0.13,0.14,0.16,0.15,0.15,0.15,0.0,0.15,0.14,0.13,0.14,0.14,0.12,0.0,1.11,0.95,0.94,0.97,0.88,0.91,0.85,0.76,0.76,0.66,0.64,0.67,0.59,0.71,0.6,0.56,0.52,0.51,0.51,0.46,0.41,0.4,0.34,0.33,0.31,0.22,0.0,0.18,0.2,0.17,0.16,0.13,0.0,100.06
07/22/2021,1.13,1.08,0.94,0.93,1.01,0.97,0.96,0.97,0.96,0.91,0.91,0.85,0.89,0.96,0.89,0.88,0.81,0.8,0.8,0.85,0.85,0.84,0.81,0.98,0.91,0.73,0.81,0.76,0.8,0.76,0.75,0.77,0.79,0.76,0.82,0.75,0.75,0.8,0.76,0.69,0.75,0.76,0.73,0.7,0.71,0.72,0.73,0.73,0.66,0.66,0.67,0.67,0.68,0.72,0.69,0.7,0.62,0.63,0.67,0.66,0.64,0.68,0.64,0.64,0.64,0.61,0.65,0.58,0.58,0.56,0.54,0.6,0.59,0.59,0.63,0.6,0.62,0.69,0.59,0.63,0.63,0.56,0.55,0.6,0.57,0.56,0.56,0.55,0.55,0.5,0.5,0.51,0.51,0.54,0.54,0.49,0.4,0.51,0.51,0.51,0.49,0.51,0.46,0.45,0.45,0.49,0.47,0.47,0.45,0.46,0.45,0.47,0.47,0.47,0.45,0.43,0.46,0.42,0.45,0.44,0.0,0.39,0.41,0.42,0.38,0.32,0.37,0.37,0.34,0.35,0.35,0.32,0.34,0.33,0.32,0.34,0.32,0.33,0.34,0.33,0.33,0.33,0.32,0.32,0.31,0.33,0.33,0.32,0.33,0.31,0.31,0.3,0.31,0.3,0.31,0.27,0.22,0.29,0.29,0.28,0.29,0.21,0.22,0.2,0.18,0.19,0.19,0.21,0.17,0.16,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.17,0.15,0.14,0.16,0.16,0.16,0.17,0.16,0.15,0.13,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.12,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.92999999999998
