,MSCI USA ESG UNIVERSAL TOP 100 5% CAP SWAP,GOLDMAN FINL SQ TRSRY INS,MSFT,HD,NVDA,BANK OF NEW YORK CASH RESERVE,HES,BLK,MS,LOW,HON,AXP,AMGN,TGT,ADBE,KO,PEP,MMM,INTC,CSCO,ZTS,MMC,NEE,GILD,CI,TXN,EW,ECL,AMT,INTU,TROW,HCA,AMAT,IBM,IDXX,BK,BIIB,VRTX,JCI,PPG,PLD,A,APTV,IFF,TT,INFO,LRCX,ADP,CL,EQIX,STT,RMD,CMI,MTD,FAST,ADSK,VFC,NTRS,BBY,WST,KMB,KSU,CERN,RF,DREYFUS GOVT CASH MGMT,TSCO,WAT,TDOC,AMCR,XYL,XEL,EXPD,GIS,POOL,GWW,WDAY,ADM,PEG,HBAN,DGX,HOLX,CDNS,MSI,HPQ,ES,CBRE,ED,ANSS,OKTA,MTN,BF.B,FBHS,CLX,WY,ZBRA,KEYS,CHRW,CMS,K,PEAK,TRMB,HPE,CGNX,VMW,GOLDMAN FINL SQ TRSRY INST 506,MSCI USA ESG UNIVERSAL BOTTOM 100 5% CAP SWAP,n/a,SUM
07/09/2021,52.93,7.5,5.21,4.59,4.1,3.91,3.11,3.02,2.83,2.65,2.65,2.58,2.46,2.29,2.28,2.26,2.11,1.99,1.82,1.79,1.61,1.61,1.54,1.5,1.44,1.41,1.16,1.15,1.12,1.1,1.03,1.02,1.0,0.99,0.98,0.92,0.92,0.91,0.86,0.86,0.83,0.79,0.79,0.79,0.77,0.75,0.71,0.69,0.68,0.67,0.64,0.63,0.61,0.58,0.53,0.52,0.51,0.5,0.48,0.48,0.47,0.45,0.43,0.42,0.41,0.4,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.35,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.18,0.17,0.17,0.16,0.15,0.12,0.1,0.08,-48.84,0.0,112.39
07/12/2021,52.98,7.47,5.19,4.61,3.95,3.89,3.05,3.04,2.82,2.65,2.71,2.6,2.46,2.31,2.3,2.27,2.1,2.02,1.81,1.8,1.63,1.6,1.53,1.49,1.44,1.39,1.17,1.17,1.13,1.1,1.03,1.03,0.98,1.01,0.99,0.92,0.95,0.89,0.88,0.87,0.85,0.8,0.78,0.78,0.79,0.74,0.69,0.69,0.68,0.67,0.65,0.63,0.62,0.59,0.54,0.52,0.51,0.51,0.48,0.48,0.46,0.43,0.42,0.42,0.42,0.4,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.22,0.18,0.17,0.17,0.17,0.15,0.12,0.11,0.08,-48.97,0.0,112.33
07/13/2021,52.98,7.47,5.19,4.61,3.95,3.89,3.05,3.04,2.82,2.65,2.71,2.6,2.46,2.31,2.3,2.27,2.1,2.02,1.81,1.8,1.63,1.6,1.53,1.49,1.44,1.39,1.17,1.17,1.13,1.1,1.03,1.03,0.98,1.01,0.99,0.92,0.95,0.89,0.88,0.87,0.85,0.8,0.78,0.78,0.79,0.74,0.69,0.69,0.68,0.67,0.65,0.63,0.62,0.59,0.54,0.52,0.51,0.51,0.48,0.48,0.46,0.43,0.42,0.42,0.42,0.4,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.22,0.18,0.17,0.17,0.17,0.15,0.12,0.11,0.08,-48.97,0.0,112.33
07/14/2021,52.98,7.47,5.19,4.61,3.95,3.89,3.05,3.04,2.82,2.65,2.71,2.6,2.46,2.31,2.3,2.27,2.1,2.02,1.81,1.8,1.63,1.6,1.53,1.49,1.44,1.39,1.17,1.17,1.13,1.1,1.03,1.03,0.98,1.01,0.99,0.92,0.95,0.89,0.88,0.87,0.85,0.8,0.78,0.78,0.79,0.74,0.69,0.69,0.68,0.67,0.65,0.63,0.62,0.59,0.54,0.52,0.51,0.51,0.48,0.48,0.46,0.43,0.42,0.42,0.42,0.4,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.36,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.31,0.3,0.3,0.29,0.26,0.26,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.22,0.18,0.17,0.17,0.17,0.15,0.12,0.11,0.08,-48.97,0.0,112.33
07/15/2021,52.94,7.43,5.16,4.59,4.02,3.88,3.06,3.07,2.88,2.64,2.71,2.62,2.44,2.33,2.27,2.26,2.09,2.0,1.82,1.78,1.63,1.59,1.52,1.48,1.43,1.4,1.16,1.17,1.13,1.1,1.06,1.04,0.99,1.0,0.97,0.92,0.92,0.89,0.88,0.87,0.86,0.79,0.79,0.79,0.79,0.73,0.7,0.69,0.68,0.67,0.65,0.63,0.62,0.58,0.54,0.51,0.51,0.51,0.48,0.48,0.46,0.42,0.42,0.42,0.42,0.4,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.35,0.35,0.34,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.29,0.29,0.26,0.26,0.24,0.24,0.24,0.23,0.24,0.23,0.24,0.23,0.23,0.21,0.18,0.17,0.17,0.17,0.15,0.12,0.1,0.08,-48.87,0.0,112.28
07/16/2021,52.84,7.45,5.24,4.53,3.98,3.89,3.04,3.05,2.9,2.63,2.7,2.61,2.45,2.33,2.29,2.29,2.14,2.0,1.83,1.78,1.64,1.58,1.52,1.48,1.44,1.39,1.16,1.16,1.13,1.1,1.03,1.03,0.99,0.99,0.98,0.92,0.93,0.89,0.87,0.86,0.85,0.79,0.79,0.77,0.79,0.73,0.7,0.69,0.68,0.67,0.65,0.63,0.62,0.59,0.53,0.52,0.5,0.5,0.47,0.48,0.46,0.42,0.42,0.42,0.43,0.4,0.4,0.36,0.38,0.38,0.38,0.37,0.37,0.35,0.35,0.33,0.34,0.31,0.32,0.31,0.31,0.3,0.3,0.28,0.29,0.25,0.26,0.24,0.24,0.23,0.23,0.23,0.23,0.24,0.22,0.23,0.21,0.18,0.17,0.17,0.16,0.14,0.12,0.1,0.08,-48.59,0.0,112.33000000000004
07/19/2021,52.77,7.46,5.25,4.61,3.73,3.9,2.85,2.96,2.89,2.65,2.81,2.61,2.47,2.35,2.3,2.35,2.18,2.03,1.8,1.8,1.65,1.58,1.56,1.49,1.43,1.38,1.15,1.18,1.14,1.1,1.03,1.04,0.97,1.0,0.97,0.9,0.87,0.9,0.88,0.87,0.86,0.79,0.77,0.76,0.79,0.74,0.69,0.7,0.69,0.68,0.64,0.63,0.62,0.59,0.53,0.52,0.49,0.5,0.48,0.48,0.47,0.42,0.42,0.42,0.43,0.41,0.4,0.34,0.38,0.38,0.38,0.37,0.37,0.34,0.35,0.33,0.34,0.32,0.32,0.31,0.31,0.3,0.3,0.28,0.31,0.26,0.26,0.24,0.23,0.23,0.23,0.23,0.23,0.24,0.22,0.23,0.22,0.18,0.17,0.17,0.16,0.15,0.12,0.1,0.08,-48.38,0.0,112.38000000000002
07/20/2021,52.75,7.5,5.27,4.62,3.59,3.92,2.79,2.96,2.86,2.67,2.79,2.59,2.5,2.34,2.31,2.36,2.2,2.01,1.78,1.81,1.66,1.59,1.59,1.51,1.44,1.37,1.17,1.19,1.15,1.1,1.03,1.04,0.94,0.99,0.99,0.92,0.86,0.92,0.88,0.86,0.86,0.79,0.75,0.76,0.8,0.75,0.67,0.7,0.7,0.68,0.66,0.64,0.62,0.59,0.54,0.52,0.48,0.5,0.48,0.48,0.48,0.42,0.41,0.41,0.43,0.41,0.4,0.35,0.38,0.38,0.39,0.37,0.38,0.34,0.35,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.27,0.31,0.26,0.27,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.19,0.17,0.18,0.16,0.14,0.12,0.1,0.08,-48.31,0.0,112.46
07/21/2021,52.75,7.5,5.27,4.62,3.59,3.92,2.79,2.96,2.86,2.67,2.79,2.59,2.5,2.34,2.31,2.36,2.2,2.01,1.78,1.81,1.66,1.59,1.59,1.51,1.44,1.37,1.17,1.19,1.15,1.1,1.03,1.04,0.94,0.99,0.99,0.92,0.86,0.92,0.88,0.86,0.86,0.79,0.75,0.76,0.8,0.75,0.67,0.7,0.7,0.68,0.66,0.64,0.62,0.59,0.54,0.52,0.48,0.5,0.48,0.48,0.48,0.42,0.41,0.41,0.43,0.41,0.4,0.35,0.38,0.38,0.39,0.37,0.38,0.34,0.35,0.33,0.33,0.33,0.31,0.31,0.31,0.31,0.3,0.27,0.31,0.26,0.27,0.24,0.23,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.19,0.17,0.18,0.16,0.14,0.12,0.1,0.08,-48.31,0.0,112.46
07/22/2021,52.69,7.59,5.26,4.64,3.76,3.97,2.72,2.9,2.83,2.66,2.71,2.51,2.52,2.37,2.33,2.36,2.23,2.02,1.79,1.81,1.66,1.59,1.59,1.52,1.41,1.38,1.14,1.17,1.16,1.11,1.01,1.05,0.95,1.0,1.01,0.89,0.87,0.91,0.86,0.85,0.87,0.8,0.75,0.76,0.8,0.75,0.68,0.7,0.7,0.69,0.63,0.65,0.61,0.6,0.54,0.51,0.47,0.48,0.48,0.48,0.49,0.42,0.42,0.39,0.44,0.4,0.4,0.36,0.38,0.37,0.39,0.38,0.38,0.34,0.35,0.33,0.33,0.32,0.3,0.32,0.32,0.31,0.3,0.28,0.31,0.25,0.27,0.24,0.24,0.23,0.23,0.23,0.24,0.23,0.22,0.23,0.22,0.19,0.17,0.17,0.16,0.14,0.12,0.1,0.08,-48.13,0.0,112.61
07/23/2021,52.81,7.49,5.23,4.67,3.68,3.91,2.71,2.97,2.89,2.64,2.78,2.56,2.49,2.37,2.32,2.33,2.2,2.02,1.79,1.8,1.66,1.6,1.57,1.52,1.42,1.38,1.16,1.18,1.15,1.11,1.03,1.18,0.96,1.0,0.99,0.92,0.86,0.89,0.87,0.8,0.87,0.79,0.77,0.77,0.82,0.75,0.69,0.69,0.68,0.68,0.65,0.65,0.61,0.59,0.54,0.52,0.48,0.49,0.48,0.48,0.48,0.42,0.42,0.4,0.44,0.4,0.4,0.37,0.38,0.38,0.38,0.38,0.37,0.34,0.35,0.33,0.33,0.32,0.31,0.32,0.32,0.31,0.29,0.28,0.31,0.26,0.26,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.23,0.22,0.19,0.17,0.18,0.16,0.14,0.12,0.1,0.08,-48.49,0.0,112.41000000000004
07/26/2021,52.84,7.42,5.32,4.65,3.84,3.88,2.71,2.91,2.97,2.65,2.79,2.57,2.44,2.37,2.36,2.34,2.17,1.99,1.8,1.82,1.65,1.63,1.54,1.49,1.41,1.34,1.16,1.17,1.14,1.13,1.03,1.16,0.99,0.99,1.01,0.91,0.86,0.88,0.87,0.81,0.85,0.79,0.77,0.77,0.82,0.75,0.72,0.69,0.67,0.67,0.66,0.65,0.61,0.59,0.53,0.54,0.49,0.48,0.47,0.48,0.46,0.42,0.41,0.4,0.44,0.39,0.41,0.36,0.38,0.38,0.37,0.38,0.36,0.33,0.35,0.34,0.32,0.31,0.31,0.32,0.32,0.32,0.29,0.27,0.3,0.26,0.26,0.25,0.24,0.23,0.22,0.23,0.23,0.23,0.22,0.23,0.21,0.18,0.16,0.18,0.16,0.14,0.12,0.1,0.08,-48.58,0.0,112.30000000000004
07/27/2021,52.89,7.37,5.34,4.7,3.8,3.85,2.67,2.89,2.91,2.69,2.73,2.59,2.46,2.39,2.35,2.35,2.18,1.99,1.69,1.83,1.66,1.63,1.55,1.49,1.41,1.35,1.17,1.18,1.14,1.14,1.03,1.16,1.0,0.99,1.01,0.91,0.85,0.89,0.88,0.81,0.85,0.8,0.78,0.78,0.82,0.75,0.72,0.69,0.68,0.67,0.66,0.65,0.6,0.6,0.54,0.54,0.51,0.48,0.48,0.48,0.46,0.42,0.41,0.4,0.43,0.4,0.41,0.35,0.37,0.38,0.38,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.32,0.32,0.29,0.28,0.3,0.27,0.26,0.25,0.25,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.21,0.18,0.16,0.18,0.16,0.14,0.12,0.1,0.08,-48.7,0.0,112.24000000000002
07/28/2021,52.89,7.37,5.34,4.7,3.8,3.85,2.67,2.89,2.91,2.69,2.73,2.59,2.46,2.39,2.35,2.35,2.18,1.99,1.69,1.83,1.66,1.63,1.55,1.49,1.41,1.35,1.17,1.18,1.14,1.14,1.03,1.16,1.0,0.99,1.01,0.91,0.85,0.89,0.88,0.81,0.85,0.8,0.78,0.78,0.82,0.75,0.72,0.69,0.68,0.67,0.66,0.65,0.6,0.6,0.54,0.54,0.51,0.48,0.48,0.48,0.46,0.42,0.41,0.4,0.43,0.4,0.41,0.35,0.37,0.38,0.38,0.38,0.37,0.34,0.35,0.34,0.33,0.32,0.31,0.32,0.32,0.32,0.29,0.28,0.3,0.27,0.26,0.25,0.25,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.21,0.18,0.16,0.18,0.16,0.14,0.12,0.1,0.08,-48.7,0.0,112.24000000000002
