,NESN.SW,ASML.AS,ROG.SW,MC.PA,NOVN.SW,7203.T,SHOP,AZN.L,ULVR.L,1299.HK,SAP.DE,NOVO B.CO,RY.TO,CBA.AX,6758.T,TD.TO,SIE.DE,HSBA.L,SAN.PA,DGE.L,TTE.PA,OR.PA,BHP.AX,ALV.DE,6861.T,GSK.L,CSL.AX,RIO.L,SU.PA,BP.L,9984.T,BATS.L,RDSA.AS,ENB.TO,AI.PA,AIR.PA,BNS.TO,ENEL.MI,DAI.DE,CNR.TO,6098.T,BNP.PA,ADS.DE,388.HK,DTE.DE,WBC.AX,BAS.DE,DPW.DE,IBE.MC,RYDBF,7974.T,BMO.TO,BAM.A.TO,KER.PA,8306.T,NAB.AX,RKT.L,SAN.MC,RITN.,8035.T,BHP.L,ABBN.SW,4063.T,ANZ.AX,BAYN.DE,ZURN.SW,6501.T,UBSG.SW,LONN.SW,DG.PA,4502.T,REL.L,7741.T,DSV.CO,CP.TO,CM.TO,IFX.DE,EL.PA,AAL.L,7267.T,ABI.BR,6594.T,WES.AX,PRU.L,9433.T,INGA.AS,ADYEN.AS,SIKA.SW,PRX.AS,6981.T,6954.T,RMS.PA,TRP.TO,CS.PA,ISP.MI,SAF.PA,6367.T,RI.PA,VOW3.DE,NG.L,BN.PA,INVE B.ST,GIVN.SW,CNQ.TO,ATCO A.ST,PHIA.AS,D05.SI,9983.T,8316.T,LLOY.L,VOD.L,GLEN.L,BBVA.MC,VWS.CO,STLA.MI,CRH.L,BARC.L,MQG.AX,6702.T,MUV2.DE,ITX.MC,ERIC B.ST,CPG.L,MFC.TO,SU.TO,NDA SE.ST,LSEG.L,BMW.DE,AHT.L,4568.T,ALC.SW,9434.T,3382.T,VNA.DE,8031.T,WOW.AX,ABX.TO,EXPN.L,VOLV B.ST,8411.T,PGHN.SW,DB1.DE,4503.T,2413.T,8001.T,DSM.AS,NTR.TO,SGO.PA,RIO.AX,8058.T,DSY.PA,O39.SI,HOLN.SW,HEXA B.ST,TCL.AX,AD.AS,ATD.B.TO,6273.T,HEIA.AS,ASSA B.ST,FLTR.L,CSU.TO,FERG.L,AMS.MC,CLNX.MC,9432.T,CAP.PA,8766.T,GMAB.CO,ORSTED.CO,SAND.ST,4911.T,EVO.ST,ENI.MI,NOKIA.HE,4661.T,FMG.AX,GEBN.SW,LR.PA,SLF.TO,NA.TO,DBK.DE,4519.T,EOAN.DE,6752.T,GMG.AX,RACE.MI,WKL.AS,4452.T,SREN.SW,KNEBV.HE,NESTE.HE,ML.PA,MG.TO,6902.T,FNV.TO,MRK.DE,ENGI.PA,UCG.MI,669.HK,DSYA.,TEP.PA,4543.T,EUR,7733.T,VIV.PA,AKZA.AS,RWE.DE,GLE.PA,STM.PA,TSCO.L,ZAL.DE,KRZ.IR,BA.L,IGD.MI,WLN.PA,6503.T,TEF.MC,MT.AS,GBP,4901.T,BAM,CFR.SW,CSGN.SW,JPY,7751.T,6301.T,5108.T,SOON.SW,n/a,SUM
07/09/2021,1.57,1.28,1.19,0.96,0.9,0.83,0.77,0.7,0.69,0.67,0.66,0.65,0.63,0.58,0.57,0.56,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.44,0.43,0.43,0.42,0.41,0.39,0.38,0.38,0.37,0.37,0.37,0.35,0.34,0.34,0.33,0.33,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.150000000000006
07/12/2021,1.61,1.27,1.22,0.94,0.92,0.83,0.74,0.7,0.69,0.66,0.68,0.67,0.63,0.58,0.57,0.54,0.53,0.51,0.51,0.5,0.49,0.49,0.49,0.44,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.37,0.37,0.37,0.35,0.34,0.33,0.33,0.33,0.33,0.31,0.3,0.31,0.33,0.31,0.31,0.31,0.31,0.31,0.32,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.16,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.23
07/13/2021,1.61,1.27,1.22,0.94,0.92,0.83,0.74,0.7,0.69,0.66,0.68,0.67,0.63,0.58,0.57,0.54,0.53,0.51,0.51,0.5,0.49,0.49,0.49,0.44,0.44,0.43,0.42,0.41,0.39,0.38,0.38,0.37,0.37,0.37,0.35,0.34,0.33,0.33,0.33,0.33,0.31,0.3,0.31,0.33,0.31,0.31,0.31,0.31,0.31,0.32,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.26,0.26,0.27,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.23,0.23,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.21,0.23,0.21,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.15,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.15,0.15,0.15,0.15,0.0,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.16,0.12,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.23
07/14/2021,1.59,1.29,1.2,0.97,0.92,0.82,0.75,0.7,0.69,0.66,0.68,0.67,0.63,0.58,0.56,0.54,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.45,0.43,0.43,0.42,0.42,0.4,0.39,0.37,0.37,0.37,0.37,0.36,0.34,0.34,0.33,0.33,0.33,0.3,0.3,0.31,0.32,0.31,0.31,0.32,0.31,0.31,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.25,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.24,0.22,0.23,0.22,0.23,0.23,0.24,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.16,0.17,0.16,0.17,0.17,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.15,0.15,0.0,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.21000000000001
07/15/2021,1.59,1.29,1.2,0.97,0.92,0.82,0.75,0.7,0.69,0.66,0.68,0.67,0.63,0.58,0.56,0.54,0.53,0.52,0.51,0.5,0.49,0.49,0.48,0.45,0.43,0.43,0.42,0.42,0.4,0.39,0.37,0.37,0.37,0.37,0.36,0.34,0.34,0.33,0.33,0.33,0.3,0.3,0.31,0.32,0.31,0.31,0.32,0.31,0.31,0.32,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.25,0.26,0.26,0.26,0.26,0.24,0.25,0.25,0.24,0.24,0.22,0.23,0.22,0.23,0.23,0.24,0.24,0.22,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.2,0.21,0.21,0.22,0.2,0.21,0.2,0.2,0.21,0.2,0.19,0.2,0.2,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.16,0.17,0.15,0.16,0.16,0.17,0.16,0.17,0.17,0.14,0.15,0.14,0.14,0.14,0.15,0.15,0.16,0.16,0.15,0.15,0.0,0.13,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.14,0.14,0.14,0.14,0.14,0.15,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.14,0.14,0.13,0.12,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.21000000000001
07/16/2021,1.59,1.31,1.2,0.97,0.91,0.83,0.76,0.7,0.69,0.67,0.69,0.66,0.63,0.57,0.58,0.54,0.53,0.51,0.52,0.5,0.48,0.49,0.49,0.44,0.45,0.43,0.42,0.42,0.39,0.38,0.38,0.37,0.36,0.36,0.36,0.34,0.33,0.33,0.33,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.31,0.31,0.31,0.31,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.26,0.24,0.25,0.24,0.24,0.24,0.22,0.23,0.21,0.23,0.23,0.24,0.23,0.23,0.23,0.24,0.22,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.15,0.15,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.15,0.13,0.14,0.14,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.13,0.14,0.14,0.14,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.16,0.12,0.0,0.0,0.11,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.29
07/19/2021,1.59,1.33,1.21,0.97,0.9,0.84,0.73,0.68,0.69,0.67,0.69,0.67,0.64,0.58,0.58,0.54,0.52,0.51,0.51,0.5,0.48,0.49,0.5,0.44,0.44,0.43,0.42,0.43,0.39,0.37,0.38,0.37,0.36,0.36,0.36,0.34,0.34,0.33,0.34,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.32,0.31,0.3,0.31,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.24,0.22,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.22,0.22,0.23,0.21,0.23,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.15,0.16,0.15,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.14,0.13,0.15,0.14,0.14,0.14,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.0,0.0,0.11,0.16,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36000000000001
07/20/2021,1.59,1.33,1.21,0.97,0.9,0.84,0.73,0.68,0.69,0.67,0.69,0.67,0.64,0.58,0.58,0.54,0.52,0.51,0.51,0.5,0.48,0.49,0.5,0.44,0.44,0.43,0.42,0.43,0.39,0.37,0.38,0.37,0.36,0.36,0.36,0.34,0.34,0.33,0.34,0.33,0.31,0.3,0.31,0.33,0.31,0.3,0.32,0.31,0.3,0.31,0.29,0.29,0.29,0.3,0.28,0.28,0.28,0.28,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.24,0.22,0.24,0.22,0.23,0.23,0.23,0.24,0.23,0.23,0.24,0.22,0.22,0.23,0.21,0.23,0.23,0.21,0.21,0.21,0.22,0.21,0.21,0.2,0.19,0.21,0.2,0.21,0.2,0.19,0.2,0.2,0.18,0.19,0.18,0.18,0.18,0.19,0.19,0.19,0.2,0.18,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.16,0.17,0.16,0.17,0.15,0.16,0.15,0.16,0.17,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.17,0.17,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.16,0.16,0.16,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.13,0.12,0.13,0.12,0.12,0.13,0.14,0.13,0.15,0.14,0.14,0.14,0.12,0.0,0.0,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.0,0.0,0.11,0.16,0.12,0.0,0.0,0.11,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.36000000000001
07/21/2021,1.61,1.31,1.23,0.96,0.91,0.84,0.73,0.68,0.7,0.67,0.69,0.68,0.63,0.58,0.57,0.54,0.52,0.51,0.52,0.51,0.47,0.5,0.51,0.44,0.44,0.43,0.42,0.41,0.39,0.36,0.38,0.38,0.36,0.36,0.36,0.34,0.33,0.34,0.33,0.33,0.31,0.3,0.31,0.34,0.32,0.3,0.32,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.29,0.27,0.29,0.28,0.29,0.28,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.22,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.23,0.24,0.22,0.22,0.23,0.21,0.23,0.23,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.19,0.21,0.2,0.17,0.2,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.16,0.17,0.14,0.16,0.15,0.16,0.17,0.15,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.18,0.16,0.15,0.15,0.14,0.15,0.14,0.16,0.15,0.15,0.16,0.16,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.14,0.12,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.12,0.12,0.13,0.14,0.13,0.15,0.14,0.14,0.14,0.12,0.0,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.13,0.12,0.0,0.0,0.0,0.16,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.35
07/22/2021,1.64,1.31,1.24,0.96,0.92,0.85,0.76,0.68,0.71,0.66,0.69,0.7,0.63,0.58,0.58,0.53,0.52,0.5,0.52,0.5,0.46,0.5,0.5,0.43,0.44,0.43,0.43,0.4,0.39,0.35,0.39,0.37,0.34,0.35,0.36,0.32,0.33,0.33,0.33,0.32,0.32,0.29,0.31,0.35,0.31,0.3,0.31,0.31,0.31,0.29,0.29,0.29,0.28,0.29,0.29,0.28,0.29,0.27,0.29,0.28,0.28,0.28,0.26,0.26,0.26,0.26,0.26,0.24,0.25,0.23,0.25,0.24,0.23,0.23,0.22,0.23,0.22,0.23,0.23,0.23,0.22,0.24,0.23,0.21,0.23,0.21,0.23,0.23,0.22,0.21,0.21,0.22,0.21,0.21,0.19,0.19,0.22,0.2,0.2,0.2,0.2,0.2,0.21,0.17,0.2,0.19,0.18,0.18,0.19,0.18,0.19,0.19,0.18,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.16,0.16,0.16,0.17,0.14,0.16,0.15,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.16,0.17,0.16,0.18,0.16,0.15,0.15,0.14,0.15,0.14,0.16,0.16,0.15,0.15,0.16,0.16,0.0,0.14,0.13,0.14,0.14,0.14,0.15,0.14,0.13,0.14,0.12,0.14,0.14,0.13,0.14,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.14,0.13,0.15,0.14,0.14,0.13,0.12,0.0,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.13,0.0,0.12,0.13,0.13,0.0,0.0,0.0,0.16,0.12,0.0,0.13,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3
