,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust C 3.69,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust P 369.18,US Dollar,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust P 332.26,2021-12-17 SPDRu00ae S&P 500u00ae ETF Trust C 420.87,SUM
07/09/2021,104.85,1.51,0.61,-0.85,-6.12,100.0
07/12/2021,105.31,1.51,0.61,-0.87,-6.56,100.0
07/13/2021,105.31,1.51,0.61,-0.87,-6.56,100.0
