,United States Treasury Bills 0.01%,WCOG.L,USFR,n/a,B 0 09/16/21,B 0 12/16/21,CMBR 0 12.16.21,B 0 12.16.21,B 0 03.17.22,SUM
07/09/2021,74.02,21.3,4.68,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,75.81,19.39,4.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,75.81,19.39,4.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,75.03,20.22,4.75,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/15/2021,75.03,20.22,4.75,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,74.81,20.46,4.73,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/19/2021,74.26,21.04,4.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,74.42,20.87,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,74.42,20.87,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,74.42,20.87,4.71,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,76.64,18.51,4.85,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/26/2021,74.37,20.97,4.66,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,73.89,21.48,4.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,73.89,21.48,4.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,73.89,21.48,4.63,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,73.21,22.19,4.59,0.0,0.0,0.0,0.0,0.0,0.0,99.99
08/02/2021,73.35,22.05,4.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/03/2021,73.35,22.05,4.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/04/2021,73.35,22.05,4.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/05/2021,73.35,22.05,4.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/06/2021,73.28,22.13,4.6,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/09/2021,0.0,20.85,4.67,74.47,0.0,0.0,0.0,0.0,0.0,99.99
08/10/2021,0.0,20.54,4.69,74.77,0.0,0.0,0.0,0.0,0.0,100.0
08/11/2021,0.0,20.54,4.69,74.77,0.0,0.0,0.0,0.0,0.0,100.0
08/13/2021,0.0,19.24,4.77,75.99,0.0,0.0,0.0,0.0,0.0,100.0
08/16/2021,0.0,20.92,4.67,74.41,0.0,0.0,0.0,0.0,0.0,100.0
08/17/2021,0.0,21.37,4.64,73.99,0.0,0.0,0.0,0.0,0.0,100.0
08/18/2021,0.0,21.37,4.64,73.99,0.0,0.0,0.0,0.0,0.0,100.0
08/19/2021,0.0,21.37,4.64,73.99,0.0,0.0,0.0,0.0,0.0,100.0
08/20/2021,0.0,21.07,4.66,74.27,0.0,0.0,0.0,0.0,0.0,100.0
08/23/2021,0.0,19.83,4.73,75.44,0.0,0.0,0.0,0.0,0.0,100.0
08/24/2021,0.0,17.8,4.85,77.35,0.0,0.0,0.0,0.0,0.0,100.0
08/25/2021,0.0,17.8,4.85,77.35,0.0,0.0,0.0,0.0,0.0,100.0
08/26/2021,0.0,17.8,4.85,77.35,0.0,0.0,0.0,0.0,0.0,100.0
08/27/2021,0.0,20.0,4.86,75.14,0.0,0.0,0.0,0.0,0.0,100.0
08/30/2021,0.0,21.61,4.59,73.8,0.0,0.0,0.0,0.0,0.0,100.0
08/31/2021,0.0,22.0,4.56,73.44,0.0,0.0,0.0,0.0,0.0,100.0
09/01/2021,0.0,22.0,4.56,73.44,0.0,0.0,0.0,0.0,0.0,100.0
09/02/2021,0.0,22.0,4.56,73.44,0.0,0.0,0.0,0.0,0.0,100.0
09/03/2021,0.0,22.01,4.56,73.43,0.0,0.0,0.0,0.0,0.0,100.0
09/06/2021,0.0,21.13,4.49,74.38,0.0,0.0,0.0,0.0,0.0,100.0
09/07/2021,0.0,21.91,4.44,0.0,73.65,0.0,0.0,0.0,0.0,100.0
09/08/2021,0.0,21.91,4.44,0.0,73.65,0.0,0.0,0.0,0.0,100.0
09/09/2021,0.0,21.91,4.44,0.0,73.65,0.0,0.0,0.0,0.0,100.0
09/10/2021,0.0,21.91,4.44,0.0,73.65,0.0,0.0,0.0,0.0,100.0
09/13/2021,0.0,21.06,4.49,0.0,74.44,0.0,0.0,0.0,0.0,99.99
09/14/2021,0.0,21.58,4.46,0.0,73.96,0.0,0.0,0.0,0.0,100.0
09/15/2021,0.0,21.58,4.46,0.0,73.96,0.0,0.0,0.0,0.0,100.0
09/16/2021,0.0,21.58,4.46,73.96,0.0,0.0,0.0,0.0,0.0,100.0
09/17/2021,0.0,21.4,4.47,0.0,74.12,0.0,0.0,0.0,0.0,99.99
09/20/2021,0.0,22.19,4.43,0.0,73.38,0.0,0.0,0.0,0.0,100.0
09/21/2021,0.0,20.92,4.5,0.0,0.0,74.59,0.0,0.0,0.0,100.01
09/22/2021,0.0,20.92,4.5,0.0,0.0,74.59,0.0,0.0,0.0,100.01
09/23/2021,0.0,20.92,4.5,0.0,0.0,74.59,0.0,0.0,0.0,100.01
09/24/2021,0.0,20.92,4.5,0.0,0.0,74.59,0.0,0.0,0.0,100.01
09/27/2021,0.0,21.4,4.47,0.0,0.0,74.13,0.0,0.0,0.0,100.0
09/28/2021,0.0,22.03,4.44,0.0,0.0,73.54,0.0,0.0,0.0,100.01
09/29/2021,0.0,22.03,4.44,0.0,0.0,73.54,0.0,0.0,0.0,100.01
09/30/2021,0.0,22.03,4.44,0.0,0.0,73.54,0.0,0.0,0.0,100.01
10/01/2021,0.0,22.03,4.44,0.0,0.0,73.54,0.0,0.0,0.0,100.01
10/04/2021,0.0,21.81,4.45,0.0,0.0,73.75,0.0,0.0,0.0,100.01
10/05/2021,0.0,22.62,4.83,0.0,0.0,72.55,0.0,0.0,0.0,100.0
10/06/2021,0.0,22.62,4.83,0.0,0.0,72.55,0.0,0.0,0.0,100.0
10/07/2021,0.0,22.62,4.83,0.0,0.0,72.55,0.0,0.0,0.0,100.0
10/08/2021,0.0,23.41,4.78,0.0,0.0,0.0,71.82,0.0,0.0,100.01
10/11/2021,0.0,23.15,4.79,0.0,0.0,0.0,72.06,0.0,0.0,100.0
10/12/2021,0.0,24.37,4.72,0.0,0.0,0.0,70.91,0.0,0.0,100.0
10/13/2021,0.0,24.37,4.72,0.0,0.0,0.0,70.91,0.0,0.0,100.0
10/14/2021,0.0,24.37,4.72,70.91,0.0,0.0,0.0,0.0,0.0,100.0
10/15/2021,0.0,22.53,4.68,0.0,0.0,0.0,72.79,0.0,0.0,100.0
10/18/2021,0.0,23.55,4.62,0.0,0.0,0.0,0.0,71.83,0.0,100.0
10/19/2021,0.0,24.39,4.57,0.0,0.0,0.0,0.0,71.04,0.0,100.0
10/20/2021,0.0,24.39,4.57,0.0,0.0,0.0,0.0,71.04,0.0,100.0
10/21/2021,0.0,22.74,4.88,0.0,0.0,0.0,0.0,72.38,0.0,100.0
10/22/2021,0.0,22.86,4.88,0.0,0.0,0.0,0.0,72.27,0.0,100.01
10/25/2021,0.0,23.77,4.82,0.0,0.0,0.0,0.0,71.41,0.0,100.0
10/26/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
10/27/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
10/28/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
10/29/2021,0.0,22.01,4.93,73.06,0.0,0.0,0.0,0.0,0.0,100.0
11/01/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
11/02/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
11/03/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
11/04/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
11/05/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
11/08/2021,0.0,22.01,4.93,0.0,0.0,0.0,0.0,73.06,0.0,100.0
11/09/2021,0.0,21.57,5.31,0.0,0.0,0.0,0.0,73.12,0.0,100.0
11/10/2021,0.0,21.57,5.31,0.0,0.0,0.0,0.0,73.12,0.0,100.0
11/11/2021,0.0,22.29,5.26,0.0,0.0,0.0,0.0,72.45,0.0,100.0
11/12/2021,0.0,22.29,5.26,0.0,0.0,0.0,0.0,72.45,0.0,100.0
11/15/2021,0.0,22.65,5.24,0.0,0.0,0.0,0.0,72.11,0.0,100.0
11/16/2021,0.0,22.65,5.24,0.0,0.0,0.0,0.0,72.11,0.0,100.0
11/17/2021,0.0,22.65,5.24,0.0,0.0,0.0,0.0,72.11,0.0,100.0
11/18/2021,0.0,22.65,5.24,0.0,0.0,0.0,0.0,72.11,0.0,100.0
11/19/2021,0.0,20.23,4.91,0.0,0.0,0.0,0.0,74.86,0.0,100.0
11/22/2021,0.0,20.23,4.91,0.0,0.0,0.0,0.0,74.86,0.0,100.0
11/23/2021,0.0,20.23,4.91,0.0,0.0,0.0,0.0,74.86,0.0,100.0
11/24/2021,0.0,19.54,4.95,0.0,0.0,0.0,0.0,75.51,0.0,100.0
11/25/2021,0.0,19.92,4.93,0.0,0.0,0.0,0.0,75.15,0.0,100.0
11/26/2021,0.0,19.92,4.93,0.0,0.0,0.0,0.0,75.15,0.0,100.0
11/29/2021,0.0,20.64,4.89,0.0,0.0,0.0,0.0,74.47,0.0,100.0
11/30/2021,0.0,16.08,5.17,0.0,0.0,0.0,0.0,78.75,0.0,100.0
12/01/2021,0.0,16.08,5.17,0.0,0.0,0.0,0.0,78.75,0.0,100.0
12/02/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/06/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/07/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/08/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/09/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/10/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/13/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/14/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/15/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/16/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/17/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/20/2021,0.0,16.6,5.14,0.0,0.0,0.0,0.0,78.26,0.0,100.0
12/21/2021,0.0,22.18,4.79,0.0,0.0,0.0,0.0,0.0,73.03,100.0
12/22/2021,0.0,22.18,4.79,0.0,0.0,0.0,0.0,0.0,73.03,100.0
12/23/2021,0.0,20.98,4.87,0.0,0.0,0.0,0.0,0.0,74.16,100.01
12/24/2021,0.0,20.98,4.87,0.0,0.0,0.0,0.0,0.0,74.16,100.01
12/27/2021,0.0,23.9,4.69,0.0,0.0,0.0,0.0,0.0,71.41,100.0
12/28/2021,0.0,24.51,4.65,0.0,0.0,0.0,0.0,0.0,70.85,100.01
12/29/2021,0.0,24.51,4.65,0.0,0.0,0.0,0.0,0.0,70.85,100.01
