,4SPX  210831C02099980,4XSP  210831C00210020,4SPX  210831P04199970,4SPX  210831P03499950,4XSP  210831P00420030,4XSP  210831P00350010,4XSP  210831P00210020,4XSP  210831P00318490,4SPX  210831P02099980,Cash&Other,4SPX  210831P03184950,4XSP  210831C00420030,4XSP  210831C00412640,4SPX  210831C04199970,4SPX  210831C04126430,2SPY  220831C00003630,2SPY  220831P00451570,2SPY  220831C00509810,2SPY  220831P00410920,SUM
07/09/2021,105.76,3.6,1.28,0.2,0.04,0.01,0.0,0.0,-0.03,-0.09,-0.11,-0.15,-0.2,-4.42,-5.89,0.0,0.0,0.0,0.0,100.0
07/12/2021,107.02,3.64,1.11,0.18,0.04,0.01,0.0,0.0,-0.03,-0.1,-0.1,-0.17,-0.22,-4.92,-6.44,0.0,0.0,0.0,0.0,100.02
07/13/2021,107.02,3.64,1.11,0.18,0.04,0.01,0.0,0.0,-0.03,-0.1,-0.1,-0.17,-0.22,-4.92,-6.44,0.0,0.0,0.0,0.0,100.02
07/14/2021,107.02,3.64,1.11,0.18,0.04,0.01,0.0,0.0,-0.03,-0.1,-0.1,-0.17,-0.22,-4.92,-6.44,0.0,0.0,0.0,0.0,100.02
07/15/2021,107.74,3.67,0.99,0.15,0.03,0.01,0.0,0.0,-0.02,-0.1,-0.09,-0.18,-0.23,-5.21,-6.76,0.0,0.0,0.0,0.0,100.0
07/16/2021,107.12,3.65,1.13,0.16,0.04,0.01,0.0,0.0,-0.02,-0.1,-0.09,-0.17,-0.22,-4.99,-6.49,0.0,0.0,0.0,0.0,100.03000000000004
07/19/2021,105.95,4.26,1.15,0.15,0.05,0.01,0.0,0.0,-0.02,0.03,-0.08,-0.19,-0.25,-4.78,-6.26,0.0,0.0,0.0,0.0,100.02
07/20/2021,104.37,4.19,1.38,0.18,0.06,0.01,0.0,0.0,-0.02,0.02,-0.1,-0.17,-0.23,-4.13,-5.56,0.0,0.0,0.0,0.0,100.0
07/21/2021,104.37,4.19,1.38,0.18,0.06,0.01,0.0,0.0,-0.02,0.02,-0.1,-0.17,-0.23,-4.13,-5.56,0.0,0.0,0.0,0.0,100.0
07/22/2021,101.99,4.09,1.98,0.27,0.08,0.01,0.0,-0.01,-0.04,0.02,-0.14,-0.14,-0.19,-3.3,-4.63,0.0,0.0,0.0,0.0,99.99
07/23/2021,104.59,4.2,1.34,0.18,0.05,0.01,0.0,0.0,-0.03,0.02,-0.1,-0.17,-0.23,-4.21,-5.65,0.0,0.0,0.0,0.0,100.0
07/26/2021,106.3,4.27,0.96,0.13,0.04,0.01,0.0,0.0,-0.02,0.01,-0.07,-0.19,-0.25,-4.83,-6.34,0.0,0.0,0.0,0.0,100.02
07/27/2021,107.94,4.33,0.76,0.11,0.03,0.0,0.0,0.0,-0.02,0.01,-0.06,-0.22,-0.28,-5.52,-7.08,0.0,0.0,0.0,0.0,100.0
07/28/2021,107.94,4.33,0.76,0.11,0.03,0.0,0.0,0.0,-0.02,0.01,-0.06,-0.22,-0.28,-5.52,-7.08,0.0,0.0,0.0,0.0,100.0
07/29/2021,108.54,4.36,0.67,0.09,0.03,0.0,0.0,0.0,-0.01,0.01,-0.05,-0.23,-0.29,-5.77,-7.34,0.0,0.0,0.0,0.0,100.01
07/30/2021,107.3,4.31,0.86,0.11,0.03,0.0,0.0,0.0,-0.01,0.01,-0.06,-0.21,-0.27,-5.27,-6.8,0.0,0.0,0.0,0.0,100.0
08/02/2021,108.08,4.34,0.63,0.08,0.03,0.0,0.0,0.0,-0.01,0.0,-0.04,-0.22,-0.28,-5.5,-7.1,0.0,0.0,0.0,0.0,100.01
08/03/2021,107.57,4.32,0.68,0.08,0.03,0.0,0.0,0.0,-0.01,-0.01,-0.04,-0.21,-0.27,-5.29,-6.85,0.0,0.0,0.0,0.0,100.0
