,NVDA,IFX.DE,LOW,HD,MSFT,NEE,ECL,OR.PA,PG,TXN,SIE.DE,ADS.DE,IBE.MC,INTC,ULVR.L,KMB,DSY.PA,GIVN.SW,IFF,STM.PA,006400.KS,VWS.CO,AWK,BLL,ES,6954.T,LR.PA,ED,ORSTED.CO,NIBE B.ST,XYL,VIE.PA,ESSITY B.ST,5108.T,6752.T,4452.T,MAERSK B.CO,HEN3.DE,EDP.LS,SK3.IR,MOWI.OL,MNDI.L,066570.KS,FSLR,BRBY.L,BEI.DE,UU.L,KGF.L,SVT.L,SIGN.SW,SEV.PA,9101.T,CHR.CO,6506.T,6988.T,WSC,SMDS.L,6963.T,WRT1V.HE,EDPR.LS,4204.T,VALMT.HE,5332.T,6370.T,ROCK B.CO,SGRE.MC,AQUA,BLDP.TO,KLBN11.SA,021240.KS,BMI,BAKKA.OL,EGIE3.SA,LSG.OL,ANDR.VI,PNN.L,SCATC.OL,DFDS.CO,086280.KS,OI,n/a,SUM
11/08/2021,3.93,3.47,3.42,3.41,3.35,3.06,3.06,3.06,3.04,3.03,3.0,2.86,2.85,2.82,2.81,2.52,2.35,2.13,2.01,1.88,1.87,1.85,1.73,1.66,1.62,1.61,1.57,1.55,1.44,1.42,1.32,1.24,1.2,1.19,1.18,1.13,0.94,0.92,0.85,0.75,0.7,0.66,0.64,0.62,0.61,0.6,0.55,0.53,0.52,0.5,0.48,0.47,0.46,0.45,0.43,0.4,0.38,0.37,0.37,0.35,0.32,0.31,0.31,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.21,0.21,-0.34,99.99
11/09/2021,3.93,3.47,3.42,3.41,3.35,3.06,3.06,3.06,3.04,3.03,3.0,2.86,2.85,2.82,2.81,2.52,2.35,2.13,2.01,1.88,1.87,1.85,1.73,1.66,1.62,1.61,1.57,1.55,1.44,1.42,1.32,1.24,1.2,1.19,1.18,1.13,0.94,0.92,0.85,0.75,0.7,0.66,0.64,0.62,0.61,0.6,0.55,0.53,0.52,0.5,0.48,0.47,0.46,0.45,0.43,0.4,0.38,0.37,0.37,0.35,0.32,0.31,0.31,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.21,0.21,-0.34,99.99
11/10/2021,3.93,3.47,3.42,3.41,3.35,3.06,3.06,3.06,3.04,3.03,3.0,2.86,2.85,2.82,2.81,2.52,2.35,2.13,2.01,1.88,1.87,1.85,1.73,1.66,1.62,1.61,1.57,1.55,1.44,1.42,1.32,1.24,1.2,1.19,1.18,1.13,0.94,0.92,0.85,0.75,0.7,0.66,0.64,0.62,0.61,0.6,0.55,0.53,0.52,0.5,0.48,0.47,0.46,0.45,0.43,0.4,0.38,0.37,0.37,0.35,0.32,0.31,0.31,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.21,0.21,-0.34,99.99
11/11/2021,3.93,3.47,3.42,3.41,3.35,3.06,3.06,3.06,3.04,3.03,3.0,2.86,2.85,2.82,2.81,2.52,2.35,2.13,2.01,1.88,1.87,1.85,1.73,1.66,1.62,1.61,1.57,1.55,1.44,1.42,1.32,1.24,1.2,1.19,1.18,1.13,0.94,0.92,0.85,0.75,0.7,0.66,0.64,0.62,0.61,0.6,0.55,0.53,0.52,0.5,0.48,0.47,0.46,0.45,0.43,0.4,0.38,0.37,0.37,0.35,0.32,0.31,0.31,0.28,0.27,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.21,0.21,-0.34,99.99
11/12/2021,4.04,3.37,3.39,3.42,3.34,3.04,3.06,3.07,3.02,2.98,3.0,2.83,2.8,2.83,2.82,2.52,2.37,2.14,2.14,1.89,1.86,1.97,1.73,1.67,1.6,1.57,1.57,1.54,1.43,1.46,1.35,1.24,1.2,1.17,1.16,1.12,0.97,0.88,0.85,0.76,0.69,0.66,0.64,0.6,0.61,0.6,0.54,0.53,0.51,0.51,0.48,0.48,0.47,0.44,0.42,0.42,0.38,0.37,0.37,0.35,0.31,0.31,0.31,0.27,0.28,0.3,0.28,0.26,0.26,0.26,0.25,0.21,0.25,0.24,0.23,0.23,0.23,0.23,0.21,0.21,-0.34,100.03
11/15/2021,3.91,3.34,3.39,3.42,3.31,3.06,3.11,3.08,3.07,2.95,3.03,2.73,2.82,2.83,2.83,2.58,2.33,2.17,2.12,1.85,1.86,2.03,1.76,1.68,1.62,1.57,1.58,1.55,1.44,1.42,1.34,1.24,1.21,1.14,1.18,1.12,0.94,0.88,0.85,0.75,0.69,0.67,0.62,0.59,0.6,0.6,0.55,0.54,0.52,0.5,0.48,0.48,0.48,0.44,0.41,0.43,0.39,0.37,0.38,0.36,0.31,0.31,0.31,0.28,0.28,0.32,0.29,0.26,0.26,0.26,0.25,0.21,0.25,0.24,0.24,0.23,0.23,0.24,0.2,0.2,-0.35,100.01
11/16/2021,3.91,3.34,3.39,3.42,3.31,3.06,3.11,3.08,3.07,2.95,3.03,2.73,2.82,2.83,2.83,2.58,2.33,2.17,2.12,1.85,1.86,2.03,1.76,1.68,1.62,1.57,1.58,1.55,1.44,1.42,1.34,1.24,1.21,1.14,1.18,1.12,0.94,0.88,0.85,0.75,0.69,0.67,0.62,0.59,0.6,0.6,0.55,0.54,0.52,0.5,0.48,0.48,0.48,0.44,0.41,0.43,0.39,0.37,0.38,0.36,0.31,0.31,0.31,0.28,0.28,0.32,0.29,0.26,0.26,0.26,0.25,0.21,0.25,0.24,0.24,0.23,0.23,0.24,0.2,0.2,-0.35,100.01
11/17/2021,3.91,3.34,3.39,3.42,3.31,3.06,3.11,3.08,3.07,2.95,3.03,2.73,2.82,2.83,2.83,2.58,2.33,2.17,2.12,1.85,1.86,2.03,1.76,1.68,1.62,1.57,1.58,1.55,1.44,1.42,1.34,1.24,1.21,1.14,1.18,1.12,0.94,0.88,0.85,0.75,0.69,0.67,0.62,0.59,0.6,0.6,0.55,0.54,0.52,0.5,0.48,0.48,0.48,0.44,0.41,0.43,0.39,0.37,0.38,0.36,0.31,0.31,0.31,0.28,0.28,0.32,0.29,0.26,0.26,0.26,0.25,0.21,0.25,0.24,0.24,0.23,0.23,0.24,0.2,0.2,-0.35,100.01
11/18/2021,3.91,3.34,3.39,3.42,3.31,3.06,3.11,3.08,3.07,2.95,3.03,2.73,2.82,2.83,2.83,2.58,2.33,2.17,2.12,1.85,1.86,2.03,1.76,1.68,1.62,1.57,1.58,1.55,1.44,1.42,1.34,1.24,1.21,1.14,1.18,1.12,0.94,0.88,0.85,0.75,0.69,0.67,0.62,0.59,0.6,0.6,0.55,0.54,0.52,0.5,0.48,0.48,0.48,0.44,0.41,0.43,0.39,0.37,0.38,0.36,0.31,0.31,0.31,0.28,0.28,0.32,0.29,0.26,0.26,0.26,0.25,0.21,0.25,0.24,0.24,0.23,0.23,0.24,0.2,0.2,-0.35,100.01
11/19/2021,3.96,3.39,3.53,3.61,3.36,3.1,3.08,3.09,3.05,2.94,3.09,2.68,2.76,2.79,2.76,2.53,2.33,2.15,2.13,1.88,1.87,1.99,1.73,1.77,1.59,1.63,1.54,1.53,1.41,1.39,1.31,1.22,1.21,1.13,1.18,1.1,0.92,0.86,0.84,0.76,0.66,0.66,0.64,0.55,0.59,0.6,0.53,0.53,0.51,0.49,0.47,0.47,0.47,0.44,0.41,0.43,0.38,0.38,0.4,0.35,0.31,0.31,0.31,0.29,0.27,0.31,0.29,0.27,0.26,0.26,0.25,0.21,0.24,0.22,0.23,0.23,0.23,0.23,0.21,0.2,-0.3,99.98
11/22/2021,3.96,3.39,3.53,3.61,3.36,3.1,3.08,3.09,3.05,2.94,3.09,2.68,2.76,2.79,2.76,2.53,2.33,2.15,2.13,1.88,1.87,1.99,1.73,1.77,1.59,1.63,1.54,1.53,1.41,1.39,1.31,1.22,1.21,1.13,1.18,1.1,0.92,0.86,0.84,0.76,0.66,0.66,0.64,0.55,0.59,0.6,0.53,0.53,0.51,0.49,0.47,0.47,0.47,0.44,0.41,0.43,0.38,0.38,0.4,0.35,0.31,0.31,0.31,0.29,0.27,0.31,0.29,0.27,0.26,0.26,0.25,0.21,0.24,0.22,0.23,0.23,0.23,0.23,0.21,0.2,-0.3,99.98
11/23/2021,3.96,3.39,3.53,3.61,3.36,3.1,3.08,3.09,3.05,2.94,3.09,2.68,2.76,2.79,2.76,2.53,2.33,2.15,2.13,1.88,1.87,1.99,1.73,1.77,1.59,1.63,1.54,1.53,1.41,1.39,1.31,1.22,1.21,1.13,1.18,1.1,0.92,0.86,0.84,0.76,0.66,0.66,0.64,0.55,0.59,0.6,0.53,0.53,0.51,0.49,0.47,0.47,0.47,0.44,0.41,0.43,0.38,0.38,0.4,0.35,0.31,0.31,0.31,0.29,0.27,0.31,0.29,0.27,0.26,0.26,0.25,0.21,0.24,0.22,0.23,0.23,0.23,0.23,0.21,0.2,-0.3,99.98
11/24/2021,4.31,3.38,3.59,3.74,3.38,3.13,3.09,3.06,3.03,3.03,3.1,2.62,2.71,2.72,2.73,2.53,2.36,2.21,2.08,1.9,1.85,1.92,1.75,1.74,1.6,1.63,1.58,1.53,1.35,1.33,1.29,1.18,1.21,1.12,1.17,1.09,0.93,0.83,0.83,0.75,0.65,0.65,0.69,0.57,0.58,0.58,0.53,0.51,0.52,0.49,0.47,0.46,0.47,0.45,0.42,0.44,0.38,0.38,0.37,0.34,0.31,0.31,0.31,0.27,0.27,0.31,0.3,0.25,0.26,0.24,0.25,0.2,0.24,0.21,0.22,0.23,0.22,0.2,0.2,0.18,-0.3,100.01
