,NESN.SW,ASML.AS,ROG.SW,NOVN.SW,MC.PA,AZN.L,ULVR.L,SAP.DE,NOVO B.CO,SIE.DE,HSBA.L,SAN.PA,TTE.PA,DGE.L,OR.PA,ALV.DE,GSK.L,BATS.L,RIO.L,SU.PA,BP.L,RDSA.AS,AI.PA,AIR.PA,ADYEN.AS,IBE.MC,RYDBF,ENEL.MI,DAI.DE,BAS.DE,BNP.PA,DTE.DE,ADS.DE,DPW.DE,ABBN.SW,RKT.L,SAN.MC,KER.PA,RITN.,BHP.L,ABI.BR,ZURN.SW,BAYN.DE,UBSG.SW,REL.L,AAL.L,DG.PA,CS.PA,EL.PA,LONN.SW,IFX.DE,INGA.AS,RMS.PA,PRU.L,NG.L,BN.PA,SAF.PA,DSV.CO,ISP.MI,GLEN.L,SIKA.SW,LLOY.L,STLA.MI,VOD.L,RI.PA,VOW3.DE,PHIA.AS,INVE B.ST,BBVA.MC,PRX.AS,ITX.MC,ATCO A.ST,VWS.CO,CRH.L,CPG.L,VOLV B.ST,VNA.DE,MUV2.DE,BARC.L,NDA SE.ST,GIVN.SW,EXPN.L,CLNX.MC,LSEG.L,SGO.PA,ALC.SW,ERIC B.ST,DSY.PA,AHT.L,DB1.DE,DSM.AS,KNEBV.HE,BMW.DE,FERG.L,AMS.MC,NOKIA.HE,ASSA B.ST,CAP.PA,ENI.MI,AD.AS,HOLN.SW,HEXA B.ST,VIV.PA,LR.PA,PGHN.SW,SAND.ST,GEBN.SW,HEIA.AS,ML.PA,FLTR.L,WKL.AS,EVO.ST,GMAB.CO,ORSTED.CO,NESTE.HE,DHER.DE,RACE.MI,EOAN.DE,SREN.SW,RWE.DE,MRK.DE,DBK.DE,KBC.BR,UCG.MI,TSCO.L,EUR,CSGN.SW,ENGI.PA,G.MI,STM.PA,BA.L,TEF.MC,AKZA.AS,SAMPO.HE,BT.A.L,GLE.PA,TEP.PA,ORA.PA,EQNR.OL,AV.L,DWNI.DE,LGEN.L,LOGN.SW,FRE.DE,WLN.PA,KRZ.IR,SSE.L,MT.AS,UPM.HE,SOON.SW,IMB.L,SEB A.ST,ESSITY B.ST,ZAL.DE,ATCOB.ST,HEN3.DE,SN.L,COLO B.CO,DNB.OL,SGRO.L,SRT3.,CARL B.CO,STMN.SW,MAERSK B.CO,SY1.DE,HM B.ST,ACA.PA,SHL.DE,REP.MC,SHB A.ST,SWED A.ST,KNIN.SW,PAH3.DE,SLHN.SW,SGSN.SW,NZYM B.CO,FME.DE,OCDO.L,ARGX.BR,CNHI.MI,III.L,VIE.PA,WPP.L,STAN.L,BAER.SW,BNR.DE,EPI A.ST,NWG.L,CRDA.L,EDEN.PA,PUB.PA,HLMA.L,CON.DE,NXT.L,NIBE B.ST,FER.MC,ENT.L,NN.AS,EDP.LS,KRX.IR,DSYA.,ERF.PA,HFG.DE,SCMN.SW,SPX.L,PNDORA.CO,MONC.MI,127.HK,SWMA.ST,SK3.IR,GBLB.BR,DNB,CHF,UCB.BR,RTO.L,MNDI.L,ASM.AS,UMI.BR,GBP,CFR.SW,DIM.PA,UMG.AS,RR.L,n/a,XTSLA,EQT.ST,SUM
07/09/2021,3.34,2.68,2.5,2.1,1.93,1.47,1.45,1.45,1.29,1.18,1.11,1.1,1.04,1.04,0.98,0.96,0.92,0.82,0.82,0.8,0.8,0.77,0.77,0.75,0.7,0.68,0.68,0.67,0.67,0.67,0.66,0.64,0.63,0.63,0.61,0.61,0.6,0.59,0.58,0.58,0.55,0.55,0.55,0.54,0.51,0.51,0.5,0.5,0.5,0.5,0.48,0.47,0.47,0.46,0.46,0.46,0.46,0.45,0.45,0.44,0.44,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46000000000001
07/12/2021,3.41,2.64,2.55,2.13,1.9,1.45,1.46,1.5,1.32,1.18,1.1,1.09,1.03,1.03,0.98,0.95,0.92,0.81,0.82,0.8,0.8,0.77,0.77,0.74,0.7,0.67,0.68,0.68,0.66,0.67,0.64,0.64,0.64,0.63,0.63,0.61,0.59,0.59,0.58,0.59,0.55,0.55,0.55,0.53,0.51,0.5,0.49,0.49,0.51,0.51,0.47,0.46,0.47,0.45,0.46,0.45,0.46,0.45,0.44,0.44,0.45,0.41,0.4,0.41,0.4,0.41,0.39,0.4,0.38,0.36,0.36,0.38,0.37,0.36,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.0,0.32,0.3,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.33,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47
07/13/2021,3.41,2.64,2.55,2.13,1.9,1.45,1.46,1.5,1.32,1.18,1.1,1.09,1.03,1.03,0.98,0.95,0.92,0.81,0.82,0.8,0.8,0.77,0.77,0.74,0.7,0.67,0.68,0.68,0.66,0.67,0.64,0.64,0.64,0.63,0.63,0.61,0.59,0.59,0.58,0.59,0.55,0.55,0.55,0.53,0.51,0.5,0.49,0.49,0.51,0.51,0.47,0.46,0.47,0.45,0.46,0.45,0.46,0.45,0.44,0.44,0.45,0.41,0.4,0.41,0.4,0.41,0.39,0.4,0.38,0.36,0.36,0.38,0.37,0.36,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.33,0.33,0.32,0.0,0.32,0.3,0.31,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.27,0.27,0.26,0.25,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.23,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.21,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.18,0.18,0.18,0.17,0.18,0.17,0.17,0.16,0.16,0.17,0.15,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.33,0.14,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47
07/14/2021,3.35,2.68,2.51,2.11,1.94,1.45,1.44,1.5,1.31,1.18,1.09,1.1,1.03,1.02,0.98,0.96,0.92,0.81,0.84,0.81,0.8,0.77,0.77,0.76,0.7,0.64,0.68,0.67,0.67,0.68,0.64,0.64,0.64,0.63,0.63,0.61,0.59,0.59,0.58,0.61,0.55,0.55,0.55,0.53,0.51,0.52,0.49,0.5,0.5,0.5,0.48,0.47,0.47,0.46,0.46,0.45,0.46,0.45,0.44,0.45,0.44,0.42,0.4,0.41,0.4,0.42,0.39,0.4,0.38,0.36,0.37,0.38,0.36,0.36,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.32,0.32,0.34,0.33,0.32,0.0,0.32,0.3,0.3,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.26,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.32,0.0,0.0,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4
07/15/2021,3.35,2.68,2.51,2.11,1.94,1.45,1.44,1.5,1.31,1.18,1.09,1.1,1.03,1.02,0.98,0.96,0.92,0.81,0.84,0.81,0.8,0.77,0.77,0.76,0.7,0.64,0.68,0.67,0.67,0.68,0.64,0.64,0.64,0.63,0.63,0.61,0.59,0.59,0.58,0.61,0.55,0.55,0.55,0.53,0.51,0.52,0.49,0.5,0.5,0.5,0.48,0.47,0.47,0.46,0.46,0.45,0.46,0.45,0.44,0.45,0.44,0.42,0.4,0.41,0.4,0.42,0.39,0.4,0.38,0.36,0.37,0.38,0.36,0.36,0.35,0.36,0.36,0.35,0.35,0.35,0.35,0.34,0.32,0.32,0.34,0.33,0.32,0.0,0.32,0.3,0.3,0.31,0.31,0.3,0.29,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.26,0.26,0.27,0.25,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.24,0.26,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.18,0.19,0.19,0.19,0.18,0.19,0.17,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.17,0.16,0.15,0.16,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.32,0.0,0.0,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.4
07/16/2021,3.36,2.74,2.52,2.11,1.96,1.47,1.45,1.52,1.3,1.19,1.09,1.11,1.01,1.04,0.98,0.95,0.92,0.81,0.84,0.81,0.78,0.76,0.77,0.75,0.72,0.64,0.67,0.68,0.66,0.68,0.64,0.65,0.64,0.62,0.63,0.6,0.58,0.6,0.59,0.6,0.54,0.55,0.54,0.54,0.52,0.51,0.49,0.49,0.52,0.5,0.47,0.45,0.48,0.45,0.46,0.45,0.44,0.45,0.43,0.44,0.44,0.43,0.39,0.41,0.4,0.43,0.39,0.41,0.38,0.36,0.36,0.38,0.37,0.36,0.34,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.32,0.33,0.34,0.33,0.33,0.0,0.33,0.3,0.31,0.31,0.31,0.31,0.27,0.31,0.29,0.3,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.24,0.22,0.23,0.18,0.22,0.23,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.17,0.18,0.19,0.17,0.18,0.18,0.17,0.18,0.16,0.17,0.16,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.0,0.0,0.14,0.14,0.0,0.14,0.14,0.14,0.14,0.14,0.14,0.33,0.0,0.14,0.14,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.46
07/19/2021,3.36,2.77,2.53,2.1,1.95,1.42,1.45,1.51,1.33,1.16,1.1,1.1,1.01,1.05,0.99,0.96,0.91,0.82,0.86,0.81,0.77,0.74,0.78,0.75,0.73,0.64,0.66,0.68,0.67,0.68,0.64,0.65,0.64,0.63,0.63,0.6,0.59,0.6,0.59,0.61,0.54,0.55,0.55,0.54,0.52,0.52,0.48,0.5,0.51,0.49,0.47,0.46,0.49,0.46,0.46,0.44,0.44,0.46,0.43,0.45,0.45,0.43,0.39,0.4,0.41,0.42,0.39,0.41,0.38,0.37,0.34,0.38,0.34,0.36,0.33,0.36,0.36,0.36,0.35,0.36,0.35,0.36,0.32,0.32,0.34,0.32,0.33,0.0,0.33,0.3,0.31,0.31,0.31,0.3,0.27,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.24,0.27,0.24,0.26,0.24,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.16,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.23,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.18,0.19,0.17,0.17,0.19,0.17,0.18,0.18,0.17,0.18,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.13,0.0,0.14,0.14,0.13,0.15,0.0,0.14,0.14,0.14,0.15,0.33,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47999999999999
07/20/2021,3.36,2.77,2.53,2.1,1.95,1.42,1.45,1.51,1.33,1.16,1.1,1.1,1.01,1.05,0.99,0.96,0.91,0.82,0.86,0.81,0.77,0.74,0.78,0.75,0.73,0.64,0.66,0.68,0.67,0.68,0.64,0.65,0.64,0.63,0.63,0.6,0.59,0.6,0.59,0.61,0.54,0.55,0.55,0.54,0.52,0.52,0.48,0.5,0.51,0.49,0.47,0.46,0.49,0.46,0.46,0.44,0.44,0.46,0.43,0.45,0.45,0.43,0.39,0.4,0.41,0.42,0.39,0.41,0.38,0.37,0.34,0.38,0.34,0.36,0.33,0.36,0.36,0.36,0.35,0.36,0.35,0.36,0.32,0.32,0.34,0.32,0.33,0.0,0.33,0.3,0.31,0.31,0.31,0.3,0.27,0.3,0.29,0.29,0.28,0.29,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.24,0.27,0.24,0.26,0.24,0.25,0.25,0.24,0.25,0.24,0.23,0.24,0.24,0.24,0.23,0.23,0.16,0.22,0.22,0.23,0.23,0.22,0.21,0.22,0.22,0.21,0.22,0.23,0.21,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.18,0.19,0.17,0.17,0.19,0.17,0.18,0.18,0.17,0.18,0.16,0.17,0.16,0.16,0.17,0.15,0.17,0.17,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.13,0.0,0.14,0.14,0.13,0.15,0.0,0.14,0.14,0.14,0.15,0.33,0.14,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.47999999999999
07/21/2021,3.39,2.73,2.57,2.12,1.93,1.42,1.48,1.51,1.35,1.15,1.08,1.11,1.0,1.06,1.0,0.95,0.92,0.84,0.82,0.8,0.76,0.74,0.78,0.75,0.74,0.65,0.65,0.69,0.66,0.68,0.63,0.66,0.63,0.63,0.63,0.62,0.58,0.6,0.59,0.6,0.55,0.56,0.55,0.54,0.53,0.51,0.48,0.5,0.51,0.5,0.46,0.45,0.48,0.46,0.46,0.45,0.44,0.45,0.43,0.44,0.45,0.42,0.39,0.4,0.41,0.42,0.39,0.41,0.38,0.38,0.35,0.39,0.34,0.36,0.34,0.36,0.37,0.36,0.34,0.36,0.35,0.37,0.32,0.32,0.34,0.32,0.3,0.0,0.33,0.3,0.32,0.31,0.3,0.3,0.28,0.31,0.29,0.3,0.28,0.3,0.27,0.28,0.27,0.27,0.28,0.26,0.27,0.27,0.27,0.24,0.27,0.24,0.26,0.25,0.25,0.25,0.25,0.26,0.24,0.23,0.24,0.23,0.24,0.22,0.24,0.0,0.22,0.23,0.23,0.23,0.23,0.21,0.22,0.22,0.21,0.21,0.23,0.22,0.2,0.2,0.21,0.2,0.2,0.2,0.2,0.21,0.2,0.19,0.19,0.19,0.2,0.2,0.19,0.18,0.2,0.17,0.17,0.19,0.17,0.18,0.18,0.17,0.19,0.16,0.17,0.16,0.16,0.17,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.16,0.15,0.15,0.0,0.14,0.14,0.14,0.14,0.14,0.0,0.14,0.14,0.0,0.15,0.14,0.14,0.14,0.14,0.14,0.33,0.14,0.0,0.14,0.0,0.0,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.59
07/22/2021,3.47,2.74,2.62,2.14,1.94,1.43,1.5,1.52,1.38,1.15,1.07,1.13,0.99,1.05,1.02,0.94,0.93,0.82,0.81,0.8,0.73,0.72,0.79,0.72,0.74,0.65,0.64,0.67,0.66,0.67,0.62,0.64,0.64,0.63,0.63,0.63,0.57,0.6,0.58,0.59,0.54,0.56,0.55,0.54,0.53,0.5,0.48,0.5,0.5,0.51,0.46,0.45,0.49,0.45,0.47,0.45,0.43,0.45,0.42,0.43,0.46,0.41,0.38,0.4,0.41,0.42,0.4,0.41,0.37,0.38,0.35,0.4,0.35,0.35,0.33,0.35,0.37,0.35,0.33,0.35,0.37,0.37,0.33,0.33,0.33,0.33,0.3,0.0,0.33,0.3,0.32,0.32,0.3,0.3,0.27,0.31,0.29,0.3,0.27,0.3,0.27,0.29,0.27,0.27,0.28,0.26,0.28,0.26,0.27,0.24,0.28,0.25,0.27,0.25,0.25,0.26,0.25,0.26,0.24,0.22,0.25,0.23,0.23,0.22,0.24,0.17,0.22,0.23,0.22,0.23,0.22,0.21,0.22,0.22,0.21,0.21,0.23,0.22,0.19,0.2,0.21,0.2,0.2,0.21,0.2,0.21,0.2,0.19,0.2,0.19,0.19,0.2,0.2,0.19,0.2,0.17,0.17,0.2,0.16,0.18,0.19,0.17,0.19,0.16,0.18,0.15,0.16,0.17,0.14,0.16,0.17,0.16,0.15,0.15,0.15,0.15,0.16,0.14,0.16,0.15,0.15,0.16,0.15,0.15,0.0,0.14,0.14,0.0,0.15,0.0,0.0,0.14,0.14,0.0,0.15,0.0,0.0,0.14,0.14,0.15,0.34,0.14,0.14,0.14,0.14,0.0,0.0,0.0,0.14,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.69
