,DSKY.ME,JSFCF,AFLT.ME,CBOM.ME,GLTR.L,POG.L,HHR,EUA.L,VNV Global AB,LSRG.ME,FLOT.ME,UPRO.ME,NMTP.ME,LNTA.L,ETLN.L,QIWI,OGKB.ME,MSNG.ME,MTLR.ME,RASP.ME,MVID.ME,SELG.ME,LSNGP,102.HK,TGKA.ME,HLIT,Russian Ruble,Pound Sterling,Swedish Krona,Us Dollar,GVMXX,VNV.ST,SFIN.ME,SUM
07/09/2021,8.1,8.06,6.68,6.68,5.76,5.7,5.46,4.81,4.66,4.59,4.37,3.99,3.68,3.56,3.42,3.39,3.16,2.54,1.95,1.91,1.79,1.56,1.52,1.26,1.11,0.2,0.11,0.05,0.02,-0.07,0.0,0.0,0.0,100.02
08/31/2021,8.19,8.07,6.69,6.62,5.88,5.64,5.39,4.58,0.0,4.62,4.59,4.0,3.63,3.6,3.48,3.4,3.37,2.69,1.95,1.93,1.75,1.57,1.55,1.24,1.23,0.0,0.0,0.0,0.0,0.0,6.52,4.59,0.2,106.96999999999998
09/01/2021,8.19,8.07,6.69,6.62,5.88,5.64,5.39,4.58,0.0,4.62,4.59,4.0,3.63,3.6,3.48,3.4,3.37,2.69,1.95,1.93,1.75,1.57,1.55,1.24,1.23,0.0,0.0,0.0,0.0,0.0,6.52,4.59,0.2,106.96999999999998
09/02/2021,8.19,8.07,6.69,6.62,5.88,5.64,5.39,4.58,0.0,4.62,4.59,4.0,3.63,3.6,3.48,3.4,3.37,2.69,1.95,1.93,1.75,1.57,1.55,1.24,1.23,0.0,0.0,0.0,0.0,0.0,6.52,4.59,0.2,106.96999999999998
