,BRK.B,JPM,JNJ,PG,DIS,BAC,CMCSA,XOM,VZ,INTC,CSCO,PFE,KO,ABT,T,PEP,CVX,NKE,ABBV,MRK,ACN,WMT,WFC,LLY,TXN,MCD,MDT,QCOM,PM,HON,UPS,BMY,UNP,ORCL,NEE,C,AMGN,LOW,MS,SBUX,RTX,GS,AMAT,IBM,TGT,CAT,GE,MMM,AMD,DE,AXP,SCHW,CVS,ANTM,LMT,FIS,MU,PLD,MO,MDLZ,SYK,GILD,ADP,CCI,COP,TJX,PNC,USB,CME,DUK,TFC,GM,CSX,ATVI,FDX,CB,MMC,BDX,MRNA,COF,CL,NSC,ICE,BX,SO,ITW,APD,ADI,ETN,D,F,EMR,PGR,WM,FCX,AON,ECL,BIIB,EOG,JCI,KLAC,DOW,MRVL,TROW,PSA,SLB,TEL,EBAY,KMB,A,ROST,MET,TT,EXC,APTV,GD,INFO,SPG,AEP,SRE,DLR,DD,APH,BK,AIG,BAX,EA,PRU,MCHP,PPG,ALL,PH,CARR,SYY,STZ,MPC,PXD,PSX,TRV,MAR,MSI,IFF,HPQ,GIS,CTSH,DFS,KMI,XEL,XLNX,WELL,CMI,HLT,YUM,PAYX,KKR,4338.SR,WBA,AFL,ADM,SWK,FRC,OTIS,ROK,CTVA,WMB,GLW,VLO,LUV,SWKS,AME,PCAR,MCK,PEG,DHI,FAST,WLTW,AVB,EFX,STT,AMP,KR,NUE,AJG,AWK,WEC,DAL,KEYS,LEN,MXIM,ES,OXY,LH,VFC,FITB,EQR,BLL,VIAC,LYB,SYF,KHC,UKCM.L,WY,KSU,HSY,ARE,O,ED,SUM
07/09/2021,2.47,2.2,2.07,1.55,1.5,1.45,1.25,1.25,1.09,1.07,1.05,1.04,0.98,0.98,0.97,0.96,0.96,0.95,0.95,0.93,0.9,0.9,0.87,0.87,0.83,0.81,0.8,0.75,0.73,0.72,0.71,0.7,0.7,0.69,0.68,0.68,0.67,0.64,0.64,0.63,0.61,0.59,0.59,0.58,0.57,0.56,0.55,0.54,0.54,0.51,0.51,0.51,0.51,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.36,0.36,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.29,0.28,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.19999999999999
07/12/2021,2.48,2.18,2.09,1.57,1.47,1.41,1.25,1.2,1.1,1.06,1.05,1.03,0.99,1.0,0.97,0.97,0.93,0.96,0.97,0.93,0.92,0.9,0.84,0.88,0.82,0.82,0.81,0.74,0.72,0.72,0.73,0.7,0.71,0.73,0.69,0.66,0.66,0.65,0.63,0.65,0.61,0.59,0.58,0.59,0.58,0.55,0.54,0.54,0.52,0.52,0.52,0.49,0.5,0.45,0.44,0.42,0.41,0.43,0.41,0.42,0.41,0.4,0.41,0.41,0.37,0.38,0.37,0.36,0.35,0.36,0.34,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.28,0.29,0.26,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.12,0.13,0.13,0.12,0.0,0.12,0.0,0.16,0.12,0.12,0.12,0.0,0.0,0.0,80.11
07/13/2021,2.48,2.18,2.09,1.57,1.47,1.41,1.25,1.2,1.1,1.06,1.05,1.03,0.99,1.0,0.97,0.97,0.93,0.96,0.97,0.93,0.92,0.9,0.84,0.88,0.82,0.82,0.81,0.74,0.72,0.72,0.73,0.7,0.71,0.73,0.69,0.66,0.66,0.65,0.63,0.65,0.61,0.59,0.58,0.59,0.58,0.55,0.54,0.54,0.52,0.52,0.52,0.49,0.5,0.45,0.44,0.42,0.41,0.43,0.41,0.42,0.41,0.4,0.41,0.41,0.37,0.38,0.37,0.36,0.35,0.36,0.34,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.32,0.33,0.33,0.32,0.31,0.32,0.31,0.3,0.3,0.29,0.28,0.29,0.26,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.17,0.17,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.12,0.13,0.13,0.12,0.0,0.12,0.0,0.16,0.12,0.12,0.12,0.0,0.0,0.0,80.11
07/14/2021,2.48,2.2,2.09,1.57,1.5,1.41,1.24,1.21,1.08,1.06,1.06,1.04,0.99,0.99,0.95,0.96,0.94,0.96,0.96,0.92,0.93,0.9,0.85,0.87,0.82,0.82,0.81,0.74,0.72,0.73,0.72,0.7,0.69,0.74,0.69,0.66,0.66,0.64,0.63,0.65,0.61,0.59,0.58,0.59,0.57,0.56,0.54,0.54,0.52,0.51,0.52,0.49,0.5,0.44,0.44,0.42,0.41,0.43,0.41,0.41,0.4,0.4,0.4,0.41,0.38,0.38,0.38,0.36,0.35,0.36,0.35,0.35,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.31,0.31,0.32,0.3,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.13,0.13,0.13,0.0,0.12,0.12,0.12,0.2,0.13,0.0,0.0,0.12,0.0,0.0,80.16999999999999
07/15/2021,2.48,2.2,2.09,1.57,1.5,1.41,1.24,1.21,1.08,1.06,1.06,1.04,0.99,0.99,0.95,0.96,0.94,0.96,0.96,0.92,0.93,0.9,0.85,0.87,0.82,0.82,0.81,0.74,0.72,0.73,0.72,0.7,0.69,0.74,0.69,0.66,0.66,0.64,0.63,0.65,0.61,0.59,0.58,0.59,0.57,0.56,0.54,0.54,0.52,0.51,0.52,0.49,0.5,0.44,0.44,0.42,0.41,0.43,0.41,0.41,0.4,0.4,0.4,0.41,0.38,0.38,0.38,0.36,0.35,0.36,0.35,0.35,0.34,0.33,0.34,0.34,0.34,0.34,0.33,0.34,0.33,0.31,0.31,0.32,0.3,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.22,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.17,0.16,0.17,0.17,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.0,0.13,0.12,0.13,0.13,0.13,0.0,0.12,0.12,0.12,0.2,0.13,0.0,0.0,0.12,0.0,0.0,80.16999999999999
07/16/2021,2.48,2.21,2.09,1.57,1.56,1.41,1.24,1.21,1.09,1.08,1.05,1.04,1.0,0.99,0.95,0.99,0.94,0.96,0.98,0.92,0.93,0.9,0.84,0.88,0.83,0.83,0.8,0.75,0.71,0.73,0.72,0.71,0.68,0.74,0.69,0.66,0.66,0.64,0.65,0.66,0.61,0.6,0.59,0.59,0.58,0.55,0.53,0.54,0.51,0.51,0.53,0.5,0.5,0.46,0.43,0.42,0.41,0.44,0.41,0.42,0.4,0.4,0.41,0.41,0.38,0.38,0.38,0.36,0.35,0.37,0.34,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.31,0.31,0.32,0.3,0.31,0.3,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.18,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.17,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.18,0.17,0.17,0.15,0.17,0.17,0.16,0.16,0.17,0.16,0.0,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.15,0.14,0.14,0.14,0.13,0.13,0.13,0.14,0.14,0.12,0.14,0.12,0.13,0.13,0.0,0.13,0.12,0.12,0.13,0.13,0.0,0.12,0.12,0.0,0.2,0.12,0.0,0.12,0.12,0.0,0.0,80.36
07/19/2021,2.49,2.21,2.08,1.6,1.57,1.37,1.25,1.17,1.1,1.06,1.06,1.05,1.03,0.97,0.95,1.01,0.92,0.97,0.97,0.93,0.94,0.91,0.87,0.86,0.82,0.83,0.79,0.75,0.73,0.76,0.72,0.71,0.69,0.73,0.71,0.66,0.66,0.65,0.65,0.66,0.6,0.6,0.57,0.59,0.59,0.54,0.53,0.55,0.5,0.51,0.53,0.5,0.51,0.45,0.43,0.43,0.4,0.44,0.41,0.42,0.4,0.4,0.41,0.41,0.36,0.38,0.38,0.37,0.35,0.37,0.35,0.34,0.34,0.33,0.34,0.35,0.34,0.34,0.37,0.34,0.33,0.31,0.31,0.33,0.31,0.31,0.3,0.28,0.29,0.29,0.26,0.28,0.26,0.26,0.24,0.24,0.25,0.23,0.21,0.24,0.22,0.22,0.21,0.22,0.22,0.19,0.21,0.21,0.22,0.21,0.21,0.2,0.22,0.21,0.19,0.2,0.2,0.2,0.2,0.2,0.21,0.2,0.19,0.18,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.19,0.19,0.17,0.18,0.16,0.16,0.16,0.18,0.17,0.18,0.17,0.16,0.17,0.17,0.18,0.16,0.17,0.15,0.17,0.16,0.16,0.16,0.17,0.16,0.0,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.14,0.13,0.15,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.12,0.14,0.13,0.12,0.14,0.0,0.13,0.0,0.12,0.13,0.13,0.0,0.12,0.12,0.0,0.15,0.12,0.0,0.12,0.12,0.12,0.0,80.28999999999999
07/20/2021,2.49,2.18,2.09,1.63,1.54,1.35,1.25,1.15,1.11,1.05,1.07,1.07,1.04,0.99,0.96,1.02,0.9,0.96,0.98,0.93,0.94,0.92,0.87,0.88,0.81,0.83,0.8,0.75,0.73,0.76,0.72,0.71,0.69,0.75,0.72,0.65,0.67,0.66,0.64,0.66,0.6,0.59,0.56,0.59,0.59,0.54,0.52,0.55,0.49,0.51,0.52,0.49,0.51,0.46,0.44,0.44,0.4,0.45,0.41,0.43,0.4,0.41,0.41,0.42,0.35,0.38,0.37,0.37,0.36,0.38,0.35,0.33,0.34,0.34,0.34,0.35,0.34,0.34,0.41,0.34,0.34,0.31,0.31,0.33,0.32,0.31,0.3,0.28,0.29,0.29,0.25,0.28,0.27,0.27,0.23,0.25,0.25,0.23,0.2,0.24,0.21,0.21,0.21,0.22,0.23,0.18,0.21,0.21,0.22,0.21,0.2,0.2,0.22,0.21,0.19,0.21,0.2,0.19,0.21,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.18,0.16,0.15,0.15,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.18,0.15,0.18,0.17,0.16,0.16,0.17,0.16,0.0,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.14,0.0,0.13,0.0,0.12,0.14,0.13,0.0,0.0,0.0,0.12,0.15,0.12,0.0,0.12,0.13,0.12,0.12,80.44
07/21/2021,2.49,2.18,2.09,1.63,1.54,1.35,1.25,1.15,1.11,1.05,1.07,1.07,1.04,0.99,0.96,1.02,0.9,0.96,0.98,0.93,0.94,0.92,0.87,0.88,0.81,0.83,0.8,0.75,0.73,0.76,0.72,0.71,0.69,0.75,0.72,0.65,0.67,0.66,0.64,0.66,0.6,0.59,0.56,0.59,0.59,0.54,0.52,0.55,0.49,0.51,0.52,0.49,0.51,0.46,0.44,0.44,0.4,0.45,0.41,0.43,0.4,0.41,0.41,0.42,0.35,0.38,0.37,0.37,0.36,0.38,0.35,0.33,0.34,0.34,0.34,0.35,0.34,0.34,0.41,0.34,0.34,0.31,0.31,0.33,0.32,0.31,0.3,0.28,0.29,0.29,0.25,0.28,0.27,0.27,0.23,0.25,0.25,0.23,0.2,0.24,0.21,0.21,0.21,0.22,0.23,0.18,0.21,0.21,0.22,0.21,0.2,0.2,0.22,0.21,0.19,0.21,0.2,0.19,0.21,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.18,0.16,0.15,0.15,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.18,0.15,0.18,0.17,0.16,0.16,0.17,0.16,0.0,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.14,0.0,0.13,0.0,0.12,0.14,0.13,0.0,0.0,0.0,0.12,0.15,0.12,0.0,0.12,0.13,0.12,0.12,80.44
07/22/2021,2.49,2.18,2.09,1.63,1.54,1.35,1.25,1.15,1.11,1.05,1.07,1.07,1.04,0.99,0.96,1.02,0.9,0.96,0.98,0.93,0.94,0.92,0.87,0.88,0.81,0.83,0.8,0.75,0.73,0.76,0.72,0.71,0.69,0.75,0.72,0.65,0.67,0.66,0.64,0.66,0.6,0.59,0.56,0.59,0.59,0.54,0.52,0.55,0.49,0.51,0.52,0.49,0.51,0.46,0.44,0.44,0.4,0.45,0.41,0.43,0.4,0.41,0.41,0.42,0.35,0.38,0.37,0.37,0.36,0.38,0.35,0.33,0.34,0.34,0.34,0.35,0.34,0.34,0.41,0.34,0.34,0.31,0.31,0.33,0.32,0.31,0.3,0.28,0.29,0.29,0.25,0.28,0.27,0.27,0.23,0.25,0.25,0.23,0.2,0.24,0.21,0.21,0.21,0.22,0.23,0.18,0.21,0.21,0.22,0.21,0.2,0.2,0.22,0.21,0.19,0.21,0.2,0.19,0.21,0.2,0.21,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.17,0.19,0.18,0.18,0.19,0.17,0.18,0.16,0.15,0.15,0.19,0.17,0.18,0.17,0.16,0.17,0.17,0.17,0.16,0.18,0.15,0.18,0.17,0.16,0.16,0.17,0.16,0.0,0.16,0.16,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.13,0.14,0.15,0.15,0.14,0.14,0.15,0.13,0.15,0.14,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.14,0.12,0.13,0.13,0.12,0.14,0.0,0.13,0.0,0.12,0.14,0.13,0.0,0.0,0.0,0.12,0.15,0.12,0.0,0.12,0.13,0.12,0.12,80.44
