,2330.TW,700.HK,9988.HK,3690.HK,NPN.JO,RELIANCE.NS,939.HK,NIO,2318.HK,HDFC.NS,2269.HK,2454.TW,INFY,GAZP.ME,035420.KS,035720.KS,TCS.NS,LKOH.ME,006400.KS,051910.KS,M4B.,2010.SR,YUMC,HINDUNILVR.NS,2331.HK,BY6.,BBDC4.SA,AXISBANK.NS,BBCA.JK,2303.TW,INFY.NS,QNBK.QA,2603.TW,2308.TW,NVTK.L,2313.HK,FAB.,FSR.JO,105560.KS,B3SA3.SA,175.HK,2319.HK,2881.TW,Cash & Cash Equivalents,2002.TW,GFNORTEO.MX,FEMSAUBD.MX,1303.TW,066570.KS,2412.TW,LI,055550.KS,ASIANPAINT.NS,2882.TW,6098.HK,2688.HK,2891.TW,051900.KS,PBBANK.KL,XPEV,ESGE,HCLTECH.NS,IMP.JO,1216.TW,3711.TW,2886.TW,096770.KS,CEMEXCPO.MX,MTN.JO,OTP.BD,1093.HK,KFH.,017670.KS,SBK.JO,300750.SZ,WEGE3.SA,ETISALAT.,CPALL-R.BK,2884.TW,SBIN.NS,NTCO3.SA,960.HK,2333.HK,SCVUF,2885.TW,384.HK,1177.HK,968.HK,009150.KS,CPI.JO,M&M.NS,WIPRO.NS,1101.TW,GLOB,EMIRATESNBD.DB,5871.TW,2327.TW,688.HK,GFI.JO,992.HK,PKO.WA,TITAN.NS,091990.KQ,2892.TW,VIPS,2359.HK,AOT-R.BK,GNDI3.SA,HINDALCO.NS,241.HK,SLM.JO,MAYBANK.KL,268.HK,NESTLEIND.NS,034730.KS,POLY.L,CIMB.KL,LREN3.SA,SMPH.PM,1211.SR,6186.HK,BID.JO,RENT3.SA,2207.TW,090430.KS,003550.KS,586.HK,BDMS-R.BK,KGH.WA,3481.TW,ABG.JO,2409.TW,AMS.JO,601318.SS,267.HK,PLZL.ME,000810.KS,NVAA.,SQM/B.SN,PKN.WA,SHP.JO,ALI.PM,3045.TW,5876.TW,PZU.WA,018260.KS,1066.HK,2887.TW,2880.TW,NHM.JO,NAUKRI.NS,BBAS3.SA,VOD.JO,ADANIGREEN.NS,2018.HK,BPCL.NS,853.HK,3692.HK,1193.HK,EICHERMOT.NS,GRASIM.NS,1548.HK,ADCB.,PTTEP-R.BK,2202.HK,SM.PM,CSAN3.SA,UPL.NS,881.HK,2890.TW,2912.TW,BRITANNIA.NS,TOPGLOV.KL,034220.KS,AC.PM,DABUR.NS,RAIL3.SA,601888.SS,9910.TW,2301.TW,APN.JO,HEROMOTOCO.NS,MBT,BBDC3.SA,009830.KS,601166.SS,003490.KS,PEO.WA,ALDAR.,011170.KS,NED.JO,NLMK.ME,SHREECEM.NS,EQTL3.SA,OMU.JO,PTTGC-R.BK,2280.SR,000720.KS,1772.HK,PIDILITIND.NS,003670.KS,COMI.CA,CLS.JO,REM.JO,688185.SS,MOTHERSUMI.NS,2196.HK,MSCI Emerging Markets Index Future Sept 21,AMER3.SA,021240.KS,AMBUJACEM.NS,HTO.AT,MARICO.NS,n/a,1140.SR,002594.SZ,WHL.JO,VIVT3.SA,PMETAL.KL,PFBCOLO.BC,JGS.PM,2609.TW,RDOR3.SA,2615.TW,ATGL.NS,HAVELLS.NS,SUM
07/09/2021,11.07,8.77,8.71,2.85,1.8,1.72,1.61,1.38,1.28,1.21,1.15,1.06,1.04,1.0,0.94,0.92,0.86,0.81,0.77,0.75,0.69,0.6,0.6,0.58,0.53,0.52,0.52,0.49,0.49,0.48,0.48,0.47,0.46,0.46,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.38,0.38,0.37,0.36,0.35,0.35,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.28,0.28,0.27,0.27,0.26,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.01000000000002
07/12/2021,11.11,8.65,8.32,2.81,1.81,1.72,1.49,1.28,1.25,1.24,1.25,1.07,1.07,1.02,0.96,0.94,0.86,0.8,0.76,0.72,0.68,0.61,0.6,0.58,0.56,0.51,0.52,0.49,0.5,0.48,0.49,0.49,0.39,0.46,0.43,0.42,0.42,0.43,0.38,0.41,0.39,0.38,0.39,0.25,0.35,0.36,0.35,0.35,0.32,0.34,0.33,0.32,0.34,0.33,0.32,0.33,0.33,0.3,0.31,0.33,0.4,0.31,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.0,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.75000000000001
07/13/2021,11.11,8.65,8.32,2.81,1.81,1.72,1.49,1.28,1.25,1.24,1.25,1.07,1.07,1.02,0.96,0.94,0.86,0.8,0.76,0.72,0.68,0.61,0.6,0.58,0.56,0.51,0.52,0.49,0.5,0.48,0.49,0.49,0.39,0.46,0.43,0.42,0.42,0.43,0.38,0.41,0.39,0.38,0.39,0.25,0.35,0.36,0.35,0.35,0.32,0.34,0.33,0.32,0.34,0.33,0.32,0.33,0.33,0.3,0.31,0.33,0.4,0.31,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.0,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.75000000000001
07/14/2021,11.08,8.63,8.3,2.8,1.8,1.71,1.49,1.27,1.25,1.24,1.25,1.07,1.07,1.02,0.96,0.94,0.86,0.8,0.76,0.72,0.68,0.6,0.6,0.58,0.56,0.51,0.52,0.49,0.49,0.48,0.49,0.49,0.39,0.45,0.43,0.42,0.42,0.43,0.38,0.4,0.39,0.38,0.39,0.0,0.35,0.36,0.35,0.35,0.32,0.34,0.33,0.32,0.33,0.33,0.32,0.33,0.32,0.3,0.31,0.33,0.3,0.31,0.28,0.28,0.27,0.27,0.26,0.28,0.27,0.26,0.26,0.25,0.24,0.26,0.25,0.24,0.24,0.23,0.23,0.22,0.22,0.21,0.23,0.21,0.2,0.21,0.21,0.22,0.2,0.2,0.2,0.19,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.15,0.16,0.16,0.15,0.15,0.14,0.14,0.15,0.15,0.14,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.12,0.12,0.12,0.11,0.1,0.11,0.11,0.11,0.11,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.0,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.09,0.09,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.60000000000002
07/15/2021,11.23,8.53,8.34,2.85,1.8,1.72,1.48,1.29,1.25,1.23,1.25,1.09,1.05,1.02,0.97,0.94,0.85,0.79,0.75,0.73,0.68,0.61,0.6,0.58,0.53,0.55,0.54,0.49,0.51,0.49,0.48,0.48,0.38,0.46,0.43,0.41,0.42,0.43,0.38,0.42,0.39,0.38,0.4,0.26,0.35,0.36,0.36,0.35,0.31,0.34,0.33,0.32,0.33,0.34,0.32,0.32,0.32,0.3,0.31,0.33,0.4,0.31,0.28,0.28,0.27,0.27,0.26,0.27,0.27,0.26,0.27,0.25,0.25,0.25,0.26,0.24,0.24,0.23,0.23,0.22,0.23,0.21,0.23,0.21,0.2,0.21,0.21,0.22,0.2,0.2,0.19,0.19,0.2,0.2,0.19,0.19,0.19,0.19,0.18,0.19,0.18,0.18,0.17,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.16,0.17,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.15,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.12,0.11,0.12,0.13,0.11,0.1,0.11,0.11,0.12,0.11,0.11,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.80000000000001
07/16/2021,11.37,8.76,8.57,2.92,1.78,1.71,1.46,1.24,1.24,1.25,1.2,1.07,1.04,1.01,1.01,0.93,0.84,0.79,0.76,0.71,0.68,0.59,0.59,0.57,0.54,0.55,0.54,0.5,0.49,0.49,0.48,0.48,0.34,0.47,0.42,0.4,0.41,0.39,0.38,0.43,0.41,0.37,0.39,0.29,0.33,0.35,0.35,0.35,0.32,0.34,0.33,0.32,0.33,0.34,0.31,0.33,0.32,0.3,0.3,0.32,0.39,0.3,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.27,0.25,0.24,0.23,0.26,0.24,0.24,0.23,0.23,0.22,0.22,0.22,0.24,0.22,0.2,0.21,0.21,0.22,0.2,0.18,0.19,0.19,0.19,0.2,0.19,0.19,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.19,0.19,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.17,0.17,0.16,0.17,0.15,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.12,0.11,0.11,0.11,0.11,0.12,0.13,0.11,0.1,0.1,0.11,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.98
07/19/2021,11.46,8.84,8.73,2.85,1.85,1.68,1.46,1.19,1.25,1.23,1.25,1.09,1.03,0.95,1.02,0.92,0.84,0.76,0.76,0.69,0.7,0.6,0.58,0.56,0.56,0.5,0.53,0.5,0.49,0.5,0.49,0.47,0.34,0.49,0.41,0.39,0.41,0.39,0.38,0.43,0.39,0.37,0.41,0.29,0.33,0.35,0.35,0.35,0.31,0.34,0.31,0.32,0.32,0.35,0.32,0.35,0.32,0.29,0.3,0.31,0.39,0.32,0.29,0.27,0.28,0.27,0.25,0.26,0.26,0.25,0.28,0.25,0.24,0.23,0.26,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.22,0.21,0.19,0.22,0.21,0.21,0.2,0.18,0.19,0.21,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.17,0.18,0.17,0.17,0.18,0.18,0.19,0.17,0.18,0.18,0.18,0.16,0.17,0.17,0.17,0.16,0.17,0.16,0.17,0.15,0.15,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.14,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.14,0.11,0.1,0.1,0.11,0.12,0.11,0.11,0.11,0.11,0.1,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07000000000002
07/20/2021,10.99,8.86,8.71,2.86,1.89,1.71,1.47,1.17,1.26,1.24,1.27,1.1,1.02,0.95,1.02,0.91,0.84,0.76,0.76,0.7,0.7,0.6,0.58,0.56,0.55,0.49,0.52,0.5,0.49,0.48,0.48,0.47,0.37,0.48,0.41,0.37,0.41,0.4,0.39,0.42,0.39,0.37,0.43,0.0,0.33,0.35,0.36,0.35,0.32,0.34,0.3,0.32,0.33,0.36,0.32,0.35,0.32,0.3,0.3,0.32,0.39,0.31,0.28,0.27,0.28,0.27,0.25,0.26,0.26,0.25,0.28,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.23,0.21,0.2,0.22,0.21,0.21,0.2,0.19,0.19,0.21,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.18,0.18,0.2,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.14,0.11,0.1,0.11,0.1,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.1,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.81000000000002
07/21/2021,10.99,8.86,8.71,2.86,1.89,1.71,1.47,1.17,1.26,1.24,1.27,1.1,1.02,0.95,1.02,0.91,0.84,0.76,0.76,0.7,0.7,0.6,0.58,0.56,0.55,0.49,0.52,0.5,0.49,0.48,0.48,0.47,0.37,0.48,0.41,0.37,0.41,0.4,0.39,0.42,0.39,0.37,0.43,0.0,0.33,0.35,0.36,0.35,0.32,0.34,0.3,0.32,0.33,0.36,0.32,0.35,0.32,0.3,0.3,0.32,0.39,0.31,0.28,0.27,0.28,0.27,0.25,0.26,0.26,0.25,0.28,0.25,0.24,0.23,0.24,0.24,0.23,0.22,0.23,0.22,0.22,0.21,0.23,0.21,0.2,0.22,0.21,0.21,0.2,0.19,0.19,0.21,0.19,0.19,0.19,0.2,0.18,0.19,0.19,0.17,0.18,0.17,0.18,0.18,0.18,0.2,0.17,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.17,0.15,0.15,0.16,0.16,0.17,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.11,0.12,0.11,0.12,0.11,0.12,0.14,0.11,0.1,0.11,0.1,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.1,0.09,0.09,0.09,0.0,0.0,0.0,0.09,0.1,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.81000000000002
07/22/2021,11.07,8.81,8.6,2.78,1.89,1.73,1.48,1.21,1.27,1.23,1.3,1.07,1.03,0.95,1.03,0.9,0.85,0.75,0.77,0.71,0.7,0.61,0.58,0.57,0.56,0.49,0.51,0.5,0.49,0.48,0.48,0.48,0.39,0.48,0.4,0.38,0.42,0.4,0.38,0.42,0.39,0.37,0.44,0.16,0.34,0.34,0.35,0.36,0.31,0.35,0.31,0.32,0.33,0.37,0.32,0.36,0.33,0.3,0.3,0.33,0.37,0.31,0.27,0.28,0.28,0.27,0.25,0.25,0.26,0.25,0.28,0.26,0.25,0.22,0.24,0.23,0.24,0.23,0.23,0.22,0.22,0.22,0.23,0.21,0.2,0.22,0.21,0.22,0.2,0.19,0.2,0.21,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.17,0.18,0.17,0.18,0.18,0.17,0.2,0.17,0.18,0.18,0.18,0.16,0.17,0.18,0.17,0.16,0.17,0.16,0.16,0.15,0.16,0.16,0.15,0.17,0.15,0.15,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.11,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.11,0.11,0.12,0.12,0.12,0.11,0.12,0.12,0.12,0.12,0.11,0.12,0.15,0.11,0.1,0.1,0.1,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.1,0.09,0.1,0.11,0.11,0.1,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.09,0.1,0.1,0.0,0.1,0.09,0.09,0.0,0.0,0.0,0.0,0.11,0.09,0.1,0.1,0.0,0.0,0.0,0.09,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.79
