,AAPL,MSFT,JPM,JNJ,PG,CSCO,INTC,AVGO,TXN,ORCL,PM,WMT,AMGN,HD,LOW,LLY,PFE,IBM,UNP,MMM,CMCSA,MO,VZ,PNC,ATVI,ITW,SO,ADI,RMD,PGR,EBAY,PSA,SHW,TROW,PAYX,TT,NEM,EXR,EA,SYF,AVB,DKS,WMB,ALL,KMI,TGT,FAST,SIRI,AFL,HAL,OMF,PEG,WWE,MCK,BBY,CAH,LMT,ODFL,AOS,SBRA,PII,CINF,IP,PNR,OMC,AM,IPG,HIW,NXST,PHM,WSO,WY,GWW,MCHP,CERN,WSM,NLY,GLPI,EMN,SF,TGNA,NUS,ORI,Cash,BC,HRB,LPX,MDU,STX,MSM,V,UNH,WEC,ROL,GNTX,LAZ,WING,PFSI,SCCO,WU,CHE,MCO,FMC,XEC,MA,BAC,AES,AON,IDA,WAL,CL,CTAS,XOM,FOXA,NYT,LUMN,CCOI,ETRN,ALLY,ABT,FCNCA,CLX,KO,TMO,CBI.MI,CBI.MI.1,CVX,COG,ABBV,ZION,U.S. Dollar For Futures,E-mini S&P 500 Future Sept 21,SUM
07/09/2021,7.92,4.26,3.5,3.33,3.04,2.73,2.55,2.28,2.04,2.04,1.88,1.78,1.76,1.74,1.58,1.58,1.53,1.51,1.49,1.39,1.09,1.07,1.05,0.99,0.88,0.83,0.79,0.73,0.67,0.67,0.67,0.65,0.64,0.64,0.62,0.62,0.61,0.61,0.61,0.59,0.59,0.59,0.58,0.58,0.57,0.57,0.57,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.54,0.54,0.54,0.53,0.53,0.53,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.51,0.51,0.5,0.5,0.5,0.5,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.42,0.42,0.41,0.41,0.4,0.37,0.34,0.3,0.3,0.29,0.27,0.26,0.18,0.17,0.14,0.13,0.13,0.12,0.12,0.1,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.0,0.0,99.95
07/12/2021,8.18,4.3,3.44,3.34,3.07,2.71,2.51,2.29,2.02,2.14,1.85,1.77,1.73,1.75,1.58,1.59,1.51,1.5,1.51,1.39,1.08,1.05,1.05,0.95,0.87,0.83,0.79,0.71,0.68,0.67,0.67,0.66,0.65,0.64,0.63,0.63,0.62,0.63,0.61,0.58,0.6,0.57,0.57,0.58,0.57,0.58,0.58,0.56,0.56,0.5,0.54,0.55,0.53,0.54,0.52,0.53,0.54,0.54,0.54,0.53,0.52,0.52,0.52,0.53,0.51,0.51,0.51,0.52,0.5,0.52,0.52,0.51,0.52,0.49,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.48,0.48,0.49,0.47,0.47,0.46,0.47,0.48,0.47,0.46,0.45,0.45,0.45,0.43,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.36,0.32,0.3,0.29,0.29,0.27,0.26,0.18,0.17,0.14,0.13,0.12,0.12,0.12,0.1,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
07/13/2021,8.18,4.3,3.44,3.34,3.07,2.71,2.51,2.29,2.02,2.14,1.85,1.77,1.73,1.75,1.58,1.59,1.51,1.5,1.51,1.39,1.08,1.05,1.05,0.95,0.87,0.83,0.79,0.71,0.68,0.67,0.67,0.66,0.65,0.64,0.63,0.63,0.62,0.63,0.61,0.58,0.6,0.57,0.57,0.58,0.57,0.58,0.58,0.56,0.56,0.5,0.54,0.55,0.53,0.54,0.52,0.53,0.54,0.54,0.54,0.53,0.52,0.52,0.52,0.53,0.51,0.51,0.51,0.52,0.5,0.52,0.52,0.51,0.52,0.49,0.5,0.5,0.49,0.49,0.48,0.48,0.47,0.48,0.48,0.49,0.47,0.47,0.46,0.47,0.48,0.47,0.46,0.45,0.45,0.45,0.43,0.44,0.44,0.43,0.42,0.41,0.41,0.41,0.36,0.32,0.3,0.29,0.29,0.27,0.26,0.18,0.17,0.14,0.13,0.12,0.12,0.12,0.1,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
07/14/2021,8.17,4.25,3.47,3.33,3.05,2.73,2.5,2.33,2.01,2.17,1.86,1.77,1.73,1.73,1.57,1.58,1.51,1.52,1.46,1.39,1.08,1.06,1.04,0.97,0.85,0.83,0.79,0.71,0.66,0.67,0.66,0.67,0.64,0.64,0.64,0.63,0.62,0.63,0.59,0.58,0.61,0.59,0.58,0.58,0.58,0.58,0.58,0.56,0.55,0.52,0.55,0.55,0.53,0.53,0.52,0.53,0.54,0.54,0.52,0.53,0.53,0.53,0.53,0.53,0.51,0.53,0.52,0.53,0.5,0.5,0.51,0.53,0.51,0.49,0.49,0.5,0.49,0.5,0.48,0.48,0.47,0.48,0.48,0.52,0.48,0.48,0.47,0.47,0.48,0.47,0.45,0.45,0.45,0.45,0.43,0.43,0.44,0.43,0.42,0.41,0.4,0.41,0.37,0.34,0.3,0.29,0.29,0.27,0.26,0.18,0.17,0.14,0.13,0.12,0.12,0.12,0.1,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.06
07/15/2021,8.12,4.23,3.52,3.31,3.05,2.69,2.53,2.35,2.02,2.15,1.84,1.77,1.72,1.73,1.57,1.58,1.52,1.51,1.46,1.38,1.08,1.06,1.04,0.98,0.86,0.83,0.79,0.71,0.66,0.67,0.66,0.67,0.64,0.66,0.63,0.64,0.61,0.64,0.59,0.59,0.62,0.58,0.57,0.58,0.57,0.58,0.58,0.55,0.55,0.52,0.56,0.55,0.52,0.53,0.52,0.53,0.53,0.53,0.53,0.54,0.52,0.53,0.53,0.54,0.51,0.51,0.52,0.53,0.5,0.49,0.51,0.52,0.51,0.49,0.5,0.51,0.49,0.5,0.48,0.49,0.47,0.48,0.48,0.54,0.48,0.48,0.47,0.47,0.48,0.46,0.45,0.45,0.45,0.45,0.43,0.44,0.43,0.42,0.42,0.41,0.4,0.41,0.37,0.34,0.3,0.29,0.29,0.26,0.26,0.19,0.17,0.14,0.13,0.13,0.12,0.12,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.01
07/16/2021,8.23,4.31,3.48,3.33,3.06,2.71,2.55,2.35,2.03,2.16,1.83,1.78,1.73,1.71,1.57,1.58,1.52,1.51,1.45,1.39,1.08,1.05,1.04,0.97,0.86,0.83,0.79,0.71,0.67,0.66,0.66,0.67,0.65,0.64,0.64,0.63,0.61,0.63,0.61,0.58,0.62,0.58,0.57,0.57,0.57,0.59,0.57,0.55,0.55,0.51,0.55,0.54,0.52,0.53,0.52,0.53,0.53,0.54,0.53,0.53,0.51,0.53,0.52,0.54,0.5,0.5,0.51,0.53,0.5,0.48,0.51,0.51,0.51,0.49,0.5,0.5,0.48,0.49,0.48,0.49,0.46,0.47,0.47,0.51,0.47,0.47,0.45,0.47,0.48,0.46,0.46,0.46,0.45,0.45,0.43,0.43,0.44,0.42,0.42,0.42,0.4,0.41,0.37,0.33,0.31,0.29,0.28,0.26,0.26,0.18,0.17,0.13,0.13,0.12,0.12,0.12,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,99.96
07/19/2021,8.39,4.31,3.48,3.31,3.11,2.73,2.5,2.32,2.0,2.14,1.86,1.8,1.75,1.74,1.58,1.56,1.54,1.51,1.46,1.41,1.08,1.06,1.05,0.97,0.84,0.84,0.8,0.7,0.67,0.64,0.65,0.67,0.65,0.64,0.64,0.64,0.62,0.63,0.6,0.57,0.63,0.58,0.55,0.57,0.55,0.59,0.58,0.55,0.56,0.48,0.55,0.55,0.48,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.5,0.53,0.51,0.54,0.51,0.5,0.51,0.54,0.49,0.48,0.5,0.51,0.52,0.47,0.5,0.48,0.47,0.5,0.47,0.49,0.46,0.46,0.47,0.53,0.47,0.48,0.43,0.47,0.47,0.46,0.47,0.46,0.47,0.45,0.43,0.42,0.43,0.42,0.42,0.42,0.4,0.41,0.37,0.31,0.32,0.28,0.27,0.26,0.27,0.19,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.01999999999998
07/20/2021,8.39,4.31,3.48,3.31,3.11,2.73,2.5,2.32,2.0,2.14,1.86,1.8,1.75,1.74,1.58,1.56,1.54,1.51,1.46,1.41,1.08,1.06,1.05,0.97,0.84,0.84,0.8,0.7,0.67,0.64,0.65,0.67,0.65,0.64,0.64,0.64,0.62,0.63,0.6,0.57,0.63,0.58,0.55,0.57,0.55,0.59,0.58,0.55,0.56,0.48,0.55,0.55,0.48,0.53,0.53,0.53,0.53,0.54,0.53,0.53,0.5,0.53,0.51,0.54,0.51,0.5,0.51,0.54,0.49,0.48,0.5,0.51,0.52,0.47,0.5,0.48,0.47,0.5,0.47,0.49,0.46,0.46,0.47,0.53,0.47,0.48,0.43,0.47,0.47,0.46,0.47,0.46,0.47,0.45,0.43,0.42,0.43,0.42,0.42,0.42,0.4,0.41,0.37,0.31,0.32,0.28,0.27,0.26,0.27,0.19,0.17,0.13,0.12,0.12,0.12,0.12,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.01999999999998
07/21/2021,8.33,4.34,3.43,3.33,3.16,2.75,2.48,2.29,1.99,2.19,1.87,1.81,1.77,1.75,1.59,1.58,1.56,1.5,1.46,1.39,1.08,1.07,1.06,0.94,0.86,0.84,0.82,0.69,0.68,0.66,0.66,0.68,0.66,0.64,0.64,0.64,0.6,0.63,0.61,0.57,0.63,0.56,0.55,0.57,0.55,0.59,0.58,0.55,0.56,0.47,0.54,0.56,0.48,0.54,0.52,0.53,0.54,0.53,0.52,0.53,0.5,0.53,0.51,0.53,0.5,0.49,0.5,0.54,0.49,0.48,0.5,0.5,0.51,0.46,0.49,0.48,0.48,0.5,0.46,0.48,0.46,0.46,0.47,0.54,0.46,0.48,0.42,0.47,0.46,0.45,0.48,0.46,0.47,0.46,0.42,0.41,0.43,0.42,0.41,0.42,0.4,0.42,0.36,0.3,0.32,0.28,0.27,0.26,0.27,0.18,0.18,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.01,99.96
07/22/2021,8.33,4.34,3.43,3.33,3.16,2.75,2.48,2.29,1.99,2.19,1.87,1.81,1.77,1.75,1.59,1.58,1.56,1.5,1.46,1.39,1.08,1.07,1.06,0.94,0.86,0.84,0.82,0.69,0.68,0.66,0.66,0.68,0.66,0.64,0.64,0.64,0.6,0.63,0.61,0.57,0.63,0.56,0.55,0.57,0.55,0.59,0.58,0.55,0.56,0.47,0.54,0.56,0.48,0.54,0.52,0.53,0.54,0.53,0.52,0.53,0.5,0.53,0.51,0.53,0.5,0.49,0.5,0.54,0.49,0.48,0.5,0.5,0.51,0.46,0.49,0.48,0.48,0.5,0.46,0.48,0.46,0.46,0.47,0.54,0.46,0.48,0.42,0.47,0.46,0.45,0.48,0.46,0.47,0.46,0.42,0.41,0.43,0.42,0.41,0.42,0.4,0.42,0.36,0.3,0.32,0.28,0.27,0.26,0.27,0.18,0.18,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.01,99.96
07/23/2021,8.23,4.34,3.36,3.36,3.21,2.76,2.51,2.32,2.02,2.21,1.88,1.83,1.79,1.76,1.59,1.61,1.57,1.52,1.45,1.4,1.08,1.07,1.06,0.93,0.86,0.84,0.82,0.69,0.69,0.65,0.67,0.68,0.67,0.63,0.64,0.64,0.6,0.63,0.61,0.55,0.64,0.56,0.55,0.57,0.54,0.6,0.59,0.55,0.55,0.46,0.54,0.56,0.47,0.54,0.52,0.54,0.54,0.53,0.52,0.52,0.51,0.52,0.5,0.53,0.5,0.48,0.5,0.54,0.48,0.49,0.5,0.5,0.52,0.46,0.49,0.48,0.47,0.5,0.45,0.47,0.45,0.46,0.46,0.54,0.47,0.48,0.41,0.47,0.47,0.45,0.47,0.46,0.48,0.47,0.42,0.41,0.44,0.42,0.41,0.41,0.4,0.42,0.36,0.29,0.3,0.27,0.27,0.26,0.27,0.18,0.18,0.14,0.12,0.12,0.12,0.11,0.11,0.08,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.0,99.98
07/26/2021,8.32,4.4,3.39,3.35,3.09,2.78,2.52,2.32,1.96,2.26,1.83,1.8,1.74,1.77,1.59,1.61,1.59,1.52,1.46,1.39,1.08,1.06,1.04,0.93,0.84,0.84,0.81,0.69,0.69,0.63,0.69,0.67,0.66,0.65,0.64,0.66,0.59,0.62,0.6,0.55,0.63,0.59,0.55,0.56,0.54,0.6,0.58,0.55,0.55,0.48,0.54,0.55,0.47,0.56,0.52,0.55,0.54,0.53,0.51,0.53,0.52,0.51,0.49,0.53,0.47,0.51,0.54,0.54,0.49,0.49,0.51,0.5,0.51,0.47,0.49,0.47,0.47,0.5,0.46,0.48,0.44,0.45,0.47,0.53,0.48,0.49,0.42,0.47,0.45,0.45,0.47,0.46,0.46,0.48,0.42,0.42,0.47,0.42,0.41,0.41,0.4,0.42,0.36,0.29,0.31,0.28,0.27,0.26,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.1,0.09,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.03
07/27/2021,8.32,4.4,3.39,3.35,3.09,2.78,2.52,2.32,1.96,2.26,1.83,1.8,1.74,1.77,1.59,1.61,1.59,1.52,1.46,1.39,1.08,1.06,1.04,0.93,0.84,0.84,0.81,0.69,0.69,0.63,0.69,0.67,0.66,0.65,0.64,0.66,0.59,0.62,0.6,0.55,0.63,0.59,0.55,0.56,0.54,0.6,0.58,0.55,0.55,0.48,0.54,0.55,0.47,0.56,0.52,0.55,0.54,0.53,0.51,0.53,0.52,0.51,0.49,0.53,0.47,0.51,0.54,0.54,0.49,0.49,0.51,0.5,0.51,0.47,0.49,0.47,0.47,0.5,0.46,0.48,0.44,0.45,0.47,0.53,0.48,0.49,0.42,0.47,0.45,0.45,0.47,0.46,0.46,0.48,0.42,0.42,0.47,0.42,0.41,0.41,0.4,0.42,0.36,0.29,0.31,0.28,0.27,0.26,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.1,0.09,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.03
07/28/2021,8.35,4.42,3.35,3.36,3.11,2.8,2.37,2.34,1.97,2.17,1.84,1.8,1.75,1.79,1.61,1.64,1.59,1.51,1.45,1.38,1.08,1.06,1.03,0.93,0.84,0.83,0.82,0.69,0.69,0.64,0.7,0.67,0.66,0.65,0.64,0.66,0.58,0.63,0.61,0.56,0.63,0.6,0.54,0.56,0.53,0.6,0.59,0.54,0.55,0.46,0.56,0.55,0.46,0.57,0.53,0.55,0.53,0.54,0.52,0.53,0.52,0.51,0.49,0.52,0.46,0.5,0.55,0.53,0.49,0.5,0.52,0.51,0.51,0.47,0.49,0.48,0.47,0.5,0.46,0.48,0.44,0.45,0.46,0.52,0.48,0.49,0.42,0.47,0.46,0.44,0.47,0.45,0.46,0.48,0.42,0.41,0.47,0.42,0.41,0.41,0.4,0.42,0.36,0.29,0.32,0.27,0.26,0.26,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.11,0.08,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,99.94
07/29/2021,8.35,4.4,3.37,3.35,3.11,2.8,2.42,2.33,1.98,2.17,1.84,1.8,1.72,1.77,1.58,1.62,1.59,1.52,1.45,1.39,1.08,1.06,1.03,0.94,0.83,0.83,0.81,0.69,0.69,0.64,0.69,0.67,0.66,0.64,0.64,0.66,0.58,0.62,0.61,0.56,0.63,0.6,0.55,0.56,0.55,0.6,0.58,0.54,0.55,0.48,0.54,0.55,0.46,0.57,0.53,0.55,0.51,0.53,0.52,0.53,0.53,0.51,0.49,0.52,0.47,0.51,0.56,0.53,0.5,0.49,0.5,0.51,0.51,0.47,0.48,0.48,0.47,0.5,0.47,0.48,0.45,0.45,0.46,0.52,0.48,0.48,0.42,0.47,0.46,0.45,0.47,0.45,0.46,0.47,0.42,0.41,0.46,0.42,0.42,0.41,0.4,0.41,0.36,0.3,0.32,0.27,0.27,0.28,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.1,0.09,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.03,99.91
07/30/2021,8.26,4.38,3.38,3.38,3.14,2.8,2.38,2.3,1.96,2.17,1.86,1.8,1.73,1.76,1.56,1.63,1.61,1.53,1.44,1.39,1.09,1.07,1.04,0.94,0.78,0.83,0.82,0.69,0.71,0.65,0.69,0.67,0.67,0.64,0.64,0.66,0.59,0.63,0.6,0.57,0.63,0.6,0.55,0.57,0.55,0.6,0.58,0.57,0.56,0.48,0.55,0.57,0.46,0.57,0.53,0.55,0.53,0.54,0.52,0.53,0.51,0.51,0.5,0.55,0.47,0.48,0.55,0.54,0.5,0.5,0.49,0.51,0.51,0.46,0.49,0.47,0.47,0.5,0.46,0.48,0.45,0.45,0.47,0.53,0.47,0.49,0.43,0.47,0.46,0.45,0.48,0.45,0.47,0.47,0.43,0.41,0.47,0.42,0.42,0.41,0.4,0.41,0.36,0.29,0.32,0.27,0.27,0.29,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.1,0.09,0.09,0.06,0.05,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
08/02/2021,8.18,4.38,3.39,3.38,3.1,2.78,2.38,2.32,1.98,2.16,1.85,1.8,1.73,1.75,1.55,1.66,1.66,1.52,1.43,1.37,1.08,1.07,1.03,0.94,0.79,0.83,0.82,0.7,0.71,0.64,0.7,0.67,0.67,0.64,0.64,0.66,0.6,0.63,0.61,0.57,0.63,0.6,0.55,0.56,0.55,0.6,0.58,0.55,0.56,0.49,0.55,0.57,0.46,0.57,0.53,0.56,0.52,0.54,0.52,0.53,0.5,0.5,0.5,0.55,0.47,0.48,0.55,0.54,0.5,0.49,0.49,0.51,0.51,0.47,0.49,0.48,0.47,0.5,0.47,0.49,0.45,0.46,0.46,0.55,0.47,0.49,0.43,0.48,0.47,0.46,0.47,0.45,0.47,0.47,0.44,0.42,0.46,0.43,0.42,0.41,0.39,0.41,0.36,0.29,0.31,0.28,0.27,0.3,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
08/03/2021,8.18,4.38,3.39,3.38,3.1,2.78,2.38,2.32,1.98,2.16,1.85,1.8,1.73,1.75,1.55,1.66,1.66,1.52,1.43,1.37,1.08,1.07,1.03,0.94,0.79,0.83,0.82,0.7,0.71,0.64,0.7,0.67,0.67,0.64,0.64,0.66,0.6,0.63,0.61,0.57,0.63,0.6,0.55,0.56,0.55,0.6,0.58,0.55,0.56,0.49,0.55,0.57,0.46,0.57,0.53,0.56,0.52,0.54,0.52,0.53,0.5,0.5,0.5,0.55,0.47,0.48,0.55,0.54,0.5,0.49,0.49,0.51,0.51,0.47,0.49,0.48,0.47,0.5,0.47,0.49,0.45,0.46,0.46,0.55,0.47,0.49,0.43,0.48,0.47,0.46,0.47,0.45,0.47,0.47,0.44,0.42,0.46,0.43,0.42,0.41,0.39,0.41,0.36,0.29,0.31,0.28,0.27,0.3,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
08/04/2021,8.18,4.38,3.39,3.38,3.1,2.78,2.38,2.32,1.98,2.16,1.85,1.8,1.73,1.75,1.55,1.66,1.66,1.52,1.43,1.37,1.08,1.07,1.03,0.94,0.79,0.83,0.82,0.7,0.71,0.64,0.7,0.67,0.67,0.64,0.64,0.66,0.6,0.63,0.61,0.57,0.63,0.6,0.55,0.56,0.55,0.6,0.58,0.55,0.56,0.49,0.55,0.57,0.46,0.57,0.53,0.56,0.52,0.54,0.52,0.53,0.5,0.5,0.5,0.55,0.47,0.48,0.55,0.54,0.5,0.49,0.49,0.51,0.51,0.47,0.49,0.48,0.47,0.5,0.47,0.49,0.45,0.46,0.46,0.55,0.47,0.49,0.43,0.48,0.47,0.46,0.47,0.45,0.47,0.47,0.44,0.42,0.46,0.43,0.42,0.41,0.39,0.41,0.36,0.29,0.31,0.28,0.27,0.3,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
08/05/2021,8.18,4.38,3.39,3.38,3.1,2.78,2.38,2.32,1.98,2.16,1.85,1.8,1.73,1.75,1.55,1.66,1.66,1.52,1.43,1.37,1.08,1.07,1.03,0.94,0.79,0.83,0.82,0.7,0.71,0.64,0.7,0.67,0.67,0.64,0.64,0.66,0.6,0.63,0.61,0.57,0.63,0.6,0.55,0.56,0.55,0.6,0.58,0.55,0.56,0.49,0.55,0.57,0.46,0.57,0.53,0.56,0.52,0.54,0.52,0.53,0.5,0.5,0.5,0.55,0.47,0.48,0.55,0.54,0.5,0.49,0.49,0.51,0.51,0.47,0.49,0.48,0.47,0.5,0.47,0.49,0.45,0.46,0.46,0.55,0.47,0.49,0.43,0.48,0.47,0.46,0.47,0.45,0.47,0.47,0.44,0.42,0.46,0.43,0.42,0.41,0.39,0.41,0.36,0.29,0.31,0.28,0.27,0.3,0.27,0.18,0.17,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.06,0.06,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.02,100.0
08/06/2021,8.2,4.33,3.37,3.38,3.17,2.82,2.39,2.33,1.98,2.2,1.85,1.8,1.7,1.76,1.54,1.7,1.72,1.52,1.44,1.37,1.07,1.05,1.02,0.94,0.73,0.83,0.81,0.71,0.72,0.64,0.64,0.66,0.68,0.65,0.65,0.67,0.6,0.64,0.58,0.56,0.63,0.62,0.54,0.56,0.53,0.6,0.59,0.54,0.57,0.47,0.54,0.57,0.45,0.57,0.53,0.55,0.51,0.56,0.52,0.51,0.51,0.52,0.49,0.58,0.46,0.46,0.56,0.52,0.5,0.51,0.49,0.5,0.5,0.49,0.5,0.48,0.46,0.48,0.46,0.48,0.44,0.45,0.46,0.6,0.5,0.49,0.43,0.48,0.48,0.45,0.44,0.45,0.46,0.49,0.44,0.44,0.47,0.44,0.42,0.4,0.4,0.41,0.36,0.29,0.29,0.28,0.26,0.29,0.27,0.18,0.16,0.14,0.12,0.12,0.12,0.11,0.11,0.09,0.09,0.06,0.05,0.05,0.05,0.04,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.03,100.0
