,ABBV,PM,IBM,IP,GILD,PFE,VZ,MO,IPG,DOW,KHC,SO,PFG,OMC,DHR.,XRX,UNM,SJI,ORI,FHN,NYCB,NAVI,APAM,ASB,MC,CWEN,Cash&Other,CFFI,SPKE,UNB,MCY,SGU,EBF,UBFO,SXC,NWFL,FNLC,UVV,PWOD,UVE,FRG,VGR,RGP,SPTN,ATLO,CIZN,VLGEA,ETH,SAFT,PFBI,SWM,KMI,WBA,HBAN,WU,HRB,ETRN,PBCT,OMF,KEY,VIRT,GLT,ISBC,FNB,ACNB,AGM,FFBC,FULT,n/a,BGS,ETD,SLVM WI,LYB,CAH,NEM,BG3.,CWH,HESM,CO2A.,PETS,RGR,KD WI,BGFV,CATO,KD,4I1.,PG4.,DOUG WI,SUM
07/09/2021,5.9,5.86,5.71,5.17,4.88,4.88,4.74,4.63,4.54,4.52,4.5,4.48,3.58,3.12,2.72,2.51,2.36,1.8,1.66,1.63,1.61,1.28,1.12,0.97,0.97,0.94,0.9,0.66,0.64,0.64,0.62,0.56,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.54,0.53,0.52,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.48,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02000000000002
07/12/2021,5.89,5.84,5.76,5.28,4.82,4.87,4.67,4.65,4.59,4.56,4.49,4.42,3.55,3.14,2.75,2.53,2.35,1.8,1.64,1.63,1.63,1.34,1.11,0.97,0.95,0.95,0.95,0.66,0.64,0.62,0.59,0.56,0.54,0.55,0.57,0.54,0.54,0.51,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.51,0.49,0.48,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/13/2021,5.89,5.84,5.76,5.28,4.82,4.87,4.67,4.65,4.59,4.56,4.49,4.42,3.55,3.14,2.75,2.53,2.35,1.8,1.64,1.63,1.63,1.34,1.11,0.97,0.95,0.95,0.95,0.66,0.64,0.62,0.59,0.56,0.54,0.55,0.57,0.54,0.54,0.51,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.51,0.49,0.48,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/14/2021,5.89,5.84,5.76,5.28,4.82,4.87,4.67,4.65,4.59,4.56,4.49,4.42,3.55,3.14,2.75,2.53,2.35,1.8,1.64,1.63,1.63,1.34,1.11,0.97,0.95,0.95,0.95,0.66,0.64,0.62,0.59,0.56,0.54,0.55,0.57,0.54,0.54,0.51,0.53,0.53,0.52,0.52,0.52,0.51,0.51,0.51,0.5,0.51,0.49,0.48,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,5.93,5.78,5.73,5.26,4.8,4.88,4.66,4.65,4.57,4.56,4.46,4.44,3.57,3.11,2.71,2.52,2.37,1.8,1.65,1.64,1.66,1.36,1.12,0.97,0.97,0.93,0.95,0.67,0.63,0.62,0.6,0.56,0.55,0.56,0.56,0.54,0.55,0.52,0.54,0.53,0.53,0.52,0.52,0.52,0.5,0.51,0.51,0.51,0.49,0.48,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/16/2021,5.94,5.8,5.77,5.26,4.85,4.92,4.71,4.64,4.53,4.57,4.44,4.45,3.56,3.08,2.7,2.48,2.35,1.79,1.63,1.62,1.63,1.36,1.11,0.96,0.99,0.94,1.03,0.67,0.62,0.63,0.61,0.55,0.54,0.56,0.56,0.54,0.54,0.51,0.54,0.54,0.52,0.52,0.51,0.52,0.51,0.52,0.51,0.5,0.49,0.48,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,5.96,5.88,5.76,5.11,4.86,4.96,4.74,4.69,4.48,4.5,4.46,4.54,3.55,3.1,2.67,2.46,2.34,1.77,1.62,1.61,1.65,1.37,1.09,0.97,0.95,0.93,1.02,0.69,0.64,0.63,0.59,0.56,0.54,0.57,0.55,0.55,0.54,0.51,0.56,0.54,0.51,0.52,0.51,0.52,0.51,0.52,0.52,0.5,0.5,0.49,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/20/2021,0.0,0.0,5.93,4.83,4.93,0.0,5.98,5.97,4.15,4.74,4.88,4.93,1.11,4.83,1.33,1.97,0.0,0.0,0.92,0.96,1.55,0.63,0.61,0.77,0.47,0.0,1.24,0.0,0.0,0.0,0.46,0.87,0.0,0.0,0.83,0.0,0.46,0.84,0.0,0.46,0.84,0.84,0.86,0.0,0.52,0.0,0.0,0.82,0.5,0.0,0.85,5.92,4.87,3.64,2.06,1.66,1.6,1.39,1.31,1.01,0.92,0.86,0.52,0.49,0.47,0.46,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/21/2021,0.0,0.0,5.93,4.83,4.93,0.0,5.98,5.97,4.15,4.74,4.88,4.93,1.11,4.83,1.33,1.97,0.0,0.0,0.92,0.96,1.55,0.63,0.61,0.77,0.47,0.0,1.24,0.0,0.0,0.0,0.46,0.87,0.0,0.0,0.83,0.0,0.46,0.84,0.0,0.46,0.84,0.84,0.86,0.0,0.52,0.0,0.0,0.82,0.5,0.0,0.85,5.92,4.87,3.64,2.06,1.66,1.6,1.39,1.31,1.01,0.92,0.86,0.52,0.49,0.47,0.46,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/22/2021,0.0,0.0,6.0,4.82,5.0,0.0,6.04,6.02,4.16,4.66,4.98,5.0,1.1,4.85,1.38,1.96,0.0,0.0,0.91,0.95,1.54,0.63,0.6,0.75,0.47,0.0,1.26,0.0,0.0,0.0,0.46,0.86,0.0,0.0,0.79,0.0,0.46,0.83,0.0,0.46,0.85,0.84,0.85,0.0,0.51,0.0,0.0,0.82,0.5,0.0,0.85,5.88,4.92,3.54,2.04,1.68,1.57,1.35,1.29,0.98,0.93,0.85,0.52,0.48,0.47,0.47,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/23/2021,0.0,0.0,6.02,4.8,5.01,0.0,5.94,6.01,4.16,4.67,4.93,4.95,1.13,4.59,1.39,1.99,0.0,0.0,0.92,0.96,1.56,0.64,0.61,0.76,0.48,0.0,1.24,0.0,0.0,0.0,0.46,0.86,0.0,0.0,0.81,0.0,0.46,0.82,0.0,0.46,0.87,0.85,0.86,0.0,0.51,0.0,0.0,0.83,0.5,0.0,0.85,5.91,4.91,3.63,2.04,1.71,1.59,1.38,1.32,1.0,0.92,0.85,0.52,0.49,0.47,0.47,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/26/2021,0.0,0.0,6.02,4.74,4.8,0.0,5.95,5.95,4.51,4.8,4.83,4.79,1.13,4.5,1.34,2.04,0.0,0.0,0.92,0.95,1.54,0.64,0.6,0.75,0.51,0.0,1.54,0.0,0.0,0.0,0.45,0.87,0.0,0.0,0.82,0.0,0.47,0.81,0.0,0.45,0.86,0.83,0.99,0.0,0.51,0.0,0.0,0.79,0.49,0.0,0.83,5.88,4.94,3.62,2.03,1.71,1.61,1.33,1.32,0.99,0.9,0.86,0.51,0.48,0.46,0.46,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,0.0,6.01,4.73,4.79,0.0,5.9,5.97,4.64,4.74,4.85,4.83,1.13,4.49,1.3,2.04,0.0,0.0,0.92,0.95,1.52,0.64,0.6,0.76,0.51,0.0,1.52,0.0,0.0,0.0,0.46,0.88,0.0,0.0,0.83,0.0,0.47,0.81,0.0,0.45,0.86,0.83,1.01,0.0,0.51,0.0,0.0,0.83,0.49,0.0,0.83,5.81,4.91,3.62,2.03,1.72,1.58,1.32,1.35,0.99,0.89,0.86,0.51,0.49,0.46,0.46,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/28/2021,0.0,0.0,6.01,4.73,4.79,0.0,5.9,5.97,4.64,4.74,4.85,4.83,1.13,4.49,1.3,2.04,0.0,0.0,0.92,0.95,1.52,0.64,0.6,0.76,0.51,0.0,1.52,0.0,0.0,0.0,0.46,0.88,0.0,0.0,0.83,0.0,0.47,0.81,0.0,0.45,0.86,0.83,1.01,0.0,0.51,0.0,0.0,0.83,0.49,0.0,0.83,5.81,4.91,3.62,2.03,1.72,1.58,1.32,1.35,0.99,0.89,0.86,0.51,0.49,0.46,0.46,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
07/29/2021,0.0,0.0,6.02,4.72,4.73,0.0,5.84,5.94,4.64,4.84,4.85,4.78,1.13,4.51,1.3,2.04,0.0,0.0,0.92,0.95,1.53,0.64,0.6,0.76,0.51,0.0,1.51,0.0,0.0,0.0,0.45,0.86,0.0,0.0,0.84,0.0,0.47,0.81,0.0,0.45,0.86,0.83,1.01,0.0,0.51,0.0,0.0,0.82,0.48,0.0,0.84,5.91,4.94,3.61,2.03,1.7,1.63,1.35,1.31,1.0,0.89,0.87,0.52,0.48,0.46,0.46,0.45,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.04
