,PLD,PSA,DLR,SPG,Vonovia SE,EQIX,WELL,AVB,EQR,ARE,O,EXR,INVH,8801.T,VTR,DWNI.DE,16.HK,823.HK,ESS,MAA,SUI,SGRO.L,8802.T,PEAK,BXP,DRE,1113.HK,VICI,UDR,8830.T,WPC,ELS,CPT,URW.AS,MPW,HST,AMH,LEG.DE,REG,SCG.AX,VER,GLPI,US Dollar,1997.HK,COLD,CUBE,8951.T,Aroundtown S.A.,CONE,FRT,Dexus / New,OHI,STOR,MGR.AX,LSI,KIM,CAR.UN.TO,8952.T,NNN,GFC.PA,KRC,SGP.AX,VNO,AIRC,REXR,SPSN.SW,8953.T,New World Development Company Limited,A17U.SI,C31.SI,CAST.ST,3283.T,3462.T,C38U.SI,GLP J-REIT,GPT.AX,FR,ACC,BRX,EGP,Fastighets AB Balder (Class B),LAND.L,BLND.L,Daiwa House Residential Investment Corporation,12.HK,STAG,HTA,REI.UN.TO,COR,SLG,Warehouses De Pauw Comm. VA,SRC,CUZ,83.HK,DEI,PSPN.SW,H78.SI,QTS,Sagax AB (Class B),"ORIX JREIT, Inc.",AED.BR,LI.PA,UTG.L,101.HK,ADC,Derwent London Plc,IIPR,BBOX.L,M44U.SI,SBB B.ST,PK,KOJAMO.HE,AP.UN.TO,HIW,COFB.BR,Advance Residence Investment Corporation,Covivo,Fabege AB,HR,TRNO,United Urban Investment Corporation,VCX.AX,TEG.DE,3003.T,GRT.UN.TO,HPP,JBGS,DOC,RHP,SBRA,Industrial & Infrastructure Fund Investment Corporation,WRI,ME8U.SI,EPR,HR.UN.TO,ENTRA.OL,DBRG,MRL.MC,NSA,N2IU.SI,8955.T,"Sekisui House Reit, Inc.",MAC,"Inmobiliaria Colonial, S.A.",BNL,AOX.DE,CAI.VI,OFC,EPRT,LXP,Activia Properties Inc.,3231.T,Wihlborgs Fastigheter AB,1972.HK,SRU.UN.TO,PSB,FCR.UN.TO,Nippon Accommodations Fund Inc.,EQC,CHP.UN.TO,BYG.L,APLE,3466.T,NHI,8804.T,SAFE.L,Primary Health Properties Plc,PEB,Kenedix Office Investment Corporation,LondonMetric Property Plc,Japan Hotel REIT Investment Corporation,ICAD.PA,BUOU.SI,ALLN.SW,WALL B.ST,U14.SI,SITC,3471.T,Japan Logistics Fund Inc.,Assura Plc,GRI.L,KLED.ST,SHO,RPAI,NYF.ST,Mori Hills REIT Investment Corp.,14.HK,Great Portland Estates Plc,GYC.DE,C09.SI,AZRG.TA,ADO Properties SA,KW,T82U.SI,SMU.UN.TO,Shaftesbury Plc,RLJ,AJBU.SI,PDM,Japan Rental Housing Investments Inc.,MOBN.SW,VNA.DE,AT1.DE,DXS.AX,3281.T,17.HK,BALD B.ST,8984.T,WDP.BR,SAGAB.ST,8954.T,MISXX,DLN.L,COV.PA,FABG.ST,8960.T,3269.T,3249.T,COL.MC,3309.T,3279.T,WIHL.ST,3226.T,LMP.L,PHP.L,8972.T,AGR.L,8985.T,GPOR.L,8967.T,ADJ.DE,3234.T,SHB.L,BDN,CSH.UN.TO,3292.T,8964.T,Morgan Stanley Instl Lqudty Trs Instl,CTRE,DIR-U.NE,TCN.TO,AEON REIT Investment Corporation,n/a,777.DE,8986.T,CXP,SCP.AX,WRE,CLI.SI,IRT,UE,9CI.SI,DIR.UN.TO,ROIC,FCPT,KRG,COREB.ST,XHR,SKT,NSR.AX,HMSO.L,DRH,GPE.L,CLW.AX,NWH.UN.TO,IVT,SUM
07/09/2021,4.74,2.43,2.24,2.18,1.99,1.92,1.86,1.56,1.52,1.43,1.34,1.17,1.15,1.15,1.13,1.1,1.1,1.07,1.05,1.04,1.02,0.99,0.96,0.96,0.95,0.95,0.87,0.87,0.78,0.73,0.71,0.7,0.68,0.63,0.62,0.61,0.58,0.57,0.57,0.57,0.56,0.53,0.53,0.51,0.51,0.51,0.5,0.48,0.47,0.47,0.46,0.46,0.46,0.45,0.45,0.45,0.44,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.4,0.4,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.35,0.35,0.35,0.35,0.35,0.34,0.32,0.32,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.63
07/12/2021,4.79,2.43,2.26,2.19,2.0,1.9,1.87,1.59,1.56,1.44,1.33,1.18,1.17,1.13,1.14,1.09,1.07,1.03,1.07,1.07,1.03,1.0,0.94,0.97,0.95,0.97,0.84,0.87,0.79,0.7,0.71,0.71,0.69,0.63,0.61,0.62,0.59,0.58,0.57,0.55,0.56,0.53,0.54,0.49,0.51,0.5,0.49,0.49,0.47,0.47,0.43,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.43,0.42,0.43,0.42,0.42,0.4,0.41,0.4,0.38,0.36,0.38,0.37,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.35,0.36,0.35,0.36,0.35,0.34,0.31,0.31,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.28,0.27,0.29,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.26,0.23,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.22,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.12,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.64999999999998
07/13/2021,4.79,2.43,2.26,2.19,2.0,1.9,1.87,1.59,1.56,1.44,1.33,1.18,1.17,1.13,1.14,1.09,1.07,1.03,1.07,1.07,1.03,1.0,0.94,0.97,0.95,0.97,0.84,0.87,0.79,0.7,0.71,0.71,0.69,0.63,0.61,0.62,0.59,0.58,0.57,0.55,0.56,0.53,0.54,0.49,0.51,0.5,0.49,0.49,0.47,0.47,0.43,0.45,0.45,0.45,0.45,0.45,0.44,0.42,0.43,0.42,0.43,0.42,0.42,0.4,0.41,0.4,0.38,0.36,0.38,0.37,0.39,0.38,0.37,0.36,0.37,0.37,0.36,0.35,0.36,0.35,0.36,0.35,0.34,0.31,0.31,0.32,0.31,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.3,0.28,0.27,0.29,0.26,0.26,0.25,0.26,0.25,0.25,0.25,0.25,0.26,0.23,0.25,0.24,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.22,0.24,0.24,0.23,0.22,0.21,0.21,0.21,0.2,0.21,0.22,0.21,0.2,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.18,0.17,0.18,0.18,0.18,0.18,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.14,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.14,0.15,0.14,0.13,0.13,0.13,0.14,0.12,0.13,0.14,0.13,0.13,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.64999999999998
07/14/2021,4.79,2.43,2.26,2.19,0.0,1.9,1.87,1.6,1.56,1.44,1.33,1.18,1.17,1.16,1.14,1.09,1.08,1.03,1.08,1.07,1.04,1.01,0.96,0.97,0.95,0.97,0.85,0.87,0.79,0.71,0.71,0.71,0.69,0.63,0.62,0.62,0.59,0.58,0.57,0.55,0.56,0.53,0.0,0.49,0.51,0.5,0.49,0.0,0.47,0.47,0.0,0.45,0.45,0.45,0.45,0.45,0.44,0.43,0.43,0.42,0.43,0.43,0.42,0.4,0.41,0.4,0.39,0.0,0.38,0.37,0.39,0.38,0.38,0.36,0.0,0.37,0.36,0.35,0.36,0.35,0.0,0.35,0.34,0.0,0.31,0.32,0.31,0.3,0.3,0.29,0.0,0.29,0.29,0.29,0.29,0.3,0.29,0.27,0.0,0.0,0.26,0.25,0.26,0.25,0.25,0.0,0.25,0.26,0.23,0.25,0.24,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.22,0.24,0.0,0.23,0.22,0.22,0.21,0.21,0.2,0.21,0.22,0.21,0.0,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.19,0.17,0.0,0.18,0.0,0.18,0.18,0.17,0.17,0.17,0.17,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.14,0.13,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.13,0.13,0.14,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2.01,0.49,0.44,0.37,0.36,0.36,0.31,0.29,0.29,0.27,0.26,0.25,0.24,0.24,0.24,0.24,0.2,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.60999999999999
07/15/2021,4.83,2.43,2.28,2.19,0.0,1.91,1.88,1.61,1.56,1.43,1.33,1.18,1.17,1.15,1.15,1.08,1.08,1.03,1.08,1.07,1.03,1.01,0.94,0.97,0.95,0.97,0.85,0.88,0.79,0.7,0.71,0.7,0.69,0.62,0.61,0.61,0.59,0.58,0.57,0.54,0.56,0.53,0.0,0.49,0.51,0.5,0.49,0.0,0.47,0.48,0.0,0.45,0.46,0.45,0.45,0.45,0.43,0.42,0.43,0.43,0.43,0.42,0.42,0.4,0.41,0.41,0.38,0.0,0.38,0.37,0.4,0.37,0.37,0.36,0.0,0.37,0.36,0.35,0.36,0.35,0.0,0.36,0.34,0.0,0.31,0.33,0.31,0.3,0.31,0.29,0.0,0.29,0.29,0.29,0.3,0.3,0.28,0.27,0.0,0.0,0.26,0.25,0.26,0.25,0.25,0.0,0.25,0.26,0.23,0.25,0.24,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.22,0.24,0.0,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.22,0.21,0.0,0.2,0.2,0.2,0.2,0.21,0.19,0.19,0.19,0.18,0.17,0.0,0.18,0.0,0.18,0.19,0.17,0.17,0.17,0.18,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.15,0.15,0.14,0.14,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.12,0.0,0.13,0.12,0.14,0.0,0.12,0.12,0.0,0.0,0.12,0.0,0.12,0.0,0.0,2.02,0.49,0.42,0.37,0.35,0.37,0.31,0.3,0.29,0.26,0.25,0.26,0.24,0.24,0.24,0.23,0.2,0.18,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.57999999999998
07/16/2021,4.82,2.43,2.27,2.15,0.0,1.92,1.89,1.6,1.56,1.43,1.33,1.17,1.17,1.18,1.15,1.08,1.11,1.05,1.08,1.07,1.03,1.02,0.96,0.97,0.94,0.97,0.86,0.87,0.8,0.72,0.71,0.7,0.69,0.61,0.6,0.6,0.59,0.59,0.57,0.54,0.56,0.53,0.0,0.51,0.51,0.5,0.49,0.0,0.47,0.47,0.0,0.45,0.45,0.45,0.45,0.45,0.43,0.42,0.43,0.42,0.43,0.42,0.42,0.4,0.41,0.41,0.38,0.0,0.38,0.38,0.4,0.38,0.38,0.36,0.0,0.37,0.36,0.35,0.35,0.35,0.0,0.35,0.34,0.0,0.32,0.33,0.31,0.3,0.3,0.28,0.0,0.29,0.29,0.3,0.29,0.31,0.28,0.28,0.0,0.0,0.26,0.24,0.26,0.26,0.25,0.0,0.25,0.26,0.23,0.24,0.23,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.22,0.23,0.0,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.0,0.2,0.21,0.21,0.2,0.21,0.19,0.19,0.19,0.18,0.17,0.0,0.18,0.0,0.18,0.19,0.17,0.17,0.17,0.18,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.0,0.0,0.15,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.13,0.13,0.15,0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,2.03,0.48,0.43,0.38,0.36,0.37,0.31,0.3,0.3,0.26,0.26,0.25,0.24,0.24,0.24,0.23,0.2,0.17,0.18,0.17,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.69
07/19/2021,4.85,2.45,2.29,2.14,0.0,1.94,1.92,1.63,1.59,1.45,1.34,1.17,1.17,1.17,1.15,1.09,1.11,1.04,1.1,1.08,1.05,1.0,0.95,0.99,0.94,0.98,0.86,0.87,0.81,0.7,0.72,0.71,0.7,0.58,0.61,0.59,0.6,0.58,0.57,0.52,0.57,0.54,0.0,0.51,0.52,0.5,0.5,0.0,0.47,0.47,0.0,0.45,0.46,0.43,0.45,0.45,0.44,0.43,0.44,0.41,0.42,0.4,0.41,0.42,0.41,0.4,0.37,0.0,0.38,0.37,0.39,0.37,0.37,0.36,0.0,0.36,0.36,0.36,0.35,0.35,0.0,0.34,0.33,0.0,0.32,0.33,0.31,0.3,0.3,0.28,0.0,0.29,0.3,0.29,0.3,0.3,0.28,0.27,0.0,0.0,0.26,0.23,0.25,0.26,0.25,0.0,0.25,0.25,0.23,0.25,0.23,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.22,0.24,0.0,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.22,0.2,0.0,0.2,0.2,0.21,0.2,0.2,0.18,0.18,0.19,0.18,0.17,0.0,0.18,0.0,0.18,0.18,0.17,0.17,0.17,0.18,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.14,0.15,0.14,0.14,0.14,0.14,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.13,0.12,0.14,0.0,0.12,0.12,0.0,0.0,0.12,0.12,0.12,0.0,0.0,2.01,0.47,0.42,0.37,0.36,0.36,0.31,0.3,0.29,0.26,0.37,0.25,0.23,0.23,0.23,0.23,0.2,0.17,0.19,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.12,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.7
07/20/2021,4.86,2.45,2.28,2.1,0.0,1.93,1.94,1.63,1.6,1.47,1.35,1.17,1.17,1.17,1.16,1.09,1.11,1.05,1.1,1.09,1.05,1.0,0.95,0.99,0.94,0.98,0.85,0.87,0.81,0.69,0.72,0.72,0.7,0.6,0.62,0.58,0.6,0.58,0.57,0.52,0.57,0.53,0.0,0.5,0.52,0.5,0.49,0.0,0.47,0.47,0.0,0.45,0.46,0.43,0.45,0.45,0.43,0.42,0.44,0.42,0.42,0.4,0.41,0.42,0.41,0.4,0.38,0.0,0.38,0.37,0.4,0.37,0.37,0.36,0.0,0.35,0.36,0.36,0.34,0.35,0.0,0.34,0.33,0.0,0.31,0.33,0.31,0.3,0.3,0.27,0.0,0.29,0.3,0.29,0.29,0.3,0.28,0.27,0.0,0.0,0.26,0.24,0.26,0.25,0.25,0.0,0.25,0.25,0.23,0.25,0.22,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.23,0.24,0.0,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.22,0.2,0.0,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.18,0.17,0.0,0.17,0.0,0.18,0.18,0.17,0.17,0.17,0.18,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.13,0.12,0.14,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.0,2.03,0.48,0.42,0.37,0.36,0.36,0.32,0.3,0.3,0.26,0.0,0.25,0.24,0.23,0.23,0.24,0.2,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.13,0.0,0.12,0.0,0.12,0.12,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.76
07/21/2021,4.86,2.45,2.28,2.1,0.0,1.93,1.94,1.63,1.6,1.47,1.35,1.17,1.17,1.17,1.16,1.09,1.11,1.05,1.1,1.09,1.05,1.0,0.95,0.99,0.94,0.98,0.85,0.87,0.81,0.69,0.72,0.72,0.7,0.6,0.62,0.58,0.6,0.58,0.57,0.52,0.57,0.53,0.0,0.5,0.52,0.5,0.49,0.0,0.47,0.47,0.0,0.45,0.46,0.43,0.45,0.45,0.43,0.42,0.44,0.42,0.42,0.4,0.41,0.42,0.41,0.4,0.38,0.0,0.38,0.37,0.4,0.37,0.37,0.36,0.0,0.35,0.36,0.36,0.34,0.35,0.0,0.34,0.33,0.0,0.31,0.33,0.31,0.3,0.3,0.27,0.0,0.29,0.3,0.29,0.29,0.3,0.28,0.27,0.0,0.0,0.26,0.24,0.26,0.25,0.25,0.0,0.25,0.25,0.23,0.25,0.22,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.23,0.24,0.0,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.22,0.2,0.0,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.18,0.17,0.0,0.17,0.0,0.18,0.18,0.17,0.17,0.17,0.18,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.13,0.12,0.14,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.0,2.03,0.48,0.42,0.37,0.36,0.36,0.32,0.3,0.3,0.26,0.39,0.25,0.24,0.23,0.23,0.24,0.2,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.13,0.0,0.12,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.76
07/22/2021,4.86,2.45,2.28,2.1,0.0,1.93,1.94,1.63,1.6,1.47,1.35,1.17,1.17,1.17,1.16,1.09,1.11,1.05,1.1,1.09,1.05,1.0,0.95,0.99,0.94,0.98,0.85,0.87,0.81,0.69,0.72,0.72,0.7,0.6,0.62,0.58,0.6,0.58,0.57,0.52,0.57,0.53,0.0,0.5,0.52,0.5,0.49,0.0,0.47,0.47,0.0,0.45,0.46,0.43,0.45,0.45,0.43,0.42,0.44,0.42,0.42,0.4,0.41,0.42,0.41,0.4,0.38,0.0,0.38,0.37,0.4,0.37,0.37,0.36,0.0,0.35,0.36,0.36,0.34,0.35,0.0,0.34,0.33,0.0,0.31,0.33,0.31,0.3,0.3,0.27,0.0,0.29,0.3,0.29,0.29,0.3,0.28,0.27,0.0,0.0,0.26,0.24,0.26,0.25,0.25,0.0,0.25,0.25,0.23,0.25,0.22,0.25,0.24,0.25,0.24,0.0,0.0,0.0,0.23,0.24,0.0,0.22,0.22,0.22,0.2,0.21,0.21,0.21,0.22,0.2,0.0,0.2,0.2,0.2,0.19,0.2,0.18,0.19,0.19,0.18,0.17,0.0,0.17,0.0,0.18,0.18,0.17,0.17,0.17,0.18,0.0,0.15,0.0,0.16,0.16,0.16,0.16,0.0,0.16,0.15,0.16,0.16,0.16,0.15,0.16,0.15,0.0,0.15,0.0,0.0,0.0,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.0,0.0,0.14,0.13,0.13,0.13,0.14,0.0,0.13,0.0,0.13,0.12,0.14,0.0,0.12,0.12,0.12,0.0,0.0,0.12,0.12,0.0,0.0,2.03,0.48,0.42,0.37,0.36,0.36,0.32,0.3,0.3,0.26,0.0,0.25,0.24,0.23,0.23,0.24,0.2,0.17,0.18,0.16,0.16,0.16,0.15,0.15,0.15,0.14,0.14,0.13,0.14,0.12,0.13,0.0,0.12,0.0,0.12,0.12,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.76
