,n/a,SVXY US,T 0 1/8 04/30/23 Govt,SCHO,VXX 8/20/21 C80 Equity,VXX 8/20/21 C79 Equity,UXU1,UXQ1,SVXY,VXX 11/19/21 C63 Index,T 0.125 04.30.23,VXX 10/15/21 C71 Index,UXV1,UXX1,UXZ1,VXX 12/17/21 C60 Index,SUM
10/13/2021,71.48,27.81,0.43,0.22,0.05,0.02,-3.37,-7.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.88000000000001
10/14/2021,88.46,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.08,0.18,0.18,0.01,-4.2,-15.82,0.0,0.0,79.97999999999999
10/15/2021,88.43,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.13,0.16,0.18,0.0,-3.66,-15.91,0.0,0.0,80.42
10/18/2021,88.21,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.34,0.18,0.18,0.0,-1.95,-16.37,0.0,0.0,81.67999999999999
10/19/2021,88.21,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.34,0.18,0.18,0.0,-1.95,-16.37,0.0,0.0,81.67999999999999
10/20/2021,88.21,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.34,0.18,0.18,0.0,-1.95,-16.37,0.0,0.0,81.67999999999999
10/21/2021,88.83,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.75,0.18,0.16,0.0,-0.58,-17.89,0.0,0.0,81.53
10/22/2021,88.82,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.77,0.16,0.16,0.0,0.0,-18.7,0.0,0.0,81.28999999999998
10/25/2021,87.87,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.89,0.16,0.16,0.0,0.0,-16.47,-1.48,0.0,81.21
10/26/2021,87.87,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.89,0.16,0.16,0.0,0.0,-16.47,-1.48,0.0,81.21
10/27/2021,87.65,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.08,0.18,0.17,0.0,0.0,-15.91,-3.11,0.0,80.15000000000002
10/28/2021,87.33,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.31,0.14,0.18,0.0,0.0,-16.93,-2.15,0.0,79.97
10/29/2021,87.43,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.27,0.11,0.18,0.0,0.0,-13.27,-5.15,0.0,80.66000000000001
11/01/2021,87.43,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.27,0.12,0.18,0.0,0.0,-11.47,-6.91,0.0,80.71000000000002
11/02/2021,87.43,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.27,0.12,0.18,0.0,0.0,-11.47,-6.91,0.0,80.71000000000002
11/03/2021,87.44,0.0,0.0,0.09,0.0,0.0,0.0,0.0,11.26,0.12,0.18,0.0,0.0,-10.67,-8.0,0.0,80.42000000000002
11/04/2021,87.56,0.0,0.0,0.08,0.0,0.0,0.0,0.0,11.16,0.08,0.18,0.0,0.0,-9.72,-8.72,0.0,80.62
11/05/2021,87.84,0.0,0.0,0.08,0.0,0.0,0.0,0.0,11.09,0.0,0.18,0.0,0.0,-8.43,-9.61,0.19,81.34
11/08/2021,87.6,0.0,0.0,0.08,0.0,0.0,0.0,0.0,11.16,0.0,0.18,0.0,0.0,-6.55,-11.33,0.19,81.33
11/09/2021,87.6,0.0,0.0,0.08,0.0,0.0,0.0,0.0,11.16,0.0,0.18,0.0,0.0,-6.55,-11.33,0.19,81.33
11/10/2021,87.84,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.9,0.0,0.18,0.0,0.0,-7.2,-11.52,0.25,80.53000000000002
11/11/2021,87.84,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.9,0.0,0.18,0.0,0.0,-6.24,-12.61,0.24,80.39000000000001
11/12/2021,88.15,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.59,0.0,0.17,0.0,0.0,-4.62,-14.97,0.25,79.65
11/15/2021,88.14,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.6,0.0,0.17,0.0,0.0,-2.79,-17.18,0.19,79.20999999999998
11/16/2021,87.76,0.0,0.0,0.08,0.0,0.0,0.0,0.0,10.7,0.0,0.17,0.0,0.0,-1.7,-17.46,0.19,79.74000000000001
