,NICE.TA,ESTC,OTEX.TO,ETFMG Sit Ultra Short ETF,GDS,NET,MDB,SINCH.ST,DDOG,KC,COUP,4739.T,NTAP,ZEN,9719.T,CD,354.HK,DBX,NXT.AX,APPN,SMAR,CONE,SOW.DE,VNET,NTNX,PLAN,AJBU.SI,2327.T,FSLY,MSTR,1686.HK,NCNO,DOCN,COR,AYX,PSTG,MCRO.L,MP1.AX,TDC,QTS,SWI,MDLA,SWCH,EVBG,APPF,CLDR,MSP,TBLD.L,BOX,NEWR,RXT,JAMF,BYIT.L,BLKB,CVLT,PD,EGHT,4776.T,DOMO,FGXXX,SUMO,3762.T,SMCI,UIS,DTL.AX,4475.T,GDYN,INSG,XNET,093320.KQ,LLNW,Israeli New Shekel,Japanese Yen,n/a,VALT,SWIEUR,FROG,SUM
07/09/2021,4.62,4.46,4.22,4.21,4.19,3.69,3.6,3.46,3.41,3.15,3.1,2.99,2.95,2.75,2.51,2.19,2.18,1.96,1.68,1.56,1.46,1.4,1.35,1.31,1.27,1.24,1.23,1.2,1.09,1.03,0.98,0.95,0.93,0.92,0.91,0.89,0.88,0.88,0.87,0.86,0.86,0.85,0.83,0.83,0.79,0.75,0.72,0.71,0.69,0.69,0.68,0.64,0.63,0.61,0.58,0.57,0.49,0.46,0.41,0.37,0.36,0.29,0.29,0.28,0.26,0.22,0.17,0.16,0.12,0.12,0.06,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/02/2021,4.67,4.61,4.38,0.0,4.48,3.87,3.76,3.73,3.52,3.22,3.2,3.17,3.05,2.87,2.65,2.34,2.25,2.04,1.74,1.63,1.51,1.47,1.42,1.4,1.31,1.29,1.29,1.26,1.16,1.08,1.02,0.96,1.0,0.97,0.97,0.93,1.08,0.93,0.92,0.89,0.0,0.89,0.85,0.86,0.82,0.78,0.75,0.0,0.68,0.72,0.68,0.66,0.65,0.63,0.6,0.6,0.51,0.48,0.43,0.38,0.37,0.32,0.29,0.28,0.28,0.24,0.14,0.17,0.13,0.13,0.07,0.0,0.0,27.29,4.36,0.89,0.72,131.69
09/03/2021,4.67,4.61,4.38,0.0,4.48,3.87,3.76,3.73,3.52,3.22,3.2,3.17,3.05,2.87,2.65,2.34,2.25,2.04,1.74,1.63,1.51,1.47,1.42,1.4,1.31,1.29,1.29,1.26,1.16,1.08,1.02,0.96,1.0,0.97,0.97,0.93,1.08,0.93,0.92,0.89,0.0,0.89,0.85,0.86,0.82,0.78,0.75,0.0,0.68,0.72,0.68,0.66,0.65,0.63,0.6,0.6,0.51,0.48,0.43,0.38,0.37,0.32,0.29,0.28,0.28,0.24,0.14,0.17,0.13,0.13,0.07,0.0,0.0,27.29,4.36,0.89,0.72,131.69
