,FERG.L,GEBN.SW,AWK,ECL,XYL,IEX,PNR,VIE.PA,WTRG,AOS,SEV.PA,UU.L,SVT.L,TTEK,PNN.L,RXN,FI-N.SW,AALB.AS,6005.T,6370.T,270.HK,WTS,AQUA,FELE,RWC.AX,AWR,BMI,CWT,PRMW.TO,SAJA.,SUN.SW,2128.HK,MWA,371.HK,LNN,SJW,UPONOR.HE,MSEX,MEG,855.HK,YORW,9551.T,6368.T,FGXXX,Japanese Yen,688101.SS,n/a,688001.SS,688226.SS,MEDX.SW,RBC,ZWS,RRX,SUM
07/09/2021,7.66,7.56,7.44,7.41,6.27,4.82,3.94,3.92,3.8,3.57,3.55,3.38,3.08,2.46,2.42,2.23,2.22,1.91,1.83,1.82,1.52,1.48,1.47,1.14,1.1,1.08,1.06,1.03,0.99,0.9,0.9,0.9,0.86,0.71,0.69,0.62,0.6,0.53,0.26,0.24,0.22,0.2,0.13,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,7.8,7.72,7.76,7.44,6.25,4.87,3.99,3.93,3.92,3.54,3.42,3.53,3.21,2.45,1.72,2.21,2.2,1.85,1.81,1.9,1.46,1.46,1.42,1.13,1.13,1.1,1.06,1.06,0.95,0.86,0.89,0.84,0.86,0.72,0.65,0.63,0.61,0.53,0.25,0.24,0.22,0.2,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,7.8,7.72,7.76,7.44,6.25,4.87,3.99,3.93,3.92,3.54,3.42,3.53,3.21,2.45,1.72,2.21,2.2,1.85,1.81,1.9,1.46,1.46,1.42,1.13,1.13,1.1,1.06,1.06,0.95,0.86,0.89,0.84,0.86,0.72,0.65,0.63,0.61,0.53,0.25,0.24,0.22,0.2,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,7.82,7.79,7.69,7.47,6.26,4.87,3.98,3.9,3.88,3.47,3.44,3.54,3.23,2.45,1.7,2.26,2.27,1.84,1.78,1.92,1.43,1.45,1.41,1.13,1.11,1.1,1.06,1.05,0.96,0.84,0.89,0.81,0.86,0.71,0.64,0.62,0.6,0.54,0.25,0.25,0.21,0.2,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/15/2021,7.84,7.81,7.67,7.44,6.24,4.85,4.02,3.92,3.82,3.47,3.41,3.55,3.23,2.46,1.7,2.28,2.26,1.83,1.83,1.94,1.41,1.47,1.4,1.14,1.11,1.09,1.06,1.05,0.96,0.88,0.89,0.82,0.86,0.7,0.64,0.62,0.6,0.54,0.25,0.25,0.21,0.2,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/16/2021,7.85,7.86,7.65,7.43,6.21,4.83,4.0,3.88,3.79,3.47,3.4,3.56,3.27,2.43,1.71,2.23,2.27,1.84,1.85,2.0,1.44,1.46,1.37,1.12,1.13,1.09,1.05,1.04,0.95,0.87,0.89,0.82,0.86,0.7,0.63,0.62,0.59,0.61,0.25,0.24,0.21,0.2,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.96
07/19/2021,7.75,7.95,7.86,7.52,6.19,4.87,4.03,3.83,3.85,3.47,3.41,3.5,3.23,2.43,1.7,2.2,2.28,1.82,1.82,1.97,1.5,1.44,1.34,1.12,1.12,1.11,1.04,1.06,0.96,0.88,0.89,0.82,0.86,0.71,0.62,0.64,0.6,0.58,0.24,0.24,0.22,0.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,7.75,7.95,7.86,7.52,6.19,4.87,4.03,3.83,3.85,3.47,3.41,3.5,3.23,2.43,1.7,2.2,2.28,1.82,1.82,1.97,1.5,1.44,1.34,1.12,1.12,1.11,1.04,1.06,0.96,0.88,0.89,0.82,0.86,0.71,0.62,0.64,0.6,0.58,0.24,0.24,0.22,0.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/28/2021,7.65,7.98,7.81,7.54,6.28,4.88,3.88,3.85,3.89,3.37,3.38,3.53,3.26,2.52,1.74,2.26,2.29,2.09,1.76,1.84,1.46,1.43,1.38,1.12,1.11,1.12,1.03,1.07,0.97,0.83,0.89,0.74,0.83,0.69,0.61,0.63,0.6,0.6,0.25,0.23,0.22,0.19,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
07/29/2021,7.6,7.89,7.75,7.57,6.32,4.84,3.89,3.9,3.89,3.38,3.39,3.52,3.27,2.52,1.73,2.28,2.29,2.11,1.79,1.92,1.42,1.43,1.39,1.12,1.12,1.12,1.03,1.07,0.97,0.83,0.9,0.7,0.83,0.68,0.61,0.63,0.61,0.6,0.25,0.22,0.22,0.2,0.12,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
