,IEFA,SPY,SHY,XLK,IEMG,XLV,XLY,XLC,XLF,IJR,HYLB,AGG,XLI,MDY,GWX,TIP,XLP,FGXXX,XLRE,XLE,XLB,Utilities Select Sector SPDR® ETF,First American Government Obligs X,XLU,Energy Select Sector SPDR® ETF,n/a,TLT,SUM
07/09/2021,21.42,16.74,11.14,8.11,5.93,3.95,3.93,3.42,3.26,2.98,2.88,2.75,2.55,1.98,1.94,1.91,1.85,0.7,0.67,0.66,0.63,0.61,0.0,0.0,0.0,0.0,0.0,100.01
07/12/2021,21.43,16.85,11.12,8.27,5.81,3.99,3.95,3.42,3.2,2.88,2.88,2.76,2.54,1.95,1.93,1.92,1.85,0.69,0.69,0.62,0.63,0.62,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,21.43,16.85,11.12,8.27,5.81,3.99,3.95,3.42,3.2,2.88,2.88,2.76,2.54,1.95,1.93,1.92,1.85,0.69,0.69,0.62,0.63,0.62,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,21.47,16.85,11.09,8.24,5.77,3.98,3.97,3.41,3.22,2.91,2.87,2.75,2.54,1.96,1.93,1.91,1.85,0.0,0.69,0.63,0.63,0.61,0.71,0.0,0.0,0.0,0.0,99.98999999999998
07/15/2021,21.49,16.85,11.06,8.22,5.77,3.97,3.98,3.42,3.24,2.91,2.86,2.74,2.54,1.96,1.93,1.91,1.84,0.72,0.7,0.63,0.63,0.61,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,21.47,16.88,11.1,8.3,5.79,3.99,3.95,3.43,3.22,2.87,2.87,2.74,2.52,1.94,1.93,1.92,1.85,0.0,0.69,0.63,0.63,0.61,0.66,0.0,0.0,0.0,0.0,99.98999999999997
07/19/2021,21.36,16.89,11.14,8.31,5.85,3.98,3.94,3.41,3.23,2.83,2.88,2.77,2.53,1.93,1.93,1.94,1.88,0.68,0.7,0.0,0.63,0.0,0.0,0.62,0.6,0.0,0.0,100.03
07/20/2021,21.36,16.89,11.14,8.31,5.85,3.98,3.94,3.41,3.23,2.83,2.88,2.77,2.53,1.93,1.93,1.94,1.88,0.68,0.7,0.0,0.63,0.0,0.0,0.62,0.6,0.0,0.0,100.03
07/21/2021,21.34,16.87,11.21,8.28,5.84,4.02,3.91,3.41,3.2,2.81,2.89,2.78,2.53,1.92,1.92,1.95,1.89,0.66,0.7,0.0,0.62,0.0,0.0,0.64,0.59,0.0,0.0,99.98
07/22/2021,21.34,16.87,11.21,8.28,5.84,4.02,3.91,3.41,3.2,2.81,2.89,2.78,2.53,1.92,1.92,1.95,1.89,0.66,0.7,0.0,0.62,0.0,0.0,0.64,0.59,0.0,0.0,99.98
07/23/2021,21.34,16.87,11.21,8.28,5.84,4.02,3.91,3.41,3.2,2.81,2.89,2.78,2.53,1.92,1.92,1.95,1.89,0.66,0.7,0.0,0.62,0.0,0.0,0.64,0.59,0.0,0.0,99.98
07/26/2021,21.32,16.9,11.15,8.32,5.78,4.01,3.95,3.4,3.23,2.87,2.88,2.77,2.56,1.95,1.92,1.93,1.87,0.66,0.7,0.0,0.62,0.0,0.0,0.62,0.59,0.0,0.0,100.0
07/27/2021,21.32,16.9,11.15,8.32,5.78,4.01,3.95,3.4,3.23,2.87,2.88,2.77,2.56,1.95,1.92,1.93,1.87,0.0,0.7,0.0,0.62,0.0,0.66,0.62,0.59,0.0,0.0,100.0
07/28/2021,21.35,16.99,11.08,8.41,5.67,4.05,3.98,3.48,3.18,2.82,2.87,2.76,2.54,1.94,1.92,1.94,1.88,0.66,0.7,0.0,0.62,0.0,0.0,0.62,0.58,0.0,0.0,100.04000000000002
07/29/2021,21.36,17.02,11.07,8.4,5.57,4.03,4.01,3.49,3.19,2.84,2.86,2.75,2.54,1.94,1.92,1.94,1.88,0.66,0.7,0.0,0.62,0.0,0.0,0.62,0.59,0.0,0.0,100.0
07/30/2021,21.36,17.02,11.07,8.4,5.57,4.03,4.01,3.49,3.19,2.84,2.86,2.75,2.54,1.94,1.92,1.94,1.88,0.66,0.7,0.0,0.62,0.0,0.0,0.62,0.59,0.0,0.0,100.0
08/02/2021,21.41,16.96,11.09,8.32,5.61,4.07,3.96,3.48,3.19,2.85,2.86,2.76,2.52,1.94,1.93,1.95,1.87,0.66,0.7,0.0,0.63,0.0,0.0,0.63,0.59,0.0,0.0,99.98
08/03/2021,21.41,16.96,11.09,8.32,5.61,4.07,3.96,3.48,3.19,2.85,2.86,2.76,2.52,1.94,1.93,1.95,1.87,0.66,0.7,0.0,0.63,0.0,0.0,0.63,0.59,0.0,0.0,99.98
08/04/2021,21.41,16.96,11.09,8.32,5.61,4.07,3.96,3.48,3.19,2.85,2.86,2.76,2.52,1.94,1.93,1.95,1.87,0.66,0.7,0.0,0.63,0.0,0.0,0.63,0.59,0.0,0.0,99.98
08/05/2021,21.41,16.96,11.09,8.32,5.61,4.07,3.96,3.48,3.19,2.85,2.86,2.76,2.52,1.94,1.93,1.95,1.87,0.66,0.7,0.0,0.63,0.0,0.0,0.63,0.59,0.0,0.0,99.98
08/06/2021,21.55,16.93,11.02,8.32,5.61,4.11,3.93,3.39,3.22,2.86,2.83,2.75,2.53,1.95,1.93,1.93,1.87,0.71,0.7,0.0,0.63,0.0,0.0,0.63,0.59,0.0,0.0,99.99
08/09/2021,21.56,16.95,11.0,8.38,5.62,4.08,3.93,3.43,3.23,2.85,2.83,2.74,2.51,1.95,1.93,1.92,1.86,0.71,0.7,0.0,0.62,0.0,0.0,0.63,0.0,0.58,0.0,100.01
08/10/2021,21.56,16.95,11.0,8.38,5.62,4.08,3.93,3.43,3.23,2.85,2.83,2.74,2.51,1.95,1.93,1.92,1.86,0.71,0.7,0.0,0.62,0.0,0.0,0.63,0.0,0.58,0.0,100.01
08/11/2021,21.56,16.95,11.0,8.38,5.62,4.08,3.93,3.43,3.23,2.85,2.83,2.74,2.51,1.95,1.93,1.92,1.86,0.71,0.7,0.0,0.62,0.0,0.0,0.63,0.0,0.58,0.0,100.01
08/13/2021,21.52,16.99,11.0,8.29,5.59,4.08,3.91,3.43,3.34,2.89,2.82,2.72,2.54,1.96,1.92,1.91,1.88,0.68,0.69,0.0,0.64,0.0,0.0,0.63,0.0,0.59,0.0,100.02
08/16/2021,21.56,17.01,10.96,8.3,5.54,4.05,3.91,3.43,3.37,2.88,2.81,2.71,2.55,1.96,1.93,1.91,1.87,0.67,0.69,0.0,0.65,0.0,0.0,0.64,0.0,0.59,0.0,99.99
08/17/2021,21.56,17.01,10.96,8.3,5.54,4.05,3.91,3.43,3.37,2.88,2.81,2.71,2.55,1.96,1.93,1.91,1.87,0.67,0.69,0.0,0.65,0.0,0.0,0.64,0.0,0.59,0.0,99.99
08/18/2021,21.66,17.01,10.94,8.33,5.51,4.07,3.89,3.42,3.34,2.85,2.81,2.72,2.54,1.96,1.92,1.91,1.89,0.67,0.69,0.0,0.65,0.0,0.0,0.64,0.0,0.58,0.0,100.0
08/19/2021,21.66,17.01,10.94,8.33,5.51,4.07,3.89,3.42,3.34,2.85,2.81,2.72,2.54,1.96,1.92,1.91,1.89,0.67,0.69,0.0,0.65,0.0,0.0,0.64,0.0,0.58,0.0,100.0
08/20/2021,21.55,17.06,10.95,8.38,5.47,4.12,3.88,3.43,3.33,2.84,2.81,2.72,2.55,1.95,1.91,1.91,1.9,0.67,0.7,0.0,0.64,0.0,0.0,0.65,0.0,0.57,0.0,99.99
08/23/2021,21.42,17.07,11.13,8.41,5.38,4.19,3.84,3.43,3.3,2.8,2.85,2.77,2.52,1.93,1.89,1.94,1.92,0.68,0.71,0.0,0.63,0.0,0.0,0.66,0.0,0.55,0.0,100.02
08/24/2021,21.42,17.07,11.13,8.41,5.38,4.19,3.84,3.43,3.3,2.8,2.85,2.77,2.52,1.93,1.89,1.94,1.92,0.68,0.71,0.0,0.63,0.0,0.0,0.66,0.0,0.55,0.0,100.02
08/25/2021,21.38,17.12,11.07,8.47,5.34,4.2,3.86,3.44,3.3,2.83,2.84,2.75,2.51,1.94,1.88,1.92,1.92,0.68,0.71,0.0,0.63,0.0,0.0,0.66,0.0,0.55,0.0,100.0
08/27/2021,21.42,17.11,10.95,8.48,5.48,4.14,3.89,3.46,3.31,2.85,2.82,2.72,2.52,1.96,1.91,1.91,1.87,0.67,0.69,0.0,0.64,0.0,0.0,0.64,0.0,0.57,0.0,100.01
08/30/2021,21.4,17.1,10.99,8.45,5.46,4.13,3.88,3.45,3.35,2.84,2.84,2.72,2.53,1.96,1.91,1.91,1.87,0.67,0.69,0.0,0.64,0.0,0.0,0.64,0.0,0.57,0.0,100.0
09/01/2021,21.41,17.1,10.9,8.46,5.48,4.08,3.88,3.47,3.36,2.9,2.82,2.71,2.53,1.98,1.92,1.91,1.86,0.67,0.69,0.0,0.64,0.0,0.0,0.64,0.0,0.58,0.0,99.99
09/02/2021,21.41,17.1,10.9,8.46,5.48,4.08,3.88,3.47,3.36,2.9,2.82,2.71,2.53,1.98,1.92,1.91,1.86,0.67,0.69,0.0,0.64,0.0,0.0,0.64,0.0,0.58,0.0,99.99
09/06/2021,21.54,17.09,10.82,8.44,5.57,4.12,3.89,3.48,3.28,2.88,2.79,2.69,2.52,1.97,1.95,1.88,1.88,0.66,0.72,0.0,0.64,0.0,0.0,0.65,0.0,0.57,0.0,100.03
09/07/2021,21.54,17.09,10.82,8.44,5.57,4.12,3.89,3.48,3.28,2.88,2.79,2.69,2.52,1.97,1.95,1.88,1.88,0.66,0.72,0.57,0.64,0.0,0.0,0.65,0.0,0.0,0.0,100.03
09/08/2021,21.54,17.09,10.82,8.44,5.57,4.12,3.89,3.48,3.28,2.88,2.79,2.69,2.52,1.97,1.95,1.88,1.88,0.66,0.72,0.57,0.64,0.0,0.0,0.65,0.0,0.0,0.0,100.03
09/09/2021,21.63,17.07,10.81,8.46,5.59,4.12,3.89,3.47,3.25,2.86,2.79,2.68,2.5,1.95,1.96,1.87,1.87,0.66,0.72,0.57,0.63,0.0,0.0,0.64,0.0,0.0,0.0,99.99
09/10/2021,21.67,17.05,10.83,8.48,5.64,4.1,3.91,3.49,3.24,2.84,2.8,2.68,2.46,1.94,1.96,1.87,1.85,0.67,0.71,0.56,0.63,0.0,0.0,0.63,0.0,0.0,0.0,100.01
09/13/2021,21.58,17.1,10.87,8.48,5.57,4.12,3.93,3.48,3.25,2.83,2.81,2.69,2.48,1.94,1.95,1.89,1.88,0.61,0.72,0.56,0.62,0.0,0.0,0.65,0.0,0.0,0.0,100.01
09/14/2021,21.61,17.05,10.9,8.47,5.58,4.08,3.93,3.47,3.26,2.83,2.82,2.71,2.47,1.94,1.96,1.9,1.87,0.64,0.7,0.56,0.63,0.0,0.0,0.65,0.0,0.0,0.0,100.03000000000002
09/15/2021,21.67,17.0,10.94,8.42,5.6,4.06,3.92,3.47,3.25,2.81,2.83,2.72,2.47,1.93,1.96,1.91,1.87,0.64,0.7,0.56,0.63,0.0,0.0,0.64,0.0,0.0,0.0,100.0
09/16/2021,21.67,17.0,10.94,8.42,5.6,4.06,3.92,3.47,3.25,2.81,2.83,2.72,2.47,1.93,1.96,1.91,1.87,0.64,0.7,0.56,0.63,0.0,0.0,0.64,0.0,0.0,0.0,100.0
09/17/2021,21.75,16.98,10.91,8.4,5.6,4.02,3.92,3.46,3.28,2.82,2.82,2.71,2.47,1.93,1.97,1.9,1.87,0.64,0.7,0.58,0.63,0.0,0.0,0.64,0.0,0.0,0.0,100.0
09/20/2021,21.7,17.02,10.9,8.46,5.56,4.04,3.93,3.45,3.26,2.82,2.82,2.71,2.46,1.93,1.98,1.9,1.87,0.64,0.7,0.59,0.63,0.0,0.0,0.63,0.0,0.0,0.0,100.0
09/21/2021,21.71,17.03,10.92,8.48,5.51,4.04,3.96,3.45,3.26,2.81,2.83,2.71,2.45,1.93,1.97,1.9,1.86,0.64,0.7,0.58,0.62,0.0,0.0,0.63,0.0,0.0,0.0,99.99
09/22/2021,21.71,17.03,10.92,8.48,5.51,4.04,3.96,3.45,3.26,2.81,2.83,2.71,2.45,1.93,1.97,1.9,1.86,0.64,0.7,0.58,0.62,0.0,0.0,0.63,0.0,0.0,0.0,99.99
09/23/2021,21.71,17.03,10.92,8.48,5.51,4.04,3.96,3.45,3.26,2.81,2.83,2.71,2.45,1.93,1.97,1.9,1.86,0.64,0.7,0.58,0.62,0.0,0.0,0.63,0.0,0.0,0.0,99.99
09/24/2021,21.71,16.88,11.17,8.36,5.49,4.08,3.94,3.4,3.22,2.82,2.88,2.78,2.43,1.92,1.97,1.94,1.86,0.65,0.7,0.57,0.6,0.0,0.0,0.63,0.0,0.0,0.0,100.0
09/27/2021,21.66,16.93,11.08,8.42,5.53,4.06,3.96,3.37,3.25,2.84,2.87,2.76,2.43,1.93,1.96,1.92,1.85,0.65,0.7,0.58,0.61,0.0,0.0,0.62,0.0,0.0,0.0,99.98
09/28/2021,21.71,16.97,10.97,8.45,5.52,4.05,3.97,3.38,3.3,2.86,2.84,2.72,2.45,1.94,1.97,1.9,1.84,0.64,0.69,0.6,0.61,0.0,0.0,0.61,0.0,0.0,0.0,99.99
09/29/2021,21.71,16.97,10.97,8.45,5.52,4.05,3.97,3.38,3.3,2.86,2.84,2.72,2.45,1.94,1.97,1.9,1.84,0.64,0.69,0.6,0.61,0.0,0.0,0.61,0.0,0.0,0.0,99.99
09/30/2021,21.53,17.03,10.99,8.47,5.46,4.04,3.99,3.41,3.33,2.85,2.84,2.72,2.46,1.94,1.95,1.9,1.85,0.73,0.69,0.6,0.61,0.0,0.0,0.61,0.0,0.0,0.0,100.0
10/01/2021,21.39,16.92,11.17,8.28,5.52,3.98,4.0,3.38,3.37,2.91,2.88,2.75,2.47,1.96,1.94,1.92,1.85,0.75,0.68,0.64,0.62,0.0,0.0,0.61,0.0,0.0,0.0,99.99
10/04/2021,21.33,16.95,11.18,8.27,5.47,4.02,4.0,3.38,3.38,2.92,2.88,2.75,2.47,1.96,1.93,1.93,1.87,0.75,0.69,0.64,0.61,0.0,0.0,0.62,0.0,0.0,0.0,100.0
10/05/2021,21.41,16.86,11.26,8.27,5.55,3.99,3.96,3.39,3.34,2.89,2.9,2.77,2.44,1.95,1.95,1.94,1.84,0.75,0.68,0.63,0.61,0.0,0.0,0.62,0.0,0.0,0.0,100.0
10/06/2021,21.3,16.94,11.18,8.33,5.51,3.97,3.97,3.43,3.38,2.93,2.87,2.75,2.46,1.96,1.94,1.93,1.84,0.76,0.68,0.65,0.61,0.0,0.0,0.61,0.0,0.0,0.0,100.00000000000004
10/07/2021,21.3,16.88,11.29,8.22,5.48,3.94,3.97,3.38,3.38,2.95,2.9,2.78,2.47,1.97,1.93,1.95,1.85,0.77,0.69,0.67,0.62,0.0,0.0,0.63,0.0,0.0,0.0,100.01999999999998
10/08/2021,21.3,16.88,11.29,8.22,5.48,3.94,3.97,3.38,3.38,2.95,2.9,2.78,2.47,1.97,1.93,1.95,1.85,0.77,0.69,0.67,0.62,0.0,0.0,0.63,0.0,0.0,0.0,100.01999999999998
10/11/2021,21.14,17.03,11.22,8.34,5.46,3.94,3.98,3.42,3.43,2.92,2.87,2.76,2.49,1.96,1.9,1.94,1.86,0.76,0.69,0.66,0.62,0.0,0.0,0.63,0.0,0.0,0.0,100.02
10/12/2021,12.02,17.06,12.4,9.63,1.01,4.6,4.65,3.86,3.97,6.06,2.97,5.92,2.86,3.02,1.01,1.97,2.22,0.76,0.77,0.75,0.71,0.0,0.0,0.8,0.0,0.0,0.97,99.99
10/13/2021,12.02,17.06,12.4,9.63,1.01,4.6,4.65,3.86,3.97,6.06,2.97,5.92,2.86,3.02,1.01,1.97,2.22,0.76,0.77,0.75,0.71,0.0,0.0,0.8,0.0,0.0,0.97,99.99
10/14/2021,12.02,17.06,12.4,9.63,1.01,4.6,4.65,3.86,3.97,6.06,2.97,5.92,2.86,3.02,1.01,1.97,2.22,0.76,0.77,0.75,0.71,0.0,0.0,0.8,0.0,0.0,0.97,99.99
10/15/2021,12.06,17.03,12.48,9.61,1.02,4.57,4.64,3.81,3.98,6.03,2.97,5.94,2.85,3.01,1.01,1.99,2.24,0.73,0.77,0.78,0.72,0.0,0.0,0.79,0.0,0.0,0.97,100.0
10/18/2021,12.15,16.99,12.44,9.59,1.03,4.54,4.69,3.78,3.93,6.02,2.97,5.95,2.84,3.03,1.02,1.99,2.23,0.73,0.78,0.77,0.72,0.0,0.0,0.8,0.0,0.0,0.99,99.97999999999998
10/19/2021,12.14,17.08,12.29,9.69,1.02,4.56,4.68,3.79,3.95,6.03,2.95,5.89,2.86,3.04,1.02,1.97,2.23,0.72,0.79,0.77,0.73,0.0,0.0,0.8,0.0,0.0,0.99,99.99
10/20/2021,12.18,17.14,12.24,9.73,1.03,4.56,4.73,3.77,3.99,5.98,2.94,5.85,2.87,3.03,1.02,1.96,2.22,0.72,0.78,0.77,0.73,0.0,0.0,0.8,0.0,0.0,0.98,100.02
10/21/2021,12.12,17.16,12.21,9.8,1.02,4.52,4.78,3.79,3.99,5.98,2.93,5.84,2.87,3.04,1.02,1.96,2.2,0.72,0.78,0.77,0.73,0.0,0.0,0.79,0.0,0.0,0.98,100.0
10/22/2021,12.14,17.21,12.16,9.85,1.03,4.56,4.75,3.81,4.01,5.96,2.92,5.8,2.88,3.03,1.03,1.94,2.19,0.71,0.78,0.78,0.73,0.0,0.0,0.8,0.0,0.0,0.96,100.03
10/25/2021,12.13,17.23,12.12,9.79,1.03,4.61,4.73,3.81,4.03,5.99,2.91,5.78,2.89,3.04,1.02,1.94,2.2,0.71,0.79,0.78,0.73,0.0,0.0,0.81,0.0,0.0,0.95,100.02
10/26/2021,12.07,17.26,12.1,9.82,1.02,4.63,4.8,3.81,4.01,5.99,2.9,5.76,2.89,3.05,1.01,1.94,2.19,0.71,0.79,0.77,0.73,0.0,0.0,0.8,0.0,0.0,0.95,100.0
10/27/2021,12.07,17.26,12.1,9.82,1.02,4.63,4.8,3.81,4.01,5.99,2.9,5.76,2.89,3.05,1.01,1.94,2.19,0.71,0.79,0.77,0.73,0.0,0.0,0.8,0.0,0.0,0.95,100.0
10/28/2021,12.07,17.26,12.1,9.82,1.02,4.63,4.8,3.81,4.01,5.99,2.9,5.76,2.89,3.05,1.01,1.94,2.19,0.71,0.79,0.77,0.73,0.0,0.0,0.8,0.0,0.0,0.95,100.0
