,WIX,SEDG,NSY.,CHKP,LUMI.TA,NVCR,TEVA,POLI.TA,DOX,FVRR,VRNS,DSCT.TA,PLTK,CYBR,MZTF.TA,KRNT,ICL.TA,LMND,ESLT.TA,INMD,TSEM,AZRG.TA,LPSN,VRNT,BEZQ.TA,CBI.MI,NNDM,ORA,NVMI,FIBI.TA,PLUS.L,PHOE.TA,ALHE.TA,CGNT,MVNE.TA,MLSR.TA,ENLT.TA,CLIS.TA,SKBN.TA,STRS.TA,HARL.TA,888.L,SAE.TA,ILCO.TA,BIG.TA,SSYS,RDWR,AMOT.TA,NNOX,ENOG.L,MTRN.TA,DANE.TA,ISCD.TA,ENRG.TA,CEVA,AUDC,CAMT,ARPT.TA,MTRX.TA,SPNS,SPEN.TA,FOX.TA,ASHG.TA,TARO,DLEKG.TA,GVYM.TA,FORTY.TA,ELTR.TA,TRMR.L,MGOR.TA,PERI,PZOL.TA,HLAN.TA,RADA,ECP.TA,CBI.MI.1,MGDL.TA,KEN,MMHD.TA,OPCE.TA,CGEN,ELCO.TA,RMLI.TA,AFPR.TA,ORL.TA,FTAL.TA,SMT.TA,DLEA.TA,ISCN.TA,DELT.TA,PTNR.TA,TDRN.TA,GZT.TA,ASPF.TA,ONE.TA,GILT,ITRN,MGIC,ISRS.TA,BVC.L,IDIN.TA,DSPG,BLSR.TA,CEL.TA,PTBL.TA,CSTE,CRNT,INRM.TA,MDTR.TA,AZRM.TA,DIMRI.TA,PRSK.TA,CBI.MI.2,CBI.MI.3,GVMXX,FROG,TASE.TA,SUM
07/09/2021,5.75,5.49,5.46,5.3,5.25,4.52,4.28,3.92,3.79,3.34,2.49,2.25,2.19,2.1,1.96,1.86,1.76,1.59,1.49,1.47,1.17,1.16,1.12,1.02,0.99,0.93,0.86,0.84,0.77,0.74,0.73,0.7,0.69,0.68,0.67,0.67,0.63,0.56,0.53,0.52,0.49,0.47,0.46,0.45,0.43,0.43,0.43,0.42,0.4,0.38,0.37,0.37,0.36,0.35,0.35,0.34,0.33,0.33,0.32,0.31,0.31,0.29,0.29,0.29,0.28,0.27,0.27,0.27,0.26,0.25,0.25,0.25,0.25,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.2,0.18,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.05,0.0,0.0,0.0,0.0,100.0
08/31/2021,5.74,5.45,5.3,5.22,5.08,5.4,4.28,3.77,3.72,3.33,2.42,2.2,2.25,2.05,1.98,1.83,1.73,1.6,1.49,1.46,1.16,1.18,1.15,1.03,1.01,0.0,0.91,0.83,0.79,0.74,0.7,0.69,0.7,0.71,0.68,0.67,0.63,0.55,0.54,0.53,0.49,0.44,0.46,0.44,0.43,0.47,0.42,0.42,0.42,0.37,0.36,0.37,0.37,0.35,0.35,0.34,0.35,0.33,0.31,0.31,0.31,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.0,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.19,0.2,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.0,0.0,2.62,0.91,0.24,102.75
09/01/2021,5.74,5.45,5.3,5.22,5.08,5.4,4.28,3.77,3.72,3.33,2.42,2.2,2.25,2.05,1.98,1.83,1.73,1.6,1.49,1.46,1.16,1.18,1.15,1.03,1.01,0.0,0.91,0.83,0.79,0.74,0.7,0.69,0.7,0.71,0.68,0.67,0.63,0.55,0.54,0.53,0.49,0.44,0.46,0.44,0.43,0.47,0.42,0.42,0.42,0.37,0.36,0.37,0.37,0.35,0.35,0.34,0.35,0.33,0.31,0.31,0.31,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.0,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.19,0.2,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.0,0.0,2.62,0.91,0.24,102.75
09/02/2021,5.74,5.45,5.3,5.22,5.08,5.4,4.28,3.77,3.72,3.33,2.42,2.2,2.25,2.05,1.98,1.83,1.73,1.6,1.49,1.46,1.16,1.18,1.15,1.03,1.01,0.0,0.91,0.83,0.79,0.74,0.7,0.69,0.7,0.71,0.68,0.67,0.63,0.55,0.54,0.53,0.49,0.44,0.46,0.44,0.43,0.47,0.42,0.42,0.42,0.37,0.36,0.37,0.37,0.35,0.35,0.34,0.35,0.33,0.31,0.31,0.31,0.29,0.29,0.29,0.27,0.28,0.27,0.27,0.26,0.25,0.26,0.25,0.24,0.26,0.25,0.0,0.22,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.19,0.2,0.17,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.15,0.16,0.14,0.14,0.14,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.1,0.09,0.09,0.0,0.0,2.62,0.91,0.24,102.75
