,2SPY  220930C00003390,2SPY  220930C00429140,Cash&Other,2SPY  220930C00452750,SUM
10/15/2021,97.82,16.33,0.78,-14.94,99.99
10/18/2021,98.3,17.97,0.77,-17.04,100.0
10/19/2021,98.48,19.01,0.76,-18.25,100.0
10/20/2021,98.48,19.01,0.76,-18.25,100.0
10/21/2021,98.65,19.62,0.76,-19.03,100.0
10/22/2021,99.15,20.3,0.75,-20.2,100.0
10/25/2021,99.04,20.84,0.74,-20.62,100.0
10/26/2021,99.33,20.83,0.74,-20.89,100.01
10/27/2021,99.33,20.83,0.74,-20.89,100.01
10/28/2021,99.26,21.53,0.73,-21.52,100.0
10/29/2021,99.65,21.64,0.73,-22.02,100.0
11/01/2021,99.87,22.34,0.72,-22.93,100.0
11/02/2021,97.9,22.25,2.48,-22.64,99.99
11/03/2021,97.9,22.25,2.48,-22.64,99.99
11/04/2021,98.08,22.75,2.5,-23.33,100.0
11/05/2021,98.49,22.98,2.49,-23.97,99.99
11/08/2021,98.94,24.43,2.47,-25.84,100.0
11/09/2021,99.12,24.91,2.46,-26.5,99.99
11/10/2021,99.12,24.91,2.46,-26.5,99.99
