,VCLT,VCSH,Vanguard Interm-Term Corp Bd ETF,Vanguard Long-Term Corporate Bd ETF,VCIT,4338.SR,Vanguard Cmt Funds-Vanguard Market Liquidity Fund,n/a,4340.SR,SUM
07/09/2021,37.75,33.03,29.22,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/12/2021,0.0,33.03,0.0,37.75,29.22,0.0,0.0,0.0,0.0,100.0
07/13/2021,0.0,33.03,0.0,37.75,29.22,0.0,0.0,0.0,0.0,100.0
07/14/2021,0.0,33.03,0.0,37.75,29.22,0.0,0.0,0.0,0.0,100.0
07/15/2021,0.0,33.03,0.0,37.75,29.22,0.0,0.0,0.0,0.0,100.0
07/16/2021,0.0,33.03,0.0,37.75,29.22,0.0,0.0,0.0,0.0,100.0
07/19/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/20/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/21/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/22/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/23/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/26/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/27/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/28/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/29/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
07/30/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
08/02/2021,0.0,32.74,0.0,38.44,28.82,0.0,0.0,0.0,0.0,100.0
08/03/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
08/04/2021,37.53,33.13,0.0,0.0,29.34,0.0,0.0,0.0,0.0,100.0
