,2EFA  211231C00000580,2EFA  211231P00072960,Cash&Other,2EFA  211231P00062020,2EFA  211231C00079400,SUM
07/09/2021,98.07,4.97,0.4,-0.56,-2.89,99.99
07/12/2021,102.82,2.12,0.37,-0.93,-4.38,100.0
07/13/2021,102.82,2.12,0.37,-0.93,-4.38,100.0
07/14/2021,102.82,2.12,0.37,-0.93,-4.38,100.0
07/15/2021,102.95,1.86,0.37,-0.66,-4.52,100.0
07/16/2021,101.95,1.99,0.37,-0.57,-3.74,100.0
07/19/2021,102.26,2.48,0.36,-1.31,-3.8,99.99
07/20/2021,101.71,2.31,0.36,-0.98,-3.4,100.0
07/21/2021,101.71,2.31,0.36,-0.98,-3.4,100.0
07/22/2021,100.03,3.31,0.36,-1.08,-2.61,100.01
07/23/2021,100.9,2.74,0.36,-0.91,-3.09,100.0
07/26/2021,101.59,2.36,0.34,-0.89,-3.41,99.99
07/27/2021,102.7,1.75,0.36,-0.82,-4.0,99.99
07/28/2021,102.7,1.75,0.36,-0.82,-4.0,99.99
07/29/2021,102.24,2.15,0.35,-0.8,-3.95,99.99
07/30/2021,101.86,2.24,0.35,-0.81,-3.65,99.98999999999998
08/02/2021,102.31,1.97,0.34,-0.66,-3.96,100.0
08/03/2021,101.9,2.33,0.34,-0.23,-4.34,100.0
08/04/2021,101.9,2.33,0.34,-0.23,-4.34,100.0
08/05/2021,102.78,2.23,0.34,-0.79,-4.56,100.0
08/06/2021,103.32,1.84,0.33,-0.65,-4.84,100.0
08/10/2021,103.06,1.75,0.31,-0.74,-4.39,99.99
08/11/2021,103.06,1.75,0.31,-0.74,-4.39,99.99
08/13/2021,103.05,1.79,0.31,-0.63,-4.52,100.0
08/16/2021,103.62,1.48,0.3,-0.53,-4.87,100.0
08/17/2021,104.13,1.26,0.32,-0.6,-5.11,100.0
08/18/2021,104.13,1.26,0.32,-0.6,-5.11,100.0
08/19/2021,103.32,1.66,0.29,-0.61,-4.66,100.0
08/20/2021,103.07,1.62,0.29,-0.79,-4.2,99.99
08/23/2021,101.74,2.11,0.3,-0.82,-3.34,99.99
08/24/2021,101.76,1.81,0.29,-0.84,-3.02,100.0
08/25/2021,101.76,1.81,0.29,-0.84,-3.02,100.0
08/26/2021,102.61,1.74,0.29,-0.65,-3.99,100.0
08/27/2021,103.06,1.55,0.29,-0.65,-4.26,99.99
08/30/2021,102.23,1.73,0.28,-0.5,-3.75,99.99
08/31/2021,102.93,1.46,0.28,-0.7,-3.97,100.0
09/01/2021,102.93,1.46,0.28,-0.7,-3.97,100.0
09/02/2021,102.88,1.38,0.28,-0.33,-4.21,100.0
09/03/2021,103.46,1.63,0.27,-0.93,-4.44,99.98999999999998
09/06/2021,103.77,1.21,0.26,-0.16,-5.09,99.99
09/07/2021,104.77,1.14,0.25,-0.67,-5.5,99.99
09/08/2021,104.77,1.14,0.25,-0.67,-5.5,99.99
09/09/2021,104.77,1.14,0.25,-0.67,-5.5,99.99
09/10/2021,104.51,1.15,0.25,-0.32,-5.59,100.0
09/13/2021,103.65,1.5,0.24,-0.66,-4.74,99.99
09/14/2021,103.99,1.45,0.24,-0.49,-5.18,100.01
09/15/2021,103.99,1.45,0.24,-0.49,-5.18,100.01
09/16/2021,104.38,1.23,0.24,-0.5,-5.35,100.0
09/17/2021,103.91,1.19,0.23,-0.57,-4.77,99.99
09/20/2021,103.76,1.23,0.22,-0.17,-5.05,99.99
09/21/2021,102.71,1.4,0.22,-0.45,-3.88,100.0
09/22/2021,102.71,1.4,0.22,-0.45,-3.88,100.0
09/23/2021,101.72,2.04,0.22,-0.71,-3.27,100.0
09/24/2021,102.72,1.62,0.22,-0.65,-3.91,100.0
09/27/2021,103.48,1.22,0.21,-0.44,-4.48,99.99
09/28/2021,102.75,1.37,0.21,-0.45,-3.89,99.99
09/29/2021,102.75,1.37,0.21,-0.45,-3.89,99.99
09/30/2021,102.86,1.27,0.2,-0.57,-3.77,99.99
10/01/2021,101.2,1.84,0.19,-0.68,-2.56,99.99
10/04/2021,100.75,2.03,0.18,-0.75,-2.23,99.98
10/05/2021,100.82,1.77,0.18,-0.43,-2.34,100.0
10/06/2021,100.82,1.77,0.18,-0.43,-2.34,100.0
10/07/2021,100.34,2.0,0.18,-0.47,-2.05,100.0
10/08/2021,100.47,1.63,0.17,-0.44,-1.84,99.99
10/11/2021,99.89,1.77,0.17,-0.23,-1.6,100.0
10/12/2021,100.63,1.42,0.16,-0.38,-1.84,99.99
10/13/2021,100.63,1.42,0.16,-0.38,-1.84,99.99
10/14/2021,100.16,1.58,0.16,-0.42,-1.48,100.0
10/15/2021,100.16,1.54,0.16,-0.43,-1.43,100.0
10/18/2021,101.11,1.06,0.15,-0.22,-2.11,99.99
10/19/2021,101.96,0.8,0.14,-0.25,-2.66,99.99
10/20/2021,101.96,0.8,0.14,-0.25,-2.66,99.99
10/21/2021,101.45,0.9,0.14,-0.22,-2.28,99.99
10/22/2021,102.01,0.82,0.14,-0.23,-2.74,100.0
10/25/2021,101.45,0.78,0.15,-0.24,-2.14,100.0
10/26/2021,102.11,0.63,0.15,-0.16,-2.73,100.0
10/27/2021,102.11,0.63,0.15,-0.16,-2.73,100.0
10/28/2021,102.31,0.64,0.15,-0.17,-2.92,100.01
10/29/2021,102.5,0.65,0.14,-0.2,-3.1,99.99
11/01/2021,102.58,0.56,0.13,-0.18,-3.11,99.98
11/02/2021,102.5,0.54,0.11,-0.21,-2.94,100.0
11/03/2021,102.5,0.54,0.11,-0.21,-2.94,100.0
11/04/2021,102.73,0.5,0.13,-0.18,-3.19,99.99
11/05/2021,102.73,0.46,0.13,-0.14,-3.19,99.99
11/08/2021,102.76,0.4,0.12,0.0,-3.28,100.0
11/09/2021,103.01,0.43,0.11,0.0,-3.56,99.99
11/10/2021,103.01,0.43,0.11,0.0,-3.56,99.99
11/11/2021,103.31,0.43,0.11,-0.14,-3.72,99.99
11/12/2021,102.84,0.24,0.11,-0.04,-3.16,99.99
11/15/2021,102.72,0.38,0.1,-0.49,-2.72,99.99
11/16/2021,102.72,0.38,0.1,-0.49,-2.72,99.99
11/17/2021,102.78,0.32,0.1,-0.49,-2.71,100.0
11/18/2021,102.68,0.29,0.1,-0.06,-3.0,100.01
11/19/2021,102.45,0.47,0.09,-0.49,-2.53,99.99
11/22/2021,102.44,0.5,0.09,-0.49,-2.54,100.0
11/23/2021,102.44,0.5,0.09,-0.49,-2.54,100.0
11/24/2021,101.46,0.49,0.08,-0.1,-1.94,99.99
