,HYG,MUB,MBB,TIP,ANGL,AGG,EMB,LQD,IEF,BNDX,n/a,SUM
01/11/2022,10.14,10.13,10.07,10.05,10.04,10.02,10.0,9.93,9.9,9.72,0.0,100.0
01/12/2022,10.14,10.13,10.07,10.05,10.04,10.02,10.0,9.93,9.9,9.72,0.0,100.0
01/13/2022,10.15,10.12,10.06,10.07,10.05,10.02,9.98,9.93,9.91,9.72,0.0,100.01
01/14/2022,10.17,10.09,10.05,10.11,10.07,10.01,9.97,9.93,9.91,9.69,0.0,100.0
01/17/2022,10.19,10.09,10.05,10.05,10.09,10.01,9.96,9.93,9.91,9.71,0.0,99.99
01/18/2022,10.16,10.09,10.05,10.06,10.06,10.03,9.92,9.96,9.95,9.73,0.0,100.01
01/19/2022,10.19,10.11,10.06,10.06,10.09,10.02,9.88,9.92,9.92,9.75,0.0,100.0
01/20/2022,10.19,10.11,10.06,10.06,10.09,10.02,9.88,9.92,9.92,9.75,0.0,100.0
01/21/2022,10.21,10.14,10.07,10.07,10.08,10.02,9.85,9.88,9.91,9.76,0.0,99.99
01/24/2022,10.16,10.13,10.09,10.04,10.02,10.03,9.93,9.88,9.94,9.77,0.0,99.99
01/25/2022,10.14,10.09,10.07,10.08,9.98,10.04,9.96,9.91,9.97,9.76,0.0,100.0
01/26/2022,10.14,10.09,10.07,10.08,9.98,10.04,9.96,9.91,9.97,9.76,0.0,100.0
01/27/2022,10.14,10.08,10.1,10.11,9.99,10.04,9.9,9.89,9.97,9.78,0.0,100.0
01/28/2022,10.14,10.08,10.1,10.11,9.99,10.04,9.9,9.89,9.97,9.78,0.0,100.0
01/31/2022,10.08,10.08,10.12,10.13,9.91,10.06,9.98,9.87,9.98,9.79,0.0,100.0
02/01/2022,10.09,10.04,10.13,10.15,9.91,10.05,9.99,9.87,9.99,9.78,0.0,100.0
02/02/2022,10.09,10.04,10.13,10.15,9.91,10.05,9.99,9.87,9.99,9.78,0.0,100.0
02/03/2022,10.09,10.04,10.13,10.15,9.91,10.05,9.99,9.87,9.99,9.78,0.0,100.0
02/04/2022,10.1,10.03,10.13,10.17,9.91,10.06,9.99,9.87,9.99,9.75,0.0,100.0
02/07/2022,10.12,10.06,10.12,10.09,9.92,10.05,10.03,9.88,9.99,9.74,0.0,100.0
02/08/2022,10.11,10.15,10.17,10.08,9.86,10.06,10.01,9.81,9.98,9.76,0.0,99.99
02/09/2022,10.11,10.15,10.17,10.08,9.86,10.06,10.01,9.81,9.98,9.76,0.0,99.99
02/10/2022,10.1,10.17,10.18,10.08,9.86,10.07,10.0,9.83,9.99,9.73,0.0,100.01
02/11/2022,10.11,10.16,10.18,10.09,9.87,10.07,10.0,9.82,9.98,9.72,0.0,100.0
02/14/2022,10.14,10.14,10.14,10.09,9.9,10.05,10.01,9.83,9.97,9.73,0.0,100.0
02/15/2022,10.05,10.15,10.17,10.17,9.82,10.09,9.89,9.84,10.05,9.77,0.0,100.0
02/16/2022,10.05,10.15,10.17,10.17,9.82,10.09,9.89,9.84,10.05,9.77,0.0,100.0
02/17/2022,10.05,10.15,10.17,10.17,9.82,10.09,9.89,9.84,10.05,9.77,0.0,100.0
02/18/2022,10.09,10.16,10.17,10.15,9.83,10.07,10.01,9.75,10.0,9.77,0.0,100.0
02/21/2022,10.08,10.17,10.16,10.16,9.83,10.07,9.97,9.74,10.04,9.77,0.0,99.98999999999998
02/24/2022,10.08,10.15,10.15,10.18,9.82,10.07,9.95,9.75,10.06,9.79,0.0,100.0
05/11/2022,0.0,10.28,25.44,10.05,0.0,0.0,0.0,15.24,35.71,0.0,3.29,100.01
