,700.HK,005930.KS,2330.TW,BABA,VALE3.SA,867.HK,HINDUNILVR.NS,CPLE6.SA,MER.PM,PETGAS.KL,DIVISLAB.NS,853.HK,270.HK,ABEV3.SA,1099.HK,2607.HK,4002.SR,NTES,IRAO.ME,151.HK,1044.HK,033780.KS,Asian Paints Ltd Common Stock Inr1.,096530.KQ,939.HK,035420.KS,3050.SR,2331.HK,PPB.KL,011170.KS,INFY.NS,RICHTER.BD,NESTLE.KL,KIO.JO,SBER.ME,KLBF.JK,011780.KS,KIMBERA.MX,1301.TW,AQE.,GMKN.ME,185750.KS,AVI.JO,ETISALAT.,COROMANDEL.NS,1101.TW,GMEXICOB.MX,1120.SR,ARI.JO,JD,WNS,1398.HK,VOD.JO,NIO,2454.TW,2020.HK,2882.TW,ORBIA.MX,PCHEM.KL,QFIN,000660.KS,MBT,POLY.L,KOTAKBANK.NS,MRP.JO,BIMAS.IS,1268.HK,MFSL.NS,881.HK,4190.SR,TCS.NS,MEGACPO.MX,5871.TW,3988.HK,SCC/F.BK,005830.KS,ICICIPRULI.NS,021240.KS,161390.KS,MUTHOOTFIN.NS,035250.KS,1888.HK,CPI.JO,2412.TW,316140.KS,017670.KS,148.HK,LREN3.SA,B3SA3.SA,5880.TW,BBCA.JK,ITSA4.SA,PDD,HDFCLIFE.NS,VTBR.ME,3328.HK,9904.TW,6110.HK,TME,1448.HK,MAYBANK.KL,9922.HK,006400.KS,TLKM.JK,BBRI.JK,036570.KS,1288.HK,2303.TW,819.HK,Pearl Abyss Corp Common Stock Krw100.0,ARCLK.IS,268.HK,030000.KS,696.HK,4904.TW,RMI.JO,ATHM,GENTING.KL,DIGI.KL,DIB.DB,BBSE3.SA,1585.HK,3293,YUMC,COMI.CA,TM.KL,NVAM.,TEL.PM,2357.TW,3034.TW,NVAA.,2601.HK,ZAGG,GLO.PM,1339.HK,4966,3529,3360.HK,BAJAJ-AUTO.NS,1359.HK,EICHERMOT.NS,HCLTECH.NS,1776.HK,HEROMOTOCO.NS,AKBNK.IS,2400.HK,078340.KQ,WIPRO.NS,2301.TW,6176.TW,2458.TW,TCOM,4938.TW,3044.TW,Catcher Technology Co Ltd,6147,3023.TW,2385.TW,6121,Hong Kong Dollar,EDU,009150.KS,TAL,CSAN3.SA,SCVUF,ACP.WA,HTHT,VIPS,Fidelity Revere Str Tr,LKOH.ME,018260.KS,ADVANC/F.BK,BS6.SI,NVTK.ME,Us Dollar,1088.HK,LI,034220.KS,Bharat Electronics Ltd Common Stock Inr1.0,3319.HK,1995.HK,Indonesian Rupiah,COALINDIA.NS,INTUCH.BK,ADRO.JK,006360.KS,PETDAG.KL,UNTR.JK,012750.KS,SNGS.ME,Brazilian Real,TRNFP.ME,WEGE3.SA,ASURB.MX,FALABELLA.SN,South African Rand,011070.KS,Turkish Lira,ENKAI.IS,000990.KS,ASIANPAINT.NS,BIMAS.E.IS,ARCLK.E.IS,5269.TW,263750.KQ,8010.SR,AKBNK.E.IS,2474.TW,n/a,BEL.NS,SHNUF,ENKAI.E.IS,066970.KQ,020150.KS,BZUN,MMYT,058470.KQ,SUM
07/09/2021,5.31,4.0,3.96,3.82,1.54,1.34,1.26,1.24,1.2,1.17,1.12,1.12,1.08,1.08,1.07,1.04,1.01,1.01,1.0,1.0,0.99,0.97,0.93,0.92,0.92,0.9,0.87,0.86,0.83,0.82,0.82,0.79,0.79,0.78,0.78,0.77,0.76,0.76,0.74,0.74,0.74,0.71,0.71,0.7,0.69,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.62,0.61,0.61,0.59,0.58,0.58,0.56,0.56,0.55,0.55,0.55,0.54,0.54,0.53,0.53,0.52,0.52,0.52,0.49,0.48,0.48,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.41,0.41,0.41,0.4,0.4,0.4,0.39,0.38,0.37,0.36,0.36,0.35,0.35,0.35,0.34,0.33,0.33,0.33,0.33,0.33,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.28,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.2,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.18,0.18,0.16,0.16,0.15,0.15,0.15,0.15,0.15,0.14,0.13,0.13,0.11,0.11,0.11,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.73
09/27/2021,4.63,4.05,4.09,3.58,1.52,1.1,1.25,1.31,1.16,1.18,1.28,1.03,1.12,1.05,1.0,1.1,1.1,0.95,0.98,0.99,0.91,0.98,0.0,0.79,0.85,0.97,0.89,0.82,0.85,0.84,0.89,0.86,0.83,0.93,0.82,0.73,0.73,0.73,0.74,0.71,0.79,0.68,0.73,0.76,0.73,0.75,0.68,0.7,0.78,0.64,0.67,0.63,0.65,0.57,0.61,0.61,0.62,0.62,0.59,0.35,0.53,0.52,0.57,0.55,0.58,0.0,0.56,0.6,0.56,0.53,0.52,0.5,0.58,0.5,0.48,0.5,0.51,0.51,0.44,0.5,0.44,0.42,0.44,0.46,0.42,0.43,0.43,0.42,0.41,0.45,0.43,0.41,0.32,0.4,0.42,0.35,0.37,0.33,0.27,0.37,0.36,0.28,0.37,0.37,0.33,0.34,0.33,0.38,0.38,0.0,0.0,0.31,0.3,0.26,0.29,0.31,0.23,0.29,0.29,0.29,0.27,0.24,0.29,0.26,0.3,0.25,0.25,0.23,0.24,0.26,0.25,0.22,0.0,0.23,0.22,0.29,0.22,0.23,0.2,0.19,0.2,0.22,0.23,0.19,0.0,0.15,0.17,0.21,0.19,0.14,0.15,0.12,0.16,0.14,0.0,0.15,0.12,0.14,0.12,0.0,0.03,0.1,0.02,0.08,0.08,0.08,0.06,0.06,0.0,0.06,0.06,0.06,0.05,0.05,0.0,0.05,0.05,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.0,0.0,0.02,0.96,0.6,0.35,0.33,0.29,0.25,0.2,0.16,0.07,0.05,0.04,0.02,0.02,0.02,0.01,0.01,0.01,99.50000000000001
