,ABIBB 4.9 02.01.46 *,CVS 5.05 03.25.48,GE 4.418 11.15.35,TMUS 3.875 04.15.30,GS 6.75 10.01.37,WBD 5.141 03.15.52 144A,T 3.5 09.15.53,T 3.55 09.15.55,BAC V3.419 12.20.28,WFC V5.013 04.04.51 MTN,ABBV 4.25 11.21.49,BA 5.805 05.01.50,ABIBB 4.7 02.01.36 *,BAC V1.734 07.22.27,ABBV 3.2 11.21.29,CVS 4.3 03.25.28,MSFT 2.921 03.17.52,BA 2.196 02.04.26,T 3.65 09.15.59,CVS 4.78 03.25.38,BAC V4.083 03.20.51 MTN,MSFT 2.525 06.01.50,DELL 6.02 06.15.26,T 3.8 12.01.57,WBD 4.279 03.15.32 144A,CHTR 4.908 07.23.25,n/a,ABIBB 4.75 01.23.29,BA 5.15 05.01.30,VZ 4.329 09.21.28,CMCSA 2.937 11.01.56,AAPL 4.65 02.23.46,ABIBB 5.55 01.23.49,MSFT 3.3 02.06.27,CMCSA 4.15 10.15.28,V 3.15 12.14.25,MSFT 2.4 08.08.26,BAC V4.571 04.27.33,TMUS 3.75 04.15.27,ABBV 2.95 11.21.26,C V4.412 03.31.31,WFC V3.526 03.24.28 MTN,BAC V2.687 04.22.32,WBD 5.05 03.15.42 144A,CI 4.375 10.15.28,WBD 3.755 03.15.27 144A,GS V1.948 10.21.27,C 4.45 09.29.27,VZ 4.016 12.03.29,VZ 2.55 03.21.31,ABBV 4.05 11.21.39,BAC V2.676 06.19.41 MTN,WFC V3.35 03.02.33 MTN,ABBV 3.6 05.14.25,VZ 3.55 03.22.51,ABBV 2.6 11.21.24,HD 5.875 12.16.36,CMCSA 2.887 11.01.51,GS V3.102 02.24.33,BA 4.875 05.01.25,BMY 4.25 10.26.49,ABT 4.9 11.30.46,V 4.3 12.14.45,GS 3.5 04.01.25,AMGN 4.663 06.15.51,AMZN 3.15 08.22.27,BAYNGR 4.375 12.15.28 144A,CVS 5.125 07.20.45,C V3.106 04.08.26,GS V4.223 05.01.29,AZN 6.45 09.15.37,RTX 4.5 06.01.42,WFC 3 04.22.26,AER 2.45 10.29.26,GS V2.383 07.21.32,ORCL 2.5 04.01.25,BA 5.93 05.01.60,AER 3.3 01.30.32,WFC 3 10.23.26,AMZN 4.05 08.22.47,VZ 4.125 03.16.27,JPM V2.083 04.22.26,AAPL 3.25 02.23.26,BAC V2.972 02.04.33,ABIBB 3.65 02.01.26 *,GS V2.615 04.22.32,JPM V2.739 10.15.30,BATSLN 3.557 08.15.27,AER 3 10.29.28,ORCL 3.6 04.01.50,JPM V1.578 04.22.27,GS V3.615 03.15.28,MS V1.593 05.04.27,IBM 3.5 05.15.29,JPM V2.58 04.22.32,CMCSA 3.95 10.15.25,WFC V4.611 04.25.53 MTN,JPM 3.875 09.10.24,MS 4 07.23.25 GMTN,BAC V2.299 07.21.32,MS 3.7 10.23.24 GMTN,MSFT 3.125 11.03.25,WFC V2.879 10.30.30 MTN,JPM V4.08 04.26.26,HSBC 4.3 03.08.26,MS V4.431 01.23.30 GMTN,AER 1.65 10.29.24,MS 3.875 01.27.26 GMTN,RTX 4.125 11.16.28,JPM V4.323 04.26.28,CS 3.625 09.09.24 MTN,MS V2.699 01.22.31 GMTN,VZ 3.4 03.22.41,JPM V4.493 03.24.31,T 4.3 02.15.30 *,T 2.55 12.01.33,JPM V2.963 01.25.33,MS 3.625 01.20.27,CI 4.9 12.15.48,GS 3.85 01.26.27,HSBC V4.583 06.19.29,JPM V3.964 11.15.48,BAC V2.496 02.13.31 MTN,TACHEM 3.2 09.23.26,WFC V2.393 06.02.28 MTN,JPM 2.95 10.01.26,C 3.2 10.21.26,DAL 7 05.01.25 144A,C V2.572 06.03.31,MS V3.591 07.22.28,WFC V2.164 02.11.26 MTN,WFC V2.188 04.30.26,MS V2.188 04.28.26,BA 5.705 05.01.40,RDSALN 4.375 05.11.45,CVS 3.875 07.20.25,ABBV 3.8 03.15.25,ORCL 2.65 07.15.26,HSBC V3.973 05.22.30,MS V2.239 07.21.32 GMTN,VZ 3.7 03.22.61,ORCL 2.95 04.01.30,FISV 3.5 07.01.29,CMCSA 2.987 11.01.63,WFC V3.068 04.30.41,XOM 2.992 03.19.25,C V3.785 03.17.33,GILD 3.65 03.01.26,C V3.352 04.24.25,GE 6.75 03.15.32 MTNA,BAC V3.311 04.22.42,JPM V3.328 04.22.52,GS V1.431 03.09.27,CS V4.194 04.01.31 144A,VZ 2.1 03.22.28,MSFT 2.675 06.01.60,PCG 4.55 07.01.30,ORCL 2.875 03.25.31,MS V1.512 07.20.27 GMTN,C V3.887 01.10.28,XOM 4.327 03.19.50,AVGO 3.469 04.15.34 144A,WFC V2.572 02.11.31 MTN,RDSALN 3.25 05.11.25,CS V3.091 05.14.32 144A,T 2.75 06.01.31,BAYNGR 4.25 12.15.25 144A,C V3.057 01.25.33,AMZN 3.1 05.12.51,VZ 2.987 10.30.56,KHC 4.375 06.01.46,JPM V2.545 11.08.32,MUFG 2.193 02.25.25,GS V2.65 10.21.32,BHP 5 09.30.43,C V2.561 05.01.32,ABBV 4.7 05.14.45,UBS 4.125 09.24.25 144A,HSBC V2.804 05.24.32,AVGO 3.137 11.15.35 144A,MS 3.125 07.27.26 MTN,C V1.462 06.09.27,BATSLN 4.45 06.12.25,BRK 3.85 03.15.52,BMY 2.9 07.26.24,ORCL 3.95 03.25.51,PCG 4.95 07.01.50,HSBC V3.803 03.11.25,BACR 4.375 01.12.26,HSBC 4.95 03.31.30,MRK 2.75 02.10.25,ABIBB 4 04.13.28,HSBC V4.292 09.12.26,BRK 3.125 03.15.26,XOM 3.043 03.01.26,HSBC 3.9 05.25.26,T 3.65 06.01.51,BATSLN 3.222 08.15.24,CS 3.75 03.26.25,ORCL 3.85 04.01.60,VZ 2.355 03.15.32,CHTR 6.484 10.23.45,GSK 6.375 05.15.38,PFE 7.2 03.15.39,RDSALN 6.375 12.15.38,VOD 4.375 05.30.28,T 4.35 03.01.29,MS V3.772 01.24.29 GMTN,MS V3.622 04.01.31 MTN,WFC V2.406 10.30.25 MTN,AMZN 2.1 05.12.31,MS V0.79 05.30.25,HCA 5.375 02.01.25,SUM
07/04/2022,0.91,0.78,0.65,0.65,0.61,0.6,0.58,0.57,0.56,0.54,0.52,0.51,0.51,0.51,0.51,0.51,0.5,0.5,0.49,0.48,0.48,0.47,0.47,0.46,0.45,0.45,0.44,0.44,0.43,0.43,0.42,0.42,0.42,0.41,0.41,0.4,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.38,0.38,0.38,0.38,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.78
07/08/2022,0.91,0.76,0.63,0.65,0.59,0.58,0.58,0.53,0.57,0.55,0.5,0.51,0.51,0.51,0.51,0.49,0.51,0.5,0.49,0.46,0.45,0.43,0.47,0.46,0.45,0.45,0.43,0.42,0.43,0.43,0.0,0.39,0.42,0.39,0.41,0.4,0.4,0.4,0.39,0.39,0.39,0.36,0.36,0.38,0.39,0.38,0.38,0.38,0.38,0.37,0.36,0.37,0.34,0.36,0.36,0.35,0.35,0.0,0.35,0.35,0.35,0.35,0.34,0.34,0.32,0.34,0.34,0.34,0.33,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.3,0.3,0.33,0.33,0.33,0.33,0.32,0.33,0.32,0.28,0.32,0.32,0.32,0.31,0.31,0.31,0.31,0.31,0.29,0.0,0.31,0.31,0.31,0.31,0.3,0.0,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.26,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0,0.27,0.3,0.28,0.0,0.3,0.28,0.29,0.29,0.29,0.0,0.29,0.0,0.29,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.0,0.28,0.28,0.28,0.28,0.27,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.0,0.26,0.26,0.26,0.26,0.26,0.26,0.24,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.0,0.24,0.24,0.24,0.24,0.0,0.0,0.24,0.35,0.33,0.32,0.32,0.31,0.29,0.29,0.29,0.27,0.27,0.25,0.25,0.24,67.05
