,CRWD,DOCU,ZS,FTNT,OKTA,PFPT,BAH,AKAM,VMW,JNPR,CTXS,PANW,VRNS,CACI,BB.TO,2345.TW,CHKP,4704.T,RPD,CYBR,EVBG,SAIL,ALRM,SAIC,FEYE,TENB,QLYS,MIME,CALX,MANT,MCFE,MCRO.L,RDWR,MYEG.KL,ATEN,ABST.TO,PING,053800.KQ,ZIXI,XTSLA,VHC,2326.T,JPY,3962.T,CAD,HBCFT,KRW,MYR,GBP,IXTU1,TWD,USD,IXTZ1,SUM
07/09/2021,4.85,4.61,4.53,4.52,4.52,3.98,3.93,3.89,3.88,3.74,3.71,3.6,3.31,3.27,3.25,3.15,3.14,2.98,2.8,2.8,2.78,2.5,2.13,2.06,1.98,1.98,1.91,1.75,1.33,1.29,1.19,1.09,0.76,0.64,0.45,0.33,0.32,0.28,0.18,0.18,0.16,0.14,0.04,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,99.98
07/16/2021,4.81,4.57,4.6,4.66,4.54,3.99,4.04,3.85,3.77,3.81,3.65,3.59,3.24,3.34,3.0,3.29,3.33,3.06,2.89,2.88,2.66,2.45,2.12,2.11,1.95,1.91,1.88,1.78,1.21,1.33,1.17,1.04,0.77,0.59,0.44,0.33,0.33,0.27,0.18,0.2,0.16,0.14,0.04,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/29/2021,4.79,4.9,4.72,4.51,4.36,3.7,3.86,3.87,3.58,3.65,3.14,4.18,3.28,3.22,2.7,3.09,3.78,3.62,3.12,2.87,2.64,1.86,1.52,2.61,2.46,2.08,1.68,1.68,1.4,1.19,1.15,0.64,0.65,0.47,0.36,0.4,0.57,0.17,0.28,0.14,0.13,0.37,0.01,0.55,0.0,0.01,0.0,0.06,0.01,0.0,0.0,0.0,0.0,100.03
07/30/2021,4.71,4.89,4.73,4.53,4.32,3.73,3.9,3.93,3.61,3.69,3.17,4.21,3.25,3.26,2.66,3.07,3.88,3.67,3.1,2.83,2.62,1.82,1.51,2.63,2.42,2.07,1.67,1.7,1.31,1.2,1.14,0.63,0.64,0.47,0.36,0.4,0.56,0.17,0.28,0.14,0.13,0.37,0.01,0.56,0.0,0.01,0.0,0.06,0.01,0.0,0.0,0.0,0.0,100.03
08/02/2021,4.77,4.89,4.77,4.51,4.32,3.7,3.87,3.87,3.55,3.57,3.14,4.19,3.23,3.23,2.85,2.98,3.88,3.61,3.14,2.83,2.67,1.85,1.54,2.61,2.42,2.07,1.7,1.7,1.36,1.19,1.13,0.64,0.67,0.46,0.4,0.4,0.57,0.17,0.28,0.14,0.13,0.36,0.01,0.53,0.0,0.01,0.0,0.06,0.01,0.0,0.0,0.0,0.0,99.98
08/10/2021,4.79,4.93,4.95,5.11,4.21,3.76,3.57,3.78,3.64,3.82,2.82,4.12,3.07,3.08,2.78,3.08,3.95,3.54,3.11,2.79,2.72,1.85,1.71,2.49,2.03,2.01,1.75,1.81,1.36,1.18,1.34,0.66,0.68,0.44,0.43,0.42,0.58,0.18,0.27,0.16,0.14,0.37,0.01,0.51,0.0,0.01,0.0,0.07,0.01,0.0,0.0,0.0,0.0,100.09
08/11/2021,4.79,4.93,4.95,5.11,4.21,3.76,3.57,3.78,3.64,3.82,2.82,4.12,3.07,3.08,2.78,3.08,3.95,3.54,3.11,2.79,2.72,1.85,1.71,2.49,2.03,2.01,1.75,1.81,1.36,1.18,1.34,0.66,0.68,0.44,0.43,0.42,0.58,0.18,0.27,0.16,0.14,0.37,0.01,0.51,0.0,0.01,0.0,0.07,0.01,0.0,0.0,0.0,0.0,100.09
08/13/2021,4.69,4.95,4.96,5.1,4.11,3.79,3.58,3.85,3.66,3.83,2.84,4.05,3.05,3.12,2.82,3.06,3.94,3.56,3.05,2.74,2.68,1.71,1.66,2.51,2.19,1.98,1.9,1.83,1.35,1.18,1.25,0.67,0.68,0.45,0.43,0.41,0.61,0.18,0.28,0.16,0.13,0.38,0.01,0.52,0.0,0.01,0.0,0.07,0.01,0.0,0.05,0.0,0.0,100.04
08/16/2021,4.53,4.82,4.98,5.15,4.14,3.76,3.57,3.88,3.63,3.84,2.85,3.94,3.14,3.1,2.75,3.06,3.89,3.53,3.13,2.94,2.73,1.71,1.63,2.51,2.24,1.97,1.9,1.84,1.35,1.16,1.21,0.67,0.67,0.45,0.43,0.35,0.63,0.18,0.28,0.11,0.13,0.38,0.01,0.48,0.0,0.01,0.0,0.07,0.01,0.0,0.05,0.19,0.0,99.98
08/17/2021,4.49,4.83,5.02,5.21,4.14,3.77,3.52,3.84,3.65,3.89,2.85,3.99,3.18,3.08,2.68,2.75,3.93,3.61,3.14,3.17,2.77,1.66,1.59,2.53,2.2,2.0,1.89,1.85,1.34,1.14,1.15,0.67,0.7,0.45,0.44,0.34,0.62,0.18,0.28,0.1,0.13,0.39,0.01,0.47,0.0,0.02,0.0,0.07,0.01,0.0,0.05,0.21,0.0,100.0
