,JNK,HYG,Us Dollars,n/a,IEI,SUM
07/09/2021,50.0,49.76,0.24,0.0,0.0,100.0
07/12/2021,49.82,49.55,0.62,0.0,0.0,99.99
07/13/2021,49.82,49.55,0.62,0.0,0.0,99.99
07/14/2021,49.83,49.57,0.6,0.0,0.0,100.0
07/15/2021,49.82,49.55,0.63,0.0,0.0,100.0
07/16/2021,49.85,49.56,0.6,0.0,0.0,100.01
07/19/2021,49.83,49.57,0.6,0.0,0.0,100.0
07/20/2021,49.84,49.56,0.6,0.0,0.0,100.0
07/21/2021,49.84,49.56,0.6,0.0,0.0,100.0
07/22/2021,49.84,49.56,0.6,0.0,0.0,100.0
07/23/2021,49.84,49.56,0.6,0.0,0.0,100.0
07/26/2021,49.98,49.72,0.29,0.0,0.0,99.99
07/27/2021,49.98,49.72,0.29,0.0,0.0,99.99
07/28/2021,49.98,49.72,0.29,0.0,0.0,99.99
07/29/2021,49.99,49.72,0.29,0.0,0.0,100.0
07/30/2021,50.04,49.75,0.2,0.0,0.0,99.99
08/02/2021,50.03,49.77,0.2,0.0,0.0,100.0
08/03/2021,50.03,49.77,0.2,0.0,0.0,100.0
08/04/2021,50.03,49.77,0.2,0.0,0.0,100.0
08/05/2021,50.03,49.77,0.2,0.0,0.0,100.0
08/06/2021,50.02,49.78,0.2,0.0,0.0,100.0
08/09/2021,50.0,49.8,0.0,0.2,0.0,100.0
08/10/2021,49.85,49.62,0.0,0.53,0.0,100.0
08/11/2021,49.85,49.62,0.0,0.53,0.0,100.0
08/13/2021,49.86,49.61,0.0,0.53,0.0,100.0
08/16/2021,49.86,49.64,0.0,0.5,0.0,100.0
08/17/2021,49.85,49.65,0.0,0.5,0.0,100.0
08/18/2021,49.85,49.65,0.0,0.5,0.0,100.0
08/19/2021,49.85,49.65,0.0,0.5,0.0,100.0
08/20/2021,49.86,49.64,0.0,0.5,0.0,100.0
08/23/2021,50.1,49.86,0.0,0.04,0.0,100.0
08/24/2021,50.1,49.89,0.0,0.01,0.0,100.0
08/25/2021,50.1,49.89,0.0,0.01,0.0,100.0
08/26/2021,50.1,49.89,0.0,0.01,0.0,100.0
08/27/2021,50.1,49.88,0.0,0.01,0.0,99.99
08/30/2021,50.1,49.89,0.0,0.01,0.0,100.0
08/31/2021,50.1,49.86,0.0,0.03,0.0,99.99
09/01/2021,50.1,49.86,0.0,0.03,0.0,99.99
09/02/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/03/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/06/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/07/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/08/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/09/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/10/2021,50.1,49.87,0.0,0.03,0.0,100.0
09/13/2021,49.93,49.71,0.0,0.36,0.0,100.0
09/14/2021,49.86,49.61,0.0,0.53,0.0,100.0
09/15/2021,49.86,49.61,0.0,0.53,0.0,100.0
09/16/2021,49.85,49.62,0.0,0.53,0.0,100.0
09/17/2021,49.84,49.63,0.0,0.53,0.0,100.0
09/20/2021,49.86,49.61,0.0,0.53,0.0,100.0
09/21/2021,49.89,49.63,0.0,0.48,0.0,100.0
09/22/2021,49.89,49.63,0.0,0.48,0.0,100.0
09/23/2021,49.89,49.63,0.0,0.48,0.0,100.0
09/24/2021,50.03,49.77,0.0,0.2,0.0,100.0
09/27/2021,50.02,49.78,0.0,0.2,0.0,100.0
09/28/2021,50.03,49.77,0.0,0.2,0.0,100.0
09/29/2021,50.03,49.77,0.0,0.2,0.0,100.0
09/30/2021,50.03,49.77,0.0,0.2,0.0,100.0
10/01/2021,50.03,49.77,0.0,0.2,0.0,100.0
10/04/2021,50.06,49.78,0.0,0.16,0.0,100.0
10/05/2021,50.05,49.79,0.0,0.16,0.0,100.0
10/06/2021,50.05,49.79,0.0,0.16,0.0,100.0
10/07/2021,50.05,49.79,0.0,0.16,0.0,100.0
10/08/2021,50.07,49.83,0.0,0.1,0.0,100.0
10/11/2021,50.09,49.85,0.0,0.06,0.0,100.0
10/12/2021,49.94,49.66,0.0,0.41,0.0,100.01
10/13/2021,49.94,49.66,0.0,0.41,0.0,100.01
10/14/2021,49.94,49.66,0.0,0.41,0.0,100.01
10/15/2021,49.93,49.67,0.0,0.41,0.0,100.01
10/18/2021,40.06,40.08,0.0,-0.04,19.9,100.0
10/19/2021,50.01,50.03,0.0,-0.04,0.0,100.0
10/20/2021,50.01,50.03,0.0,-0.04,0.0,100.0
10/21/2021,50.01,50.02,0.0,-0.03,0.0,100.0
10/22/2021,50.01,50.02,0.0,-0.03,0.0,100.0
10/25/2021,50.16,50.16,0.0,-0.33,0.0,99.99
10/26/2021,50.12,50.11,0.0,-0.23,0.0,100.0
10/27/2021,50.12,50.11,0.0,-0.23,0.0,100.0
10/28/2021,50.12,50.12,0.0,-0.24,0.0,100.0
10/29/2021,50.12,50.12,0.0,-0.24,0.0,100.0
11/01/2021,50.11,50.13,0.0,-0.24,0.0,100.0
11/02/2021,50.13,50.11,0.0,-0.24,0.0,100.0
11/03/2021,50.13,50.11,0.0,-0.24,0.0,100.0
11/04/2021,50.13,50.11,0.0,-0.24,0.0,100.0
11/05/2021,50.1,50.14,0.0,-0.24,0.0,100.0
11/08/2021,50.11,50.14,0.0,-0.25,0.0,100.0
11/09/2021,49.96,49.95,0.0,0.09,0.0,100.0
11/10/2021,49.96,49.95,0.0,0.09,0.0,100.0
11/11/2021,49.97,49.95,0.0,0.09,0.0,100.01
11/12/2021,49.97,49.95,0.0,0.09,0.0,100.01
11/15/2021,50.02,49.97,0.0,0.01,0.0,100.0
11/16/2021,50.02,49.97,0.0,0.01,0.0,100.0
11/17/2021,50.02,49.99,0.0,-0.01,0.0,100.0
11/18/2021,50.02,49.99,0.0,-0.01,0.0,100.0
11/19/2021,50.02,50.0,0.0,-0.01,0.0,100.01
11/22/2021,50.02,50.0,0.0,-0.01,0.0,100.01
11/23/2021,50.02,50.0,0.0,-0.01,0.0,100.01
11/24/2021,50.13,50.14,0.0,-0.27,0.0,100.0
11/25/2021,40.13,40.11,0.0,-0.3,20.06,100.0
11/26/2021,40.13,40.11,0.0,-0.3,20.06,100.0
11/29/2021,30.18,30.18,0.0,-0.6,40.23,99.99
11/30/2021,19.94,19.95,0.0,-0.57,60.68,100.0
12/01/2021,19.94,19.95,0.0,-0.57,60.68,100.0
12/02/2021,19.94,19.95,0.0,-0.57,60.68,100.0
12/06/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/07/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/08/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/09/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/10/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/13/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/14/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/15/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/16/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/17/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/20/2021,10.06,10.06,0.0,-0.61,80.49,100.0
12/21/2021,49.55,49.72,0.0,0.73,0.0,100.0
12/22/2021,49.55,49.72,0.0,0.73,0.0,100.0
12/23/2021,49.87,50.01,0.0,0.11,0.0,99.99
12/24/2021,49.87,50.01,0.0,0.11,0.0,99.99
12/27/2021,49.74,49.88,0.0,0.39,0.0,100.01
12/28/2021,49.74,49.88,0.0,0.39,0.0,100.01
12/29/2021,49.74,49.88,0.0,0.39,0.0,100.01
12/30/2021,49.72,49.89,0.0,0.39,0.0,100.0
12/31/2021,49.74,49.9,0.0,0.35,0.0,99.99
01/03/2022,49.74,49.92,0.0,0.34,0.0,100.0
01/03/2022,49.74,49.92,0.0,0.34,0.0,100.0
01/03/2022,49.74,49.92,0.0,0.34,0.0,100.0
01/04/2022,49.74,49.92,0.0,0.34,0.0,100.0
01/05/2022,49.74,49.92,0.0,0.34,0.0,100.0
01/06/2022,49.74,49.92,0.0,0.34,0.0,100.0
01/07/2022,49.77,49.89,0.0,0.34,0.0,100.0
01/10/2022,49.8,49.92,0.0,0.28,0.0,100.0
01/11/2022,39.89,39.87,0.0,0.28,19.96,100.0
01/12/2022,39.89,39.87,0.0,0.28,19.96,100.0
01/13/2022,30.02,30.03,0.0,-0.04,40.0,100.01
01/14/2022,19.95,19.95,0.0,0.54,59.56,100.0
01/17/2022,19.91,19.89,0.0,0.57,59.63,100.0
01/18/2022,29.86,29.85,0.0,0.57,39.71,99.98999999999998
