,CTE ? PROSHARES TRUST M,B 0 04/22/21,B 0 05/27/21,B 0 07/15/21,B 0 07/29/21,TBILL,B 0 04/15/21,B 0 05/20/21,U.S. DOLLAR FOR FUTURES,CASH,NASDAQ 100 Index SWAP Goldman Sachs International,NASDAQ 100 Index SWAP JPMorgan Securities?,B 0 10/08/20,B 0 07/02/20,CMB 0 09/22/20,CMB,B 0 12/03/20,B 0 06/04/20,B 0 06/11/20,B 0 06/18/20,B 0 06/25/20,B 0 07/09/20,B 0 11/12/20,B 0 10/01/20,B 0 10/29/20,B 0 07/16/20,B 0 10/22/20,B 0 08/13/20,B 0 10/15/20,B 0 09/03/20,B 0 09/10/20,B 0 08/27/20,B 0 03/18/21,B 0 03/04/21,B 0 02/18/21,LEHMAN SWAP PAYBLE,NASDAQ 100 E-MINI EQUITY INDEX 18/DEC/2020 NQZ0,NASDAQ 100 E-MINI EQUITY INDEX 18/SEP/2020 NQU0,NASDAQ 100 E-MINI EQUITY INDEX 19/JUN/2020 NQM0,NASDAQ 100 E-MINI EQUITY INDEX 19/MAR/2021 NQH1,NASDAQ 100 Index SWAP Deutsche Bank AG,XIB 0 08/11/20,PowerShares QQQ  QQQ  SWAP Deutsche Bank AG,PowerShares QQQ  QQQ  SWAP Goldman Sachs Internati,PowerShares QQQ  QQQ  SWAP Morgan Stanley & Co. In,U.S. DOLLAR,UNITS,US SDOLLAR CALL A/C,B 0 01/21/21,B 0 02/11/21,NASDAQ 100 E-MINI EQUITY INDEX 18/JUN/2021 NQM1,NASDAQ 100 Index SWAP Citibank NA,NASDAQ 100 Index SWAP Morgan Stanley & Co. Interna,NASDAQ 100 Index SWAP Credit Suisse International,NASDAQ 100 Index SWAP Societe Generale,NASDAQ 100 Index SWAP BNP Paribas,NASDAQ 100 Index SWAP Bank of America NA,NASDAQ 100 Index SWAP UBS AG,SUM
07/09/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/12/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/13/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/14/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/15/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/16/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/19/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/20/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/21/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/22/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
07/23/2021,45.21,11.18,11.18,11.18,11.18,11.18,4.47,4.47,0.73,0.71,0.68,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.33,-0.38,-0.42,-0.87,-3.13,-3.52,-3.87,100.13
