,Cash,Ishares Msci Eafe (Efa) Swap Ubs Ag - Cash Offset,Ishares Msci Eafe (Efa) Swap Goldman Sachs International - Cash Offset,Ishares Msci Eafe (Efa) Swap Citibank Na - Cash Offset,Ishares Msci Eafe (Efa) Swap Societe Generale - Cash Offset,Ishares Msci Eafe (Efa) Swap Societe Generale,Ishares Msci Eafe (Efa) Swap Citibank Na,Ishares Msci Eafe (Efa) Swap Goldman Sachs International,Ishares Msci Eafe (Efa) Swap Ubs Ag,SUM
07/09/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/12/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/13/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/14/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/15/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/16/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/19/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/20/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/21/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/22/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/23/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/26/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/27/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000004
07/28/2021,100.0,90.35,66.28,27.6,16.22,-16.22,-27.6,-66.28,-90.35,100.00000000000003
