,Cash,Gold 100 Oz Futr Aug21 - Cash Offset,Bloomberg Gold Subindex Swap - Citibank Na - Cash Offset,Bloomberg Gold Subindex Swap - Ubs Ag - Cash Offset,Bloomberg Gold Subindex Swap - Goldman Sachs - Cash Offset,Bloomberg Gold Subindex Swap - Goldman Sachs,Bloomberg Gold Subindex Swap - Ubs Ag,Bloomberg Gold Subindex Swap - Citibank Na,Gold 100 Oz Futr Aug21,Gold 100 Oz Futr Dec21 - Cash Offset,Gold 100 oz Dec21,SUM
07/09/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/12/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/13/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/14/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/15/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/16/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/19/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/20/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/21/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/22/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/23/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/26/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/27/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/28/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/29/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
07/30/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
08/02/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
08/03/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
08/04/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
08/05/2021,100.0,91.19,44.68,34.96,29.23,-29.23,-34.96,-44.68,-91.19,0.0,0.0,100.0
08/06/2021,100.0,0.0,57.11,44.68,37.36,-37.36,-44.68,-57.11,0.0,60.82,-60.82,100.00000000000003
