,2TLT  210930C00000290,2TLT  210930P00137130,Cash&Other,2TLT  210930C00147670,2TLT  211231C00000280,2TLT  211231P00137050,2TLT  211231C00152550,SUM
07/09/2021,101.57,0.77,0.05,-2.39,0.0,0.0,0.0,100.0
07/12/2021,101.61,0.89,0.04,-2.54,0.0,0.0,0.0,100.0
07/13/2021,101.61,0.89,0.04,-2.54,0.0,0.0,0.0,100.0
07/14/2021,101.61,0.89,0.04,-2.54,0.0,0.0,0.0,100.0
07/15/2021,101.5,0.86,0.04,-2.39,0.0,0.0,0.0,100.01
07/16/2021,100.96,1.02,0.03,-2.01,0.0,0.0,0.0,100.0
07/19/2021,102.38,0.63,0.02,-3.04,0.0,0.0,0.0,99.98999999999998
07/20/2021,102.39,0.45,0.2,-3.04,0.0,0.0,0.0,100.0
07/21/2021,102.39,0.45,0.2,-3.04,0.0,0.0,0.0,100.0
07/22/2021,103.73,0.48,0.19,-4.4,0.0,0.0,0.0,100.0
07/23/2021,103.04,0.6,0.19,-3.83,0.0,0.0,0.0,100.0
07/26/2021,102.64,0.54,0.18,-3.37,0.0,0.0,0.0,99.99
07/27/2021,102.25,0.61,0.18,-3.04,0.0,0.0,0.0,100.0
07/28/2021,102.25,0.61,0.18,-3.04,0.0,0.0,0.0,100.0
07/29/2021,102.04,0.66,0.18,-2.87,0.0,0.0,0.0,100.01
07/30/2021,102.7,0.58,0.18,-3.45,0.0,0.0,0.0,100.01
08/02/2021,102.34,0.41,0.17,-2.92,0.0,0.0,0.0,100.0
08/03/2021,102.61,0.43,0.16,-3.21,0.0,0.0,0.0,99.99
08/04/2021,102.61,0.43,0.16,-3.21,0.0,0.0,0.0,99.99
08/05/2021,103.24,0.36,0.16,-3.76,0.0,0.0,0.0,100.0
08/06/2021,103.2,0.36,0.16,-3.72,0.0,0.0,0.0,100.0
08/10/2021,101.74,0.44,0.15,-2.33,0.0,0.0,0.0,100.0
08/11/2021,101.74,0.44,0.15,-2.33,0.0,0.0,0.0,100.0
08/12/2021,101.54,0.46,0.15,-2.15,0.0,0.0,0.0,100.0
08/13/2021,101.3,0.48,0.15,-1.93,0.0,0.0,0.0,100.0
08/16/2021,101.01,0.38,0.14,-1.54,0.0,0.0,0.0,99.99
08/17/2021,101.91,0.23,0.13,-2.28,0.0,0.0,0.0,99.99
08/18/2021,101.91,0.23,0.13,-2.28,0.0,0.0,0.0,99.99
08/19/2021,102.06,0.26,0.13,-2.45,0.0,0.0,0.0,100.0
08/20/2021,102.01,0.2,0.13,-2.33,0.0,0.0,0.0,100.01
08/23/2021,102.6,0.17,0.12,-2.9,0.0,0.0,0.0,99.99
08/24/2021,102.75,0.12,0.12,-2.99,0.0,0.0,0.0,100.0
08/25/2021,102.75,0.12,0.12,-2.99,0.0,0.0,0.0,100.0
08/26/2021,102.65,0.09,0.12,-2.86,0.0,0.0,0.0,100.0
08/27/2021,102.27,0.09,0.03,-2.39,0.0,0.0,0.0,100.0
08/30/2021,101.79,0.18,0.03,-2.0,0.0,0.0,0.0,100.0
08/31/2021,102.04,0.18,0.02,-2.25,0.0,0.0,0.0,99.99
09/01/2021,102.04,0.18,0.02,-2.25,0.0,0.0,0.0,99.99
09/02/2021,102.38,0.03,0.07,-2.49,0.0,0.0,0.0,99.99
09/03/2021,101.7,0.1,0.07,-1.88,0.0,0.0,0.0,99.99
09/06/2021,102.02,0.07,0.06,-2.16,0.0,0.0,0.0,99.99
09/07/2021,101.39,0.1,0.06,-1.55,0.0,0.0,0.0,100.0
09/08/2021,101.39,0.1,0.06,-1.55,0.0,0.0,0.0,100.0
09/09/2021,101.39,0.1,0.06,-1.55,0.0,0.0,0.0,100.0
09/10/2021,100.85,0.1,0.06,-1.01,0.0,0.0,0.0,100.0
09/13/2021,101.89,0.04,-0.04,-1.89,0.0,0.0,0.0,100.0
09/14/2021,101.28,0.04,-0.04,-1.28,0.0,0.0,0.0,100.0
09/15/2021,101.28,0.04,-0.04,-1.28,0.0,0.0,0.0,100.0
09/16/2021,101.7,0.02,-0.04,-1.68,0.0,0.0,0.0,100.0
09/17/2021,102.7,0.02,-0.05,-2.67,0.0,0.0,0.0,100.0
09/20/2021,101.96,0.0,-0.05,-1.91,0.0,0.0,0.0,100.0
09/21/2021,101.69,0.0,-0.06,-1.64,0.0,0.0,0.0,99.99
09/22/2021,101.69,0.0,-0.06,-1.64,0.0,0.0,0.0,99.99
09/23/2021,102.65,0.01,-0.06,-2.6,0.0,0.0,0.0,100.0
09/24/2021,102.55,0.01,-0.06,-2.5,0.0,0.0,0.0,100.0
09/27/2021,101.15,0.01,-0.07,-1.1,0.0,0.0,0.0,99.99000000000002
09/28/2021,100.54,0.01,-0.07,-0.48,0.0,0.0,0.0,100.0
09/29/2021,100.54,0.01,-0.07,-0.48,0.0,0.0,0.0,100.0
09/30/2021,100.33,0.0,-0.07,-0.26,0.0,0.0,0.0,100.0
10/01/2021,100.13,0.01,-0.08,-0.06,0.0,0.0,0.0,100.0
10/04/2021,0.0,0.0,0.2,0.0,99.01,1.34,-0.62,99.93
10/05/2021,0.0,0.0,0.19,0.0,99.72,1.14,-1.05,100.0
10/06/2021,0.0,0.0,0.19,0.0,99.72,1.14,-1.05,100.0
10/07/2021,0.0,0.0,0.18,0.0,99.61,1.13,-0.93,99.99
10/08/2021,0.0,0.0,0.18,0.0,99.23,1.37,-0.79,99.99
10/11/2021,0.0,0.0,0.18,0.0,99.45,1.25,-0.87,100.01
10/12/2021,0.0,0.0,0.17,0.0,98.76,1.63,-0.56,100.0
10/13/2021,0.0,0.0,0.17,0.0,98.76,1.63,-0.56,100.0
10/14/2021,0.0,0.0,0.17,0.0,98.69,1.67,-0.54,99.99
10/15/2021,0.0,0.0,0.16,0.0,99.38,1.15,-0.7,99.99
10/18/2021,0.0,0.0,0.15,0.0,99.89,0.83,-0.88,99.99
10/19/2021,0.0,0.0,0.15,0.0,99.67,0.97,-0.8,99.99
10/20/2021,0.0,0.0,0.15,0.0,99.67,0.97,-0.8,99.99
10/21/2021,0.0,0.0,0.15,0.0,99.87,0.85,-0.88,99.99
10/22/2021,0.0,0.0,0.15,0.0,99.31,1.16,-0.62,100.0
10/25/2021,0.0,0.0,0.14,0.0,98.96,1.4,-0.5,100.0
10/26/2021,0.0,0.0,0.14,0.0,99.45,1.08,-0.67,100.0
10/27/2021,0.0,0.0,0.14,0.0,99.45,1.08,-0.67,100.0
10/28/2021,0.0,0.0,0.14,0.0,99.42,0.99,-0.55,100.0
10/29/2021,0.0,0.0,0.13,0.0,99.65,0.82,-0.61,99.99
11/01/2021,0.0,0.0,0.12,0.0,100.12,0.61,-0.86,99.99
11/02/2021,0.0,0.0,0.12,0.0,100.3,0.57,-1.0,99.99
