,FB,CMCSA,NFLX,DIS,CHTR,VZ,EA,ATVI,TMUS,GOOGL,GOOG,T,OMC,LBRDK,LUMN,IPG,MTCH,NLSN,TWTR,DISCK,FOXA,IAC,SNAP,TTWO,VIAC,DISH,PINS,NXST,CABO,SPOT,NWSA,FWONK,LYV,ZNGA,DISCA,LSXMK,ATUS,VMEO,DT,FOX,SIRI,Z,Jh Collateral,Ssc Government Mm Gvmxx,NYT,LBRDA,WMG,LSXMA,UPWK,NWS,TRIP,ZG,FWONA,ANGI,VIACA,Us Dollar,7839989D1010,SUM
07/09/2021,7.78,5.99,5.57,5.26,4.39,4.37,3.98,3.97,3.55,3.48,3.43,3.18,2.86,2.86,2.85,2.12,1.95,1.73,1.58,1.53,1.53,1.49,1.46,1.46,1.37,1.27,1.27,1.26,1.14,1.08,1.06,1.05,1.02,1.0,0.87,0.8,0.75,0.74,0.7,0.69,0.61,0.57,0.57,0.57,0.51,0.47,0.41,0.4,0.37,0.34,0.24,0.18,0.16,0.1,0.04,0.0,0.0,99.98
10/04/2021,8.0,6.46,5.56,5.39,4.65,4.46,4.12,3.57,3.62,3.94,3.76,3.18,2.73,3.0,2.64,2.42,1.98,1.7,1.66,1.47,1.46,1.36,1.69,1.46,1.25,1.31,0.97,1.27,1.17,0.93,1.05,1.02,0.94,0.96,0.85,0.8,0.69,0.72,0.77,0.65,0.62,0.5,0.0,0.0,0.52,0.5,0.44,0.4,0.35,0.34,0.23,0.16,0.16,0.09,0.04,0.0,0.09,100.07000000000001
