,NPN.JO,FSR.JO,IMP.JO,MTN.JO,SSW.JO,SBK.JO,CPI.JO,SOL.JO,GFI.JO,ANG.JO,SLM.JO,BID.JO,ABG.JO,AMS.JO,VOD.JO,NHM.JO,SHP.JO,NED.JO,OMU.JO,APN.JO,REM.JO,CLS.JO,BVT.JO,GRT.JO,WHL.JO,MRP.JO,DSY.JO,NRP.JO,MCG.JO,KIO.JO,EXX.JO,REIN.,TBS.JO,SPP.JO,HAR.JO,ARI.JO,RMI.JO,ZAR,XTSLA,HBCFT,EUR,AIU1,USD,NPH.JO,AIZ1,SUM
07/09/2021,21.2,6.23,4.71,4.31,4.1,4.03,3.34,3.07,2.95,2.9,2.82,2.76,2.45,2.31,2.12,2.09,2.07,1.72,1.67,1.67,1.65,1.64,1.51,1.48,1.45,1.45,1.39,1.3,1.25,1.22,1.2,1.13,1.03,1.03,0.89,0.88,0.77,0.22,0.05,0.02,0.0,0.0,0.0,0.0,0.0,100.08
07/12/2021,20.91,6.43,4.54,4.32,4.01,4.11,3.3,2.98,2.86,2.88,2.79,2.8,2.52,2.29,2.15,2.02,2.14,1.75,1.68,1.74,1.67,1.72,1.55,1.52,1.5,1.49,1.4,1.3,1.18,1.23,1.24,1.13,1.06,1.04,0.87,0.88,0.77,0.22,0.05,0.02,0.0,0.0,0.0,0.0,0.0,100.06
07/13/2021,20.91,6.43,4.54,4.32,4.01,4.11,3.3,2.98,2.86,2.88,2.79,2.8,2.52,2.29,2.15,2.02,2.14,1.75,1.68,1.74,1.67,1.72,1.55,1.52,1.5,1.49,1.4,1.3,1.18,1.23,1.24,1.13,1.06,1.04,0.87,0.88,0.77,0.22,0.05,0.02,0.0,0.0,0.0,0.0,0.0,100.06
07/14/2021,20.64,6.48,4.52,4.39,4.05,4.25,3.29,3.13,2.84,2.86,2.77,2.76,2.58,2.27,2.12,2.0,2.08,1.79,1.67,1.74,1.66,1.7,1.53,1.51,1.51,1.51,1.4,1.29,1.19,1.26,1.28,1.12,1.03,1.03,0.86,0.91,0.77,0.22,0.05,0.02,0.0,0.0,0.0,0.0,0.0,100.08
07/15/2021,20.64,6.48,4.52,4.39,4.05,4.25,3.29,3.13,2.84,2.86,2.77,2.76,2.58,2.27,2.12,2.0,2.08,1.79,1.67,1.74,1.66,1.7,1.53,1.51,1.51,1.51,1.4,1.29,1.19,1.26,1.28,1.12,1.03,1.03,0.86,0.91,0.77,0.22,0.05,0.02,0.0,0.0,0.0,0.0,0.0,100.08
07/16/2021,21.24,6.15,4.8,4.27,4.13,3.99,3.15,3.14,3.01,3.0,2.7,2.75,2.41,2.34,2.15,2.12,2.01,1.69,1.64,1.78,1.61,1.69,1.46,1.43,1.43,1.4,1.37,1.28,1.22,1.28,1.3,1.17,1.04,0.99,0.93,0.94,0.78,0.22,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.03
07/19/2021,21.85,6.1,4.79,4.3,4.14,3.91,3.1,2.97,3.01,2.96,2.68,2.72,2.41,2.36,2.13,2.11,2.02,1.64,1.64,1.76,1.59,1.69,1.44,1.37,1.44,1.41,1.34,1.24,1.21,1.31,1.3,1.16,1.04,0.99,0.92,0.94,0.78,0.22,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/20/2021,21.85,6.1,4.79,4.3,4.14,3.91,3.1,2.97,3.01,2.96,2.68,2.72,2.41,2.36,2.13,2.11,2.02,1.64,1.64,1.76,1.59,1.69,1.44,1.37,1.44,1.41,1.34,1.24,1.21,1.31,1.3,1.16,1.04,0.99,0.92,0.94,0.78,0.22,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.01
07/22/2021,22.38,6.15,4.48,4.36,3.86,3.83,3.15,2.93,3.02,2.97,2.7,2.68,2.43,2.23,2.18,1.98,2.1,1.66,1.63,1.77,1.59,1.71,1.47,1.42,1.48,1.44,1.35,1.25,1.24,1.28,1.26,1.14,1.03,1.01,0.94,0.92,0.77,0.23,0.0,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/27/2021,22.5,6.07,4.51,4.34,4.03,3.86,3.17,3.01,2.95,2.9,2.65,2.66,2.43,2.29,2.14,2.0,2.03,1.66,1.62,1.74,1.56,1.71,1.52,1.37,1.48,1.49,1.34,1.21,1.27,1.28,1.25,1.12,1.01,0.99,0.93,0.93,0.78,0.19,0.03,0.02,0.0,0.0,0.0,0.0,0.0,100.04
07/29/2021,20.76,6.17,4.82,4.39,4.23,3.86,3.22,3.13,3.03,2.99,2.66,2.72,2.45,2.51,2.15,2.12,2.04,1.66,1.63,1.77,1.56,1.72,1.53,1.4,1.48,1.46,1.35,1.22,1.29,1.33,1.29,1.17,0.98,1.01,0.95,0.97,0.78,0.21,0.03,0.02,0.0,0.0,0.0,0.0,0.0,100.06
08/06/2021,19.33,6.32,4.97,4.67,4.24,3.96,3.33,3.03,3.11,2.96,2.66,2.7,2.52,2.56,2.25,2.07,2.12,1.74,1.64,1.83,1.59,1.77,1.6,1.39,1.53,1.52,1.32,1.19,1.29,1.42,1.28,1.15,0.97,1.04,0.95,1.01,0.78,0.19,0.06,0.02,0.0,0.0,0.0,0.0,0.0,100.08
08/16/2021,20.93,6.44,4.54,4.89,4.04,4.08,3.38,3.01,2.73,2.31,2.69,2.66,2.67,2.18,2.19,1.96,2.11,1.75,1.68,1.82,1.57,1.81,1.55,1.43,1.56,1.57,1.35,1.19,1.27,1.35,1.25,1.14,0.92,1.07,0.8,0.98,0.77,0.36,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.03
08/19/2021,19.18,6.74,4.51,5.29,4.13,4.19,3.49,2.84,2.86,2.39,2.79,2.71,2.7,2.2,2.24,1.95,2.16,1.78,1.7,1.87,1.6,1.86,1.58,1.42,1.59,1.65,1.42,1.19,1.28,1.32,1.25,1.14,0.93,1.09,0.84,0.97,0.79,0.35,0.0,0.03,0.0,0.0,0.0,0.0,0.0,100.02
08/20/2021,9.87,7.49,5.12,6.06,4.76,4.75,4.02,3.26,3.26,2.78,3.17,3.08,3.04,2.52,2.58,2.24,2.45,1.97,1.9,2.11,1.82,2.11,1.79,1.62,1.85,1.84,1.59,1.32,1.43,1.53,1.45,1.3,1.05,1.25,0.97,1.1,0.9,0.0,0.0,0.03,0.0,0.0,-0.02,0.0,0.0,101.36
08/26/2021,9.45,7.58,4.66,5.98,4.41,4.89,4.1,3.22,3.32,2.76,3.19,3.0,3.09,2.39,2.55,2.07,2.55,1.97,1.98,2.12,1.83,2.11,1.78,1.6,1.81,1.73,1.59,1.41,1.33,1.25,1.37,1.25,1.03,1.25,0.99,0.97,0.88,0.23,0.12,0.05,0.0,0.0,0.17,0.0,0.0,100.03
08/27/2021,9.67,7.45,4.63,5.97,4.38,4.98,4.12,3.39,3.35,2.75,3.15,2.98,3.08,2.37,2.52,2.02,2.59,1.98,1.99,2.11,1.82,2.1,1.76,1.58,1.79,1.72,1.57,1.4,1.3,1.26,1.36,1.22,1.01,1.24,0.96,0.96,0.87,0.24,0.12,0.05,0.0,0.0,0.16,0.0,0.0,99.96999999999998
08/30/2021,9.86,7.53,4.6,5.88,4.27,5.07,4.09,3.37,3.26,2.71,3.19,2.97,3.13,2.32,2.53,1.97,2.56,2.0,2.02,2.14,1.86,2.12,1.77,1.57,1.79,1.72,1.58,1.39,1.3,1.27,1.37,1.25,1.0,1.24,0.93,0.95,0.85,0.24,0.12,0.05,0.0,0.0,0.16,0.0,0.0,100.0
08/31/2021,9.74,7.57,4.67,5.83,4.37,5.01,4.1,3.4,3.3,2.74,3.14,2.95,3.14,2.42,2.5,2.01,2.52,1.99,1.99,2.14,1.85,2.13,1.73,1.55,1.88,1.67,1.53,1.39,1.3,1.28,1.4,1.22,0.99,1.23,0.96,0.95,0.84,0.25,0.12,0.05,0.0,0.0,0.15,0.0,0.0,100.0
09/01/2021,9.74,7.57,4.67,5.83,4.37,5.01,4.1,3.4,3.3,2.74,3.14,2.95,3.14,2.42,2.5,2.01,2.52,1.99,1.99,2.14,1.85,2.13,1.73,1.55,1.88,1.67,1.53,1.39,1.3,1.28,1.4,1.22,0.99,1.23,0.96,0.95,0.84,0.25,0.12,0.05,0.0,0.0,0.15,0.0,0.0,100.0
09/02/2021,9.53,7.59,4.61,5.89,4.32,5.05,4.09,3.44,3.22,2.72,3.19,2.94,3.09,2.38,2.55,1.99,2.57,1.99,2.0,2.15,1.86,2.15,1.74,1.57,1.86,1.68,1.54,1.4,1.31,1.31,1.44,1.23,1.01,1.26,0.95,0.97,0.85,0.24,0.11,0.05,0.0,0.0,0.15,0.0,0.0,99.99
09/03/2021,14.09,8.15,4.63,5.9,4.31,5.03,4.01,3.3,3.16,2.66,3.18,2.8,2.97,2.28,2.41,1.86,2.41,1.84,1.89,1.98,1.67,1.94,1.55,1.39,1.66,1.45,1.45,1.17,1.13,1.1,1.21,1.01,0.83,1.04,0.77,0.76,0.63,0.1,0.11,0.05,0.0,0.0,0.14,0.0,0.0,100.02
09/06/2021,14.98,8.37,4.31,5.77,4.18,4.95,3.98,3.3,3.06,2.65,3.2,2.77,2.91,2.13,2.37,1.75,2.41,1.83,2.01,2.06,1.67,1.97,1.52,1.39,1.64,1.43,1.39,1.18,1.13,1.08,1.21,1.02,0.83,1.04,0.73,0.73,0.63,0.11,0.11,0.04,0.0,0.0,0.14,0.0,0.0,99.98
09/07/2021,14.81,8.24,4.38,5.83,4.21,4.96,3.94,3.31,3.16,2.72,3.18,2.78,2.89,2.21,2.38,1.8,2.43,1.82,1.97,2.01,1.66,1.96,1.52,1.37,1.63,1.41,1.4,1.17,1.13,1.09,1.24,1.01,0.84,1.04,0.74,0.73,0.63,0.11,0.11,0.04,0.0,0.0,0.14,0.0,0.0,100.0
09/08/2021,14.81,8.24,4.38,5.83,4.21,4.96,3.94,3.31,3.16,2.72,3.18,2.78,2.89,2.21,2.38,1.8,2.43,1.82,1.97,2.01,1.66,1.96,1.52,1.37,1.63,1.41,1.4,1.17,1.13,1.09,1.24,1.01,0.84,1.04,0.74,0.73,0.63,0.11,0.11,0.04,0.0,0.0,0.14,0.0,0.0,100.0
09/09/2021,15.34,8.23,4.21,5.88,4.1,5.02,4.01,3.27,3.15,2.63,3.19,2.74,2.93,2.13,2.38,1.75,2.4,1.85,1.98,2.08,1.66,1.97,1.54,1.36,1.66,1.43,1.4,1.19,1.13,1.08,1.24,1.01,0.84,1.04,0.72,0.71,0.62,0.11,0.11,0.04,0.0,0.0,0.14,0.0,0.0,100.27
09/10/2021,15.59,8.18,4.22,5.79,4.08,4.97,4.1,3.23,3.07,2.59,3.16,2.73,2.9,2.16,2.36,1.77,2.46,1.84,1.94,2.05,1.64,1.96,1.51,1.34,1.66,1.45,1.38,1.18,1.12,1.08,1.22,1.0,0.82,1.04,0.69,0.72,0.62,0.11,0.11,0.04,0.0,0.0,0.13,0.0,0.0,100.01
09/13/2021,14.59,8.29,4.0,5.74,3.97,5.09,4.24,3.41,2.99,2.52,3.23,2.78,2.97,2.05,2.42,1.71,2.51,1.86,1.99,2.28,1.69,2.05,1.54,1.38,1.69,1.45,1.45,1.17,1.09,1.1,1.26,1.0,0.84,1.07,0.67,0.73,0.65,0.25,0.12,0.04,0.0,0.0,0.13,0.0,0.0,100.01
09/14/2021,14.44,8.28,3.92,5.86,3.94,5.09,4.22,3.48,2.96,2.52,3.19,2.85,2.99,2.02,2.41,1.74,2.5,1.86,2.0,2.35,1.7,2.06,1.5,1.38,1.68,1.44,1.45,1.17,1.06,1.12,1.27,1.0,0.85,1.07,0.68,0.75,0.65,0.23,0.12,0.05,0.0,0.0,0.13,0.0,0.0,99.98
09/15/2021,14.44,8.28,3.92,5.86,3.94,5.09,4.22,3.48,2.96,2.52,3.19,2.85,2.99,2.02,2.41,1.74,2.5,1.86,2.0,2.35,1.7,2.06,1.5,1.38,1.68,1.44,1.45,1.17,1.06,1.12,1.27,1.0,0.85,1.07,0.68,0.75,0.65,0.23,0.12,0.05,0.0,0.0,0.13,0.0,0.0,99.98
09/16/2021,14.11,8.24,4.0,5.88,3.97,5.11,4.2,3.72,2.98,2.55,3.17,2.8,2.98,2.1,2.4,1.79,2.49,1.84,2.02,2.4,1.7,2.06,1.49,1.37,1.67,1.43,1.43,1.16,1.06,1.1,1.28,0.99,0.84,1.07,0.7,0.74,0.65,0.23,0.11,0.05,0.0,0.0,0.13,0.0,0.0,100.01
09/17/2021,14.13,8.36,3.83,5.82,3.88,5.21,4.22,3.63,3.08,2.56,3.22,2.83,2.98,1.98,2.4,1.69,2.49,1.85,2.06,2.47,1.72,2.05,1.53,1.38,1.63,1.41,1.51,1.19,1.09,1.07,1.3,1.0,0.85,1.06,0.73,0.72,0.65,0.23,0.03,0.05,0.0,0.0,0.21,0.0,0.0,100.1
09/20/2021,14.21,8.35,3.83,5.83,3.66,5.0,4.22,3.69,2.91,2.48,3.26,2.92,2.87,1.97,2.42,1.72,2.51,1.8,2.01,2.47,1.75,2.03,1.55,1.36,1.64,1.42,1.52,1.21,1.1,1.03,1.33,1.05,0.84,1.07,0.69,0.69,0.65,0.61,0.07,0.09,0.0,0.0,0.17,0.0,0.0,100.0
09/24/2021,14.33,8.29,3.67,6.03,3.73,4.88,4.15,3.58,2.99,2.61,3.19,2.93,2.77,1.94,2.5,0.0,2.58,1.74,1.95,2.56,1.85,2.07,1.53,1.33,1.64,1.42,1.48,1.22,1.17,0.92,1.2,1.05,0.85,1.08,0.74,0.65,0.75,0.9,0.27,0.07,0.0,0.0,0.0,1.67,0.0,100.28
