,ENPH,SEDG,300274 C2,601012 C1,002129 C2,002459 C2,RUN,DQ,968.HK,000591 C2,009830.KS,NOVA,300724 C2,SHLS,JKS,6865 HK,SPWR,AY,002610 C2,SCATC.OL,ARRY,601778 C1,CSIQ,ECV.DE,300118 C2,3576.TW,MBTN.SW,3868.HK,AZRE,SOL,S92.DE,MAXN,4934.TW,6443.TW,6244 TT,6125 TT,SOL.MC,SLVEST.KL,BEEM,451.HK,SSP-R TB,FTCI,3150.T,SPK.MC,SOLT.ST,322000.KS,ESEN.E.IS,438.HK,SUNW,3856.T,n/a,SUM
11/03/2021,9.05,8.35,7.72,7.66,7.45,5.98,4.78,4.07,3.95,3.24,3.0,2.76,2.63,2.27,2.25,2.03,1.97,1.71,1.62,1.58,1.48,1.44,1.42,1.41,1.35,0.88,0.86,0.74,0.66,0.46,0.4,0.36,0.31,0.3,0.29,0.29,0.28,0.28,0.27,0.26,0.26,0.25,0.25,0.24,0.24,0.2,0.2,0.19,0.19,0.17,0.03,100.03
11/04/2021,9.28,8.43,7.7,7.8,7.0,6.27,4.78,3.89,3.8,3.3,2.81,2.71,2.61,2.37,2.12,1.95,1.96,1.72,1.77,1.63,1.57,1.37,1.39,1.39,1.34,0.96,0.88,0.71,0.67,0.49,0.4,0.38,0.33,0.31,0.29,0.28,0.3,0.27,0.3,0.25,0.25,0.26,0.23,0.24,0.23,0.2,0.2,0.19,0.2,0.17,0.03,99.98
11/05/2021,9.43,8.5,7.73,7.96,6.77,6.68,4.86,3.61,3.79,3.16,2.89,2.6,2.62,2.35,2.05,1.88,1.93,1.75,1.75,1.61,1.56,1.37,1.35,1.41,1.36,0.94,0.88,0.71,0.65,0.47,0.39,0.35,0.31,0.34,0.3,0.28,0.29,0.28,0.3,0.25,0.27,0.25,0.24,0.25,0.24,0.2,0.2,0.2,0.2,0.18,0.05,99.99
11/09/2021,9.67,8.42,7.59,7.4,7.17,6.34,4.89,3.7,3.54,3.05,2.75,2.73,3.0,2.44,2.22,1.85,1.95,1.76,1.68,1.59,1.62,1.36,1.38,1.37,1.49,0.9,0.87,0.69,0.67,0.47,0.38,0.4,0.31,0.35,0.32,0.29,0.27,0.28,0.31,0.24,0.26,0.26,0.25,0.25,0.26,0.2,0.2,0.19,0.19,0.19,0.06,100.01999999999998
11/10/2021,9.72,8.48,7.65,7.38,7.14,6.34,4.87,3.6,3.57,2.89,2.78,2.72,3.11,2.47,2.21,1.88,1.99,1.8,1.55,1.63,1.63,1.25,1.37,1.39,1.49,0.9,0.89,0.7,0.67,0.47,0.37,0.39,0.31,0.35,0.32,0.29,0.28,0.29,0.3,0.24,0.26,0.28,0.26,0.25,0.26,0.2,0.2,0.18,0.19,0.19,0.06,100.01000000000002
11/11/2021,9.77,8.53,7.69,7.45,7.07,6.4,4.99,3.63,3.52,2.86,2.77,2.74,2.91,2.5,2.21,1.79,1.95,1.78,1.53,1.62,1.57,1.31,1.36,1.42,1.51,0.89,0.91,0.68,0.67,0.49,0.38,0.38,0.3,0.35,0.32,0.29,0.28,0.28,0.35,0.23,0.26,0.27,0.25,0.25,0.28,0.19,0.2,0.18,0.2,0.18,0.05,99.99000000000002
11/12/2021,9.69,8.58,7.83,7.57,7.09,6.27,4.81,3.61,3.59,2.89,2.75,2.71,2.92,2.47,2.16,1.81,1.92,1.79,1.62,1.6,1.55,0.98,1.35,1.39,1.49,0.9,0.92,0.69,0.66,0.47,0.38,0.37,0.31,0.38,0.32,0.29,0.28,0.27,0.32,0.23,0.26,0.26,0.25,0.25,0.28,0.19,0.21,0.19,0.19,0.19,0.49,99.98999999999998
11/15/2021,10.02,8.66,7.8,7.71,6.83,6.28,4.94,3.79,3.55,2.82,2.63,2.83,2.44,2.45,2.35,1.81,1.91,1.78,1.65,1.54,1.57,1.34,1.43,1.36,1.65,0.85,0.88,0.68,0.65,0.48,0.42,0.37,0.29,0.35,0.3,0.28,0.27,0.28,0.3,0.22,0.26,0.25,0.26,0.25,0.26,0.18,0.2,0.18,0.18,0.19,0.05,100.02000000000001
