,16.HK,BXP,URW.AS,8951.T,BKG.L,8952.T,3281.T,3283.T,C38U.SI,GFC.PA,8953.T,KRC,VNO,12.HK,3462.T,CUZ,DEI,LI.PA,COV.PA,HIW,FABG.ST,VCX.AX,MTH,MRL.MC,KBH,JBGS,3309.T,N2IU.SI,1972.HK,COL.MC,3466.T,BUOU.SI,813.HK,3099.T,BDN,PDM,8964.T,3234.T,T82U.SI,C09.SI,3295.T,3292.T,CAI.VI,CXP,J69U.SI,3481.T,RW0U.SI,8987.T,PGRE,ESRT,FCR.UN.TO,HMSO.L,3333.HK,K71U.SI,PLAZ B.ST,DEQ.DE,2778.HK,BTOU.SI,8958.T,8968.T,BEFB.BR,3487.T,2979.T,CY6U.SI,CMW.AX,GOZ.AX,410.HK,405.HK,3493.T,MERY.PA,TS0U.SI,3290.T,P40U.SI,SK6U.SI,WHA.AS,CTY1S.HE,GDI.AX,OXMU.SI,LRE,ARE,LAND.L,8954.T,3298.T,16 HK,URW,8951 JP,BKG LN,8952 JP,3281 JP,3283 JP,LAND LN,CICT SP,8953 JP,GFC FP,12 HK,3462 JP,VCX,LI FP,COV FP,FABG SS,8954 JP,MRL,3309 JP,MCT SP,3466 JP,1972 HK,FLT SP,COL,813 HK,3099 JP,3234 JP,SUN SP,CIT SP,3295 JP,3292 JP,8964 JP,CAI AV,FCT SP,3481 JP,MAGIC SP,8987 JP,HMSO LN,FCR-U,KREIT SP,PLAZB SS,2778 HK,DEQ,8958 JP,MUST SP,GOZ,3333 HK,8968 JP,CMW,3487 JP,2979 JP,BEFB,AIT SP,410 HK,405 HK,3493 JP,MERY FP,OUECT SP,SPHREIT SP,SGREIT SP,3298 JP,CTY1S FH,WHA,3290 JP,GDI,PRIME SP,LRE.MC,FLT.SI,2777.HK,ECMPA.AS,SUM
08/16/2021,6.98,6.5,4.09,3.73,3.12,2.87,2.79,2.7,2.7,2.69,2.62,2.6,2.58,2.46,2.44,2.17,2.09,1.89,1.82,1.77,1.75,1.69,1.57,1.52,1.34,1.33,1.29,1.25,1.22,1.13,1.07,1.06,0.97,0.87,0.86,0.85,0.81,0.81,0.79,0.76,0.75,0.73,0.7,0.69,0.67,0.64,0.62,0.61,0.58,0.58,0.57,0.57,0.55,0.53,0.46,0.43,0.42,0.41,0.4,0.4,0.35,0.35,0.35,0.35,0.35,0.33,0.33,0.32,0.32,0.31,0.25,0.25,0.24,0.24,0.21,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
08/19/2021,6.94,6.44,4.11,3.72,3.11,2.85,2.85,2.73,2.64,2.72,2.59,2.59,2.57,2.5,2.44,2.16,2.09,1.89,1.85,1.76,1.8,1.68,1.59,1.53,1.34,1.33,1.3,1.25,1.24,1.16,1.08,1.06,0.96,0.85,0.87,0.84,0.8,0.81,0.78,0.79,0.76,0.72,0.7,0.7,0.65,0.65,0.61,0.61,0.58,0.57,0.57,0.56,0.52,0.53,0.47,0.46,0.43,0.4,0.41,0.39,0.35,0.35,0.35,0.33,0.35,0.34,0.33,0.32,0.32,0.31,0.24,0.25,0.23,0.23,0.21,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05000000000004
08/20/2021,6.98,6.46,4.05,3.79,3.08,2.9,2.84,2.72,2.64,2.7,2.59,2.62,2.59,2.49,2.47,2.19,2.12,1.85,1.83,1.79,1.78,1.66,1.54,1.52,1.3,1.33,1.3,1.25,1.29,1.14,1.08,1.06,0.96,0.84,0.87,0.84,0.79,0.82,0.79,0.78,0.76,0.72,0.69,0.7,0.65,0.65,0.62,0.62,0.57,0.56,0.57,0.53,0.51,0.53,0.47,0.44,0.43,0.4,0.41,0.4,0.36,0.35,0.36,0.33,0.34,0.33,0.32,0.32,0.32,0.31,0.24,0.25,0.23,0.24,0.21,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
08/23/2021,7.13,6.35,4.06,3.69,3.08,2.88,2.85,2.75,2.64,2.7,2.58,2.59,2.53,2.5,2.52,2.16,2.13,1.86,1.82,1.78,1.78,1.65,1.51,1.54,1.29,1.33,1.33,1.25,1.28,1.14,1.09,1.07,0.93,0.81,0.86,0.85,0.81,0.83,0.8,0.79,0.78,0.74,0.7,0.74,0.65,0.66,0.62,0.63,0.58,0.56,0.55,0.51,0.48,0.53,0.46,0.44,0.44,0.4,0.42,0.4,0.36,0.36,0.36,0.33,0.35,0.34,0.33,0.33,0.33,0.3,0.24,0.25,0.24,0.24,0.2,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03000000000002
08/24/2021,7.23,6.36,4.03,3.67,3.09,2.85,2.85,2.78,2.63,2.7,2.59,2.59,2.53,2.48,2.53,2.16,2.12,1.86,1.82,1.78,1.8,1.66,1.54,1.52,1.32,1.32,1.32,1.26,1.27,1.13,1.09,1.07,0.91,0.82,0.87,0.84,0.8,0.83,0.8,0.79,0.77,0.73,0.69,0.73,0.65,0.66,0.62,0.62,0.58,0.56,0.55,0.52,0.48,0.52,0.46,0.43,0.43,0.4,0.41,0.4,0.35,0.36,0.36,0.34,0.34,0.34,0.33,0.33,0.33,0.3,0.24,0.25,0.24,0.24,0.2,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
08/26/2021,7.25,6.41,4.01,3.61,3.09,2.81,2.83,2.77,2.66,2.7,2.57,2.62,2.56,2.53,2.48,2.2,2.13,1.86,1.82,1.8,1.81,1.69,1.55,1.53,1.31,1.33,1.3,1.26,1.24,1.13,1.08,1.07,0.9,0.82,0.89,0.86,0.79,0.81,0.81,0.78,0.77,0.73,0.7,0.73,0.65,0.66,0.63,0.61,0.58,0.56,0.56,0.53,0.42,0.53,0.45,0.43,0.43,0.39,0.41,0.39,0.35,0.36,0.36,0.34,0.35,0.34,0.34,0.33,0.33,0.3,0.25,0.25,0.24,0.24,0.21,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06
08/27/2021,7.19,6.42,4.05,3.61,3.1,2.81,2.79,2.73,2.66,2.68,2.58,2.61,2.58,2.48,2.45,2.21,2.13,1.87,1.81,1.8,1.79,1.78,1.57,1.52,1.33,1.32,1.29,1.26,1.27,1.13,1.07,1.09,0.92,0.83,0.9,0.84,0.78,0.81,0.81,0.79,0.76,0.72,0.7,0.72,0.65,0.65,0.63,0.61,0.59,0.56,0.57,0.53,0.43,0.52,0.45,0.43,0.44,0.39,0.41,0.39,0.35,0.36,0.36,0.34,0.36,0.35,0.35,0.32,0.33,0.3,0.24,0.24,0.24,0.24,0.2,0.2,0.15,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
09/02/2021,6.98,6.21,4.11,3.73,3.05,2.91,2.81,2.83,2.63,2.68,2.61,2.57,2.53,2.44,2.47,2.16,2.15,1.91,1.85,1.77,1.81,1.83,1.57,1.54,1.34,1.33,1.32,1.25,1.22,1.13,1.07,1.08,0.91,0.86,0.89,0.82,0.79,0.83,0.81,0.79,0.76,0.74,0.69,0.72,0.66,0.66,0.62,0.62,0.57,0.55,0.58,0.56,0.42,0.51,0.44,0.43,0.44,0.39,0.42,0.4,0.35,0.38,0.38,0.34,0.35,0.36,0.31,0.32,0.34,0.31,0.25,0.25,0.24,0.24,0.2,0.21,0.16,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.05
09/03/2021,5.96,5.47,3.56,3.15,2.64,2.5,2.45,2.4,2.27,2.33,2.22,2.24,2.22,2.19,2.15,1.87,1.89,1.65,1.61,1.55,1.56,1.6,1.38,1.34,1.16,1.16,1.14,1.06,1.04,0.99,1.02,0.94,0.83,0.74,0.77,0.72,0.61,0.73,0.71,0.68,0.68,0.64,0.6,0.63,0.57,0.57,0.54,0.53,0.51,0.49,0.49,0.51,0.36,0.47,0.39,0.37,0.39,0.34,0.37,0.32,0.31,0.33,0.31,0.3,0.32,0.31,0.28,0.29,0.28,0.27,0.22,0.18,0.21,0.21,0.18,0.18,0.14,0.13,0.12,9.43,2.24,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.02
09/06/2021,5.9,5.51,3.45,3.15,2.59,2.49,2.44,2.41,2.27,2.29,2.26,2.27,2.22,2.2,2.12,1.88,1.9,1.65,1.6,1.56,1.53,1.64,1.36,1.35,1.17,1.18,1.11,1.07,1.04,0.97,1.03,0.94,0.85,0.74,0.78,0.73,0.61,0.72,0.7,0.68,0.66,0.62,0.6,0.62,0.58,0.57,0.55,0.52,0.5,0.49,0.49,0.51,0.34,0.48,0.38,0.37,0.39,0.34,0.36,0.32,0.3,0.32,0.31,0.3,0.31,0.32,0.28,0.28,0.27,0.26,0.23,0.18,0.22,0.22,0.18,0.18,0.14,0.13,0.12,9.45,2.3,1.5,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06000000000002
