,NIO,BABA,JD,BIDU,PDD,BILI,XPEV,NTES,TCOM,BEKE,LI,ZTO,EDU,ZLAB,VIPS,TAL,HTHT,GDS,IQ,QFIN,WB,ATHM,DQ,YY,JOBS,KC,VNET,CSIQ,API,IMAB,MOMO,TIGR,JKS,LU,DADA,BZUN,LX,NOAH,CD,NIU,OCFT,EH,BNR,CAN,HOLI,UXIN,NTP,SOHU,LKCO,MNSO,SNP.L,YSG,AGPXX,SY,FANH,KNDI,QD,GTH,EBON,ZEPP,CBAT,PTR,YI,SOL,BTNB,BTBT,VIOT,BTCM,WIMI,QTT,SGOC,NVVE,LFC,NISN,FTFT,XNET,WNW,HUIZ,Cash/Receivables/Payables,SPI,KXIN,LIZI,CAAS,JG,QLI,GRCL,PETZ,LITB,HLG,TEDU,OCG,YQ,COE,DUO,METX,CSCW,GLG,NCTY,ZKIN,RCON,Sino Clean Energy Inc,6368.T,China Petroleum & Chemical Corp ADR,PetroChina Co Ltd ADR,China Life Insurance Co Ltd ADR repr Class H,Securities Lending - Bnym,n/a,BPAC11.SA,SNP,NEGG,TME,PPGH,SLCR,CNTB,AGMH,JWEL,MOXC,ADAG,JFU,CNEY,BLCT,CLV.,INVALID,TROO,SUM
07/09/2021,10.73,8.15,8.07,7.85,7.46,4.18,3.95,3.83,3.39,3.34,3.29,2.75,2.6,2.45,2.34,2.06,2.0,1.94,1.28,1.05,1.04,0.98,0.94,0.86,0.74,0.7,0.64,0.64,0.58,0.58,0.57,0.53,0.53,0.52,0.49,0.45,0.35,0.35,0.34,0.33,0.31,0.29,0.24,0.23,0.22,0.21,0.21,0.19,0.16,0.16,0.15,0.14,0.13,0.13,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999998
07/12/2021,10.07,8.22,8.5,7.89,7.59,4.25,3.71,3.92,3.28,3.35,3.23,2.85,2.32,2.6,2.45,2.18,1.93,1.86,1.21,0.84,1.12,1.04,0.99,0.86,0.77,0.71,0.62,0.62,0.58,0.65,0.56,0.51,0.57,0.48,0.52,0.45,0.3,0.36,0.34,0.38,0.3,0.26,0.24,0.21,0.24,0.22,0.2,0.18,0.17,0.15,0.15,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999996
07/13/2021,10.07,8.22,8.5,7.89,7.59,4.25,3.71,3.92,3.28,3.35,3.23,2.85,2.32,2.6,2.45,2.18,1.93,1.86,1.21,0.84,1.12,1.04,0.99,0.86,0.77,0.71,0.62,0.62,0.58,0.65,0.56,0.51,0.57,0.48,0.52,0.45,0.3,0.36,0.34,0.38,0.3,0.26,0.24,0.21,0.24,0.22,0.2,0.18,0.17,0.15,0.15,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.09,0.09,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.24,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.07999999999996
07/15/2021,10.25,8.21,8.46,7.85,7.56,4.26,3.7,3.95,3.25,3.11,3.33,2.82,2.27,2.65,2.44,2.09,1.94,1.86,1.21,0.85,1.13,1.04,1.0,0.83,0.77,0.71,0.61,0.65,0.58,0.62,0.56,0.5,0.62,0.45,0.52,0.43,0.29,0.36,0.34,0.36,0.29,0.26,0.24,0.21,0.24,0.21,0.21,0.19,0.16,0.16,0.15,0.15,0.14,0.14,0.13,0.11,0.1,0.12,0.09,0.1,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.05,0.07,0.06,0.48,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.03,0.04,0.04,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/16/2021,9.8,8.24,8.71,7.91,7.55,4.34,3.59,4.0,3.23,3.21,3.26,2.85,2.37,2.59,2.52,2.18,1.92,1.92,1.19,0.87,1.14,1.05,1.04,0.87,0.76,0.73,0.62,0.63,0.58,0.6,0.56,0.49,0.61,0.47,0.51,0.45,0.31,0.35,0.34,0.35,0.3,0.25,0.23,0.19,0.24,0.22,0.21,0.24,0.16,0.15,0.15,0.15,0.21,0.13,0.13,0.11,0.1,0.12,0.08,0.1,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.05,0.06,0.06,0.23,0.06,0.06,0.06,0.05,0.05,0.04,0.04,-0.04,0.04,0.08,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06999999999998
07/19/2021,9.57,8.49,8.8,8.0,7.5,4.35,3.55,4.11,3.2,3.18,3.12,2.84,2.38,2.59,2.54,2.23,1.99,1.92,1.15,0.95,1.16,1.04,0.99,0.88,0.77,0.72,0.59,0.58,0.53,0.59,0.56,0.46,0.6,0.46,0.52,0.45,0.33,0.34,0.34,0.32,0.29,0.24,0.23,0.19,0.23,0.22,0.23,0.24,0.13,0.14,0.15,0.14,0.26,0.13,0.13,0.1,0.1,0.11,0.08,0.1,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.05,0.06,0.06,0.27,0.05,0.06,0.06,0.05,0.05,0.04,0.04,-0.04,0.03,0.07,0.03,0.04,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999995
07/20/2021,9.62,8.6,8.87,7.94,7.47,4.42,3.69,4.13,3.13,3.25,3.13,2.91,2.31,2.45,2.46,2.07,1.97,1.94,1.14,0.95,1.14,1.03,0.98,0.88,0.79,0.72,0.57,0.58,0.55,0.63,0.54,0.46,0.59,0.46,0.5,0.45,0.32,0.35,0.34,0.32,0.29,0.23,0.25,0.18,0.24,0.21,0.23,0.24,0.13,0.15,0.15,0.13,0.21,0.13,0.13,0.1,0.1,0.12,0.08,0.1,0.09,0.08,0.08,0.07,0.08,0.06,0.07,0.04,0.06,0.06,0.3,0.05,0.06,0.06,0.05,0.05,0.04,0.04,0.0,0.03,0.08,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,9.62,8.6,8.87,7.94,7.47,4.42,3.69,4.13,3.13,3.25,3.13,2.91,2.31,2.45,2.46,2.07,1.97,1.94,1.14,0.95,1.14,1.03,0.98,0.88,0.79,0.72,0.57,0.58,0.55,0.63,0.54,0.46,0.59,0.46,0.5,0.45,0.32,0.35,0.34,0.32,0.29,0.23,0.25,0.18,0.24,0.21,0.23,0.24,0.13,0.15,0.0,0.13,0.21,0.13,0.13,0.1,0.1,0.12,0.08,0.1,0.09,0.0,0.08,0.07,0.08,0.06,0.07,0.04,0.06,0.06,0.3,0.05,0.0,0.06,0.05,0.05,0.04,0.04,0.0,0.03,0.08,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/22/2021,9.62,8.6,8.87,7.94,7.47,4.42,3.69,4.13,3.13,3.25,3.13,2.91,2.31,2.45,2.46,2.07,1.97,1.94,1.14,0.95,1.14,1.03,0.98,0.88,0.79,0.72,0.57,0.58,0.55,0.63,0.54,0.46,0.59,0.46,0.5,0.45,0.32,0.35,0.34,0.32,0.29,0.23,0.25,0.18,0.24,0.21,0.23,0.24,0.13,0.15,0.0,0.13,0.21,0.13,0.13,0.1,0.1,0.12,0.08,0.1,0.09,0.0,0.08,0.07,0.08,0.06,0.07,0.04,0.06,0.06,0.3,0.05,0.0,0.06,0.05,0.05,0.04,0.04,0.0,0.03,0.08,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.15,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/23/2021,9.99,8.59,8.72,7.92,7.15,4.56,3.88,4.19,3.02,3.2,3.19,2.9,2.22,2.54,2.41,2.01,1.95,2.0,1.16,0.9,1.16,0.98,0.99,0.85,0.79,0.71,0.57,0.59,0.54,0.62,0.55,0.46,0.58,0.45,0.5,0.43,0.33,0.36,0.34,0.32,0.28,0.24,0.24,0.18,0.25,0.22,0.26,0.24,0.13,0.15,0.15,0.13,0.21,0.13,0.13,0.11,0.1,0.12,0.08,0.1,0.09,0.08,0.08,0.07,0.08,0.05,0.07,0.05,0.06,0.07,0.32,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.0,0.04,0.07,0.03,0.03,0.03,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.06999999999998
