,TREASURY FLOATING RATE NOTE,TREASURY FLOATING RATE NOTE.1,TREASURY FLOATING RATE NOTE.2,TREASURY FLOATING RATE NOTE.3,TREASURY FLOATING RATE NOTE.4,BLK CSH FND TREASURY SL AGENCY,TREASURY FLOATING RATE NOTE.5,TREASURY FLOATING RATE NOTE.6,TREASURY FLOATING RATE NOTE.7,TF 0 10/31/22,TF 0 10/31/21,TF 0 01/31/23,TF 0 04/30/23,TF 0 04/30/22,XTSLA,TF 0 07/31/22,TF 0 01/31/22,United States Treasury Notes 0.27%,ANSGR.IS,n/a,TF 0 07/31/23,TF 0 07/31/21,TF 0 10.31.22,TF 0 01.31.23,TF 0 10.31.21,TF 0 04.30.23,TF 0 07.31.23,TF 0 04.30.22,TF 0 07.31.22,TF 0 01.31.22,SUM
07/09/2021,45.05,18.24,9.82,8.57,4.92,4.81,4.8,3.63,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
07/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05,18.24,9.82,8.57,4.92,4.8,4.8,3.63,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/21/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05,18.24,9.82,8.57,4.92,4.8,4.8,3.63,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01999999999998
07/26/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05,18.24,9.82,8.57,4.92,4.8,4.8,3.63,0.19,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
07/28/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05,18.24,9.82,8.57,4.92,4.8,4.8,3.63,0.19,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00999999999998
08/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.04,18.22,9.82,8.66,4.92,4.92,4.8,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
09/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,18.22,16.45,8.66,0.35,0.8,0.34,0.31,0.0,0.0,-0.01,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/01/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.04,18.22,9.82,8.66,4.92,4.71,4.8,3.63,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/04/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.04,18.22,9.82,8.66,4.92,4.71,4.8,3.63,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99
10/05/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,18.23,16.46,8.66,0.35,0.81,0.34,0.31,0.0,0.0,-0.03,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/06/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,18.23,16.46,8.66,0.35,0.81,0.34,0.31,0.0,0.0,-0.03,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/07/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,18.22,16.46,8.66,0.35,0.8,0.34,0.31,0.0,0.0,-0.01,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10/08/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,49.62,16.46,15.27,8.66,8.2,0.35,0.34,0.31,100.0
10/11/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.0,-3.6,0.0,0.0,49.62,16.46,14.91,9.03,11.81,0.35,0.34,0.31,100.0
10/12/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.0,0.0,0.0,-0.64,0.0,0.0,49.6,16.45,12.01,9.03,11.81,0.35,0.34,0.31,100.02
10/13/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,16.46,12.01,9.03,11.81,0.35,0.34,0.31,100.0
10/14/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,16.46,12.01,9.03,11.81,0.35,0.34,0.31,100.0
10/15/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,16.46,12.01,9.03,11.81,0.35,0.34,0.31,100.0
10/18/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,16.46,12.01,9.03,11.81,0.35,0.34,0.31,100.0
10/19/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,16.46,2.79,9.03,21.02,0.35,0.34,0.31,100.0
11/16/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,16.45,0.0,9.03,21.02,0.35,0.34,0.31,100.0
11/29/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,49.62,16.46,0.0,9.03,21.02,0.35,0.34,0.31,100.0
12/02/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,-0.01,0.0,0.0,49.62,16.46,0.0,9.03,21.02,0.35,0.34,0.31,99.99999999999999
