,AAPL,MSFT,AMZN,UNH,VZ,COST,CMCSA,BRK.B,ZTS,JNJ,TMUS,SPGI,ALNY,MDLZ,CRM,JAZZ,HD,NBIX,JPM,WMB,V,NVDA,HSY,MA,SCHW,GIS,SO,IFF,MMM,TFC,PLD,D,CPB,AZO,NKE,MAR,JBHT,DIS,SBUX,AMD,URI,AVB,UPS,TGT,INTC,TJX,CDNS,ITW,KEYS,EOG,GPK,LUV,PFE,MRCY,OKE,INTU,LSXMA,QDEL,ANET,SNOW,BRO,BEN,PCTY,MPW,FGXXX,WEC,SRE,PATH,APH,AXON,PNFP,HPQ,FRT,CBRE,TDOC,YUMC,CPRT,FAST,SBAC,CDW,KMX,MCHP,HES,RL,SWK,KKR,CLR,BC,JEF,OKTA,ALGM,TRIP,TWLO,SWKS,SPLK,OLED,SLGN,CFR,DT,MKSI,n/a,CDAY,XPO,SLG,VRSN,SSNC,NTNX,SEB,SUM
07/19/2022,6.72,6.09,3.47,3.27,3.23,2.86,2.72,2.55,2.26,2.22,2.11,2.09,1.97,1.97,1.83,1.82,1.65,1.64,1.53,1.53,1.46,1.36,1.32,1.21,1.19,1.15,1.14,1.11,1.09,1.06,1.04,1.03,1.03,1.01,1.01,0.98,0.92,0.85,0.81,0.81,0.81,0.79,0.77,0.76,0.7,0.67,0.66,0.66,0.64,0.62,0.62,0.58,0.58,0.56,0.54,0.53,0.51,0.51,0.51,0.5,0.49,0.48,0.48,0.47,0.47,0.42,0.41,0.41,0.4,0.39,0.38,0.38,0.35,0.35,0.35,0.35,0.32,0.31,0.3,0.3,0.29,0.28,0.26,0.26,0.25,0.24,0.24,0.23,0.22,0.22,0.21,0.2,0.19,0.19,0.17,0.15,0.11,0.11,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.04,0.0,100.0
08/01/2022,6.53,5.4,4.65,3.03,2.65,3.03,2.83,2.66,1.45,2.43,1.72,1.07,1.99,0.75,2.97,1.01,2.05,1.39,1.37,1.39,0.94,1.1,1.31,0.98,1.85,0.84,0.51,1.12,1.0,1.17,1.16,1.15,0.75,0.58,0.45,0.22,1.51,0.0,0.64,1.96,1.67,0.11,0.84,1.31,0.45,0.3,0.72,1.21,0.69,1.21,0.86,0.46,1.77,0.48,0.99,0.43,0.79,0.49,0.39,0.62,1.06,0.42,0.44,0.54,0.13,0.4,1.16,0.58,0.67,0.54,0.41,0.58,0.36,0.53,0.79,0.43,0.32,0.3,0.28,0.31,0.48,0.61,0.34,0.06,0.11,0.08,0.24,0.25,0.08,0.27,0.0,0.0,0.47,0.09,0.0,0.21,0.32,0.11,0.0,0.1,0.04,0.1,0.1,0.09,0.08,0.08,0.04,0.07,100.07000000000001
