,GRWG,TLRY,WEED.TO,UVV,CRON.TO,VALT,HEXO.TO,OGI.TO,VFF.TO,ARNA,XXII,TPB,VGR,PM,JAZZ,BATS.L,IMB.L,MO,SWM,SMG,CWEB.TO,VLNS.TO,HYFM,CRBP,ZYNE,UVV.1,XLY.TO,TGOD.TO,CLVR,SWMA.ST,LABS.TO,First American Government Obligs X,British Pounds,ACB.TO,ETFMG Sit Ultra Short ETF,FGXXX,688101.SS,n/a,688001.SS,AGFY,HITI.V,ICA.MX,INCR.TA,SNDL,MAPS,VLNS.NE,DOUG WI,VFF,DOUG,SUM
07/09/2021,9.49,8.86,7.36,6.18,6.09,5.08,4.46,3.96,3.76,3.24,3.0,2.88,2.84,2.82,2.8,2.7,2.69,2.63,2.36,2.3,2.14,1.94,1.6,1.52,1.45,1.04,1.0,0.97,0.94,0.88,0.58,0.37,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/12/2021,9.52,8.5,7.19,1.07,5.99,0.0,4.15,3.83,3.71,3.27,2.8,2.97,2.87,2.94,3.0,2.85,2.84,2.71,2.42,2.35,2.17,2.0,1.72,1.52,1.46,0.0,1.09,0.99,0.9,0.93,0.62,0.0,0.0,5.86,5.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/13/2021,9.52,8.5,7.19,1.07,5.99,0.0,4.15,3.83,3.71,3.27,2.8,2.97,2.87,2.94,3.0,2.85,2.84,2.71,2.42,2.35,2.17,2.0,1.72,1.52,1.46,0.0,1.09,0.99,0.9,0.93,0.62,0.0,0.0,5.86,5.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/14/2021,9.23,8.46,7.17,1.05,6.04,0.0,4.12,3.89,3.75,3.26,2.86,2.99,2.9,2.96,3.0,2.82,2.88,2.74,2.43,2.33,2.18,1.88,1.72,1.52,1.47,0.0,1.12,1.0,0.91,0.93,0.6,0.0,0.0,0.0,5.38,0.38,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/15/2021,9.3,8.49,7.19,1.05,6.01,0.0,4.11,3.9,3.78,3.26,2.82,3.03,2.94,2.93,3.01,2.82,2.88,2.75,2.45,2.32,2.12,1.78,1.72,1.45,1.4,0.0,1.14,0.99,0.88,0.94,0.62,0.0,0.0,0.0,5.39,0.43,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
07/19/2021,8.52,8.01,7.0,1.1,6.0,0.0,3.95,4.18,3.77,3.27,2.49,3.17,3.05,3.14,3.09,3.01,3.04,2.92,2.54,2.4,2.23,1.85,1.56,1.42,1.42,0.0,1.17,1.06,0.96,0.99,0.65,0.0,0.0,0.0,5.74,0.58,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/20/2021,8.52,8.01,7.0,1.1,6.0,0.0,3.95,4.18,3.77,3.27,2.49,3.17,3.05,3.14,3.09,3.01,3.04,2.92,2.54,2.4,2.23,1.85,1.56,1.42,1.42,0.0,1.17,1.06,0.96,0.99,0.65,0.0,0.0,0.0,5.74,0.58,5.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/21/2021,8.35,7.93,6.9,1.1,5.85,0.0,3.93,4.04,3.78,3.36,2.5,3.22,3.07,3.2,3.11,3.12,3.14,2.98,2.57,2.49,2.19,1.8,1.56,1.42,1.42,0.0,1.2,1.05,0.94,1.02,0.64,0.0,0.0,0.0,5.88,0.6,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/22/2021,8.35,7.93,6.9,1.1,5.85,0.0,3.93,4.04,3.78,3.36,2.5,3.22,3.07,3.2,3.11,3.12,3.14,2.98,2.57,2.49,2.19,1.8,1.56,1.42,1.42,0.0,1.2,1.05,0.94,1.02,0.64,0.0,0.0,0.0,5.88,0.6,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/23/2021,8.35,7.93,6.9,1.1,5.85,0.0,3.93,4.04,3.78,3.36,2.5,3.22,3.07,3.2,3.11,3.12,3.14,2.98,2.57,2.49,2.19,1.8,1.56,1.42,1.42,0.0,1.2,1.05,0.94,1.02,0.64,0.0,0.0,0.0,5.88,0.6,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98
07/28/2021,8.77,7.76,6.93,1.07,5.84,0.0,3.74,3.95,3.81,3.42,2.59,3.21,3.04,3.19,3.09,3.04,3.08,3.0,2.54,2.53,2.22,1.84,1.59,1.36,1.4,0.0,1.14,1.01,0.96,1.04,0.62,0.0,0.0,0.0,5.95,0.6,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/29/2021,8.77,7.76,6.91,1.07,5.91,0.0,3.69,4.12,3.82,3.31,2.51,3.27,3.04,3.19,3.06,3.03,3.07,2.99,2.55,2.52,2.19,1.89,1.59,1.33,1.4,0.0,1.11,1.01,1.01,1.03,0.63,0.0,0.0,0.0,5.9,0.59,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
07/30/2021,8.77,7.76,6.91,1.07,5.91,0.0,3.69,4.12,3.82,3.31,2.51,3.27,3.04,3.19,3.06,3.03,3.07,2.99,2.55,2.52,2.19,1.89,1.59,1.33,1.4,0.0,1.11,1.01,1.01,1.03,0.63,0.0,0.0,0.0,5.9,0.59,5.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
08/02/2021,8.84,8.77,6.64,1.04,5.98,0.0,3.69,4.21,3.81,3.21,2.54,3.48,2.95,3.08,2.98,2.92,2.94,2.89,2.48,2.42,2.24,2.04,1.57,1.37,1.4,0.0,1.1,0.97,1.01,0.99,0.59,0.0,0.0,0.0,5.71,0.57,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/03/2021,8.84,8.77,6.64,1.04,5.98,0.0,3.69,4.21,3.81,3.21,2.54,3.48,2.95,3.08,2.98,2.92,2.94,2.89,2.48,2.42,2.24,2.04,1.57,1.37,1.4,0.0,1.1,0.97,1.01,0.99,0.59,0.0,0.0,0.0,5.71,0.57,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/04/2021,8.84,8.77,6.64,1.04,5.98,0.0,3.69,4.21,3.81,3.21,2.54,3.48,2.95,3.08,2.98,2.92,2.94,2.89,2.48,2.42,2.24,2.04,1.57,1.37,1.4,0.0,1.1,0.97,1.01,0.99,0.59,0.0,0.0,0.0,5.71,0.57,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/05/2021,8.84,8.77,6.64,1.04,5.98,0.0,3.69,4.21,3.81,3.21,2.54,3.48,2.95,3.08,2.98,2.92,2.94,2.89,2.48,2.42,2.24,2.04,1.57,1.37,1.4,0.0,1.1,0.97,1.01,0.99,0.59,0.0,0.0,0.0,5.71,0.57,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.03
08/06/2021,8.89,8.05,6.55,1.07,5.97,0.0,3.51,4.1,3.75,3.13,2.52,3.63,3.05,3.22,3.01,2.98,3.09,2.99,2.67,2.42,2.13,1.96,1.57,1.3,1.37,0.0,1.11,1.04,1.06,1.04,0.62,0.0,0.0,0.0,5.94,0.54,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.97
09/01/2021,6.02,7.0,7.07,0.0,5.17,0.0,2.42,5.19,3.11,2.69,3.85,0.0,3.56,3.26,2.5,3.13,3.11,3.26,3.14,2.88,2.23,3.02,3.21,1.32,1.39,0.0,1.18,0.86,1.71,1.84,0.51,0.0,0.0,0.0,0.0,0.95,0.0,6.45,6.09,1.3,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.01
