,PRGO,RL,ROL,IPGP,UNM,HBI,GPS,COG,OGN,LEG,NOV,NRG,PVH,DVA,VNO,AOS,PBCT,FRT,ALK,SEE,RHI,DISH,JNPR,ZION,HII,CPB,KIM,AIZ,RE,PNR,APA,BIO,NLSN,PNW,NI,n/a,FFIV,DXC,HSIC,WU,CMA,GL,WRB,BEN,MHK,REG,JKHY,MPWR,CBOE,NWL,HAS,MRO,AAP,ABMD,UHS,ALLE,TPR,IPG,PWR,CF,PKI,LB,L,MOS,LNC,IVZ,LKQ,JBHT,UDR,BWA,HOLX,ATO,TAP,FBHS,PKG,WAB,LYV,SNA,IRM,XRAY,PHM,LDOS,HST,PAYC,HRL,PTC,EVRG,WHR,BF.B,LNT,MAS,TYL,CHRW,HWM,DGX,DPZ,CRL,PENN,LW,UA,TXT,ENPH,CNP,SJM,MKTX,NCLH,IEX,POOL,COO,RJF,INCY,KMX,ALB,K,CTLT,NVR,UAA,PFG,CAH,DRI,CMS,WYNN,FMC,AAL,ABC,BR,IR,IT,MAA,PEAK,CTXS,WAT,WRK,GNRC,STE,FANG,DRE,TRMB,LUMN,NDAQ,BXP,TFX,ULTA,CINF,GPC,TDY,AVY,J,AES,CE,EMN,ETSY,NLOK,NWS,AKAM,ANET,NTAP,XYL,EXR,DOV,ESS,DVN,CAG,URI,GRMN,AMCR,QRVO,MGM,CHD,GWW,OMC,WST,EXPD,MLM,STX,RSG,TSCO,VTRS,VTR,FE,TER,CDW,CLX,ODFL,CPRT,HBAN,UAL,VMC,AEE,LH,LEN,VRSN,HPE,AZO,MTB,BHGE,TTWO,RF,CFG,RCL,FOX,DISCA,CTRA,NWSA,DISCK,FOXA,BRO,HAL,CDAY,BBWI WI,HES,LVS,KEY,OXY,DLTR,EXPE,CCL,OKE,TECH,EIX,WDC,CZR,HIG,TSN,VLO,CERN,FLT,NTRS,SUM
09/06/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/07/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/08/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/09/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/10/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/13/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/14/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/15/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/16/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
09/17/2021,0.77,0.76,0.76,0.71,0.71,0.67,0.65,0.65,0.64,0.6,0.6,0.59,0.56,0.56,0.54,0.54,0.53,0.53,0.53,0.53,0.52,0.51,0.51,0.51,0.51,0.49,0.49,0.48,0.47,0.47,0.47,0.47,0.47,0.47,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.42,0.4,0.4,0.4,0.39,0.39,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.36,0.36,0.36,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.31,0.31,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.29,0.29,0.29,0.29,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
